idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,1.2891,1.5938
1,A,A,A,1,1,0,1.3281,1.3896
2,B,A,A,0,0,0,0.5469,0.3906
3,C,B,B,0,0,0,0.5781,0.6562
4,C,B,B,0,0,0,0.6094,0.5781
5,C,B,B,0,0,0,0.5781,0.7812
6,A,A,A,1,1,0,1.4072,1.7119
7,B,A,A,0,0,0,0.6406,0.1875
8,C,B,B,0,0,0,0.3584,0.5625
9,B,B,B,1,1,0,0.2812,0.8281
10,B,A,A,0,0,0,1.0166,1.0156
11,C,A,A,0,0,0,0.6396,0.5625
12,C,B,B,0,0,0,0.1719,0.1562
13,B,A,A,0,0,0,0.5781,0.2422
14,B,A,A,0,0,0,0.624,0.7588
15,C,B,B,0,0,0,0.1562,0.5938
16,B,B,B,1,1,0,0.5459,0.5469
17,C,B,B,0,0,0,0.1719,0.5479
18,A,A,A,1,1,0,2.0332,2.1719
19,A,A,A,1,1,0,1.4697,1.5
20,C,B,B,0,0,0,0.5166,0.2344
21,B,A,B,0,1,1,0.4072,0.1641
22,C,B,B,0,0,0,0.4062,0.9834
23,C,A,A,0,0,0,2.3438,2.25
24,C,C,B,1,0,1,0.1562,0.3281
25,B,B,A,1,0,1,0.1875,0.1875
26,C,B,B,0,0,0,0.5781,0.1562
27,C,B,B,0,0,0,0.2188,0.6709
28,C,B,A,0,0,1,0.5312,0.125
29,B,B,B,1,1,0,0.0469,0.7188
30,B,A,A,0,0,0,0.0469,0.9072
31,B,A,A,0,0,0,0.5156,0.0312
32,B,A,A,0,0,0,0.3594,0.8125
33,B,A,A,0,0,0,0.5,0.2344
34,A,A,A,1,1,0,2.2988,1.4141
35,C,B,B,0,0,0,0.3594,0.1875
36,A,A,A,1,1,0,1.2656,1.8906
37,B,A,A,0,0,0,1.0469,0.8594
38,C,B,B,0,0,0,0.5479,0.9697
39,C,A,B,0,0,1,0.7344,0.374
40,A,A,A,1,1,0,1.7812,1.4844
41,B,A,A,0,0,0,0.9531,1.4541
42,B,A,A,0,0,0,1.5781,1.5635
43,A,A,A,1,1,0,1.9053,1.6572
44,A,A,A,1,1,0,2.4854,1.812
45,A,A,A,1,1,0,1.9531,1.9678
46,C,A,B,0,0,1,0.0625,0.3438
47,B,A,A,0,0,0,0.7969,1.3125
48,C,A,A,0,0,0,0.3896,0.5625
49,C,B,B,0,0,0,0.3906,0.7188
50,C,B,B,0,0,0,0.2969,0.1875
51,A,A,A,1,1,0,1.4375,2.0
52,C,B,B,0,0,0,0.0625,0.6719
53,A,A,A,1,1,0,1.7197,1.8193
54,A,A,A,1,1,0,2.1719,2.5938
55,C,B,B,0,0,0,0.375,1.1406
56,A,A,A,1,1,0,2.0459,2.3203
57,C,B,B,0,0,0,0.1719,0.6885
58,C,B,B,0,0,0,0.1875,0.875
59,A,A,A,1,1,0,1.5459,2.2021
60,A,A,A,1,1,0,2.376,2.5469
61,C,A,B,0,0,1,0.125,0.1719
