idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,1.2891,1.5146
1,A,A,A,1,1,0,1.3281,1.3359
2,B,A,A,0,0,0,0.5469,0.4219
3,C,B,C,0,1,1,0.5781,0.3828
4,C,B,C,0,1,1,0.6094,0.2969
5,C,B,C,0,1,1,0.5781,0.7969
6,A,A,A,1,1,0,1.4072,1.2427
7,B,A,A,0,0,0,0.6406,0.625
8,C,B,A,0,0,1,0.3584,0.1172
9,B,B,A,1,0,1,0.2812,0.0625
10,B,A,A,0,0,0,1.0166,1.0615
11,C,A,A,0,0,0,0.6396,0.0156
12,C,B,C,0,1,1,0.1719,0.1406
13,B,A,A,0,0,0,0.5781,0.7031
14,B,A,A,0,0,0,0.624,0.3906
15,C,B,C,0,1,1,0.1562,0.2656
16,B,B,B,1,1,0,0.5459,0.125
17,C,B,C,0,1,1,0.1719,0.2969
18,A,A,A,1,1,0,2.0332,1.9385
19,A,A,A,1,1,0,1.4697,0.9365
20,C,B,C,0,1,1,0.5166,0.3906
21,B,A,A,0,0,0,0.4072,0.0312
22,C,B,C,0,1,1,0.4062,0.6719
23,C,A,A,0,0,0,2.3438,1.4692
24,C,C,C,1,1,0,0.1562,0.8281
25,B,B,A,1,0,1,0.1875,0.6406
26,C,B,C,0,1,1,0.5781,0.3047
27,C,B,C,0,1,1,0.2188,0.4219
28,C,B,C,0,1,1,0.5312,0.125
29,B,B,A,1,0,1,0.0469,0.1172
30,B,A,A,0,0,0,0.0469,0.375
31,B,A,C,0,0,1,0.5156,0.1406
32,B,A,A,0,0,0,0.3594,0.6641
33,B,A,A,0,0,0,0.5,0.2031
34,A,A,A,1,1,0,2.2988,1.5303
35,C,B,C,0,1,1,0.3594,0.0781
36,A,A,A,1,1,0,1.2656,1.9927
37,B,A,A,0,0,0,1.0469,0.6094
38,C,B,C,0,1,1,0.5479,0.4375
39,C,A,A,0,0,0,0.7344,0.5625
40,A,A,A,1,1,0,1.7812,1.0938
41,B,A,A,0,0,0,0.9531,0.6553
42,B,A,A,0,0,0,1.5781,1.8433
43,A,A,A,1,1,0,1.9053,1.5244
44,A,A,A,1,1,0,2.4854,1.3276
45,A,A,A,1,1,0,1.9531,1.5308
46,C,A,C,0,1,1,0.0625,0.0938
47,B,A,A,0,0,0,0.7969,0.8359
48,C,A,A,0,0,0,0.3896,0.0781
49,C,B,C,0,1,1,0.3906,0.3438
50,C,B,C,0,1,1,0.2969,0.5312
51,A,A,A,1,1,0,1.4375,1.5786
52,C,B,A,0,0,1,0.0625,0.0469
53,A,A,A,1,1,0,1.7197,1.3281
54,A,A,A,1,1,0,2.1719,1.8599
55,C,B,A,0,0,1,0.375,0.0
56,A,A,A,1,1,0,2.0459,1.7573
57,C,B,C,0,1,1,0.1719,0.0625
58,C,B,C,0,1,1,0.1875,0.3125
59,A,A,A,1,1,0,1.5459,1.0771
60,A,A,A,1,1,0,2.376,1.7197
61,C,A,C,0,1,1,0.125,0.2656
62,A,A,A,1,1,0,1.9375,1.8291
63,B,A,A,0,0,0,0.3438,0.8428
64,A,A,A,1,1,0,2.375,1.313
65,C,B,A,0,0,1,0.4062,0.0391
66,A,A,A,1,1,0,1.5469,1.0166
67,C,B,B,0,0,0,0.2031,0.0
68,B,A,A,0,0,0,0.2969,0.5938
69,A,A,A,1,1,0,1.7334,1.5464
70,B,A,A,0,0,0,0.3281,0.6875
71,B,A,A,0,0,0,0.1094,0.2344
72,C,B,C,0,1,1,0.2812,0.3594
73,A,A,A,1,1,0,2.1406,1.4141
74,B,A,A,0,0,0,0.9697,1.2026
75,C,A,C,0,1,1,0.2031,0.6094
76,A,A,A,1,1,0,2.3438,1.7495
77,A,A,A,1,1,0,1.2666,1.0464
78,B,B,A,1,0,1,0.0156,0.3125
79,A,A,A,1,1,0,2.0771,1.9224
80,C,B,C,0,1,1,0.0781,0.7969
81,B,A,A,0,0,0,0.75,0.5156
82,B,A,A,0,0,0,0.4072,0.4688
83,A,A,A,1,1,0,1.9385,1.4844
84,A,A,A,1,1,0,1.7959,2.0557
85,A,A,A,1,1,0,1.9072,1.624
86,C,B,C,0,1,1,0.2969,0.6719
87,C,B,C,0,1,1,0.1562,0.3438
88,C,B,C,0,1,1,0.3438,0.4297
89,A,A,A,1,1,0,2.0166,1.0469
90,C,A,A,0,0,0,0.1719,0.0312
91,C,B,C,0,1,1,0.6553,0.4297
92,A,A,A,1,1,0,1.4385,1.1318
93,A,A,A,1,1,0,1.7979,1.2959
94,A,A,A,1,1,0,2.4209,1.7651
95,A,A,A,1,1,0,1.75,1.1558
