idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,4.4062,5.2646
1,A,A,A,1,1,0,3.6725,3.2812
2,B,B,B,1,1,0,0.0625,5.3294
3,C,B,B,0,0,0,5.5454,6.6083
4,C,C,C,1,1,0,6.3273,5.249
5,C,C,C,1,1,0,8.5108,8.7535
6,A,B,B,0,0,0,5.4532,6.8999
7,B,B,B,1,1,0,6.4758,8.0917
8,C,B,B,0,0,0,3.7661,4.4825
9,B,B,B,1,1,0,7.1249,8.1538
10,B,B,B,1,1,0,4.282,6.9612
11,C,B,B,0,0,0,4.1422,4.2665
12,C,B,B,0,0,0,5.314,7.2661
13,B,B,B,1,1,0,7.6806,8.6775
14,B,B,B,1,1,0,3.7965,5.8301
15,C,B,B,0,0,0,1.0779,3.0001
16,B,B,B,1,1,0,5.8887,7.0245
17,C,B,B,0,0,0,6.2483,7.3287
18,A,B,B,0,0,0,3.8286,5.6733
19,A,A,B,1,0,1,2.7654,1.2341
20,C,B,C,0,1,1,0.6096,5.6956
21,B,B,B,1,1,0,5.7751,7.2125
22,C,C,C,1,1,0,5.314,5.5002
23,C,B,B,0,0,0,2.1097,2.2496
24,C,C,C,1,1,0,8.5354,8.5828
25,B,B,B,1,1,0,7.2818,8.1544
26,C,B,B,0,0,0,3.4059,5.313
27,C,C,C,1,1,0,5.6419,6.0934
28,C,B,B,0,0,0,5.7794,6.5555
29,B,B,B,1,1,0,4.702,6.7342
30,B,B,B,1,1,0,5.8764,7.1184
31,B,B,B,1,1,0,5.9779,7.0625
32,B,B,B,1,1,0,5.3298,6.8769
33,B,B,B,1,1,0,6.1083,7.728
34,A,B,B,0,0,0,3.4846,6.3344
35,C,B,B,0,0,0,6.5697,7.2901
36,A,A,B,1,0,1,4.5464,3.9053
37,B,B,B,1,1,0,3.4691,5.4374
38,C,C,C,1,1,0,0.6091,2.8124
39,C,B,C,0,1,1,4.8115,6.2594
40,A,A,A,1,1,0,7.6418,7.4225
41,B,B,B,1,1,0,4.0922,6.3286
42,B,B,B,1,1,0,5.8577,7.4464
43,A,B,B,0,0,0,2.5156,4.5139
44,A,A,A,1,1,0,7.0173,6.2172
45,A,A,B,1,0,1,1.4691,0.0156
46,C,B,B,0,0,0,1.9849,4.2676
47,B,B,B,1,1,0,4.8606,6.4683
48,C,A,B,0,0,1,0.3594,4.7808
49,C,C,B,1,0,1,4.9224,4.8443
50,C,C,C,1,1,0,5.8997,6.8602
51,A,A,A,1,1,0,7.7129,6.9935
52,C,C,C,1,1,0,6.8197,6.9601
53,A,B,B,0,0,0,4.9054,6.5764
54,A,B,B,0,0,0,5.9997,7.506
55,C,B,B,0,0,0,5.3759,5.6701
56,A,B,B,0,0,0,6.1411,7.8969
57,C,B,B,0,0,0,4.3284,4.5779
58,C,B,B,0,0,0,3.9678,5.5635
59,A,B,B,0,0,0,3.8118,5.0151
60,A,A,A,1,1,0,8.2172,7.2559
61,C,B,B,0,0,0,6.1158,7.1252
62,A,B,B,0,0,0,5.1873,6.9075
63,B,B,B,1,1,0,6.8762,8.3032
64,A,A,A,1,1,0,7.3675,6.5854
65,C,B,B,0,0,0,4.9992,5.6322
66,A,B,B,0,0,0,5.1552,7.3141
67,C,B,B,0,0,0,5.7189,6.4989
68,B,B,B,1,1,0,0.8596,4.7511
69,A,A,B,1,0,1,2.4688,2.2025
70,B,A,B,0,1,1,0.7654,4.7341
71,B,B,B,1,1,0,4.4208,6.837
72,C,B,B,0,0,0,5.5171,6.6029
73,A,B,B,0,0,0,4.8288,6.8292
74,B,A,B,0,1,1,0.1406,3.2975
75,C,B,B,0,0,0,4.5783,4.0642
76,A,A,A,1,1,0,5.6426,2.0618
77,A,A,B,1,0,1,0.5935,2.4366
78,B,B,B,1,1,0,5.5642,6.7793
79,A,A,B,1,0,1,3.9695,0.8438
80,C,B,B,0,0,0,2.2971,2.6873
81,B,A,B,0,1,1,2.9679,1.8121
82,B,B,B,1,1,0,6.6004,7.5477
83,A,B,B,0,0,0,6.2343,8.178
84,A,A,A,1,1,0,8.186,8.0531
85,A,B,B,0,0,0,5.5766,7.3418
86,C,B,B,0,0,0,5.4141,6.3504
87,C,B,B,0,0,0,5.439,6.3112
88,C,B,B,0,0,0,4.7171,4.7963
89,A,A,C,1,0,1,4.3892,5.282
90,C,B,B,0,0,0,6.9067,7.5798
91,C,C,C,1,1,0,6.7648,6.0861
92,A,A,A,1,1,0,4.5454,3.2964
93,A,A,A,1,1,0,5.686,0.0625
94,A,B,B,0,0,0,1.3435,5.8117
95,A,A,A,1,1,0,6.1247,3.4372
96,A,B,B,0,0,0,4.8888,5.6113
97,B,B,B,1,1,0,3.4529,6.3436
98,C,C,C,1,1,0,6.7106,7.7825
99,A,A,A,1,1,0,5.0616,2.4689
100,C,C,C,1,1,0,7.452,7.8197
101,A,A,B,1,0,1,0.8435,2.6866
102,A,B,B,0,0,0,3.1879,4.3906
103,C,C,C,1,1,0,9.0901,9.4179
104,C,C,C,1,1,0,5.959,6.0139
105,B,B,B,1,1,0,4.5928,5.3283
106,B,B,B,1,1,0,3.6245,6.0775
107,B,B,B,1,1,0,4.4678,6.2405
108,C,C,C,1,1,0,8.0754,8.7864
109,B,B,B,1,1,0,5.5138,7.3208
110,A,B,B,0,0,0,0.5312,1.6407
111,B,B,B,1,1,0,4.5301,6.2192
112,A,B,B,0,0,0,4.5615,7.166
113,B,B,B,1,1,0,4.4997,4.8917
114,B,B,B,1,1,0,5.8114,7.3998
115,A,A,A,1,1,0,0.7654,4.9549
116,C,C,C,1,1,0,6.6703,6.2824
117,A,B,B,0,0,0,4.671,5.8266
118,A,A,B,1,0,1,4.4052,3.0306
119,A,A,A,1,1,0,3.1103,3.2665
120,B,A,B,0,1,1,2.1875,4.4394
121,C,B,B,0,0,0,4.8904,6.1231
122,B,B,B,1,1,0,6.6487,7.4938
123,C,B,B,0,0,0,6.4597,6.9608
124,B,C,C,0,0,0,7.8822,7.7572
125,A,B,B,0,0,0,5.015,6.7981
126,B,A,A,0,0,0,5.2024,1.9847
127,C,C,C,1,1,0,6.9826,5.8921
128,A,A,B,1,0,1,0.9375,1.2344
129,B,B,B,1,1,0,3.8431,5.188
130,C,B,B,0,0,0,5.6569,5.9205
131,B,B,B,1,1,0,3.2499,5.1549
132,A,B,B,0,0,0,3.3279,4.8126
133,C,B,B,0,0,0,5.6806,7.0161
134,C,B,B,0,0,0,4.4683,4.9072
135,C,B,B,0,0,0,4.8118,6.5233
136,A,B,B,0,0,0,5.9688,5.9826
137,C,C,C,1,1,0,7.822,8.6733
138,A,A,B,1,0,1,5.1733,1.9686
139,B,A,B,0,1,1,1.6403,4.7971
140,A,B,B,0,0,0,4.8598,6.0141
141,A,B,B,0,0,0,2.2495,0.5154
142,B,B,B,1,1,0,3.6406,6.1186
143,B,B,B,1,1,0,5.4065,7.3684
144,C,B,B,0,0,0,4.5609,4.6241
145,C,B,B,0,0,0,4.5459,3.7346
146,A,A,A,1,1,0,5.2985,2.1884
147,C,B,B,0,0,0,4.2827,6.048
148,B,B,B,1,1,0,5.7425,6.3819
149,A,B,B,0,0,0,1.0469,3.4055
150,C,C,C,1,1,0,3.9851,7.0
151,B,B,B,1,1,0,5.7049,7.4906
152,C,C,A,1,0,1,0.969,1.2969
153,B,A,B,0,1,1,3.2961,3.9862
154,C,C,C,1,1,0,7.6547,8.2837
155,B,B,B,1,1,0,6.4991,7.2203
156,C,B,B,0,0,0,5.4673,6.3118
157,A,A,A,1,1,0,5.595,4.7184
158,B,C,B,0,1,1,3.7658,4.4691
159,A,B,B,0,0,0,4.4705,6.0698
160,C,C,C,1,1,0,7.7259,8.4814
161,C,C,C,1,1,0,4.2173,4.9829
162,C,B,B,0,0,0,5.75,6.5295
163,C,C,C,1,1,0,8.5253,9.2298
164,A,B,B,0,0,0,5.8421,7.189
165,A,A,A,1,1,0,7.5951,6.7813
166,C,C,B,1,0,1,1.2188,2.0162
167,C,C,C,1,1,0,2.7337,8.1884
168,B,B,B,1,1,0,4.6565,6.3761
169,A,A,A,1,1,0,2.9843,3.9536
170,C,C,C,1,1,0,2.1097,5.8444
171,A,A,A,1,1,0,0.8433,0.4531
172,C,B,B,0,0,0,5.9514,7.0329
173,A,B,B,0,0,0,3.329,6.345
174,A,A,A,1,1,0,6.5707,5.9208
175,C,C,C,1,1,0,7.836,8.6611
176,B,B,B,1,1,0,4.7356,6.8672
177,A,B,B,0,0,0,4.3914,5.9067
178,B,B,B,1,1,0,1.9532,4.094
179,B,B,B,1,1,0,5.6732,6.8285
180,C,B,B,0,0,0,4.5921,4.9841
181,A,A,A,1,1,0,7.5948,6.4689
182,B,B,B,1,1,0,3.1883,4.2491
183,A,A,B,1,0,1,1.8436,0.2656
184,C,C,B,1,0,1,0.4995,2.4055
185,B,A,A,0,0,0,6.8757,5.626
186,B,B,B,1,1,0,4.9699,7.0714
187,B,B,B,1,1,0,5.5722,6.9212
188,B,B,B,1,1,0,6.4057,8.0534
189,B,B,B,1,1,0,4.8764,6.5395
190,B,B,B,1,1,0,5.3279,6.5557
191,A,B,B,0,0,0,6.5623,7.8299
192,B,B,B,1,1,0,5.3424,6.2121
193,A,A,B,1,0,1,0.3906,5.0147
194,A,A,A,1,1,0,6.1799,5.2352
195,B,B,B,1,1,0,5.8902,8.1941
196,B,A,A,0,0,0,7.1019,6.0452
197,C,C,B,1,0,1,3.0627,1.5312
198,A,B,B,0,0,0,4.7487,6.3968
199,C,B,B,0,0,0,4.4355,6.0462
200,C,C,C,1,1,0,5.2807,5.2954
201,A,B,B,0,0,0,5.2494,6.2653
202,B,B,B,1,1,0,5.671,6.9548
203,A,A,B,1,0,1,1.3127,4.5017
204,B,B,B,1,1,0,4.5328,3.125
205,C,B,B,0,0,0,2.9526,4.6559
206,B,B,B,1,1,0,3.9827,4.986
207,B,A,A,0,0,0,4.7671,3.719
208,B,B,B,1,1,0,5.2342,7.3297
209,A,B,B,0,0,0,5.2339,6.7116
210,A,A,B,1,0,1,0.0156,4.2514
211,B,A,B,0,1,1,0.9062,5.9678
212,C,B,B,0,0,0,3.688,4.3919
213,B,B,B,1,1,0,5.7799,7.0327
214,B,B,B,1,1,0,5.2801,7.267
215,A,B,B,0,0,0,2.3446,2.468
216,A,A,A,1,1,0,3.0786,0.875
217,A,B,B,0,0,0,5.4688,7.7048
218,A,A,B,1,0,1,3.9839,0.2031
219,B,B,B,1,1,0,5.077,7.2507
220,B,B,B,1,1,0,6.8292,8.6004
221,C,C,C,1,1,0,7.1247,7.0389
222,B,B,B,1,1,0,5.7335,7.3496
223,B,B,B,1,1,0,6.0451,7.0466
224,C,B,B,0,0,0,7.2979,8.0686
225,B,B,B,1,1,0,5.3449,7.0798
226,A,B,B,0,0,0,1.8274,1.3125
227,A,B,B,0,0,0,0.6252,4.0018
228,A,B,B,0,0,0,1.8604,5.0793
229,A,B,B,0,0,0,5.046,6.0625
230,B,B,B,1,1,0,0.0938,5.1719
231,B,B,B,1,1,0,6.4372,7.8769
232,C,C,C,1,1,0,6.744,5.8115
233,A,A,B,1,0,1,3.5148,0.9841
234,A,A,A,1,1,0,7.1868,6.5463
235,B,B,B,1,1,0,4.6268,6.3197
236,C,C,C,1,1,0,7.9673,8.2603
237,B,B,B,1,1,0,5.7188,6.633
238,A,B,B,0,0,0,5.7739,6.3662
239,A,B,B,0,0,0,2.515,4.6578
240,C,B,B,0,0,0,6.0559,6.4841
241,C,B,C,0,1,1,3.9828,6.6792
242,B,B,B,1,1,0,0.5466,5.2186
243,A,A,A,1,1,0,4.3274,3.141
244,C,C,C,1,1,0,7.9541,8.3648
245,A,B,B,0,0,0,6.8607,8.2175
246,B,B,B,1,1,0,4.3919,6.0467
247,B,B,B,1,1,0,5.8448,6.5695
248,B,B,B,1,1,0,3.9529,5.8266
249,C,B,B,0,0,0,4.936,5.4212
250,B,B,A,1,0,1,0.8125,0.2031
251,A,B,B,0,0,0,3.9214,3.9218
252,A,B,B,0,0,0,4.0003,4.2204
253,B,B,B,1,1,0,5.2188,6.7824
254,B,B,B,1,1,0,5.9981,6.8292
255,C,B,B,0,0,0,4.4537,4.9855
256,A,B,B,0,0,0,5.0944,7.2429
257,B,B,B,1,1,0,6.5702,7.6419
258,C,B,B,0,0,0,3.8438,5.2646
259,C,B,B,0,0,0,3.8741,4.9834
260,C,C,C,1,1,0,7.7662,7.2415
261,A,B,B,0,0,0,5.4849,5.9211
262,C,C,C,1,1,0,8.3004,8.2448
263,C,B,B,0,0,0,4.3435,5.7203
264,B,B,B,1,1,0,6.6952,8.0604
265,B,B,B,1,1,0,4.3119,5.1893
266,C,B,C,0,1,1,0.4844,5.7191
267,A,A,A,1,1,0,4.4382,1.6879
268,A,A,A,1,1,0,4.7349,2.1875
269,B,B,B,1,1,0,4.4516,6.9385
270,A,B,B,0,0,0,1.2029,6.0305
271,B,B,B,1,1,0,5.5618,6.8275
272,A,A,A,1,1,0,4.2812,1.2815
273,A,A,B,1,0,1,1.9226,0.7339
274,B,B,B,1,1,0,6.264,8.1611
275,A,B,B,0,0,0,4.8276,5.5626
276,A,A,A,1,1,0,1.0154,2.6086
277,C,C,C,1,1,0,2.0312,6.0451
278,C,C,C,1,1,0,8.4187,8.5747
279,B,B,B,1,1,0,3.4531,5.6389
280,C,B,B,0,0,0,5.8691,7.1654
281,C,B,B,0,0,0,3.5152,5.4853
282,B,B,B,1,1,0,5.7671,7.7206
283,C,C,C,1,1,0,6.5484,4.5166
284,C,B,B,0,0,0,5.0457,5.735
285,C,B,B,0,0,0,6.3745,7.1263
286,B,B,B,1,1,0,4.7175,5.8421
287,C,C,C,1,1,0,7.6022,6.7334
288,B,B,B,1,1,0,5.2487,6.7185
289,B,A,B,0,1,1,3.1562,3.7977
290,A,B,B,0,0,0,1.687,6.5559
291,C,B,B,0,0,0,5.3893,6.2041
292,A,B,B,0,0,0,2.125,6.1411
293,A,B,B,0,0,0,2.6103,7.1347
294,C,C,C,1,1,0,7.7179,8.7233
295,B,B,B,1,1,0,4.7029,7.2283
296,B,B,B,1,1,0,4.9537,7.204
297,B,A,B,0,1,1,0.0625,6.4617
298,C,B,B,0,0,0,5.1252,6.4913
299,A,B,B,0,0,0,3.8128,5.0451
