idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,2.2891,3.8809
1,C,A,A,0,0,0,2.3203,3.2266
2,D,A,A,0,0,0,2.5469,3.7969
3,B,A,A,0,0,0,2.3984,4.375
4,B,A,A,0,0,0,2.1641,3.8711
5,B,A,A,0,0,0,1.6016,3.4141
6,C,A,A,0,0,0,1.9414,3.3047
7,A,A,A,1,1,0,2.6289,3.3672
8,C,A,A,0,0,0,2.2109,3.3555
9,C,A,A,0,0,0,2.1445,3.207
10,C,A,A,0,0,0,2.2188,4.1621
11,B,A,A,0,0,0,2.332,4.3027
12,C,A,A,0,0,0,2.4844,4.1367
13,C,A,A,0,0,0,1.6836,3.7656
14,A,A,A,1,1,0,2.1836,3.1484
15,A,A,A,1,1,0,2.6016,4.4375
16,C,A,A,0,0,0,2.8203,4.0352
17,B,A,A,0,0,0,2.1094,4.125
18,B,A,A,0,0,0,2.5195,3.625
19,C,A,A,0,0,0,2.0117,3.2578
20,A,A,A,1,1,0,2.7695,3.9492
21,B,A,A,0,0,0,2.3828,3.7969
22,A,A,A,1,1,0,2.5156,4.2148
23,D,A,A,0,0,0,1.2852,3.2305
24,D,A,A,0,0,0,1.6445,2.7383
25,A,A,A,1,1,0,2.2031,3.2852
26,C,A,A,0,0,0,2.3359,4.3945
27,B,A,A,0,0,0,1.582,3.4414
28,B,A,A,0,0,0,2.2109,3.2383
29,C,A,A,0,0,0,1.9375,3.6094
30,C,A,A,0,0,0,1.6992,3.582
31,A,A,A,1,1,0,2.2383,3.8125
32,D,A,A,0,0,0,3.2578,4.1914
33,B,A,A,0,0,0,2.0469,3.3223
34,C,A,A,0,0,0,2.6406,3.5312
35,B,A,A,0,0,0,2.7305,3.8633
36,D,A,A,0,0,0,0.7422,2.0664
37,B,A,A,0,0,0,2.5078,4.1445
38,D,A,A,0,0,0,1.2383,3.6836
39,C,A,A,0,0,0,2.332,3.9941
40,D,A,A,0,0,0,2.2578,4.0254
41,C,A,A,0,0,0,2.5234,3.9023
42,C,A,A,0,0,0,2.4375,3.5469
43,C,A,A,0,0,0,1.8203,3.3164
44,B,A,A,0,0,0,2.3984,4.2227
45,A,A,A,1,1,0,1.7461,4.1016
46,C,A,A,0,0,0,2.0977,3.5273
47,A,A,A,1,1,0,2.3516,3.75
48,D,A,A,0,0,0,1.8828,3.7559
49,D,A,A,0,0,0,1.7383,3.3125
