idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,0.2891,0.1406
1,A,A,A,1,1,0,0.0,0.2656
2,B,A,A,0,0,0,0.1484,0.1719
3,E,E,E,1,1,0,0.1641,0.2344
4,B,C,B,0,1,1,0.1484,0.3281
5,B,A,A,0,0,0,0.2656,1.2031
6,A,A,A,1,1,0,0.3516,0.6094
7,B,B,B,1,1,0,0.7188,0.6875
8,D,A,D,0,1,1,0.2891,0.875
9,B,A,A,0,0,0,0.0391,0.6875
10,C,D,D,0,0,0,0.1172,0.3594
11,B,B,B,1,1,0,1.2969,0.9219
12,E,A,A,0,0,0,0.3438,0.75
13,B,A,A,0,0,0,0.2734,0.25
14,B,E,F,0,0,1,0.0547,0.3594
15,D,D,D,1,1,0,0.1875,1.0
16,E,E,E,1,1,0,0.3359,0.7812
17,A,B,A,0,1,1,0.0703,0.2188
18,C,A,A,0,0,0,0.3984,0.7656
19,E,B,B,0,0,0,0.375,0.625
20,B,A,B,0,1,1,0.5469,0.2656
21,B,B,A,1,0,1,0.0078,0.0781
22,D,A,A,0,0,0,0.4375,0.1719
23,C,B,C,0,1,1,0.1484,0.2031
24,A,F,F,0,0,0,0.3359,0.4531
25,D,A,A,0,0,0,0.7031,1.3594
26,F,E,A,0,0,1,0.0391,0.2031
27,B,B,B,1,1,0,0.0938,0.5
28,F,B,B,0,0,0,0.9297,1.0469
29,D,E,A,0,0,1,0.3594,0.1406
30,E,B,C,0,0,1,0.0234,0.0
31,C,A,A,0,0,0,0.5938,0.625
32,B,B,B,1,1,0,0.3438,0.4375
33,F,F,F,1,1,0,0.5547,0.7344
34,D,A,D,0,1,1,0.0625,0.0938
35,D,A,A,0,0,0,0.1875,0.4062
36,B,A,A,0,0,0,0.1172,0.375
37,B,B,B,1,1,0,0.1094,0.0469
38,B,A,A,0,0,0,0.1016,0.1406
39,A,F,A,0,1,1,0.0156,0.3438
40,B,B,B,1,1,0,0.3281,0.2969
