idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,1.7266,1.875
1,A,A,A,1,1,0,1.5625,2.1406
2,B,A,A,0,0,0,1.9219,2.0312
3,C,A,A,0,0,0,0.9609,1.1328
4,C,A,A,0,0,0,0.8828,1.1094
5,C,A,A,0,0,0,1.1328,1.2422
6,A,A,A,1,1,0,1.3594,1.9297
7,B,A,A,0,0,0,0.875,1.1953
8,C,A,A,0,0,0,1.4141,1.7812
9,B,A,A,0,0,0,1.6953,1.6406
10,B,A,A,0,0,0,1.1719,1.5234
11,C,A,A,0,0,0,1.1484,1.5859
12,C,A,A,0,0,0,1.5547,2.1953
13,B,A,A,0,0,0,1.5781,1.4688
14,B,A,A,0,0,0,1.5469,1.6719
15,C,A,A,0,0,0,0.5078,1.3438
16,B,A,A,0,0,0,1.2734,1.9531
17,C,A,A,0,0,0,1.0391,1.875
18,A,A,A,1,1,0,1.4297,1.9414
19,A,A,A,1,1,0,1.4844,1.5234
20,C,A,A,0,0,0,1.5859,1.5234
21,B,A,A,0,0,0,1.1484,1.3672
22,C,A,A,0,0,0,1.125,1.8125
23,C,A,A,0,0,0,1.6484,1.8398
24,C,A,A,0,0,0,1.1641,1.5781
25,B,A,A,0,0,0,0.9141,1.0469
26,C,A,A,0,0,0,1.4219,1.9844
27,C,A,A,0,0,0,1.9922,1.9453
28,C,A,A,0,0,0,0.9844,1.4453
29,B,A,A,0,0,0,1.4844,1.7891
30,B,A,A,0,0,0,1.0938,1.1484
31,B,A,A,0,0,0,1.3281,2.1016
32,B,A,A,0,0,0,1.9375,2.0781
33,B,A,A,0,0,0,1.4766,2.1719
34,A,A,A,1,1,0,1.2109,1.8672
35,C,A,A,0,0,0,1.0625,1.3516
36,A,A,A,1,1,0,1.0156,1.9844
37,B,A,A,0,0,0,0.9062,1.3672
38,C,A,A,0,0,0,1.1562,1.5625
39,C,A,A,0,0,0,1.4531,1.7344
