idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,4.4062,4.4066
1,A,A,A,1,1,0,3.6725,5.0782
2,B,B,B,1,1,0,0.0625,4.0317
3,C,B,B,0,0,0,5.5454,5.2669
4,C,C,C,1,1,0,6.3273,5.1387
5,C,C,C,1,1,0,8.5108,8.4398
6,A,B,B,0,0,0,5.4532,5.9213
7,B,B,B,1,1,0,6.4758,6.2331
8,C,B,B,0,0,0,3.7661,3.719
9,B,B,B,1,1,0,7.1249,7.0079
10,B,B,B,1,1,0,4.282,4.6861
11,C,B,B,0,0,0,4.1422,3.907
12,C,B,B,0,0,0,5.314,4.8293
13,B,B,B,1,1,0,7.6806,7.7043
14,B,B,B,1,1,0,3.7965,3.3595
15,C,B,B,0,0,0,1.0779,3.0468
16,B,B,B,1,1,0,5.8887,6.0843
17,C,B,B,0,0,0,6.2483,6.4206
18,A,B,B,0,0,0,3.8286,2.7821
19,A,A,A,1,1,0,2.7654,2.2337
20,C,B,C,0,1,1,0.6096,0.1094
21,B,B,B,1,1,0,5.7751,6.1706
22,C,C,C,1,1,0,5.314,5.7193
23,C,B,B,0,0,0,2.1097,1.1562
24,C,C,C,1,1,0,8.5354,8.614
25,B,B,B,1,1,0,7.2818,7.2975
26,C,B,B,0,0,0,3.4059,3.7497
27,C,C,C,1,1,0,5.6419,5.2987
28,C,B,B,0,0,0,5.7794,5.5638
29,B,B,B,1,1,0,4.702,4.2346
30,B,B,B,1,1,0,5.8764,6.2568
31,B,B,B,1,1,0,5.9779,6.0018
32,B,B,B,1,1,0,5.3298,5.2514
33,B,B,B,1,1,0,6.1083,7.0152
34,A,B,B,0,0,0,3.4846,1.8602
35,C,B,B,0,0,0,6.5697,6.5541
36,A,A,A,1,1,0,4.5464,6.0626
37,B,B,B,1,1,0,3.4691,3.0947
38,C,C,C,1,1,0,0.6091,6.631
39,C,B,B,0,0,0,4.8115,5.4213
40,A,A,A,1,1,0,7.6418,8.4589
41,B,B,B,1,1,0,4.0922,4.4078
42,B,B,B,1,1,0,5.8577,5.3912
43,A,B,B,0,0,0,2.5156,3.4836
44,A,A,A,1,1,0,7.0173,6.9208
45,A,A,A,1,1,0,1.4691,2.3757
46,C,B,B,0,0,0,1.9849,4.3114
47,B,B,B,1,1,0,4.8606,5.4706
48,C,A,A,0,0,0,0.3594,2.1259
49,C,C,C,1,1,0,4.9224,4.4524
50,C,C,C,1,1,0,5.8997,2.4852
51,A,A,A,1,1,0,7.7129,7.8144
52,C,C,C,1,1,0,6.8197,7.1011
53,A,B,B,0,0,0,4.9054,4.5786
54,A,B,B,0,0,0,5.9997,6.4383
55,C,B,B,0,0,0,5.3759,5.686
56,A,B,B,0,0,0,6.1411,6.7985
57,C,B,B,0,0,0,4.3284,3.6404
58,C,B,B,0,0,0,3.9678,4.734
59,A,B,B,0,0,0,3.8118,2.437
60,A,A,A,1,1,0,8.2172,8.3345
61,C,B,B,0,0,0,6.1158,6.0059
62,A,B,B,0,0,0,5.1873,5.0142
63,B,B,B,1,1,0,6.8762,6.4929
64,A,A,A,1,1,0,7.3675,7.6179
65,C,B,B,0,0,0,4.9992,2.3281
66,A,B,B,0,0,0,5.1552,5.5479
67,C,B,B,0,0,0,5.7189,6.6649
68,B,B,A,1,0,1,0.8596,3.2197
69,A,A,A,1,1,0,2.4688,1.7812
