idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,9.0977,7.0273
1,C,C,B,1,0,1,5.2357,1.4058
2,D,D,D,1,1,0,0.75,0.5
3,B,B,B,1,1,0,2.6416,2.2646
4,B,C,C,0,0,0,2.7188,2.0645
5,B,B,B,1,1,0,9.8711,8.3184
6,C,C,C,1,1,0,3.5469,3.4824
7,A,A,A,1,1,0,6.7346,1.9355
8,C,C,C,1,1,0,8.1065,4.3455
9,C,C,C,1,1,0,8.6123,6.2977
10,C,C,C,1,1,0,5.4523,4.6406
11,B,B,B,1,1,0,2.1729,0.4531
12,C,C,C,1,1,0,10.7851,11.394
13,C,C,C,1,1,0,1.1719,1.7192
14,A,D,C,0,0,1,1.2661,1.1255
15,A,A,A,1,1,0,3.8733,3.9669
16,C,C,C,1,1,0,4.5298,3.188
17,B,B,B,1,1,0,7.9407,6.5
18,B,B,B,1,1,0,2.7988,2.0322
19,C,C,C,1,1,0,6.0308,4.3125
20,A,A,A,1,1,0,15.2783,13.8281
21,B,B,B,1,1,0,8.2217,4.0781
22,A,A,A,1,1,0,2.1714,1.377
23,D,D,D,1,1,0,6.3898,3.97
24,D,D,D,1,1,0,9.6592,7.1233
25,A,A,A,1,1,0,5.1875,4.3916
26,C,C,C,1,1,0,1.7495,1.2192
27,B,B,B,1,1,0,4.7642,4.7024
28,B,A,A,0,0,0,0.8125,0.3594
29,C,C,C,1,1,0,8.9236,4.5623
30,C,D,D,0,0,0,2.0625,0.5156
31,A,A,A,1,1,0,1.7036,1.9053
32,D,D,D,1,1,0,3.8433,3.2804
33,B,C,B,0,1,1,0.8438,0.1875
34,C,C,C,1,1,0,4.0779,1.0781
35,B,B,B,1,1,0,1.8755,2.4844
36,D,D,D,1,1,0,1.5,1.6094
37,B,B,C,1,0,1,0.4375,0.4355
38,D,D,D,1,1,0,9.6377,9.8584
39,C,C,C,1,1,0,1.2344,0.8438
40,D,D,D,1,1,0,7.1252,6.3114
41,C,C,C,1,1,0,2.4531,3.7026
42,C,C,C,1,1,0,5.0142,3.3271
43,C,C,C,1,1,0,10.8463,6.2357
44,B,B,B,1,1,0,3.7197,2.6401
45,A,A,A,1,1,0,1.375,1.953
46,C,C,A,1,0,1,1.8281,0.5
47,A,A,D,1,0,1,3.6577,0.4219
48,D,D,D,1,1,0,5.2969,2.0781
49,D,D,D,1,1,0,4.9043,2.9229
50,B,A,A,0,0,0,2.1567,1.7188
51,D,C,A,0,0,1,1.844,1.1104
52,A,A,C,1,0,1,2.1709,0.1855
53,A,A,A,1,1,0,1.1719,1.0938
54,A,C,A,0,1,1,0.4697,0.4375
55,B,B,B,1,1,0,1.9678,1.625
56,C,D,D,0,0,0,1.4844,1.2812
57,B,B,B,1,1,0,5.1074,4.7952
58,B,B,B,1,1,0,4.5952,5.7812
59,D,B,B,0,0,0,1.1406,1.0469
60,B,B,B,1,1,0,1.2344,1.7031
61,B,A,A,0,0,0,1.4053,1.6797
62,C,C,D,1,0,1,0.625,0.5781
63,C,D,A,0,0,1,0.0312,1.251
64,B,B,B,1,1,0,7.0605,5.7539
