idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,0.8711,2.7812
1,A,A,A,1,1,0,0.793,1.9648
2,B,A,A,0,0,0,0.875,2.5625
3,E,A,A,0,0,0,0.7617,1.9375
4,B,A,A,0,0,0,1.0586,2.5586
5,B,A,A,0,0,0,0.4336,2.2109
6,A,A,A,1,1,0,0.6523,2.5469
7,B,A,A,0,0,0,0.8555,2.4688
8,D,A,A,0,0,0,0.9961,1.8555
9,B,A,A,0,0,0,0.9805,2.5938
10,C,A,A,0,0,0,0.7461,2.4531
11,B,A,A,0,0,0,0.6055,2.2031
12,E,A,A,0,0,0,0.6953,2.3398
13,B,A,A,0,0,0,1.0742,2.7969
14,B,A,A,0,0,0,1.1992,2.9375
15,D,A,A,0,0,0,0.7617,1.918
16,E,A,A,0,0,0,1.3242,2.8438
17,A,A,A,1,1,0,0.5586,2.3242
18,C,A,A,0,0,0,0.6523,2.4844
19,E,A,A,0,0,0,1.0898,2.4688
20,B,A,A,0,0,0,0.6719,2.1406
21,B,A,A,0,0,0,0.543,2.0625
22,D,A,A,0,0,0,0.5742,2.1211
23,C,A,A,0,0,0,0.9492,2.9961
24,A,A,A,1,1,0,0.7773,1.9492
25,D,A,A,0,0,0,0.5742,2.0742
26,F,A,A,0,0,0,0.8867,3.2188
27,B,A,A,0,0,0,0.6016,2.3242
28,F,A,A,0,0,0,0.7773,2.7969
29,D,A,A,0,0,0,0.5273,2.2305
30,E,A,A,0,0,0,0.8555,2.5156
31,C,A,A,0,0,0,0.8398,1.9805
32,B,A,A,0,0,0,0.6211,1.9961
33,F,A,A,0,0,0,1.043,2.8438
34,D,A,A,0,0,0,1.2617,2.7656
35,D,A,A,0,0,0,0.9805,2.9023
36,B,A,A,0,0,0,0.5117,2.2461
37,B,A,A,0,0,0,0.8242,2.3086
38,B,A,A,0,0,0,0.8867,2.5273
39,A,A,A,1,1,0,1.0625,3.0938
40,B,A,A,0,0,0,0.9961,2.4648
41,E,A,A,0,0,0,0.9805,2.0469
42,E,A,A,0,0,0,1.3125,2.8906
43,A,A,A,1,1,0,0.6211,2.3086
44,D,A,A,0,0,0,1.043,2.875
45,F,A,A,0,0,0,0.5117,2.2617
46,C,A,A,0,0,0,1.0625,2.4844
47,E,A,A,0,0,0,0.6836,2.25
48,F,A,A,0,0,0,0.9648,2.8125
49,B,A,A,0,0,0,0.6367,2.2188
50,E,A,A,0,0,0,0.9375,2.0469
51,D,A,A,0,0,0,0.6211,2.2188
52,D,A,A,0,0,0,0.543,2.2305
53,B,A,A,0,0,0,0.9648,2.6523
54,A,A,A,1,1,0,0.8398,2.8281
55,C,A,A,0,0,0,0.8242,2.4375
56,A,A,A,1,1,0,1.0117,2.9023
57,A,A,A,1,1,0,0.8086,2.5273
58,F,A,A,0,0,0,0.3555,1.9805
59,D,A,A,0,0,0,0.9023,2.7188
60,E,A,A,0,0,0,1.1406,2.8906
61,B,A,A,0,0,0,0.9648,2.5625
62,D,A,A,0,0,0,0.8867,2.5
63,E,A,A,0,0,0,0.543,1.9062
64,D,A,A,0,0,0,1.0586,2.4805
65,B,A,A,0,0,0,1.0781,3.0938
66,A,A,A,1,1,0,1.1875,2.5938
67,C,A,A,0,0,0,1.2969,3.2031
68,E,A,A,0,0,0,0.5273,2.7656
69,F,A,A,0,0,0,0.8086,2.3867
70,A,A,A,1,1,0,1.2773,3.1094
