idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,4.2949,3.8118
1,A,A,F,1,0,1,1.0303,0.0312
2,B,A,F,0,0,1,0.6719,0.0781
3,E,E,E,1,1,0,0.5312,0.6094
4,B,B,B,1,1,0,0.937,0.8906
5,B,A,A,0,0,0,1.9688,0.8896
6,A,A,A,1,1,0,0.4375,0.0469
7,B,C,C,0,0,0,2.9685,1.1729
8,D,D,D,1,1,0,4.186,2.8442
9,B,A,A,0,0,0,0.2656,0.3281
10,C,A,A,0,0,0,0.4844,1.1094
11,B,D,B,0,1,1,0.1094,0.5781
12,E,A,E,0,1,1,0.1562,0.1719
13,B,C,C,0,0,0,1.6553,1.9385
14,B,B,E,1,0,1,0.4219,0.0625
15,D,D,D,1,1,0,3.0488,1.8438
16,E,E,E,1,1,0,1.5464,2.2966
17,A,E,E,0,0,0,1.2969,1.5635
18,C,A,A,0,0,0,0.1562,0.2334
19,E,E,E,1,1,0,1.6406,1.75
20,B,B,B,1,1,0,2.2949,0.9688
21,B,A,A,0,0,0,3.6709,2.2959
22,D,D,A,1,0,1,0.0625,0.7188
23,C,C,C,1,1,0,3.2817,1.7979
24,A,F,F,0,0,0,3.0938,3.7949
25,D,A,A,0,0,0,1.5933,1.2651
26,F,F,F,1,1,0,2.3604,3.25
27,B,E,D,0,0,1,0.3896,0.2344
28,F,C,C,0,0,0,1.1562,0.3594
29,D,D,F,1,0,1,0.2344,0.0781
30,E,F,F,0,0,0,6.7656,5.6406
31,C,A,A,0,0,0,1.0938,0.7812
32,B,C,C,0,0,0,0.9062,0.2959
33,F,A,A,0,0,0,0.8584,0.1719
34,D,D,D,1,1,0,4.1099,2.6729
35,D,A,A,0,0,0,1.4375,1.4531
36,B,D,D,0,0,0,0.2344,0.3906
37,B,A,A,0,0,0,1.1562,0.1719
38,B,A,E,0,0,1,0.0781,0.2812
39,A,A,A,1,1,0,3.3906,1.9678
40,B,A,A,0,0,0,1.2959,0.8281
41,E,B,F,0,0,1,0.1406,0.8125
42,E,E,E,1,1,0,1.0479,1.5322
43,A,E,E,0,0,0,0.7979,1.4209
44,D,D,D,1,1,0,2.5161,2.2812
45,F,B,B,0,0,0,0.25,0.1562
46,C,A,A,0,0,0,0.9219,0.1719
47,E,D,E,0,1,1,0.0156,0.3135
48,F,F,F,1,1,0,0.0312,0.9839
49,B,D,D,0,0,0,0.9229,0.375
50,E,E,E,1,1,0,1.2349,1.7036
51,D,D,D,1,1,0,3.2649,2.1255
52,D,D,D,1,1,0,1.0146,0.626
53,B,A,A,0,0,0,0.8594,0.7656
54,A,A,A,1,1,0,10.8398,10.6436
