idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,2.0664,1.3711
1,A,A,A,1,1,0,1.4453,0.7891
2,B,A,A,0,0,0,2.2422,1.625
3,C,A,A,0,0,0,1.6328,1.1836
4,C,A,A,0,0,0,1.7773,1.418
5,C,A,A,0,0,0,1.0703,0.9023
6,A,A,A,1,1,0,1.3398,0.9336
7,B,A,A,0,0,0,1.6289,1.1992
8,C,A,A,0,0,0,1.4766,1.0391
9,B,A,A,0,0,0,1.9648,1.3242
10,B,A,A,0,0,0,1.6406,1.0312
11,C,A,A,0,0,0,1.7617,1.1523
12,C,A,A,0,0,0,1.7148,1.3555
13,B,A,A,0,0,0,1.6992,1.168
14,B,A,A,0,0,0,1.5273,1.0742
15,C,A,A,0,0,0,1.5586,1.043
16,B,A,A,0,0,0,1.8867,1.4648
17,C,A,A,0,0,0,1.8867,1.3867
18,A,A,A,1,1,0,1.5859,1.1836
19,A,A,A,1,1,0,1.6406,1.1836
20,C,A,A,0,0,0,2.0781,1.5117
21,B,A,A,0,0,0,1.1172,0.8867
22,C,A,A,0,0,0,1.5234,1.1602
23,C,A,A,0,0,0,2.2148,1.7266
24,C,A,A,0,0,0,1.2422,0.9922
25,B,A,A,0,0,0,1.5742,1.125
26,C,A,A,0,0,0,1.8867,1.3906
27,C,A,A,0,0,0,2.1211,1.4023
28,C,A,A,0,0,0,1.2617,0.9492
29,B,A,A,0,0,0,1.8125,1.293
30,B,A,A,0,0,0,1.4336,1.1836
31,B,A,A,0,0,0,1.7578,1.1797
32,B,A,A,0,0,0,1.9844,1.4844
33,B,A,A,0,0,0,1.7305,1.0898
34,A,A,A,1,1,0,1.6719,1.0742
35,C,A,A,0,0,0,1.1914,0.8555
36,A,A,A,1,1,0,1.4023,1.0859
37,B,A,A,0,0,0,1.1172,0.5703
38,C,A,A,0,0,0,1.793,1.2461
39,C,A,A,0,0,0,1.8828,1.3047
40,A,A,A,1,1,0,1.6953,1.3516
41,B,A,A,0,0,0,1.5586,1.1641
42,B,A,A,0,0,0,2.2305,1.6406
43,A,A,A,1,1,0,1.793,1.2344
44,A,A,A,1,1,0,1.2109,0.9023
45,A,A,A,1,1,0,1.9922,1.2305
46,C,A,A,0,0,0,1.2891,1.043
