idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,9.0977,9.1387
1,C,C,C,1,1,0,5.2357,5.8586
2,D,D,D,1,1,0,0.75,1.0625
3,B,B,B,1,1,0,2.6416,2.4688
4,B,C,C,0,0,0,2.7188,2.7979
5,B,B,B,1,1,0,9.8711,9.9961
6,C,C,C,1,1,0,3.5469,4.0635
7,A,A,A,1,1,0,6.7346,8.7305
8,C,C,C,1,1,0,8.1065,8.5119
9,C,C,C,1,1,0,8.6123,8.5506
10,C,C,C,1,1,0,5.4523,5.5608
11,B,B,B,1,1,0,2.1729,2.1562
12,C,C,C,1,1,0,10.7851,11.156
13,C,C,C,1,1,0,1.1719,1.5156
14,A,D,D,0,0,0,1.2661,1.0146
15,A,A,A,1,1,0,3.8733,4.3442
16,C,C,C,1,1,0,4.5298,4.3599
17,B,B,B,1,1,0,7.9407,8.0002
18,B,B,B,1,1,0,2.7988,3.127
19,C,C,C,1,1,0,6.0308,6.9385
20,A,A,A,1,1,0,15.2783,15.0171
21,B,B,B,1,1,0,8.2217,8.4238
22,A,A,A,1,1,0,2.1714,2.1094
23,D,D,D,1,1,0,6.3898,5.4388
24,D,D,D,1,1,0,9.6592,10.0022
25,A,A,A,1,1,0,5.1875,6.0312
26,C,C,C,1,1,0,1.7495,1.4375
27,B,B,B,1,1,0,4.7642,4.4048
28,B,A,A,0,0,0,0.8125,0.9062
29,C,C,C,1,1,0,8.9236,9.4819
30,C,D,D,0,0,0,2.0625,1.0645
31,A,A,A,1,1,0,1.7036,1.9995
32,D,D,D,1,1,0,3.8433,4.6875
33,B,C,C,0,0,0,0.8438,0.9688
34,C,C,C,1,1,0,4.0779,4.564
35,B,B,B,1,1,0,1.8755,2.187
36,D,D,D,1,1,0,1.5,2.3435
37,B,B,B,1,1,0,0.4375,0.2344
38,D,D,D,1,1,0,9.6377,9.623
39,C,C,C,1,1,0,1.2344,1.0635
40,D,D,D,1,1,0,7.1252,7.8293
41,C,C,C,1,1,0,2.4531,1.8115
42,C,C,C,1,1,0,5.0142,5.2656
43,C,C,C,1,1,0,10.8463,10.8262
44,B,B,B,1,1,0,3.7197,3.6885
45,A,A,A,1,1,0,1.375,1.4541
46,C,C,C,1,1,0,1.8281,3.627
47,A,A,A,1,1,0,3.6577,3.9702
48,D,D,D,1,1,0,5.2969,6.2334
49,D,D,D,1,1,0,4.9043,5.5779
50,B,A,A,0,0,0,2.1567,1.8428
51,D,C,C,0,0,0,1.844,1.6572
52,A,A,A,1,1,0,2.1709,2.4863
53,A,A,A,1,1,0,1.1719,1.3604
54,A,C,C,0,0,0,0.4697,0.1094
55,B,B,B,1,1,0,1.9678,2.0161
56,C,D,D,0,0,0,1.4844,1.5156
57,B,B,B,1,1,0,5.1074,5.2637
58,B,B,B,1,1,0,4.5952,5.2344
59,D,B,B,0,0,0,1.1406,0.9854
60,B,B,B,1,1,0,1.2344,1.2188
61,B,A,A,0,0,0,1.4053,1.5615
62,C,C,C,1,1,0,0.625,0.8911
63,C,D,A,0,0,1,0.0312,0.0781
64,B,B,B,1,1,0,7.0605,6.8896
65,C,C,C,1,1,0,3.6092,3.3125
66,B,B,B,1,1,0,2.3594,2.25
67,C,C,D,1,0,1,0.2812,0.4067
68,A,A,A,1,1,0,9.1438,8.8156
69,D,D,D,1,1,0,10.1084,10.0645
70,C,C,C,1,1,0,13.9834,13.1866
71,C,C,C,1,1,0,5.298,5.2181
72,A,A,A,1,1,0,2.4526,2.8289
73,D,D,D,1,1,0,4.5,6.6719
74,A,C,C,0,0,0,0.6562,0.5469
75,C,A,A,0,0,0,0.1719,0.0781
76,D,D,D,1,1,0,7.9492,7.502
77,A,D,D,0,0,0,0.5957,0.9062
78,B,B,B,1,1,0,5.2197,5.6239
79,D,D,D,1,1,0,11.1086,11.0641
80,B,D,D,0,0,0,0.6875,0.8428
81,A,A,A,1,1,0,12.5792,12.9692
82,A,A,A,1,1,0,10.1279,10.6841
83,B,B,B,1,1,0,1.2188,0.9219
84,C,A,A,0,0,0,0.7188,0.8594
85,C,C,C,1,1,0,5.1099,5.2518
86,A,A,A,1,1,0,9.5942,10.5186
87,C,C,C,1,1,0,8.2618,9.0635
88,D,D,D,1,1,0,0.3281,1.1865
89,C,C,C,1,1,0,2.1562,1.8906
90,D,D,D,1,1,0,11.405,12.1401
91,A,A,A,1,1,0,1.3276,1.437
92,D,A,A,0,0,0,0.75,1.2334
93,A,A,A,1,1,0,0.9229,0.8135
94,A,D,D,0,0,0,0.9219,1.3594
95,D,D,D,1,1,0,9.124,9.873
96,A,A,A,1,1,0,3.9368,4.9988
97,A,A,A,1,1,0,11.7217,11.957
98,B,B,D,1,0,1,0.1094,0.4375
99,C,B,B,0,0,0,5.0762,5.1094
100,A,A,A,1,1,0,1.5947,1.4697
101,D,D,D,1,1,0,1.5005,3.2034
102,B,B,B,1,1,0,6.7495,6.687
103,D,D,D,1,1,0,9.3129,9.3869
104,B,B,B,1,1,0,4.7324,5.4697
105,C,C,C,1,1,0,1.5161,2.3132
106,B,B,B,1,1,0,5.373,5.5322
107,A,A,A,1,1,0,1.25,1.2656
108,B,D,D,0,0,0,5.7041,6.3435
109,C,C,C,1,1,0,5.5956,6.7674
110,D,D,D,1,1,0,11.1577,11.4653
111,A,A,A,1,1,0,4.9985,5.6708
112,B,A,A,0,0,0,1.1406,1.2505
113,D,D,D,1,1,0,8.126,8.5752
114,D,D,D,1,1,0,7.7957,9.046
115,D,D,D,1,1,0,6.5918,6.5771
116,B,B,B,1,1,0,10.127,9.7632
117,A,A,A,1,1,0,9.7202,10.5811
118,C,C,C,1,1,0,4.0762,5.4531
119,A,A,A,1,1,0,0.4067,1.3752
120,A,D,D,0,0,0,8.9722,9.3605
121,B,A,A,0,0,0,2.0942,1.7959
122,C,C,C,1,1,0,8.0924,7.7971
