idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,A,1,0,1,1.8125,0.6504
1,C,C,C,1,1,0,1.7344,0.7422
2,D,A,A,0,0,0,0.3594,2.6641
3,B,D,D,0,0,0,0.8418,0.625
4,B,B,A,1,0,1,1.127,1.5
5,B,B,A,1,0,1,2.3281,0.6953
6,C,C,A,1,0,1,1.2188,3.1016
7,A,A,A,1,1,0,4.2051,3.4824
8,C,C,C,1,1,0,2.5488,1.4902
9,C,C,C,1,1,0,3.3438,1.0488
10,C,C,C,1,1,0,2.3037,1.0547
11,B,B,B,1,1,0,4.1729,2.3184
12,C,C,C,1,1,0,1.6406,0.1016
13,C,C,C,1,1,0,2.5859,0.0078
14,A,A,A,1,1,0,0.375,1.4922
15,A,A,A,1,1,0,1.8594,2.1875
16,C,C,A,1,0,1,2.4688,1.6172
17,B,B,A,1,0,1,1.6074,0.0859
18,B,B,A,1,0,1,2.5312,0.4609
19,C,C,C,1,1,0,1.25,0.2422
20,A,A,A,1,1,0,2.5859,3.8223
21,B,B,A,1,0,1,1.7422,1.2266
22,A,A,A,1,1,0,3.0391,2.7207
23,D,D,D,1,1,0,2.8281,0.834
24,D,D,D,1,1,0,1.8438,0.8438
25,A,A,A,1,1,0,3.7363,2.25
26,C,C,A,1,0,1,2.3135,0.9141
27,B,B,A,1,0,1,0.1641,1.4531
28,B,B,A,1,0,1,1.4355,1.1797
29,C,C,C,1,1,0,2.5996,1.0449
30,C,C,A,1,0,1,2.6387,0.1953
31,A,A,A,1,1,0,2.3906,3.3066
32,D,C,A,0,0,1,0.3516,2.0312
33,B,B,A,1,0,1,1.3828,1.2578
34,C,C,C,1,1,0,2.6465,1.7734
35,B,C,A,0,0,1,1.8574,1.9453
36,D,D,A,1,0,1,1.2969,0.7969
37,B,B,A,1,0,1,0.5,3.0391
38,D,D,A,1,0,1,0.4238,1.1406
39,C,C,A,1,0,1,0.6875,2.2559
40,D,C,D,0,1,1,0.0625,0.2754
41,C,C,A,1,0,1,2.0762,0.8281
42,C,C,C,1,1,0,2.3613,1.1016
43,C,C,C,1,1,0,1.7969,0.7344
44,B,B,B,1,1,0,3.1543,0.9316
45,A,A,A,1,1,0,1.1875,1.8281
46,C,C,C,1,1,0,3.127,1.2559
47,A,A,A,1,1,0,1.5449,3.2109
48,D,D,D,1,1,0,1.2031,0.8672
49,D,A,A,0,0,0,0.1094,0.9844
50,B,A,A,0,0,0,1.0703,2.3281
51,D,D,A,1,0,1,1.5781,1.1543
52,A,A,A,1,1,0,3.0156,3.0645
53,A,A,A,1,1,0,0.5469,0.5
54,A,A,A,1,1,0,0.1328,1.7363
55,B,B,A,1,0,1,2.1426,0.125
56,C,D,D,0,0,0,1.6406,1.5469
57,B,B,A,1,0,1,2.4443,0.6641
58,B,B,A,1,0,1,2.5234,0.9688
59,D,D,A,1,0,1,1.4297,0.2656
60,B,B,B,1,1,0,1.8848,0.9453
61,B,B,A,1,0,1,0.7109,2.0938
62,C,C,C,1,1,0,3.9531,1.8105
63,C,C,A,1,0,1,1.9082,1.5449
64,B,B,A,1,0,1,2.248,1.5859
65,C,C,C,1,1,0,3.0293,1.0078
66,B,B,A,1,0,1,0.2422,1.4531
67,C,C,C,1,1,0,1.1406,0.4766
68,A,A,A,1,1,0,2.6348,3.4219
69,D,D,A,1,0,1,1.6699,0.1797
70,C,C,C,1,1,0,3.6875,1.3848
71,C,C,A,1,0,1,2.4355,0.3203
72,A,A,A,1,1,0,1.5645,1.7988
73,D,D,D,1,1,0,2.6738,1.123
74,A,A,A,1,1,0,0.5156,3.3984
75,C,C,A,1,0,1,0.0312,0.7422
76,D,D,D,1,1,0,1.6484,0.75
77,A,A,A,1,1,0,0.7031,2.2285
78,B,B,B,1,1,0,2.2422,0.7344
79,D,D,A,1,0,1,0.7344,0.7891
80,B,C,A,0,0,1,0.498,1.2266
81,A,A,A,1,1,0,3.0938,3.4375
82,A,A,A,1,1,0,1.9453,2.6543
83,B,B,A,1,0,1,0.375,3.5859
84,C,C,A,1,0,1,2.0488,1.7793
85,C,C,A,1,0,1,2.8438,0.7812
86,A,A,A,1,1,0,2.1074,2.5391
87,C,C,A,1,0,1,1.9766,0.8281
88,D,D,A,1,0,1,0.0938,0.9844
89,C,C,C,1,1,0,2.2812,0.1719
90,D,D,A,1,0,1,0.8438,0.2422
91,A,A,A,1,1,0,1.3906,2.8984
92,D,D,A,1,0,1,0.2344,1.8262
93,A,A,A,1,1,0,2.0176,2.7734
94,A,A,A,1,1,0,1.0156,3.0703
95,D,D,D,1,1,0,1.1406,0.6582
96,A,A,A,1,1,0,1.1074,2.5234
97,A,A,A,1,1,0,2.4238,2.752
98,B,A,A,0,0,0,0.1328,2.9609
99,C,C,A,1,0,1,0.7324,2.3438
100,A,A,A,1,1,0,0.7734,2.623
101,D,C,A,0,0,1,1.0312,1.4922
102,B,B,A,1,0,1,1.4199,0.875
103,D,D,D,1,1,0,2.8027,1.9375
104,B,B,A,1,0,1,1.2578,0.7812
105,C,C,A,1,0,1,2.7441,1.1328
106,B,B,A,1,0,1,2.2344,0.5703
107,A,A,A,1,1,0,1.6895,2.0
108,B,C,A,0,0,1,0.3887,1.0938
109,C,C,C,1,1,0,2.6582,0.8359
110,D,D,D,1,1,0,1.5332,0.3887
111,A,A,A,1,1,0,1.5938,2.6035
112,B,A,A,0,0,0,0.1094,1.3516
113,D,D,D,1,1,0,1.041,0.1641
114,D,D,D,1,1,0,2.7324,1.0566
115,D,D,A,1,0,1,1.1582,0.3047
116,B,B,A,1,0,1,2.3203,0.9688
117,A,A,A,1,1,0,2.9375,2.8262
118,C,C,C,1,1,0,2.6562,1.0156
119,A,A,A,1,1,0,2.5488,2.4043
120,A,A,A,1,1,0,1.0625,0.9219
121,B,A,A,0,0,0,0.3125,2.2422
122,C,C,C,1,1,0,3.123,0.6641
123,A,A,A,1,1,0,3.791,3.6641
124,B,C,A,0,0,1,0.0781,2.9531
125,C,C,C,1,1,0,2.9688,2.1953
126,A,A,A,1,1,0,0.1719,0.2207
127,C,C,C,1,1,0,2.3613,0.1328
128,B,B,A,1,0,1,2.5957,0.4824
129,D,C,A,0,0,1,1.2812,1.0781
130,D,D,A,1,0,1,0.2734,1.6035
131,A,A,A,1,1,0,3.1543,3.6406
132,D,D,A,1,0,1,1.3906,0.7793
133,C,C,A,1,0,1,1.0312,1.4453
134,C,C,A,1,0,1,2.1406,0.2109
135,C,C,A,1,0,1,1.9941,1.0469
136,C,C,A,1,0,1,2.8613,1.2578
137,D,D,D,1,1,0,2.5469,0.5391
138,A,A,A,1,1,0,2.1855,2.0488
139,C,A,A,0,0,0,1.1387,3.4141
140,A,A,A,1,1,0,1.9922,1.7578
141,A,A,A,1,1,0,2.4844,2.0391
142,D,D,A,1,0,1,0.7969,0.9062
143,D,D,D,1,1,0,1.5938,0.5625
144,A,A,A,1,1,0,3.1426,3.5996
145,D,D,A,1,0,1,0.3672,0.1953
146,D,D,D,1,1,0,2.9668,1.6543
147,D,D,D,1,1,0,1.1719,0.6797
148,B,B,A,1,0,1,1.5488,0.4219
149,A,A,A,1,1,0,2.4062,3.1641
150,A,A,A,1,1,0,0.8574,2.6953
151,A,C,A,0,1,1,0.1094,0.7285
152,D,D,A,1,0,1,1.5137,0.1113
153,B,D,A,0,0,1,0.0781,1.0078
154,B,B,B,1,1,0,2.4219,0.2109
155,B,A,A,0,0,0,2.1641,2.7734
156,D,D,A,1,0,1,0.1719,0.0703
157,D,D,A,1,0,1,0.2656,1.1406
158,B,B,A,1,0,1,2.0625,0.3203
