idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,1.2891,0.5771
1,A,A,A,1,1,0,1.3281,0.9697
2,B,A,B,0,1,1,0.5469,0.999
3,C,B,B,0,0,0,0.5781,0.8906
4,C,B,B,0,0,0,0.6094,0.8291
5,C,B,B,0,0,0,0.5781,0.0
6,A,A,A,1,1,0,1.4072,0.4219
7,B,A,B,0,1,1,0.6406,0.7666
8,C,B,B,0,0,0,0.3584,0.751
9,B,B,B,1,1,0,0.2812,0.874
10,B,A,A,0,0,0,1.0166,0.1719
11,C,A,B,0,0,1,0.6396,0.3125
12,C,B,B,0,0,0,0.1719,1.0156
13,B,A,B,0,1,1,0.5781,0.8271
14,B,A,B,0,1,1,0.624,0.8584
15,C,B,C,0,1,1,0.1562,0.4531
16,B,B,B,1,1,0,0.5459,1.438
17,C,B,B,0,0,0,0.1719,1.0146
18,A,A,A,1,1,0,2.0332,0.9219
19,A,A,A,1,1,0,1.4697,0.625
20,C,B,B,0,0,0,0.5166,0.7666
21,B,A,B,0,1,1,0.4072,1.0625
22,C,B,B,0,0,0,0.4062,0.9834
23,C,A,A,0,0,0,2.3438,1.4541
24,C,C,C,1,1,0,0.1562,0.2969
25,B,B,B,1,1,0,0.1875,1.1406
26,C,B,B,0,0,0,0.5781,1.3428
27,C,B,B,0,0,0,0.2188,0.3594
28,C,B,B,0,0,0,0.5312,1.2812
29,B,B,B,1,1,0,0.0469,1.2812
30,B,A,B,0,1,1,0.0469,1.1885
31,B,A,B,0,1,1,0.5156,1.2031
32,B,A,B,0,1,1,0.3594,1.375
33,B,A,B,0,1,1,0.5,0.6553
34,A,A,A,1,1,0,2.2988,1.3291
35,C,B,B,0,0,0,0.3594,1.5303
36,A,A,A,1,1,0,1.2656,0.8438
37,B,A,B,0,1,1,1.0469,0.3906
38,C,B,B,0,0,0,0.5479,0.7666
39,C,A,B,0,0,1,0.7344,0.4385
40,A,A,A,1,1,0,1.7812,0.625
41,B,A,B,0,1,1,0.9531,0.7812
42,B,A,A,0,0,0,1.5781,1.1709
43,A,A,A,1,1,0,1.9053,1.6104
44,A,A,A,1,1,0,2.4854,1.2188
45,A,A,A,1,1,0,1.9531,1.3115
46,C,A,B,0,0,1,0.0625,0.9521
47,B,A,B,0,1,1,0.7969,0.1875
48,C,A,B,0,0,1,0.3896,0.3281
49,C,B,B,0,0,0,0.3906,1.0146
50,C,B,B,0,0,0,0.2969,0.6416
51,A,A,A,1,1,0,1.4375,1.2969
52,C,B,B,0,0,0,0.0625,1.0938
53,A,A,A,1,1,0,1.7197,1.2822
54,A,A,A,1,1,0,2.1719,1.501
55,C,B,B,0,0,0,0.375,0.7188
56,A,A,A,1,1,0,2.0459,1.4053
57,C,B,B,0,0,0,0.1719,0.3438
58,C,B,B,0,0,0,0.1875,0.6709
59,A,A,A,1,1,0,1.5459,0.9521
60,A,A,A,1,1,0,2.376,1.4844
61,C,A,B,0,0,1,0.125,1.2812
62,A,A,A,1,1,0,1.9375,1.2344
63,B,A,B,0,1,1,0.3438,0.5781
64,A,A,A,1,1,0,2.375,1.7031
65,C,B,B,0,0,0,0.4062,0.4062
66,A,A,A,1,1,0,1.5469,0.5928
67,C,B,B,0,0,0,0.2031,0.6572
68,B,A,B,0,1,1,0.2969,1.2334
69,A,A,A,1,1,0,1.7334,1.3115
70,B,A,B,0,1,1,0.3281,0.9229
71,B,A,B,0,1,1,0.1094,0.8594
72,C,B,B,0,0,0,0.2812,0.874
73,A,A,A,1,1,0,2.1406,0.9834
74,B,A,A,0,0,0,0.9697,0.249
75,C,A,B,0,0,1,0.2031,0.2812
76,A,A,A,1,1,0,2.3438,1.5938
77,A,A,A,1,1,0,1.2666,0.4688
78,B,B,B,1,1,0,0.0156,1.3125
79,A,A,A,1,1,0,2.0771,1.625
80,C,B,C,0,1,1,0.0781,0.0625
81,B,A,B,0,1,1,0.75,0.2031
82,B,A,B,0,1,1,0.4072,0.6562
83,A,A,A,1,1,0,1.9385,1.0928
84,A,A,A,1,1,0,1.7959,1.3291
85,A,A,A,1,1,0,1.9072,1.3135
86,C,B,B,0,0,0,0.2969,0.5791
87,C,B,B,0,0,0,0.1562,0.7344
88,C,B,B,0,0,0,0.3438,0.9375
89,A,A,A,1,1,0,2.0166,1.4688
90,C,A,B,0,0,1,0.1719,0.7178
91,C,B,B,0,0,0,0.6553,0.9062
92,A,A,A,1,1,0,1.4385,0.7188
93,A,A,A,1,1,0,1.7979,1.001
94,A,A,A,1,1,0,2.4209,1.999
95,A,A,A,1,1,0,1.75,1.687
96,A,A,A,1,1,0,1.7656,1.0322
97,B,A,A,0,0,0,1.3428,0.1094
98,C,B,B,0,0,0,0.3594,0.6094
99,A,A,A,1,1,0,1.959,1.3594
100,C,B,B,0,0,0,0.25,0.5625
101,A,A,A,1,1,0,2.2021,1.25
102,A,A,A,1,1,0,2.3906,1.7031
103,C,B,B,0,0,0,0.1562,0.0625
104,C,B,B,0,0,0,0.2031,0.3428
105,B,B,B,1,1,0,0.5781,1.2812
106,B,A,B,0,1,1,0.5146,1.1719
107,B,A,B,0,1,1,0.8906,0.5479
108,C,B,B,0,0,0,0.2188,0.3604
109,B,A,B,0,1,1,0.4697,0.7803
110,A,A,A,1,1,0,3.2183,1.8442
111,B,A,A,0,0,0,1.3447,0.3438
112,A,A,A,1,1,0,1.7803,1.3906
113,B,A,B,0,1,1,0.4375,0.7666
114,B,A,A,0,0,0,1.0156,0.0469
115,A,A,A,1,1,0,1.3584,0.6719
116,C,B,B,0,0,0,0.0469,0.3438
117,A,A,A,1,1,0,1.625,0.9365
118,A,A,B,1,0,1,1.2656,0.0781
119,A,A,A,1,1,0,1.8125,0.875
120,B,A,B,0,1,1,0.3438,0.8594
121,C,B,B,0,0,0,0.4375,1.1719
122,B,A,A,0,0,0,1.6084,0.4531
123,C,B,B,0,0,0,0.0938,0.9229
124,B,B,B,1,1,0,0.4219,0.5469
125,A,A,A,1,1,0,2.2656,1.5479
126,B,A,B,0,1,1,0.9229,0.4219
127,C,A,B,0,0,1,0.374,0.2812
128,A,A,A,1,1,0,1.4531,0.9531
129,B,A,A,0,0,0,1.3271,0.2959
130,C,B,B,0,0,0,0.5469,1.25
131,B,A,A,0,0,0,1.4209,0.1875
132,A,A,A,1,1,0,1.999,1.2334
133,C,C,B,1,0,1,0.0312,0.2031
134,C,A,B,0,0,1,0.0,0.8447
135,C,A,A,0,0,0,0.8125,0.125
136,A,A,A,1,1,0,2.4844,1.5469
137,C,C,B,1,0,1,0.0156,0.1406
138,A,A,A,1,1,0,2.4531,1.9209
139,B,A,B,0,1,1,0.2344,0.9219
140,A,A,A,1,1,0,1.5781,1.0635
141,A,A,A,1,1,0,1.4062,1.1406
142,B,B,B,1,1,0,0.0312,1.062
143,B,A,B,0,1,1,0.626,0.4219
144,C,B,B,0,0,0,0.6094,1.1104
145,C,A,B,0,0,1,0.5938,0.7041
146,A,A,A,1,1,0,2.7344,2.0928
147,C,A,B,0,0,1,0.0625,0.4219
148,B,B,B,1,1,0,0.5312,1.6553
149,A,A,A,1,1,0,2.2959,1.249
150,C,B,B,0,0,0,0.0781,1.0479
151,B,B,B,1,1,0,0.125,1.4688
152,C,B,B,0,0,0,0.125,0.3594
153,B,A,B,0,1,1,1.0322,0.2344
154,C,B,B,0,0,0,0.1562,0.0781
155,B,A,B,0,1,1,0.6709,0.2803
156,C,B,B,0,0,0,0.2656,0.375
157,A,A,A,1,1,0,1.9062,1.1562
158,B,A,B,0,1,1,0.125,0.8281
159,A,A,B,1,0,1,1.1875,0.3125
160,C,B,B,0,0,0,0.2812,0.8594
161,C,B,B,0,0,0,0.1094,0.8896
162,C,B,B,0,0,0,0.625,1.5
163,C,B,C,0,1,1,0.0625,0.2188
164,A,A,A,1,1,0,1.4375,0.6562
165,A,A,A,1,1,0,2.4062,1.7812
166,C,B,B,0,0,0,0.3281,1.1562
167,C,B,C,0,1,1,0.1406,0.4219
168,B,A,A,0,0,0,1.3271,0.499
169,A,A,A,1,1,0,2.1719,1.4062
170,C,B,B,0,0,0,0.0781,0.2188
171,A,A,A,1,1,0,1.6875,1.1553
172,C,B,B,0,0,0,0.0469,0.4385
173,A,A,A,1,1,0,1.6094,1.251
174,A,A,A,1,1,0,2.2188,1.4521
175,C,B,B,0,0,0,0.2969,0.25
176,B,A,A,0,0,0,0.9541,0.1885
177,A,A,A,1,1,0,1.7344,0.4531
178,B,A,A,0,0,0,1.2197,0.2344
179,B,B,B,1,1,0,0.25,0.7495
180,C,B,B,0,0,0,0.3125,0.7021
181,A,A,A,1,1,0,2.1729,1.1104
182,B,A,B,0,1,1,0.375,1.3281
183,A,A,A,1,1,0,1.6094,0.8906
184,C,B,B,0,0,0,0.5166,0.6875
185,B,A,A,0,0,0,1.0781,0.5625
186,B,A,B,0,1,1,0.9688,0.4365
187,B,A,B,0,1,1,0.125,1.3291
188,B,A,B,0,1,1,0.0938,0.8271
189,B,A,B,0,1,1,0.4688,0.5947
190,B,A,B,0,1,1,0.0312,0.75
191,A,A,A,1,1,0,1.2646,1.1885
192,B,B,B,1,1,0,0.9834,1.1396
193,A,A,B,1,0,1,0.875,0.25
194,A,A,A,1,1,0,2.2197,1.2656
195,B,B,B,1,1,0,0.0156,0.6562
196,B,A,B,0,1,1,0.375,0.6719
197,C,B,B,0,0,0,0.5,1.3604
198,A,A,A,1,1,0,2.2344,1.5771
199,C,A,B,0,0,1,0.2812,0.7188
200,C,A,B,0,0,1,0.4688,0.3291
201,A,A,A,1,1,0,1.7021,1.1406
202,B,A,B,0,1,1,0.8125,0.5312
203,A,A,A,1,1,0,2.0,1.3135
204,B,A,A,0,0,0,1.1484,0.75
205,C,B,B,0,0,0,0.125,0.2656
206,B,A,B,0,1,1,0.8047,1.0156
207,B,A,B,0,1,1,0.5625,0.7656
208,B,A,A,0,0,0,1.0,0.3906
209,A,A,A,1,1,0,2.3906,1.6719
210,A,A,A,1,1,0,2.5469,1.4219
211,B,A,B,0,1,1,0.4844,0.6553
212,C,A,B,0,0,1,0.1562,0.9365
213,B,A,B,0,1,1,0.249,0.6416
214,B,A,B,0,1,1,0.0,1.3281
215,A,A,A,1,1,0,1.7646,0.9072
216,A,A,A,1,1,0,1.8447,1.3911
217,A,A,B,1,0,1,1.0156,0.1719
218,A,A,A,1,1,0,1.1562,0.125
219,B,A,B,0,1,1,0.7188,0.4375
220,B,A,B,0,1,1,0.2344,1.3906
221,C,B,B,0,0,0,0.0947,0.0625
222,B,A,A,0,0,0,1.376,0.7344
223,B,A,B,0,1,1,0.0469,1.2192
224,C,B,B,0,0,0,0.4375,1.2803
225,B,A,B,0,1,1,0.7178,0.6084
226,A,B,B,0,0,0,0.0938,1.1719
227,A,A,A,1,1,0,2.2969,1.5791
228,A,A,A,1,1,0,2.125,1.4531
229,A,A,A,1,1,0,1.9219,1.0625
230,B,A,A,0,0,0,1.5459,0.4375
231,B,A,B,0,1,1,0.7197,0.5479
232,C,B,B,0,0,0,0.0947,0.3438
233,A,A,A,1,1,0,2.0156,1.625
234,A,A,A,1,1,0,2.125,1.5146
235,B,B,B,1,1,0,0.4678,1.3604
236,C,B,B,0,0,0,0.3906,0.6406
237,B,B,B,1,1,0,0.3438,1.6729
238,A,A,B,1,0,1,0.4844,0.4844
239,A,A,A,1,1,0,1.9854,1.2969
240,C,B,B,0,0,0,0.2656,0.626
241,C,B,B,0,0,0,0.3281,0.876
242,B,A,B,0,1,1,1.0625,0.1094
243,A,A,A,1,1,0,1.626,1.1572
244,C,C,B,1,0,1,0.1562,0.4541
245,A,A,A,1,1,0,2.0547,1.9062
246,B,A,A,0,0,0,1.5928,0.9072
247,B,A,B,0,1,1,0.9365,0.3125
248,B,A,A,0,0,0,1.5781,0.6553
249,C,B,B,0,0,0,0.0938,1.1094
250,B,A,A,0,0,0,1.6328,1.0303
251,A,A,A,1,1,0,2.4062,1.2354
252,A,A,A,1,1,0,1.3916,0.5
253,B,A,B,0,1,1,0.5781,1.0156
254,B,A,B,0,1,1,0.1094,1.374
255,C,A,B,0,0,1,0.2188,0.7969
256,A,A,A,1,1,0,2.4688,2.0781
257,B,A,B,0,1,1,0.625,0.5
258,C,B,B,0,0,0,0.7656,0.6401
259,C,B,C,0,1,1,0.3125,0.0938
260,C,B,B,0,0,0,0.4678,1.0
261,A,A,A,1,1,0,2.4678,1.8281
262,C,B,B,0,0,0,0.6729,0.625
263,C,A,B,0,0,1,0.0469,0.7188
264,B,A,B,0,1,1,1.3291,0.376
265,B,B,B,1,1,0,0.9844,1.1094
266,C,B,B,0,0,0,0.0938,0.2344
267,A,A,A,1,1,0,1.8438,1.1104
268,A,A,A,1,1,0,2.1416,1.249
269,B,A,B,0,1,1,0.4385,0.7959
270,A,A,A,1,1,0,2.0,0.9375
271,B,B,B,1,1,0,0.4688,1.8428
272,A,A,A,1,1,0,1.7041,1.2656
273,A,A,A,1,1,0,1.8193,1.3428
274,B,A,A,0,0,0,1.4053,0.5469
275,A,A,A,1,1,0,1.4844,0.7344
276,A,A,A,1,1,0,2.2354,1.0469
277,C,B,B,0,0,0,0.2656,0.8447
278,C,B,B,0,0,0,1.0938,0.8281
279,B,A,B,0,1,1,0.0156,1.2656
280,C,B,B,0,0,0,0.1406,0.875
281,C,B,B,0,0,0,0.2812,0.7959
282,B,A,B,0,1,1,0.3584,0.9521
283,C,A,B,0,0,1,0.0,0.8428
284,C,A,A,0,0,0,0.9062,0.1406
285,C,B,B,0,0,0,0.4375,0.7041
286,B,A,B,0,1,1,0.2344,1.1865
287,C,C,B,1,0,1,0.0312,0.1562
288,B,A,B,0,1,1,0.9209,0.6406
289,B,A,B,0,1,1,1.2646,0.5625
290,A,A,A,1,1,0,1.5,0.7656
291,C,B,B,0,0,0,0.625,0.8906
292,A,A,A,1,1,0,1.4062,1.1865
293,A,A,A,1,1,0,2.3447,2.2197
294,C,B,B,0,0,0,0.2344,0.7188
295,B,B,B,1,1,0,0.2656,1.2197
296,B,A,B,0,1,1,0.4062,1.5771
297,B,A,B,0,1,1,0.2812,1.0771
298,C,B,B,0,0,0,0.3438,1.0928
299,A,A,A,1,1,0,1.4688,1.0459
