idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,1.2891,0.875
1,A,A,A,1,1,0,1.3281,0.8525
2,B,A,B,0,1,1,0.5469,0.3281
3,C,B,C,0,1,1,0.5781,0.2266
4,C,B,B,0,0,0,0.6094,0.1875
5,C,B,C,0,1,1,0.5781,0.875
6,A,A,A,1,1,0,1.4072,1.1016
7,B,A,A,0,0,0,0.6406,0.1562
8,C,B,B,0,0,0,0.3584,0.0547
9,B,B,C,1,0,1,0.2812,0.2344
10,B,A,A,0,0,0,1.0166,0.0635
11,C,A,A,0,0,0,0.6396,0.5938
12,C,B,B,0,0,0,0.1719,0.0078
13,B,A,A,0,0,0,0.5781,0.6475
14,B,A,A,0,0,0,0.624,0.7588
15,C,B,B,0,0,0,0.1562,0.1875
16,B,B,B,1,1,0,0.5459,0.1875
17,C,B,A,0,0,1,0.1719,0.2168
18,A,A,A,1,1,0,2.0332,1.375
19,A,A,A,1,1,0,1.4697,0.8828
20,C,B,C,0,1,1,0.5166,0.0391
21,B,A,B,0,1,1,0.4072,0.2656
22,C,B,B,0,0,0,0.4062,0.2266
23,C,A,A,0,0,0,2.3438,1.0479
24,C,C,C,1,1,0,0.1562,1.4536
25,B,B,A,1,0,1,0.1875,0.0781
26,C,B,B,0,0,0,0.5781,0.0156
27,C,B,C,0,1,1,0.2188,0.125
28,C,B,B,0,0,0,0.5312,0.4062
29,B,B,B,1,1,0,0.0469,0.915
30,B,A,A,0,0,0,0.0469,0.0156
31,B,A,A,0,0,0,0.5156,0.3906
32,B,A,B,0,1,1,0.3594,0.5156
33,B,A,B,0,1,1,0.5,0.0312
34,A,A,A,1,1,0,2.2988,1.2422
35,C,B,A,0,0,1,0.3594,0.7656
36,A,A,A,1,1,0,1.2656,2.2334
37,B,A,B,0,1,1,1.0469,0.2188
38,C,B,A,0,0,1,0.5479,0.3359
39,C,A,B,0,0,1,0.7344,0.0938
40,A,A,A,1,1,0,1.7812,0.6401
41,B,A,A,0,0,0,0.9531,0.9219
42,B,A,A,0,0,0,1.5781,0.3037
43,A,A,A,1,1,0,1.9053,1.0615
44,A,A,A,1,1,0,2.4854,1.7964
45,A,A,A,1,1,0,1.9531,1.7183
46,C,A,C,0,1,1,0.0625,0.3276
47,B,A,C,0,0,1,0.7969,0.3125
48,C,A,B,0,0,1,0.3896,0.1406
49,C,B,C,0,1,1,0.3906,1.3589
50,C,B,B,0,0,0,0.2969,0.3589
51,A,A,A,1,1,0,1.4375,1.5068
52,C,B,B,0,0,0,0.0625,0.3281
53,A,A,A,1,1,0,1.7197,1.3594
54,A,A,A,1,1,0,2.1719,1.2334
55,C,B,C,0,1,1,0.375,0.4609
56,A,A,A,1,1,0,2.0459,0.5391
57,C,B,C,0,1,1,0.1719,0.4844
58,C,B,C,0,1,1,0.1875,1.0156
59,A,A,A,1,1,0,1.5459,1.6719
60,A,A,A,1,1,0,2.376,2.2334
61,C,A,B,0,0,1,0.125,0.2188
62,A,A,A,1,1,0,1.9375,1.3203
63,B,A,A,0,0,0,0.3438,0.7666
64,A,A,A,1,1,0,2.375,0.6553
65,C,B,B,0,0,0,0.4062,0.0156
66,A,A,A,1,1,0,1.5469,0.5547
67,C,B,A,0,0,1,0.2031,0.4922
68,B,A,A,0,0,0,0.2969,0.2891
69,A,A,A,1,1,0,1.7334,1.1094
70,B,A,B,0,1,1,0.3281,0.1797
71,B,A,B,0,1,1,0.1094,0.9375
72,C,B,C,0,1,1,0.2812,0.0156
73,A,A,A,1,1,0,2.1406,0.9385
74,B,A,A,0,0,0,0.9697,1.1172
75,C,A,C,0,1,1,0.2031,0.3125
76,A,A,A,1,1,0,2.3438,1.2334
77,A,A,A,1,1,0,1.2666,0.1484
78,B,B,A,1,0,1,0.0156,0.5615
79,A,A,A,1,1,0,2.0771,1.8438
80,C,B,C,0,1,1,0.0781,0.3281
81,B,A,B,0,1,1,0.75,0.1562
82,B,A,A,0,0,0,0.4072,0.0625
83,A,A,A,1,1,0,1.9385,1.2266
84,A,A,A,1,1,0,1.7959,1.0928
85,A,A,A,1,1,0,1.9072,1.1719
86,C,B,C,0,1,1,0.2969,0.6724
87,C,B,C,0,1,1,0.1562,0.1719
88,C,B,B,0,0,0,0.3438,0.5942
89,A,A,A,1,1,0,2.0166,0.6094
90,C,A,B,0,0,1,0.1719,0.0781
91,C,B,C,0,1,1,0.6553,0.1406
92,A,A,A,1,1,0,1.4385,0.9141
93,A,A,A,1,1,0,1.7979,0.7891
94,A,A,A,1,1,0,2.4209,0.6328
95,A,A,A,1,1,0,1.75,0.6094
96,A,A,A,1,1,0,1.7656,1.2021
97,B,A,A,0,0,0,1.3428,1.1338
98,C,B,C,0,1,1,0.3594,0.0469
99,A,A,A,1,1,0,1.959,2.0078
100,C,B,C,0,1,1,0.25,0.1719
101,A,A,A,1,1,0,2.2021,0.5625
102,A,A,A,1,1,0,2.3906,1.625
103,C,B,B,0,0,0,0.1562,0.4766
104,C,B,C,0,1,1,0.2031,0.1953
105,B,B,A,1,0,1,0.5781,0.7422
106,B,A,A,0,0,0,0.5146,0.0156
107,B,A,A,0,0,0,0.8906,1.0234
108,C,B,C,0,1,1,0.2188,0.4609
109,B,A,C,0,0,1,0.4697,0.7031
110,A,A,A,1,1,0,3.2183,1.5776
111,B,A,A,0,0,0,1.3447,0.3828
112,A,A,A,1,1,0,1.7803,1.3447
113,B,A,A,0,0,0,0.4375,0.4365
114,B,A,A,0,0,0,1.0156,0.2969
115,A,A,A,1,1,0,1.3584,1.2959
116,C,B,C,0,1,1,0.0469,0.25
117,A,A,A,1,1,0,1.625,0.2344
118,A,A,A,1,1,0,1.2656,0.3047
119,A,A,A,1,1,0,1.8125,0.5391
120,B,A,A,0,0,0,0.3438,0.6797
121,C,B,B,0,0,0,0.4375,0.2969
122,B,A,A,0,0,0,1.6084,0.5938
123,C,B,B,0,0,0,0.0938,0.1328
124,B,B,C,1,0,1,0.4219,0.0312
125,A,A,A,1,1,0,2.2656,0.6484
126,B,A,A,0,0,0,0.9229,0.2422
127,C,A,A,0,0,0,0.374,0.5078
128,A,A,A,1,1,0,1.4531,1.2969
129,B,A,A,0,0,0,1.3271,0.4844
130,C,B,C,0,1,1,0.5469,0.125
131,B,A,A,0,0,0,1.4209,0.4219
132,A,A,A,1,1,0,1.999,1.8281
133,C,C,C,1,1,0,0.0312,0.3281
134,C,A,A,0,0,0,0.0,0.0547
135,C,A,A,0,0,0,0.8125,1.54
136,A,A,A,1,1,0,2.4844,1.5942
137,C,C,A,1,0,1,0.0156,0.6172
138,A,A,A,1,1,0,2.4531,2.1567
139,B,A,A,0,0,0,0.2344,0.9531
140,A,A,A,1,1,0,1.5781,0.7734
141,A,A,A,1,1,0,1.4062,0.5156
142,B,B,B,1,1,0,0.0312,0.0703
143,B,A,B,0,1,1,0.626,0.5312
144,C,B,B,0,0,0,0.6094,0.0469
145,C,A,B,0,0,1,0.5938,0.0781
146,A,A,A,1,1,0,2.7344,1.6719
147,C,A,A,0,0,0,0.0625,0.0156
148,B,B,A,1,0,1,0.5312,1.0771
149,A,A,A,1,1,0,2.2959,1.0161
150,C,B,A,0,0,1,0.0781,0.7109
151,B,B,B,1,1,0,0.125,0.2109
152,C,B,C,0,1,1,0.125,0.0234
153,B,A,A,0,0,0,1.0322,0.8213
154,C,B,C,0,1,1,0.1562,0.6411
155,B,A,B,0,1,1,0.6709,0.1641
156,C,B,B,0,0,0,0.2656,0.3047
157,A,A,A,1,1,0,1.9062,1.0547
158,B,A,A,0,0,0,0.125,0.0391
159,A,A,A,1,1,0,1.1875,0.376
160,C,B,C,0,1,1,0.2812,0.6328
161,C,B,C,0,1,1,0.1094,0.4463
162,C,B,C,0,1,1,0.625,0.2812
163,C,B,C,0,1,1,0.0625,1.1167
164,A,A,A,1,1,0,1.4375,1.3975
165,A,A,A,1,1,0,2.4062,2.3125
166,C,B,B,0,0,0,0.3281,0.0938
167,C,B,C,0,1,1,0.1406,0.9531
168,B,A,A,0,0,0,1.3271,0.6406
169,A,A,A,1,1,0,2.1719,1.6016
170,C,B,C,0,1,1,0.0781,0.5469
171,A,A,A,1,1,0,1.6875,1.0479
172,C,B,C,0,1,1,0.0469,0.375
173,A,A,A,1,1,0,1.6094,1.4849
174,A,A,A,1,1,0,2.2188,1.1406
175,C,B,C,0,1,1,0.2969,0.7344
176,B,A,A,0,0,0,0.9541,1.6318
177,A,A,A,1,1,0,1.7344,0.5312
178,B,A,A,0,0,0,1.2197,0.7344
179,B,B,A,1,0,1,0.25,0.4141
180,C,B,C,0,1,1,0.3125,0.6406
181,A,A,A,1,1,0,2.1729,1.1094
182,B,A,A,0,0,0,0.375,0.8828
183,A,A,A,1,1,0,1.6094,1.4746
184,C,B,C,0,1,1,0.5166,0.2969
185,B,A,A,0,0,0,1.0781,1.1484
186,B,A,A,0,0,0,0.9688,0.0312
187,B,A,B,0,1,1,0.125,0.4531
188,B,A,A,0,0,0,0.0938,0.2031
189,B,A,C,0,0,1,0.4688,0.2656
190,B,A,C,0,0,1,0.0312,0.3276
191,A,A,A,1,1,0,1.2646,1.21
192,B,B,C,1,0,1,0.9834,0.3281
193,A,A,A,1,1,0,0.875,0.2891
194,A,A,A,1,1,0,2.2197,2.3975
195,B,B,A,1,0,1,0.0156,0.4453
196,B,A,B,0,1,1,0.375,0.2734
197,C,B,C,0,1,1,0.5,0.2725
198,A,A,A,1,1,0,2.2344,1.437
199,C,A,C,0,1,1,0.2812,0.5078
200,C,A,C,0,1,1,0.4688,0.0625
201,A,A,A,1,1,0,1.7021,1.0781
202,B,A,C,0,0,1,0.8125,0.0156
203,A,A,A,1,1,0,2.0,1.9688
204,B,A,A,0,0,0,1.1484,0.9375
205,C,B,C,0,1,1,0.125,0.5615
206,B,A,A,0,0,0,0.8047,0.6016
207,B,A,B,0,1,1,0.5625,0.0781
208,B,A,A,0,0,0,1.0,0.2734
209,A,A,A,1,1,0,2.3906,0.0547
210,A,A,A,1,1,0,2.5469,2.2026
211,B,A,A,0,0,0,0.4844,0.5312
212,C,A,B,0,0,1,0.1562,0.2578
213,B,A,C,0,0,1,0.249,0.0859
214,B,A,B,0,1,1,0.0,0.5
215,A,A,A,1,1,0,1.7646,0.999
216,A,A,A,1,1,0,1.8447,1.0703
217,A,A,A,1,1,0,1.0156,0.7197
218,A,A,A,1,1,0,1.1562,0.5859
219,B,A,A,0,0,0,0.7188,0.5161
220,B,A,A,0,0,0,0.2344,0.3047
221,C,B,B,0,0,0,0.0947,0.3125
222,B,A,A,0,0,0,1.376,0.9619
223,B,A,A,0,0,0,0.0469,0.5547
224,C,B,C,0,1,1,0.4375,0.1797
225,B,A,A,0,0,0,0.7178,0.3203
226,A,B,C,0,0,1,0.0938,0.125
227,A,A,A,1,1,0,2.2969,2.0786
228,A,A,A,1,1,0,2.125,1.375
229,A,A,A,1,1,0,1.9219,1.5474
230,B,A,A,0,0,0,1.5459,0.6328
231,B,A,A,0,0,0,0.7197,0.0859
232,C,B,C,0,1,1,0.0947,0.2578
233,A,A,A,1,1,0,2.0156,2.1641
234,A,A,A,1,1,0,2.125,1.6484
235,B,B,B,1,1,0,0.4678,0.0156
236,C,B,B,0,0,0,0.3906,0.2656
237,B,B,A,1,0,1,0.3438,0.0781
