idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,10.8502,10.8655
1,C,C,C,1,1,0,9.5677,9.5211
2,D,D,A,1,0,1,0.5781,0.2812
3,B,D,D,0,0,0,9.4112,8.3402
4,B,B,B,1,1,0,7.6258,7.2883
5,B,B,B,1,1,0,10.4831,10.6319
6,C,C,C,1,1,0,8.7005,9.3412
7,A,A,A,1,1,0,10.9132,11.1243
8,C,C,C,1,1,0,11.2412,11.1706
9,C,C,C,1,1,0,11.1856,10.9937
10,C,C,C,1,1,0,10.9987,10.639
11,B,B,B,1,1,0,11.0146,10.9287
12,C,C,C,1,1,0,9.458,9.545
13,C,C,C,1,1,0,10.011,10.0761
14,A,A,A,1,1,0,1.4219,0.0938
15,A,A,A,1,1,0,10.0665,10.2799
16,C,C,C,1,1,0,8.8568,8.9596
17,B,B,B,1,1,0,9.6831,9.5166
18,B,B,B,1,1,0,10.1542,9.5926
19,C,C,C,1,1,0,10.0058,9.9601
20,A,A,A,1,1,0,10.9052,10.8114
21,B,B,B,1,1,0,11.1704,10.8814
22,A,A,A,1,1,0,10.5286,10.6697
23,D,D,D,1,1,0,10.95,11.0613
24,D,D,D,1,1,0,10.006,9.9677
25,A,A,A,1,1,0,10.2395,10.7413
26,C,C,C,1,1,0,9.5289,9.7804
27,B,B,B,1,1,0,9.6793,9.5206
28,B,B,B,1,1,0,4.923,4.6245
29,C,C,C,1,1,0,11.2957,10.8584
30,C,C,C,1,1,0,10.0489,9.3923
31,A,A,A,1,1,0,11.3117,11.9525
32,D,D,D,1,1,0,9.7414,9.4211
33,B,B,B,1,1,0,5.2964,5.3887
34,C,C,C,1,1,0,10.839,10.3676
35,B,C,C,0,0,0,0.9065,0.0625
36,D,D,D,1,1,0,10.5911,10.6448
37,B,B,B,1,1,0,9.6846,9.313
38,D,D,D,1,1,0,10.9557,10.5971
39,C,B,B,0,0,0,4.1111,4.2657
40,D,C,C,0,0,0,6.3577,6.9078
41,C,C,C,1,1,0,10.5299,10.4427
42,C,C,C,1,1,0,10.0059,10.0452
43,C,C,C,1,1,0,11.3041,10.7243
44,B,B,B,1,1,0,10.4291,9.9292
45,A,A,A,1,1,0,7.4374,7.3973
46,C,C,C,1,1,0,11.0137,8.3135
47,A,A,A,1,1,0,10.2393,9.6995
48,D,D,D,1,1,0,9.0916,8.8031
49,D,D,D,1,1,0,8.2102,7.0303
50,B,A,A,0,0,0,4.2494,4.0775
51,D,D,D,1,1,0,8.1351,8.3475
52,A,A,A,1,1,0,9.5456,9.2335
53,A,A,A,1,1,0,9.919,9.818
54,A,A,A,1,1,0,6.532,7.0799
55,B,B,B,1,1,0,9.7798,9.2801
56,C,C,C,1,1,0,8.9756,9.0141
57,B,B,B,1,1,0,11.2291,10.3834
58,B,B,B,1,1,0,10.2875,10.0303
59,D,D,D,1,1,0,5.4078,7.111
60,B,B,B,1,1,0,8.189,8.0555
61,B,B,B,1,1,0,5.001,3.6401
62,C,C,C,1,1,0,9.9107,9.8873
63,C,C,C,1,1,0,8.8461,9.3057
64,B,B,B,1,1,0,10.074,9.8656
65,C,C,C,1,1,0,9.0455,9.545
66,B,B,B,1,1,0,10.1288,9.3631
67,C,C,C,1,1,0,8.2228,7.5872
68,A,A,A,1,1,0,10.8664,10.4215
69,D,D,D,1,1,0,11.7322,11.4279
70,C,C,C,1,1,0,11.576,11.0301
71,C,C,C,1,1,0,7.3344,8.1698
72,A,A,A,1,1,0,9.4993,6.0939
73,D,D,D,1,1,0,10.4994,10.5231
74,A,B,B,0,0,0,2.1558,0.7036
75,C,C,C,1,1,0,10.46,10.0288
76,D,D,D,1,1,0,10.0455,9.9682
77,A,A,A,1,1,0,8.4581,8.3889
78,B,B,B,1,1,0,10.1232,9.0655
79,D,D,D,1,1,0,9.8879,9.5144
80,B,B,B,1,1,0,5.7028,5.6865
81,A,A,A,1,1,0,11.7101,11.4215
82,A,A,A,1,1,0,10.9757,10.842
83,B,B,B,1,1,0,7.6732,7.1564
84,C,C,C,1,1,0,8.0733,7.7897
85,C,C,C,1,1,0,10.1073,8.464
86,A,A,A,1,1,0,11.0457,11.2924
87,C,C,C,1,1,0,11.4353,11.0036
88,D,D,D,1,1,0,9.6432,9.8964
89,C,C,C,1,1,0,9.4511,9.4134
90,D,D,D,1,1,0,11.0776,10.6403
91,A,A,A,1,1,0,10.444,10.3893
92,D,D,D,1,1,0,1.2031,2.0315
93,A,C,C,0,0,0,5.5794,6.0784
94,A,B,B,0,0,0,2.2347,1.3286
95,D,D,D,1,1,0,10.6472,10.6937
96,A,A,A,1,1,0,10.8584,11.0463
97,A,A,A,1,1,0,11.9127,11.8511
98,B,A,A,0,0,0,8.6001,8.8399
99,C,B,B,0,0,0,5.8765,6.3276
100,A,A,A,1,1,0,8.2326,7.7482
101,D,D,D,1,1,0,8.5218,8.1693
102,B,B,B,1,1,0,10.9506,10.5923
103,D,D,D,1,1,0,10.9638,10.8756
104,B,B,B,1,1,0,10.0918,9.7489
105,C,C,C,1,1,0,11.2361,10.6218
106,B,B,B,1,1,0,10.1062,10.1198
107,A,A,A,1,1,0,6.8887,7.6111
108,B,D,D,0,0,0,6.8752,7.5137
109,C,C,C,1,1,0,11.0773,10.6401
110,D,D,D,1,1,0,10.0046,9.9504
111,A,A,A,1,1,0,9.8506,9.6471
112,B,A,A,0,0,0,0.5,2.0317
113,D,D,D,1,1,0,11.3894,11.0071
114,D,D,D,1,1,0,10.6013,10.781
115,D,D,D,1,1,0,9.072,9.1707
116,B,B,B,1,1,0,11.5527,11.0796
117,A,A,A,1,1,0,11.4988,11.1553
118,C,C,C,1,1,0,10.2558,10.7944
119,A,A,A,1,1,0,10.1453,10.1235
120,A,A,A,1,1,0,5.547,5.36
121,B,A,A,0,0,0,8.4117,7.2654
122,C,C,C,1,1,0,10.2679,10.2541
123,A,A,A,1,1,0,11.2565,11.2643
124,B,B,B,1,1,0,3.0308,3.3584
125,C,C,C,1,1,0,11.7488,10.678
126,A,A,A,1,1,0,11.1762,11.1226
127,C,C,C,1,1,0,10.5129,10.4961
128,B,B,B,1,1,0,11.0382,10.6628
129,D,C,C,0,0,0,8.33,8.4656
130,D,D,D,1,1,0,11.5531,11.0922
131,A,A,A,1,1,0,7.9751,7.9444
132,D,D,D,1,1,0,10.9369,10.6791
133,C,C,C,1,1,0,10.0105,10.3731
134,C,C,C,1,1,0,11.1007,10.9123
135,C,C,C,1,1,0,11.1705,10.9911
136,C,C,C,1,1,0,11.459,11.1152
137,D,D,D,1,1,0,10.9797,10.9106
138,A,A,A,1,1,0,11.7079,11.3419
139,C,C,C,1,1,0,6.1075,5.7014
140,A,A,A,1,1,0,11.6399,11.7418
141,A,A,A,1,1,0,10.1886,10.4978
142,D,D,D,1,1,0,10.035,9.624
143,D,D,D,1,1,0,12.0377,11.8669
144,A,A,A,1,1,0,11.034,10.894
145,D,D,D,1,1,0,11.0507,10.5824
146,D,D,D,1,1,0,9.6163,9.374
147,D,D,D,1,1,0,10.0595,9.4134
148,B,B,B,1,1,0,10.3009,10.7742
149,A,A,A,1,1,0,8.3367,6.9443
150,A,A,A,1,1,0,10.9751,10.9593
151,A,A,A,1,1,0,9.7336,8.9277
152,D,D,D,1,1,0,9.8807,9.7092
153,B,B,B,1,1,0,3.7978,2.2815
154,B,B,B,1,1,0,10.7145,10.3935
155,B,B,B,1,1,0,4.8301,4.7958
156,D,D,D,1,1,0,4.905,5.9219
157,D,C,C,0,0,0,7.1489,7.4863
158,B,B,B,1,1,0,11.3121,10.5304
159,A,A,A,1,1,0,8.9429,9.0371
160,A,A,A,1,1,0,10.5536,10.2961
161,B,B,B,1,1,0,6.7667,7.6033
162,D,D,D,1,1,0,8.3243,7.6792
163,C,C,C,1,1,0,10.5835,10.349
164,B,B,B,1,1,0,9.5605,9.3877
165,C,C,C,1,1,0,7.3515,7.3768
166,A,A,A,1,1,0,6.1423,5.5767
167,D,D,D,1,1,0,11.8579,10.8198
168,C,C,C,1,1,0,7.2571,7.0483
169,A,A,A,1,1,0,10.6934,11.0609
170,C,C,C,1,1,0,10.5673,10.6788
171,B,B,B,1,1,0,9.4359,8.9745
172,A,D,D,0,0,0,3.9225,3.5775
173,B,B,B,1,1,0,7.1573,8.0682
174,B,B,B,1,1,0,10.5773,10.0296
175,B,B,B,1,1,0,9.1477,9.2328
176,C,C,C,1,1,0,9.7476,4.7031
177,C,C,C,1,1,0,10.4973,10.6225
178,B,B,B,1,1,0,10.5844,10.3582
179,B,C,C,0,0,0,10.1576,10.2427
180,B,B,B,1,1,0,9.1789,9.4627
181,B,B,B,1,1,0,6.3609,4.5309
182,B,B,B,1,1,0,9.0274,9.0132
183,C,C,C,1,1,0,4.6886,6.6404
184,D,D,D,1,1,0,11.5028,10.8501
185,B,B,B,1,1,0,9.6779,8.9596
186,C,A,A,0,0,0,10.1578,10.1063
187,D,D,D,1,1,0,10.7105,10.3121
188,D,D,D,1,1,0,7.7033,8.0442
189,D,D,D,1,1,0,9.4871,9.5898
190,D,D,D,1,1,0,9.6865,9.5454
191,B,B,B,1,1,0,10.8433,10.5697
192,B,B,B,1,1,0,10.9049,10.3659
193,C,C,C,1,1,0,10.5318,10.2133
194,D,A,A,0,0,0,4.094,5.1547
195,C,C,C,1,1,0,8.4903,8.4984
196,A,A,A,1,1,0,11.0221,9.8888
