idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,0.3594,1.1406
1,A,A,A,1,1,0,0.0391,1.1172
2,B,A,A,0,0,0,0.3281,1.2578
3,E,A,A,0,0,0,0.3438,1.7109
4,B,A,A,0,0,0,0.7344,1.5625
5,B,A,A,0,0,0,0.2656,1.6719
6,A,E,A,0,1,1,0.0391,1.0938
7,B,A,A,0,0,0,0.0703,1.1719
8,D,A,A,0,0,0,0.4688,1.5938
9,B,A,A,0,0,0,0.2734,1.7344
10,C,A,A,0,0,0,0.4766,1.2969
11,B,A,A,0,0,0,0.3125,1.3438
12,E,A,A,0,0,0,0.1172,1.6191
13,B,A,A,0,0,0,0.4922,1.6562
14,B,A,A,0,0,0,0.3438,1.4531
15,D,A,A,0,0,0,0.2344,1.5625
16,E,A,A,0,0,0,0.4844,1.3203
17,A,E,A,0,1,1,0.0312,1.1797
18,C,A,A,0,0,0,0.6172,1.6016
19,E,A,A,0,0,0,0.9004,1.6016
20,B,A,A,0,0,0,0.3984,1.4844
21,B,A,A,0,0,0,0.2266,1.1875
22,D,A,A,0,0,0,0.2734,1.5625
23,C,A,A,0,0,0,0.5625,1.4531
24,A,E,A,0,1,1,0.0156,1.1406
25,D,A,A,0,0,0,0.3125,1.1719
26,F,A,A,0,0,0,0.2734,1.5703
27,B,A,A,0,0,0,0.1797,1.5723
28,F,A,A,0,0,0,0.1562,1.4375
29,D,A,A,0,0,0,0.3438,1.5234
30,E,A,A,0,0,0,0.2109,1.3594
31,C,A,A,0,0,0,0.2969,1.748
32,B,E,A,0,0,1,0.1797,0.8828
33,F,A,A,0,0,0,0.5312,1.4375
34,D,A,A,0,0,0,0.3281,1.6172
35,D,A,A,0,0,0,0.5156,1.3438
36,B,A,A,0,0,0,0.2969,1.627
37,B,A,A,0,0,0,0.0078,1.1172
38,B,A,A,0,0,0,0.5781,1.5078
39,A,A,A,1,1,0,0.6016,1.5547
40,B,A,A,0,0,0,0.2734,1.3594
41,E,A,A,0,0,0,0.5234,1.5859
42,E,A,A,0,0,0,0.7969,1.8359
43,A,A,A,1,1,0,0.2031,1.3613
44,D,A,A,0,0,0,0.7031,1.5234
45,F,A,A,0,0,0,0.2891,1.5547
46,C,A,A,0,0,0,0.4062,1.4844
47,E,A,A,0,0,0,0.2656,1.3594
48,F,A,A,0,0,0,0.4922,1.6172
49,B,A,A,0,0,0,0.1016,1.1328
50,E,A,A,0,0,0,0.4297,1.6641
51,D,A,A,0,0,0,0.5312,1.4531
52,D,A,A,0,0,0,0.1719,1.3125
53,B,A,A,0,0,0,0.3359,1.7734
54,A,A,A,1,1,0,0.4141,1.2344
55,C,A,A,0,0,0,0.25,1.5312
56,A,A,A,1,1,0,0.4609,1.375
57,A,A,A,1,1,0,0.3281,1.6016
58,F,A,A,0,0,0,0.3594,1.7168
59,D,A,A,0,0,0,0.5234,1.4922
60,E,A,A,0,0,0,0.5938,1.625
61,B,A,A,0,0,0,0.4062,1.3047
62,D,A,A,0,0,0,0.6719,1.3359
63,E,A,A,0,0,0,0.3359,1.3672
64,D,A,A,0,0,0,0.2891,1.3516
65,B,A,A,0,0,0,0.6328,1.6641
66,A,A,A,1,1,0,0.3828,1.5625
67,C,A,A,0,0,0,0.7422,1.9062
68,E,A,A,0,0,0,0.3516,1.7285
69,F,A,A,0,0,0,0.2656,1.4609
70,A,A,A,1,1,0,0.7031,1.3984
71,F,A,A,0,0,0,0.6406,1.6406
72,F,A,A,0,0,0,0.0391,1.0625
73,D,A,A,0,0,0,0.5078,1.4922
74,C,A,A,0,0,0,0.5312,1.5703
75,E,A,A,0,0,0,0.5781,1.3516
76,A,A,A,1,1,0,0.25,1.4141
77,E,A,A,0,0,0,0.4609,1.375
78,F,A,A,0,0,0,0.4453,1.4609
79,A,A,A,1,1,0,0.3594,1.4844
80,E,A,A,0,0,0,0.0391,0.9766
81,E,A,A,0,0,0,0.4453,1.2891
82,B,A,A,0,0,0,0.5547,1.5625
83,B,A,A,0,0,0,0.1094,1.2344
84,A,A,A,1,1,0,0.375,1.5312
85,C,A,A,0,0,0,0.3281,1.3359
86,E,A,A,0,0,0,0.3359,1.1719
87,A,A,A,1,1,0,0.3125,1.4531
88,B,A,A,0,0,0,0.1562,1.2656
89,A,A,A,1,1,0,0.3672,1.6797
90,C,A,A,0,0,0,0.4297,1.5391
91,D,A,A,0,0,0,0.4219,1.4609
92,E,A,A,0,0,0,0.3594,1.3203
93,C,A,A,0,0,0,0.7812,1.6094
94,F,A,A,0,0,0,0.4531,1.3672
95,E,A,A,0,0,0,0.4609,1.6875
96,E,A,A,0,0,0,0.0859,1.4531
97,E,A,A,0,0,0,0.2578,1.2812
98,B,A,A,0,0,0,0.3438,1.6484
99,F,A,A,0,0,0,0.2578,1.3516
100,C,A,A,0,0,0,0.4766,1.5469
101,D,A,A,0,0,0,0.3359,1.6328
102,C,E,A,0,0,1,0.0156,0.8281
103,A,A,A,1,1,0,0.1797,1.1094
104,F,A,A,0,0,0,0.4609,1.3828
105,C,A,A,0,0,0,0.1875,1.4688
106,D,A,A,0,0,0,0.2422,1.5312
107,B,A,A,0,0,0,0.5938,1.4375
108,F,A,A,0,0,0,0.4766,1.5469
109,C,A,A,0,0,0,0.75,1.3906
110,B,A,A,0,0,0,0.5938,1.8438
111,D,A,A,0,0,0,0.4844,1.6094
112,D,A,A,0,0,0,0.7969,1.3906
113,F,A,A,0,0,0,0.6562,1.7891
114,E,A,A,0,0,0,0.4219,1.6328
115,B,A,A,0,0,0,0.2734,1.4531
116,C,A,A,0,0,0,0.3828,1.4688
117,C,A,A,0,0,0,0.0703,0.9375
118,F,A,A,0,0,0,0.1797,1.2734
119,E,A,A,0,0,0,0.3672,1.4375
120,A,A,A,1,1,0,0.4297,1.1797
121,B,A,A,0,0,0,0.375,1.6328
122,E,A,A,0,0,0,0.1016,1.1016
123,E,A,A,0,0,0,0.4062,1.7422
124,B,A,A,0,0,0,0.4453,1.3047
125,B,A,A,0,0,0,0.5,1.4863
126,C,A,A,0,0,0,0.3594,1.25
127,C,A,A,0,0,0,0.4297,1.4453
128,C,A,A,0,0,0,0.3125,1.4453
129,F,A,A,0,0,0,0.3594,1.5938
130,B,A,A,0,0,0,0.7734,1.6172
131,E,A,A,0,0,0,0.5234,1.2656
132,B,A,A,0,0,0,0.7734,1.8359
133,F,A,A,0,0,0,0.5547,1.3828
134,C,A,A,0,0,0,0.3516,1.6172
135,B,A,A,0,0,0,0.2344,1.4609
136,F,A,A,0,0,0,0.1406,1.0859
137,A,A,A,1,1,0,0.5859,1.4141
138,F,A,A,0,0,0,0.4297,1.5
139,E,A,A,0,0,0,0.375,1.4766
140,D,A,A,0,0,0,0.3984,1.4844
141,A,A,A,1,1,0,0.1641,1.3672
142,E,A,A,0,0,0,0.6406,1.5859
143,B,A,A,0,0,0,0.1562,1.3203
144,F,A,A,0,0,0,0.4453,1.5156
145,B,A,A,0,0,0,0.2344,1.0859
146,E,A,A,0,0,0,0.5156,1.4297
147,D,A,A,0,0,0,0.5547,1.625
148,D,A,A,0,0,0,0.2969,1.5332
149,D,A,A,0,0,0,0.5,1.7031
150,A,A,A,1,1,0,0.3203,1.5469
151,B,A,A,0,0,0,0.2031,1.3281
152,A,A,A,1,1,0,0.375,1.625
153,A,A,A,1,1,0,0.5156,1.4297
154,C,A,A,0,0,0,0.2031,1.5156
155,D,A,A,0,0,0,0.4844,1.1797
156,A,A,A,1,1,0,0.875,1.5391
157,D,A,A,0,0,0,0.0234,0.9141
158,B,A,A,0,0,0,0.125,1.6016
159,A,A,A,1,1,0,0.4453,1.6797
160,D,A,A,0,0,0,0.2734,1.1953
161,A,A,A,1,1,0,0.2188,1.3516
162,A,A,A,1,1,0,0.2812,1.2031
163,C,A,A,0,0,0,0.5391,1.6016
164,C,A,A,0,0,0,0.4141,1.625
165,A,A,A,1,1,0,0.4297,1.3594
166,F,A,A,0,0,0,0.3516,1.4609
167,D,A,A,0,0,0,0.6953,1.6406
168,E,A,A,0,0,0,0.2422,1.3672
169,A,A,A,1,1,0,0.8516,1.8828
170,C,A,A,0,0,0,0.3438,1.7109
171,A,A,A,1,1,0,0.2812,1.2109
172,C,A,A,0,0,0,0.0703,1.0938
173,A,A,A,1,1,0,0.375,1.6797
174,A,A,A,1,1,0,0.4297,1.4453
175,B,A,A,0,0,0,0.2891,1.2109
176,B,A,A,0,0,0,0.9062,1.5859
177,A,A,A,1,1,0,0.3828,1.6406
178,E,A,A,0,0,0,0.3594,1.2031
179,A,A,A,1,1,0,0.5234,1.2344
180,D,A,A,0,0,0,0.2344,1.2109
181,B,A,A,0,0,0,0.4062,1.4453
182,F,A,A,0,0,0,0.3984,1.375
183,F,A,A,0,0,0,0.4531,1.5078
184,D,A,A,0,0,0,0.2266,1.3828
185,D,A,A,0,0,0,0.3828,1.4609
186,D,A,A,0,0,0,0.2891,1.6328
187,E,A,A,0,0,0,0.4219,1.4062
188,F,A,A,0,0,0,0.1172,1.2891
189,E,A,A,0,0,0,0.4844,2.0469
190,B,A,A,0,0,0,0.4062,1.6406
191,C,A,A,0,0,0,0.2891,1.5391
192,B,A,A,0,0,0,0.1797,1.1953
193,C,A,A,0,0,0,0.4531,1.6484
194,C,A,A,0,0,0,0.3672,1.7812
195,D,A,A,0,0,0,0.0938,1.0
196,F,A,A,0,0,0,0.5078,1.3125
197,B,A,A,0,0,0,0.2422,1.4219
198,A,A,A,1,1,0,0.7344,1.5391
199,D,A,A,0,0,0,0.4531,1.3828
200,E,A,A,0,0,0,0.1562,1.2344
201,A,A,A,1,1,0,0.4688,1.5859
202,A,A,A,1,1,0,0.0234,0.9375
203,C,A,A,0,0,0,0.5547,1.4531
204,A,A,A,1,1,0,0.6875,1.4141
205,A,A,A,1,1,0,0.2031,1.2812
206,C,A,A,0,0,0,0.6484,1.6543
207,E,A,A,0,0,0,0.5312,1.2734
208,A,A,A,1,1,0,0.5957,1.5879
209,D,A,A,0,0,0,0.5,1.6309
210,B,A,A,0,0,0,0.1875,1.4609
211,E,A,A,0,0,0,0.5469,1.5547
212,F,A,A,0,0,0,0.1016,1.2891
213,C,A,A,0,0,0,0.2422,1.5859
214,B,A,A,0,0,0,0.4141,1.8926
215,F,A,A,0,0,0,0.6094,1.6328
216,D,A,A,0,0,0,0.7578,1.8203
217,D,A,A,0,0,0,0.2188,1.6328
218,D,A,A,0,0,0,0.4922,1.6328
219,D,A,A,0,0,0,0.2734,1.3906
220,E,A,A,0,0,0,0.3281,1.3359
221,A,A,A,1,1,0,0.4531,1.4922
222,A,A,A,1,1,0,0.1562,1.0547
223,F,A,A,0,0,0,0.4844,1.5156
224,F,A,A,0,0,0,0.4609,1.3594
225,E,A,A,0,0,0,0.9766,1.875
226,B,A,A,0,0,0,0.0547,1.3496
227,F,A,A,0,0,0,0.0938,1.3047
228,D,A,A,0,0,0,0.375,1.1875
229,A,A,A,1,1,0,0.5156,1.6875
230,D,A,A,0,0,0,0.8203,2.0234
231,A,A,A,1,1,0,0.625,1.8438
232,B,A,A,0,0,0,0.4062,1.4453
233,F,A,A,0,0,0,0.5156,1.5078
234,E,A,A,0,0,0,0.4609,1.6094
235,C,A,A,0,0,0,0.625,1.4688
236,E,A,A,0,0,0,0.5781,1.4219
237,A,A,A,1,1,0,0.4141,1.4922
238,C,A,A,0,0,0,0.2656,1.3984
239,A,A,A,1,1,0,0.3906,1.4531
240,C,A,A,0,0,0,0.25,1.1094
241,A,A,A,1,1,0,0.7422,1.7891
242,A,A,A,1,1,0,0.3672,1.2969
243,D,A,A,0,0,0,0.2031,1.1562
244,B,A,A,0,0,0,0.2109,1.3594
245,D,A,A,0,0,0,0.5312,1.5781
246,D,A,A,0,0,0,0.7969,1.7031
247,B,A,A,0,0,0,0.5547,1.5391
248,F,A,A,0,0,0,0.1641,1.2969
249,F,A,A,0,0,0,0.2656,1.4219
