idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,2.0664,1.8477
1,A,A,A,1,1,0,1.4453,1.4375
2,B,A,A,0,0,0,2.2422,2.0039
3,C,A,A,0,0,0,1.6328,1.8711
4,C,A,A,0,0,0,1.7773,2.1055
5,C,A,A,0,0,0,1.0703,1.2617
6,A,A,A,1,1,0,1.3398,1.707
7,B,A,A,0,0,0,1.6289,1.9648
8,C,A,A,0,0,0,1.4766,1.6055
9,B,A,A,0,0,0,1.9648,1.8438
10,B,A,A,0,0,0,1.6406,1.8516
11,C,A,A,0,0,0,1.7617,1.4219
12,C,A,A,0,0,0,1.7148,1.5586
13,B,A,A,0,0,0,1.6992,1.7148
14,B,A,A,0,0,0,1.5273,1.7344
15,C,A,A,0,0,0,1.5586,2.0977
16,B,A,A,0,0,0,1.8867,2.0234
17,C,A,A,0,0,0,1.8867,2.0625
18,A,A,A,1,1,0,1.5859,1.6562
19,A,A,A,1,1,0,1.6406,1.957
20,C,A,A,0,0,0,2.0781,1.9414
21,B,A,A,0,0,0,1.1172,1.418
22,C,A,A,0,0,0,1.5234,1.3945
23,C,A,A,0,0,0,2.2148,2.0273
24,C,A,A,0,0,0,1.2422,1.4336
25,B,A,A,0,0,0,1.5742,1.7852
26,C,A,A,0,0,0,1.8867,1.9375
27,C,A,A,0,0,0,2.1211,1.7148
28,C,A,A,0,0,0,1.2617,1.7539
29,B,A,A,0,0,0,1.8125,1.9844
30,B,A,A,0,0,0,1.4336,1.7578
31,B,A,A,0,0,0,1.7578,1.8594
32,B,A,A,0,0,0,1.9844,1.8906
33,B,A,A,0,0,0,1.7305,1.7656
34,A,A,A,1,1,0,1.6719,1.707
35,C,A,A,0,0,0,1.1914,1.6445
36,A,A,A,1,1,0,1.4023,1.6914
37,B,A,A,0,0,0,1.1172,1.4062
38,C,A,A,0,0,0,1.793,1.8867
39,C,A,A,0,0,0,1.8828,1.6523
40,A,A,A,1,1,0,1.6953,1.668
41,B,A,A,0,0,0,1.5586,1.7188
42,B,A,A,0,0,0,2.2305,2.3164
43,A,A,A,1,1,0,1.793,1.6094
