idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,10.0754,10.186
1,A,B,B,0,0,0,7.6559,7.7362
2,B,B,B,1,1,0,5.1893,5.2013
3,E,E,E,1,1,0,5.6232,6.1877
4,B,B,B,1,1,0,4.7505,4.9706
5,B,B,B,1,1,0,2.0623,2.2491
6,A,C,C,0,0,0,1.4685,1.4683
7,B,B,B,1,1,0,12.8906,12.7783
8,D,D,D,1,1,0,12.9853,13.0958
9,B,C,C,0,0,0,0.3438,0.4062
10,C,C,C,1,1,0,1.7809,1.7812
11,B,B,B,1,1,0,14.3261,14.2822
12,E,E,E,1,1,0,2.8909,2.9991
13,B,B,B,1,1,0,1.7195,1.9219
14,B,B,B,1,1,0,11.4554,11.455
15,D,B,B,0,0,0,0.9839,0.7026
16,E,E,E,1,1,0,5.5321,5.4688
17,A,B,B,0,0,0,5.2031,5.1553
18,C,C,C,1,1,0,5.5151,6.0763
19,E,B,B,0,0,0,0.3125,0.1562
20,B,B,B,1,1,0,8.4526,8.7351
21,B,A,A,0,0,0,0.7188,0.8127
22,D,D,D,1,1,0,5.3116,5.4377
23,C,C,C,1,1,0,1.2815,1.313
24,A,F,F,0,0,0,11.7943,11.9035
25,D,A,A,0,0,0,12.6552,12.577
26,F,C,C,0,0,0,4.9057,4.9371
27,B,B,B,1,1,0,3.4527,3.6087
28,F,B,B,0,0,0,8.4535,8.3571
29,D,D,D,1,1,0,2.5318,2.3287
30,E,E,E,1,1,0,4.0165,4.0323
31,C,C,C,1,1,0,1.4062,1.6874
32,B,B,B,1,1,0,4.3293,4.5636
33,F,F,F,1,1,0,2.3131,3.0318
34,D,D,D,1,1,0,8.1992,8.4879
35,D,D,D,1,1,0,1.5935,1.5623
36,B,B,B,1,1,0,2.6085,2.6882
37,B,B,B,1,1,0,7.7353,7.798
38,B,B,B,1,1,0,10.4063,10.3456
39,A,A,A,1,1,0,4.8925,4.8268
40,B,B,B,1,1,0,11.6998,11.7464
41,E,B,B,0,0,0,11.6881,11.4866
42,E,E,E,1,1,0,10.9881,11.2382
43,A,A,A,1,1,0,0.2188,0.2188
44,D,D,D,1,1,0,14.7504,14.6411
45,F,A,A,0,0,0,4.9674,5.1086
46,C,C,C,1,1,0,7.9833,8.3592
47,E,B,B,0,0,0,1.9994,2.1251
48,F,F,F,1,1,0,10.2363,10.3242
49,B,D,D,0,0,0,3.1881,3.2183
50,E,E,E,1,1,0,6.7201,6.9859
51,D,D,D,1,1,0,18.2682,18.3069
52,D,D,D,1,1,0,3.8747,3.8755
53,B,B,B,1,1,0,5.9674,6.1407
54,A,A,A,1,1,0,15.6736,15.7493
55,C,C,C,1,1,0,5.6884,5.9373
56,A,A,A,1,1,0,18.088,18.0887
57,A,B,B,0,0,0,0.3745,0.5005
58,F,F,F,1,1,0,2.4847,2.6566
59,D,D,D,1,1,0,16.2451,16.4182
60,E,E,E,1,1,0,0.125,0.0312
61,B,B,B,1,1,0,4.3925,4.3924
62,D,B,B,0,0,0,0.4375,0.4375
63,E,C,C,0,0,0,15.8459,15.9257
64,D,D,D,1,1,0,9.234,9.6715
65,B,C,C,0,0,0,6.5016,7.0934
66,A,A,A,1,1,0,10.6092,11.1108
67,C,C,C,1,1,0,11.9077,11.8915
68,E,C,C,0,0,0,1.0315,0.844
69,F,F,F,1,1,0,3.6556,3.6875
70,A,A,A,1,1,0,14.9401,15.0498
71,F,B,B,0,0,0,0.4062,0.4849
72,F,F,F,1,1,0,13.1246,13.0157
73,D,F,F,0,0,0,0.125,0.1562
74,C,C,C,1,1,0,14.5033,14.7307
75,E,E,E,1,1,0,6.2043,6.2513
76,A,B,B,0,0,0,5.6557,5.781
77,E,B,B,0,0,0,6.4204,6.2187
78,F,F,F,1,1,0,0.3433,0.313
79,A,B,B,0,0,0,3.0623,3.0632
80,E,B,B,0,0,0,0.9995,1.0312
81,E,E,E,1,1,0,16.5232,17.0753
82,B,B,B,1,1,0,17.7533,17.7253
83,B,B,B,1,1,0,0.8755,0.7505
84,A,A,A,1,1,0,1.1877,1.1255
85,C,D,D,0,0,0,0.688,0.6562
86,E,E,E,1,1,0,8.8423,8.8466
87,A,A,A,1,1,0,17.2182,17.3276
88,B,D,D,0,0,0,1.3752,1.406
89,A,A,A,1,1,0,3.1245,3.0938
90,C,C,C,1,1,0,0.6875,0.7495
91,D,B,B,0,0,0,1.1875,1.3752
92,E,E,E,1,1,0,3.0941,3.5154
93,C,B,B,0,0,0,2.4688,2.8438
