idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,22.6202,22.4041
1,C,C,C,1,1,0,18.6014,18.165
2,D,C,C,0,0,0,13.3451,14.9963
3,B,D,D,0,0,0,8.5033,6.8756
4,B,B,B,1,1,0,15.8433,14.9843
5,B,B,B,1,1,0,19.5519,20.1545
6,C,C,C,1,1,0,11.4058,10.3431
7,A,A,A,1,1,0,20.2264,20.3388
8,C,C,C,1,1,0,21.9558,22.457
9,C,C,C,1,1,0,21.6359,20.4022
10,C,C,C,1,1,0,22.2279,22.889
11,B,B,B,1,1,0,3.1562,7.3425
12,C,C,C,1,1,0,19.0143,17.8743
13,C,C,C,1,1,0,18.5502,19.0781
14,A,B,B,0,0,0,9.6276,10.0618
15,A,A,A,1,1,0,18.126,17.0331
16,C,C,C,1,1,0,16.4584,16.1528
17,B,B,B,1,1,0,22.4187,21.0182
18,B,B,B,1,1,0,21.6584,20.0923
19,C,C,C,1,1,0,19.9713,20.3469
20,A,A,A,1,1,0,15.3884,16.6405
21,B,B,B,1,1,0,22.0597,20.1328
22,A,A,A,1,1,0,15.8265,16.0742
23,D,D,D,1,1,0,22.9055,22.2023
24,D,D,D,1,1,0,14.9385,15.0624
25,A,A,A,1,1,0,19.4101,19.8125
26,C,C,C,1,1,0,16.4052,16.8749
27,B,B,B,1,1,0,14.1387,12.7022
28,B,B,B,1,1,0,2.2196,4.7488
29,C,C,C,1,1,0,22.9485,22.6561
30,C,C,C,1,1,0,17.6143,18.7967
31,A,A,A,1,1,0,19.5033,20.5427
32,D,D,D,1,1,0,14.9494,11.6288
33,B,B,B,1,1,0,18.5307,17.1862
34,C,C,C,1,1,0,21.7709,21.3872
35,B,B,B,1,1,0,5.3419,8.8123
36,D,D,D,1,1,0,21.5738,21.0918
37,B,B,B,1,1,0,0.0933,8.7185
38,D,D,D,1,1,0,17.9326,14.9668
39,C,C,C,1,1,0,11.6441,9.4371
40,D,C,C,0,0,0,2.8443,4.3437
41,C,C,C,1,1,0,19.1763,19.6382
42,C,C,C,1,1,0,20.0585,19.3281
43,C,C,C,1,1,0,21.4527,20.8496
44,B,B,B,1,1,0,17.0757,16.8871
45,A,A,A,1,1,0,9.9529,10.2477
46,C,C,C,1,1,0,21.1495,21.5368
47,A,A,A,1,1,0,17.107,11.1094
48,D,D,D,1,1,0,20.4518,19.265
49,D,D,D,1,1,0,4.9357,7.094
50,B,A,A,0,0,0,8.5781,3.375
51,D,D,D,1,1,0,18.4047,14.7174
52,A,A,A,1,1,0,18.183,14.7325
53,A,B,B,0,0,0,0.562,3.7185
54,A,A,A,1,1,0,5.8767,7.1577
55,B,B,B,1,1,0,19.9937,20.8056
56,C,D,D,0,0,0,17.1777,17.9267
57,B,B,B,1,1,0,19.9211,20.2704
58,B,B,B,1,1,0,22.3163,23.8904
59,D,D,D,1,1,0,18.4511,18.7946
60,B,B,B,1,1,0,19.3781,18.3279
61,B,B,B,1,1,0,19.234,19.3535
62,C,C,C,1,1,0,19.6188,20.6008
63,C,C,C,1,1,0,13.0017,13.7052
64,B,B,B,1,1,0,20.4272,17.4396
65,C,C,C,1,1,0,17.1411,16.1364
66,B,B,B,1,1,0,17.5139,15.4062
67,C,C,C,1,1,0,10.3427,4.4691
68,A,A,A,1,1,0,21.7006,22.6872
69,D,D,D,1,1,0,18.9041,14.4211
70,C,C,C,1,1,0,21.5837,20.7647
71,C,C,C,1,1,0,15.4515,16.453
72,A,A,A,1,1,0,18.465,2.7197
73,D,D,D,1,1,0,15.8127,8.6561
74,A,A,A,1,1,0,3.4382,2.7194
75,C,C,B,1,0,1,1.8741,2.5619
76,D,D,D,1,1,0,20.4195,17.3652
77,A,A,A,1,1,0,11.9366,11.6092
78,B,B,B,1,1,0,20.5347,21.1837
79,D,D,D,1,1,0,16.3976,14.6287
80,B,B,B,1,1,0,3.8121,3.8118
81,A,A,A,1,1,0,21.1118,17.889
82,A,A,A,1,1,0,20.3965,19.3345
83,B,B,B,1,1,0,16.7188,15.6057
84,C,C,C,1,1,0,19.3546,16.2539
85,C,C,C,1,1,0,21.5238,10.3477
86,A,A,A,1,1,0,20.4842,21.7494
87,C,C,C,1,1,0,21.3632,21.2247
88,D,D,D,1,1,0,14.0009,12.082
89,C,C,C,1,1,0,19.9178,19.3404
90,D,D,D,1,1,0,19.2749,19.4531
91,A,A,A,1,1,0,13.4838,14.1872
92,D,A,A,0,0,0,2.5945,3.8443
93,A,A,A,1,1,0,20.6172,20.9272
94,A,A,A,1,1,0,14.2033,14.139
95,D,D,D,1,1,0,23.5102,24.1129
96,A,A,A,1,1,0,20.0837,20.0312
97,A,A,A,1,1,0,20.7961,19.9489
98,B,B,B,1,1,0,6.3452,4.3748
99,C,B,B,0,0,0,13.6867,13.4999
100,A,A,A,1,1,0,15.4663,16.9198
101,D,C,C,0,0,0,5.5619,1.126
102,B,B,B,1,1,0,23.7263,22.9216
103,D,D,D,1,1,0,22.0195,21.8497
104,B,B,B,1,1,0,19.1207,17.2969
105,C,C,C,1,1,0,20.027,20.3704
106,B,B,B,1,1,0,20.729,20.2621
107,A,A,A,1,1,0,12.3734,12.781
108,B,B,D,1,0,1,1.6561,0.9688
109,C,C,C,1,1,0,21.5588,19.9529
110,D,D,D,1,1,0,21.6151,22.0465
111,A,A,A,1,1,0,18.0573,18.7965
112,B,B,B,1,1,0,3.0929,5.001
113,D,D,D,1,1,0,19.7485,20.4062
114,D,D,D,1,1,0,21.3872,21.4669
115,D,D,D,1,1,0,19.7015,19.7799
116,B,B,B,1,1,0,19.0857,17.5486
117,A,A,A,1,1,0,21.3113,20.4024
118,C,C,C,1,1,0,21.5087,17.4777
119,A,A,A,1,1,0,18.2464,17.1875
120,A,D,A,0,1,1,0.2188,0.8435
121,B,A,C,0,0,1,2.2181,0.3442
122,C,C,C,1,1,0,19.7744,19.3437
123,A,A,A,1,1,0,19.5674,19.093
