idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,9.0977,7.9336
1,C,C,C,1,1,0,5.2357,4.7979
2,D,D,D,1,1,0,0.75,0.4062
3,B,B,B,1,1,0,2.6416,2.6719
4,B,C,C,0,0,0,2.7188,2.6875
5,B,B,B,1,1,0,9.8711,9.4219
6,C,C,C,1,1,0,3.5469,4.1548
7,A,A,A,1,1,0,6.7346,8.8628
8,C,C,C,1,1,0,8.1065,7.1856
9,C,C,C,1,1,0,8.6123,7.6875
10,C,C,C,1,1,0,5.4523,5.627
11,B,B,B,1,1,0,2.1729,3.499
12,C,C,C,1,1,0,10.7851,9.6111
13,C,C,C,1,1,0,1.1719,0.7168
14,A,D,D,0,0,0,1.2661,1.0469
15,A,A,A,1,1,0,3.8733,5.687
16,C,C,C,1,1,0,4.5298,3.4082
17,B,B,B,1,1,0,7.9407,6.8442
18,B,B,B,1,1,0,2.7988,3.2637
19,C,C,C,1,1,0,6.0308,4.7363
20,A,A,A,1,1,0,15.2783,13.5449
21,B,B,B,1,1,0,8.2217,7.9668
22,A,A,A,1,1,0,2.1714,4.3911
23,D,D,D,1,1,0,6.3898,4.377
24,D,D,D,1,1,0,9.6592,8.8774
25,A,A,A,1,1,0,5.1875,5.4844
26,C,C,C,1,1,0,1.7495,2.2192
27,B,B,B,1,1,0,4.7642,5.8906
28,B,A,A,0,0,0,0.8125,1.8896
29,C,C,C,1,1,0,8.9236,7.7809
30,C,D,D,0,0,0,2.0625,2.0156
31,A,A,A,1,1,0,1.7036,1.876
32,D,D,D,1,1,0,3.8433,3.4214
33,B,C,B,0,1,1,0.8438,0.0938
34,C,C,C,1,1,0,4.0779,1.3916
35,B,B,B,1,1,0,1.8755,2.7344
36,D,D,D,1,1,0,1.5,2.7969
37,B,B,C,1,0,1,0.4375,0.0469
38,D,D,D,1,1,0,9.6377,8.6387
39,C,C,C,1,1,0,1.2344,1.2959
40,D,D,D,1,1,0,7.1252,6.7827
41,C,C,C,1,1,0,2.4531,2.624
42,C,C,C,1,1,0,5.0142,4.3438
43,C,C,C,1,1,0,10.8463,9.9353
44,B,B,B,1,1,0,3.7197,4.5635
45,A,A,A,1,1,0,1.375,2.3433
46,C,C,C,1,1,0,1.8281,1.5312
47,A,A,A,1,1,0,3.6577,3.8906
