idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,4.2949,2.7666
1,A,A,B,1,0,1,1.0303,0.2812
2,B,A,F,0,0,1,0.6719,0.1094
3,E,E,E,1,1,0,0.5312,0.0625
4,B,B,B,1,1,0,0.937,1.3906
5,B,A,A,0,0,0,1.9688,1.1094
6,A,A,F,1,0,1,0.4375,0.0469
7,B,C,C,0,0,0,2.9685,1.9524
8,D,D,D,1,1,0,4.186,2.0
9,B,A,A,0,0,0,0.2656,0.0
10,C,A,A,0,0,0,0.4844,1.4219
11,B,D,B,0,1,1,0.1094,0.4375
12,E,A,B,0,0,1,0.1562,0.6719
13,B,C,C,0,0,0,1.6553,2.9384
14,B,B,E,1,0,1,0.4219,1.0146
15,D,D,D,1,1,0,3.0488,0.5156
16,E,E,E,1,1,0,1.5464,1.9082
17,A,E,E,0,0,0,1.2969,0.625
18,C,A,A,0,0,0,0.1562,0.9697
19,E,E,E,1,1,0,1.6406,1.3281
20,B,B,B,1,1,0,2.2949,1.4062
21,B,A,A,0,0,0,3.6709,1.6875
22,D,D,A,1,0,1,0.0625,0.2031
23,C,C,C,1,1,0,3.2817,2.5627
24,A,F,F,0,0,0,3.0938,1.2178
25,D,A,A,0,0,0,1.5933,2.874
26,F,F,F,1,1,0,2.3604,2.8135
27,B,E,E,0,0,0,0.3896,1.3281
28,F,C,C,0,0,0,1.1562,0.7959
29,D,D,D,1,1,0,0.2344,0.0781
30,E,F,F,0,0,0,6.7656,3.8752
31,C,A,A,0,0,0,1.0938,1.1113
32,B,C,C,0,0,0,0.9062,1.1562
33,F,A,F,0,1,1,0.8584,0.2656
34,D,D,D,1,1,0,4.1099,3.1416
35,D,A,A,0,0,0,1.4375,1.4531
36,B,D,A,0,0,1,0.2344,0.1875
37,B,A,A,0,0,0,1.1562,0.7188
38,B,A,E,0,0,1,0.0781,0.2812
39,A,A,A,1,1,0,3.3906,1.8594
40,B,A,B,0,1,1,1.2959,0.4072
41,E,B,F,0,0,1,0.1406,0.125
42,E,E,A,1,0,1,1.0479,2.1836
43,A,E,E,0,0,0,0.7979,1.1865
44,D,D,D,1,1,0,2.5161,2.0312
45,F,B,A,0,0,1,0.25,0.6094
46,C,A,A,0,0,0,0.9219,0.1875
47,E,D,E,0,1,1,0.0156,0.2031
48,F,F,F,1,1,0,0.0312,1.9531
49,B,D,D,0,0,0,0.9229,0.2344
50,E,E,B,1,0,1,1.2349,0.1562
51,D,D,D,1,1,0,3.2649,1.4692
52,D,D,D,1,1,0,1.0146,0.6094
53,B,A,A,0,0,0,0.8594,0.1562
54,A,A,A,1,1,0,10.8398,3.063
55,C,D,B,0,0,1,0.2812,2.4375
56,A,A,A,1,1,0,5.8115,6.7354
57,A,A,A,1,1,0,0.249,0.2197
58,F,A,F,0,1,1,0.3594,0.5938
59,D,D,D,1,1,0,2.0791,0.8745
60,E,E,E,1,1,0,8.5923,8.5589
61,B,B,A,1,0,1,0.7031,0.2344
62,D,D,D,1,1,0,0.1875,0.0
63,E,C,C,0,0,0,12.5927,9.2036
64,D,D,D,1,1,0,0.3438,0.9834
65,B,C,C,0,0,0,1.0938,0.9072
66,A,F,F,0,0,0,2.2031,1.7979
67,C,A,A,0,0,0,1.6895,1.5469
68,E,E,E,1,1,0,0.75,1.1719
69,F,F,F,1,1,0,1.2188,1.5308
70,A,A,A,1,1,0,7.3882,6.563
71,F,F,F,1,1,0,1.7344,2.7959
72,F,A,A,0,0,0,2.0,1.4375
73,D,D,D,1,1,0,0.7021,0.1875
74,C,C,C,1,1,0,1.5632,0.1562
75,E,E,E,1,1,0,2.9238,3.0781
76,A,C,C,0,0,0,0.0625,0.2969
77,E,E,E,1,1,0,0.0625,0.6875
78,F,F,F,1,1,0,1.751,2.7344
79,A,B,B,0,0,0,0.3594,0.6089
80,E,E,E,1,1,0,2.0479,1.375
81,E,E,E,1,1,0,5.9858,5.9692
82,B,B,B,1,1,0,6.7021,5.6858
83,B,E,E,0,0,0,1.3438,0.2656
84,A,A,A,1,1,0,3.937,4.0168
85,C,A,A,0,0,0,1.9219,2.5938
86,E,E,E,1,1,0,2.2334,1.8896
87,A,A,A,1,1,0,11.5173,6.5473
88,B,C,A,0,0,1,0.5156,0.1406
89,A,A,A,1,1,0,1.624,2.8291
90,C,D,D,0,0,0,0.1094,0.5
91,D,D,D,1,1,0,0.812,1.4854
92,E,F,F,0,0,0,6.7031,3.2324
93,C,B,F,0,0,1,0.6875,1.4922
94,F,A,A,0,0,0,3.9861,3.5306
95,E,F,F,0,0,0,0.2812,0.2031
96,E,C,F,0,0,1,0.7495,0.6406
97,E,F,F,0,0,0,0.4688,0.625
98,B,A,A,0,0,0,0.4062,0.5
99,F,A,A,0,0,0,1.8438,0.6094
100,C,A,A,0,0,0,0.0312,0.125
