idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,2.1412,0.3589
1,A,A,A,1,1,0,3.7342,1.2971
2,B,A,C,0,0,1,1.2815,0.2812
3,C,A,C,0,1,1,0.0,0.8591
4,C,A,C,0,1,1,0.0625,1.7964
5,C,A,C,0,1,1,0.5005,1.406
6,A,A,B,1,0,1,0.3438,1.1562
7,B,A,A,0,0,0,1.3589,0.0781
8,C,A,A,0,0,0,0.8281,0.1875
9,B,B,B,1,1,0,0.7183,0.2656
10,B,A,C,0,0,1,2.7338,0.0942
11,C,A,C,0,1,1,1.1719,0.75
12,C,A,C,0,1,1,0.6724,0.812
13,B,A,A,0,0,0,1.1094,0.5317
14,B,A,A,0,0,0,2.0006,0.0312
15,C,A,B,0,0,1,0.9841,0.0781
16,B,A,A,0,0,0,2.5321,1.0
17,C,A,C,0,1,1,0.3599,1.0005
18,A,A,A,1,1,0,2.9681,0.5625
19,A,A,A,1,1,0,2.5788,1.4065
20,C,A,C,0,1,1,0.437,1.1877
21,B,A,A,0,0,0,1.5942,0.2031
22,C,C,C,1,1,0,0.0938,1.1716
23,C,A,C,0,1,1,0.4375,0.6714
24,C,C,C,1,1,0,0.4844,2.3445
25,B,A,C,0,0,1,1.4688,0.1875
26,C,A,C,0,1,1,0.3901,1.0935
27,C,A,C,0,1,1,1.4373,0.9065
28,C,A,C,0,1,1,0.5312,0.2188
29,B,A,A,0,0,0,0.9214,0.0469
30,B,A,C,0,0,1,0.1406,0.0625
31,B,A,B,0,1,1,0.5938,0.0312
32,B,A,A,0,0,0,3.3898,1.0938
33,B,A,B,0,1,1,0.9531,0.7183
34,A,A,A,1,1,0,3.2338,0.5
35,C,A,C,0,1,1,1.1245,0.3442
36,A,A,A,1,1,0,4.3898,1.1558
37,B,A,A,0,0,0,1.281,0.0469
38,C,C,C,1,1,0,0.8281,1.4996
39,C,A,C,0,1,1,1.6404,1.1409
