idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,1.7266,1.2266
1,A,A,A,1,1,0,1.5625,0.8438
2,B,A,A,0,0,0,1.9219,1.0
3,C,A,A,0,0,0,0.9609,0.8359
4,C,A,A,0,0,0,0.8828,0.7188
5,C,A,A,0,0,0,1.1328,0.6094
6,A,A,A,1,1,0,1.3594,1.0781
7,B,A,A,0,0,0,0.875,0.875
8,C,A,A,0,0,0,1.4141,0.8359
9,B,A,A,0,0,0,1.6953,0.4219
10,B,A,A,0,0,0,1.1719,0.3984
11,C,A,A,0,0,0,1.1484,0.75
12,C,A,A,0,0,0,1.5547,1.4609
13,B,A,A,0,0,0,1.5781,0.375
14,B,A,A,0,0,0,1.5469,0.6094
15,C,A,A,0,0,0,0.5078,0.375
16,B,A,A,0,0,0,1.2734,0.9297
17,C,A,A,0,0,0,1.0391,1.1289
18,A,A,A,1,1,0,1.4297,1.2578
19,A,A,A,1,1,0,1.4844,1.1016
20,C,A,A,0,0,0,1.5859,1.0098
21,B,A,A,0,0,0,1.1484,0.6094
22,C,A,A,0,0,0,1.125,0.7266
23,C,A,A,0,0,0,1.6484,1.1484
24,C,A,A,0,0,0,1.1641,0.8594
25,B,A,A,0,0,0,0.9141,1.1016
26,C,A,A,0,0,0,1.4219,1.0234
27,C,A,A,0,0,0,1.9922,0.8828
28,C,A,A,0,0,0,0.9844,0.7188
29,B,A,A,0,0,0,1.4844,0.6328
30,B,A,A,0,0,0,1.0938,1.123
31,B,A,A,0,0,0,1.3281,1.0391
32,B,A,A,0,0,0,1.9375,1.5938
33,B,A,A,0,0,0,1.4766,0.9219
34,A,A,A,1,1,0,1.2109,0.6797
35,C,A,A,0,0,0,1.0625,1.0
36,A,A,A,1,1,0,1.0156,1.1875
37,B,A,A,0,0,0,0.9062,0.6094
38,C,A,A,0,0,0,1.1562,0.7031
39,C,A,A,0,0,0,1.4531,0.9609
40,A,A,A,1,1,0,1.1328,1.0312
41,B,A,A,0,0,0,1.0078,1.0938
42,B,A,A,0,0,0,1.1953,1.0312
43,A,A,A,1,1,0,1.4219,0.7734
44,A,A,A,1,1,0,0.9219,0.8438
45,A,A,A,1,1,0,1.5156,0.7656
46,C,A,A,0,0,0,0.9141,0.8535
47,B,A,A,0,0,0,1.4688,1.2344
48,C,A,A,0,0,0,1.9766,1.1719
49,C,A,A,0,0,0,1.1484,1.0547
50,C,A,A,0,0,0,1.8828,0.8047
51,A,A,A,1,1,0,1.3047,1.0703
52,C,A,A,0,0,0,1.7656,1.0684
53,A,A,A,1,1,0,1.2344,1.0078
54,A,A,A,1,1,0,1.0078,1.0234
55,C,A,A,0,0,0,1.625,0.6562
56,A,A,A,1,1,0,1.2812,1.1582
57,C,A,A,0,0,0,1.3438,0.5781
58,C,A,A,0,0,0,1.4922,1.0703
59,A,A,A,1,1,0,1.0938,0.7188
60,A,A,A,1,1,0,1.6406,1.0859
61,C,A,A,0,0,0,0.8281,0.7031
62,A,A,A,1,1,0,1.1484,1.3379
63,B,A,A,0,0,0,0.9766,1.1641
64,A,A,A,1,1,0,1.5469,0.875
65,C,A,A,0,0,0,1.5391,0.6016
66,A,A,A,1,1,0,1.25,1.3125
67,C,A,A,0,0,0,1.9062,1.2422
68,B,A,A,0,0,0,0.6172,0.9863
69,A,A,A,1,1,0,1.5,1.0625
70,B,A,A,0,0,0,1.5,1.2246
71,B,A,A,0,0,0,1.625,1.1328
72,C,A,A,0,0,0,1.7734,0.7422
73,A,A,A,1,1,0,1.1328,0.9434
74,B,A,A,0,0,0,1.0469,0.8906
75,C,A,A,0,0,0,1.4844,0.9844
76,A,A,A,1,1,0,1.2266,0.9766
77,A,A,A,1,1,0,1.5938,1.5645
