idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,1.7266,2.1328
1,A,A,A,1,1,0,1.5625,1.8125
2,B,A,A,0,0,0,1.9219,2.1719
3,C,A,A,0,0,0,0.9609,1.6953
4,C,A,A,0,0,0,0.8828,1.7422
5,C,A,A,0,0,0,1.1328,1.4141
6,A,A,A,1,1,0,1.3594,1.7266
7,B,A,A,0,0,0,0.875,1.7109
8,C,A,A,0,0,0,1.4141,1.75
9,B,A,A,0,0,0,1.6953,1.8828
10,B,A,A,0,0,0,1.1719,1.5391
11,C,A,A,0,0,0,1.1484,1.5156
12,C,A,A,0,0,0,1.5547,1.9453
13,B,A,A,0,0,0,1.5781,1.9688
14,B,A,A,0,0,0,1.5469,2.0391
15,C,A,A,0,0,0,0.5078,1.1719
16,B,A,A,0,0,0,1.2734,1.8125
17,C,A,A,0,0,0,1.0391,1.7031
18,A,A,A,1,1,0,1.4297,1.8203
19,A,A,A,1,1,0,1.4844,1.9844
20,C,A,A,0,0,0,1.5859,1.9688
21,B,A,A,0,0,0,1.1484,1.5469
22,C,A,A,0,0,0,1.125,1.8125
23,C,A,A,0,0,0,1.6484,2.0078
24,C,A,A,0,0,0,1.1641,1.4844
25,B,A,A,0,0,0,0.9141,1.6875
26,C,A,A,0,0,0,1.4219,1.9688
27,C,A,A,0,0,0,1.9922,2.1406
28,C,A,A,0,0,0,0.9844,1.6641
29,B,A,A,0,0,0,1.4844,1.9609
30,B,A,A,0,0,0,1.0938,1.625
31,B,A,A,0,0,0,1.3281,1.9062
32,B,A,A,0,0,0,1.9375,2.1328
33,B,A,A,0,0,0,1.4766,1.6875
34,A,A,A,1,1,0,1.2109,1.6484
35,C,A,A,0,0,0,1.0625,1.5312
36,A,A,A,1,1,0,1.0156,1.5078
37,B,A,A,0,0,0,0.9062,1.3828
38,C,A,A,0,0,0,1.1562,1.6562
39,C,A,A,0,0,0,1.4531,1.8359
40,A,A,A,1,1,0,1.1328,1.8047
41,B,A,A,0,0,0,1.0078,1.8125
42,B,A,A,0,0,0,1.1953,1.7812
43,A,A,A,1,1,0,1.4219,1.6484
44,A,A,A,1,1,0,0.9219,1.3359
45,A,A,A,1,1,0,1.5156,1.9297
46,C,A,A,0,0,0,0.9141,1.5078
47,B,A,A,0,0,0,1.4688,1.7891
48,C,A,A,0,0,0,1.9766,2.1094
49,C,A,A,0,0,0,1.1484,1.7188
50,C,A,A,0,0,0,1.8828,1.9375
51,A,A,A,1,1,0,1.3047,1.9844
52,C,A,A,0,0,0,1.7656,2.125
53,A,A,A,1,1,0,1.2344,1.6484
54,A,A,A,1,1,0,1.0078,1.625
55,C,A,A,0,0,0,1.625,1.9062
56,A,A,A,1,1,0,1.2812,2.2109
57,C,A,A,0,0,0,1.3438,1.8125
58,C,A,A,0,0,0,1.4922,1.9609
59,A,A,A,1,1,0,1.0938,1.7109
60,A,A,A,1,1,0,1.6406,1.9375
61,C,A,A,0,0,0,0.8281,1.5156
62,A,A,A,1,1,0,1.1484,1.5625
63,B,A,A,0,0,0,0.9766,1.7578
64,A,A,A,1,1,0,1.5469,1.8594
65,C,A,A,0,0,0,1.5391,1.8438
66,A,A,A,1,1,0,1.25,1.75
67,C,A,A,0,0,0,1.9062,2.2109
68,B,A,A,0,0,0,0.6172,1.1875
69,A,A,A,1,1,0,1.5,1.7812
70,B,A,A,0,0,0,1.5,1.7656
71,B,A,A,0,0,0,1.625,1.9766
72,C,A,A,0,0,0,1.7734,1.7812
73,A,A,A,1,1,0,1.1328,1.7656
74,B,A,A,0,0,0,1.0469,1.4766
75,C,A,A,0,0,0,1.4844,1.9688
76,A,A,A,1,1,0,1.2266,1.6641
77,A,A,A,1,1,0,1.5938,1.8594
78,B,A,A,0,0,0,0.6641,1.3984
79,A,A,A,1,1,0,2.0391,2.1875
80,C,A,A,0,0,0,0.9453,1.3516
81,B,A,A,0,0,0,1.2969,1.7188
82,B,A,A,0,0,0,1.2422,1.5938
83,A,A,A,1,1,0,0.8203,1.6719
84,A,A,A,1,1,0,1.9297,2.3516
85,A,A,A,1,1,0,1.2969,1.8203
86,C,A,A,0,0,0,1.4766,2.125
87,C,A,A,0,0,0,1.9922,2.1016
88,C,A,A,0,0,0,1.2656,1.8047
89,A,A,A,1,1,0,1.0703,1.4531
90,C,A,A,0,0,0,1.6484,1.9062
91,C,A,A,0,0,0,1.1719,1.6406
92,A,A,A,1,1,0,1.7109,1.9297
93,A,A,A,1,1,0,1.9141,2.1797
94,A,A,A,1,1,0,1.6172,1.875
95,A,A,A,1,1,0,1.375,1.5312
96,A,A,A,1,1,0,1.3359,1.7656
97,B,A,A,0,0,0,1.1875,1.6406
98,C,A,A,0,0,0,1.0547,1.7188
99,A,A,A,1,1,0,1.4453,1.8203
100,C,A,A,0,0,0,0.8594,1.4922
101,A,A,A,1,1,0,1.6562,1.9766
102,A,A,A,1,1,0,0.8281,1.6719
103,C,A,A,0,0,0,1.3438,1.7422
104,C,A,A,0,0,0,1.0156,1.3906
105,B,A,A,0,0,0,1.5391,1.8984
106,B,A,A,0,0,0,1.5,1.7734
107,B,A,A,0,0,0,0.7891,1.3906
108,C,A,A,0,0,0,1.3359,1.8203
109,B,A,A,0,0,0,1.5156,1.875
110,A,A,A,1,1,0,1.2188,1.5703
111,B,A,A,0,0,0,1.7656,2.1172
112,A,A,A,1,1,0,1.2969,1.6953
113,B,A,A,0,0,0,0.9375,1.5078
114,B,A,A,0,0,0,0.9766,1.5859
115,A,A,A,1,1,0,1.0,1.4688
116,C,A,A,0,0,0,1.6953,1.6641
117,A,A,A,1,1,0,1.5703,1.9609
