idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,1.2891,1.0625
1,A,A,A,1,1,0,1.3281,1.3125
2,B,A,A,0,0,0,0.5469,0.5
3,C,B,B,0,0,0,0.5781,0.4531
4,C,B,B,0,0,0,0.6094,0.4844
5,C,B,B,0,0,0,0.5781,0.5469
6,A,A,A,1,1,0,1.4072,1.2656
7,B,A,A,0,0,0,0.6406,0.3281
8,C,B,B,0,0,0,0.3584,0.25
9,B,B,B,1,1,0,0.2812,0.1562
10,B,A,A,0,0,0,1.0166,0.5781
11,C,A,A,0,0,0,0.6396,0.1719
12,C,B,B,0,0,0,0.1719,0.3281
13,B,A,A,0,0,0,0.5781,0.3594
14,B,A,A,0,0,0,0.624,0.2031
15,C,B,B,0,0,0,0.1562,0.501
16,B,B,B,1,1,0,0.5459,0.1875
17,C,B,B,0,0,0,0.1719,0.0
18,A,A,A,1,1,0,2.0332,1.5625
19,A,A,A,1,1,0,1.4697,1.0156
20,C,B,B,0,0,0,0.5166,0.5156
21,B,A,A,0,0,0,0.4072,0.375
22,C,B,B,0,0,0,0.4062,0.0312
23,C,A,A,0,0,0,2.3438,1.4844
24,C,C,C,1,1,0,0.1562,0.1094
25,B,B,B,1,1,0,0.1875,0.2344
26,C,B,B,0,0,0,0.5781,0.4062
27,C,B,B,0,0,0,0.2188,0.3125
28,C,B,B,0,0,0,0.5312,0.2656
29,B,B,A,1,0,1,0.0469,0.0156
30,B,A,A,0,0,0,0.0469,0.2969
31,B,A,A,0,0,0,0.5156,0.2656
32,B,A,A,0,0,0,0.3594,0.0781
33,B,A,A,0,0,0,0.5,0.6406
34,A,A,A,1,1,0,2.2988,1.5156
35,C,B,B,0,0,0,0.3594,0.1406
36,A,A,A,1,1,0,1.2656,0.9844
37,B,A,A,0,0,0,1.0469,0.7656
38,C,B,B,0,0,0,0.5479,0.25
39,C,A,A,0,0,0,0.7344,0.5312
40,A,A,A,1,1,0,1.7812,0.9688
41,B,A,A,0,0,0,0.9531,0.625
42,B,A,A,0,0,0,1.5781,1.0312
43,A,A,A,1,1,0,1.9053,1.4844
44,A,A,A,1,1,0,2.4854,1.626
45,A,A,A,1,1,0,1.9531,1.5469
46,C,A,B,0,0,1,0.0625,0.0156
47,B,A,A,0,0,0,0.7969,0.4844
48,C,A,A,0,0,0,0.3896,0.3906
49,C,B,B,0,0,0,0.3906,0.4531
50,C,B,B,0,0,0,0.2969,0.2969
51,A,A,A,1,1,0,1.4375,1.1406
52,C,B,A,0,0,1,0.0625,0.0
53,A,A,A,1,1,0,1.7197,1.0469
54,A,A,A,1,1,0,2.1719,1.8281
55,C,B,B,0,0,0,0.375,0.1719
56,A,A,A,1,1,0,2.0459,1.3047
57,C,B,B,0,0,0,0.1719,0.0938
58,C,B,B,0,0,0,0.1875,0.4844
59,A,A,A,1,1,0,1.5459,1.0781
60,A,A,A,1,1,0,2.376,1.6719
61,C,A,A,0,0,0,0.125,0.0156
62,A,A,A,1,1,0,1.9375,1.6875
63,B,A,A,0,0,0,0.3438,0.5938
64,A,A,A,1,1,0,2.375,1.3438
65,C,B,B,0,0,0,0.4062,0.3125
66,A,A,A,1,1,0,1.5469,1.2734
67,C,B,B,0,0,0,0.2031,0.1562
68,B,A,A,0,0,0,0.2969,0.5469
69,A,A,A,1,1,0,1.7334,1.2812
70,B,A,A,0,0,0,0.3281,0.3594
71,B,A,A,0,0,0,0.1094,0.3047
72,C,B,B,0,0,0,0.2812,0.3438
73,A,A,A,1,1,0,2.1406,1.1074
74,B,A,A,0,0,0,0.9697,1.1406
75,C,A,B,0,0,1,0.2031,0.1719
76,A,A,A,1,1,0,2.3438,1.25
77,A,A,A,1,1,0,1.2666,1.1719
78,B,B,B,1,1,0,0.0156,0.0938
79,A,A,A,1,1,0,2.0771,1.8281
80,C,B,B,0,0,0,0.0781,0.2188
81,B,A,A,0,0,0,0.75,0.5938
82,B,A,A,0,0,0,0.4072,0.2031
83,A,A,A,1,1,0,1.9385,1.3125
84,A,A,A,1,1,0,1.7959,1.3906
85,A,A,A,1,1,0,1.9072,1.5156
86,C,B,B,0,0,0,0.2969,0.6094
87,C,B,B,0,0,0,0.1562,0.25
88,C,B,B,0,0,0,0.3438,0.2812
89,A,A,A,1,1,0,2.0166,1.2188
90,C,A,B,0,0,1,0.1719,0.1719
91,C,B,B,0,0,0,0.6553,0.2812
92,A,A,A,1,1,0,1.4385,1.2031
93,A,A,A,1,1,0,1.7979,1.2188
94,A,A,A,1,1,0,2.4209,1.1562
95,A,A,A,1,1,0,1.75,1.0947
96,A,A,A,1,1,0,1.7656,1.2969
97,B,A,A,0,0,0,1.3428,0.9219
98,C,B,B,0,0,0,0.3594,0.2344
99,A,A,A,1,1,0,1.959,1.2109
100,C,B,B,0,0,0,0.25,0.2031
101,A,A,A,1,1,0,2.2021,1.4844
102,A,A,A,1,1,0,2.3906,1.376
103,C,B,B,0,0,0,0.1562,0.1562
104,C,B,B,0,0,0,0.2031,0.1094
105,B,B,B,1,1,0,0.5781,0.4062
106,B,A,A,0,0,0,0.5146,0.6875
107,B,A,A,0,0,0,0.8906,0.6875
108,C,B,A,0,0,1,0.2188,0.2188
109,B,A,A,0,0,0,0.4697,0.2031
110,A,A,A,1,1,0,3.2183,2.3125
111,B,A,A,0,0,0,1.3447,1.1562
112,A,A,A,1,1,0,1.7803,1.2188
113,B,A,A,0,0,0,0.4375,0.3125
114,B,A,A,0,0,0,1.0156,0.8906
115,A,A,A,1,1,0,1.3584,0.7812
116,C,B,B,0,0,0,0.0469,0.1719
117,A,A,A,1,1,0,1.625,0.7188
118,A,A,A,1,1,0,1.2656,1.0312
119,A,A,A,1,1,0,1.8125,1.4062
120,B,A,A,0,0,0,0.3438,0.375
121,C,B,B,0,0,0,0.4375,0.2188
122,B,A,A,0,0,0,1.6084,1.2812
123,C,B,B,0,0,0,0.0938,0.4375
124,B,B,B,1,1,0,0.4219,0.2812
125,A,A,A,1,1,0,2.2656,1.5938
126,B,A,A,0,0,0,0.9229,0.4844
127,C,A,B,0,0,1,0.374,0.0156
128,A,A,A,1,1,0,1.4531,0.8438
129,B,A,A,0,0,0,1.3271,0.75
130,C,B,B,0,0,0,0.5469,0.5
131,B,A,A,0,0,0,1.4209,1.0547
132,A,A,A,1,1,0,1.999,1.2344
133,C,C,A,1,0,1,0.0312,0.125
134,C,A,A,0,0,0,0.0,0.25
135,C,A,A,0,0,0,0.8125,0.5469
136,A,A,A,1,1,0,2.4844,1.9688
137,C,C,B,1,0,1,0.0156,0.0391
138,A,A,A,1,1,0,2.4531,1.4375
139,B,A,A,0,0,0,0.2344,0.3438
140,A,A,A,1,1,0,1.5781,0.8594
141,A,A,A,1,1,0,1.4062,1.0
142,B,B,A,1,0,1,0.0312,0.2344
