idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,0.8711,1.6797
1,A,A,A,1,1,0,0.793,1.6328
2,B,A,A,0,0,0,0.875,1.6484
3,E,A,A,0,0,0,0.7617,1.9688
4,B,A,A,0,0,0,1.0586,1.9609
5,B,A,A,0,0,0,0.4336,1.9531
6,A,A,A,1,1,0,0.6523,2.3125
7,B,A,A,0,0,0,0.8555,2.0156
8,D,A,A,0,0,0,0.9961,1.4062
9,B,A,A,0,0,0,0.9805,2.3594
10,C,A,A,0,0,0,0.7461,1.9453
11,B,A,A,0,0,0,0.6055,1.9609
12,E,A,A,0,0,0,0.6953,1.5078
13,B,A,A,0,0,0,1.0742,1.8047
14,B,A,A,0,0,0,1.1992,1.8438
15,D,A,A,0,0,0,0.7617,1.75
16,E,A,A,0,0,0,1.3242,1.3281
17,A,A,A,1,1,0,0.5586,1.5
18,C,A,A,0,0,0,0.6523,2.0625
19,E,A,A,0,0,0,1.0898,1.7344
20,B,A,A,0,0,0,0.6719,2.1328
21,B,A,A,0,0,0,0.543,1.8047
22,D,A,A,0,0,0,0.5742,1.5469
23,C,A,A,0,0,0,0.9492,1.5781
24,A,A,A,1,1,0,0.7773,1.4688
25,D,A,A,0,0,0,0.5742,1.7734
26,F,A,A,0,0,0,0.8867,1.7344
27,B,A,A,0,0,0,0.6016,1.7656
28,F,A,A,0,0,0,0.7773,2.25
29,D,A,A,0,0,0,0.5273,1.625
30,E,A,A,0,0,0,0.8555,1.5234
31,C,A,A,0,0,0,0.8398,2.0078
32,B,A,A,0,0,0,0.6211,1.6641
33,F,A,A,0,0,0,1.043,2.2031
34,D,A,A,0,0,0,1.2617,1.3828
35,D,A,A,0,0,0,0.9805,1.6797
36,B,A,A,0,0,0,0.5117,1.3828
37,B,A,A,0,0,0,0.8242,1.5156
38,B,A,A,0,0,0,0.8867,2.0078
39,A,A,A,1,1,0,1.0625,2.1094
40,B,A,A,0,0,0,0.9961,1.5547
41,E,A,A,0,0,0,0.9805,2.4531
42,E,A,A,0,0,0,1.3125,1.5625
43,A,A,A,1,1,0,0.6211,1.3594
44,D,A,A,0,0,0,1.043,1.4062
45,F,A,A,0,0,0,0.5117,1.4062
46,C,A,A,0,0,0,1.0625,1.8828
47,E,A,A,0,0,0,0.6836,1.75
48,F,A,A,0,0,0,0.9648,1.5547
49,B,A,A,0,0,0,0.6367,1.8047
50,E,A,A,0,0,0,0.9375,1.8594
51,D,A,A,0,0,0,0.6211,1.875
52,D,A,A,0,0,0,0.543,1.5859
53,B,A,A,0,0,0,0.9648,1.7031
54,A,A,A,1,1,0,0.8398,2.1328
55,C,A,A,0,0,0,0.8242,1.7891
56,A,A,A,1,1,0,1.0117,1.5078
57,A,A,A,1,1,0,0.8086,2.1016
58,F,A,A,0,0,0,0.3555,1.7578
59,D,A,A,0,0,0,0.9023,2.1953
60,E,A,A,0,0,0,1.1406,2.1562
61,B,A,A,0,0,0,0.9648,1.875
62,D,A,A,0,0,0,0.8867,1.9609
63,E,A,A,0,0,0,0.543,1.4297
64,D,A,A,0,0,0,1.0586,1.5312
65,B,A,A,0,0,0,1.0781,2.0859
66,A,A,A,1,1,0,1.1875,2.1172
67,C,A,A,0,0,0,1.2969,2.4219
68,E,A,A,0,0,0,0.5273,1.9297
69,F,A,A,0,0,0,0.8086,1.5938
70,A,A,A,1,1,0,1.2773,1.5469
71,F,A,A,0,0,0,1.125,1.4297
72,F,A,A,0,0,0,0.6992,1.7344
73,D,A,A,0,0,0,0.418,2.0156
74,C,A,A,0,0,0,0.6211,1.9141
75,E,A,A,0,0,0,0.7461,2.1172
