idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,1.2812,3.5078
1,C,A,A,0,0,0,1.4375,2.6719
2,D,A,A,0,0,0,2.3047,2.4238
3,B,A,A,0,0,0,2.0234,1.8125
4,B,A,A,0,0,0,1.9297,3.1641
5,B,A,A,0,0,0,1.0234,2.6816
6,C,A,A,0,0,0,1.1797,3.0938
7,A,A,A,1,1,0,1.877,3.2109
8,C,A,A,0,0,0,1.5078,3.0391
9,C,A,A,0,0,0,0.0391,2.3066
10,C,A,A,0,0,0,0.7031,3.0723
11,B,A,A,0,0,0,1.8047,3.0703
12,C,A,A,0,0,0,1.5781,3.0293
13,C,A,A,0,0,0,1.5,3.3203
14,A,A,A,1,1,0,2.2969,3.0781
15,A,A,A,1,1,0,1.6016,2.8848
16,C,A,A,0,0,0,3.0312,1.9629
17,B,A,A,0,0,0,1.3828,2.7969
18,B,A,A,0,0,0,2.2324,3.5098
19,C,A,A,0,0,0,0.9609,1.5625
20,A,A,A,1,1,0,2.8281,3.1777
21,B,A,A,0,0,0,1.0234,2.8281
22,A,A,A,1,1,0,1.7422,3.0957
23,D,A,A,0,0,0,1.0156,2.2246
24,D,A,A,0,0,0,1.2266,2.4629
25,A,A,A,1,1,0,2.8906,3.0625
26,C,A,A,0,0,0,1.2031,3.0547
27,B,A,A,0,0,0,0.5625,2.9297
28,B,A,A,0,0,0,1.2422,2.3672
29,C,A,A,0,0,0,2.2422,2.8359
30,C,A,A,0,0,0,0.9766,2.9551
31,A,A,A,1,1,0,2.0547,2.8203
32,D,A,A,0,0,0,2.5781,3.002
33,B,A,A,0,0,0,1.0234,2.627
34,C,A,A,0,0,0,0.8438,2.4277
35,B,A,A,0,0,0,1.9609,2.5078
36,D,A,A,0,0,0,0.5,2.0078
37,B,A,A,0,0,0,2.3906,3.1094
38,D,A,A,0,0,0,1.375,2.7656
39,C,A,A,0,0,0,1.2656,3.5312
40,D,A,A,0,0,0,1.1094,2.7676
41,C,A,A,0,0,0,2.8984,3.4629
42,C,A,A,0,0,0,1.1562,2.6953
43,C,A,A,0,0,0,0.6328,1.8184
44,B,A,A,0,0,0,1.2109,2.8203
45,A,A,A,1,1,0,2.0234,3.2637
46,C,A,A,0,0,0,1.7891,3.0488
47,A,A,A,1,1,0,1.4609,2.3203
48,D,A,A,0,0,0,1.5547,2.8516
49,D,A,A,0,0,0,1.0,2.834
50,B,A,A,0,0,0,1.4922,3.1484
51,D,A,A,0,0,0,1.5859,3.4844
52,A,A,A,1,1,0,2.5781,3.8594
53,A,A,A,1,1,0,1.7578,2.9355
54,A,A,A,1,1,0,1.7324,3.459
55,B,A,A,0,0,0,2.1172,3.334
56,C,A,A,0,0,0,1.9688,3.2246
57,B,A,A,0,0,0,1.9453,2.3281
58,B,A,A,0,0,0,1.6094,3.5156
59,D,A,A,0,0,0,1.3516,3.6172
60,B,A,A,0,0,0,0.7578,2.916
61,B,A,A,0,0,0,2.0391,2.9395
62,C,A,A,0,0,0,0.8281,2.4121
63,C,A,A,0,0,0,1.1953,2.5547
64,B,A,A,0,0,0,1.0469,2.6816
65,C,A,A,0,0,0,1.4922,2.9062
66,B,A,A,0,0,0,1.1172,3.1348
67,C,A,A,0,0,0,0.7344,3.1016
68,A,A,A,1,1,0,1.4688,3.0137
69,D,A,A,0,0,0,1.0859,2.9277
70,C,A,A,0,0,0,0.8594,2.7988
71,C,A,A,0,0,0,1.3359,2.875
72,A,A,A,1,1,0,2.5312,3.7656
73,D,A,A,0,0,0,2.0938,3.4824
74,A,A,A,1,1,0,3.1562,3.0625
75,C,A,A,0,0,0,2.0703,2.3926
76,D,A,A,0,0,0,0.7188,2.8418
77,A,A,A,1,1,0,2.375,3.6387
78,B,A,A,0,0,0,0.9766,3.0
79,D,A,A,0,0,0,1.375,2.7891
80,B,A,A,0,0,0,1.375,2.5098
81,A,A,A,1,1,0,1.9688,3.2031
82,A,A,A,1,1,0,1.5234,2.7031
83,B,A,A,0,0,0,3.3438,3.4375
84,C,A,A,0,0,0,1.4141,2.6621
85,C,A,A,0,0,0,1.4531,3.3418
86,A,A,A,1,1,0,1.7188,2.9219
87,C,A,A,0,0,0,1.0156,1.0469
88,D,A,A,0,0,0,2.2578,3.8516
89,C,A,A,0,0,0,2.0859,2.6855
90,D,A,A,0,0,0,1.6016,3.0625
91,A,A,A,1,1,0,1.6641,3.0371
92,D,A,A,0,0,0,0.8281,3.1875
93,A,A,A,1,1,0,2.125,3.25
94,A,A,A,1,1,0,2.8828,3.8496
95,D,A,A,0,0,0,1.5,2.0371
96,A,A,A,1,1,0,2.25,3.0547
97,A,A,A,1,1,0,1.3223,3.5
98,B,A,A,0,0,0,2.2891,2.5215
99,C,A,A,0,0,0,1.4766,2.1777
100,A,A,A,1,1,0,1.7344,2.5
101,D,A,A,0,0,0,0.5078,2.4551
102,B,A,A,0,0,0,1.375,2.5156
103,D,A,A,0,0,0,1.4219,2.1309
104,B,A,A,0,0,0,0.8516,2.4688
105,C,A,A,0,0,0,1.6328,3.4004
106,B,A,A,0,0,0,1.1016,2.5488
107,A,A,A,1,1,0,1.7266,2.9062
108,B,A,A,0,0,0,1.9219,3.3184
109,C,A,A,0,0,0,1.7266,2.7656
110,D,A,A,0,0,0,0.4531,2.5547
111,A,A,A,1,1,0,1.7578,3.2871
112,B,A,A,0,0,0,1.3047,3.2129
113,D,A,A,0,0,0,1.5312,2.8359
114,D,A,A,0,0,0,1.875,2.8828
115,D,A,A,0,0,0,1.4609,2.9941
116,B,A,A,0,0,0,0.9766,3.0469
117,A,A,A,1,1,0,1.8906,3.0703
118,C,A,A,0,0,0,0.7578,2.9688
119,A,A,A,1,1,0,1.5312,3.0
120,A,A,A,1,1,0,1.7578,3.0879
121,B,A,A,0,0,0,2.5156,3.3516
122,C,A,A,0,0,0,1.3828,3.25
123,A,A,A,1,1,0,1.5859,2.7109
124,B,A,A,0,0,0,1.1641,2.6934
125,C,A,A,0,0,0,1.4766,2.7285
126,A,A,A,1,1,0,2.0078,2.7578
127,C,A,A,0,0,0,1.4141,3.4688
128,B,A,A,0,0,0,1.4609,2.7754
129,D,A,A,0,0,0,1.3516,2.5859
130,D,A,A,0,0,0,0.9531,2.3262
131,A,A,A,1,1,0,2.6094,2.8809
132,D,A,A,0,0,0,2.9922,2.7656
133,C,A,A,0,0,0,1.1641,2.4297
134,C,A,A,0,0,0,0.7578,2.6797
135,C,A,A,0,0,0,1.2344,2.4375
136,C,A,A,0,0,0,1.0391,2.2422
137,D,A,A,0,0,0,1.2734,3.041
138,A,A,A,1,1,0,1.9531,2.625
139,C,A,A,0,0,0,1.5703,2.6953
140,A,A,A,1,1,0,1.9844,3.416
141,A,A,A,1,1,0,1.5938,2.5137
142,D,A,A,0,0,0,1.8672,2.7031
143,D,A,A,0,0,0,2.2266,2.9922
144,A,A,A,1,1,0,2.4922,3.373
145,D,A,A,0,0,0,1.6172,2.2812
146,D,A,A,0,0,0,1.2734,2.6797
147,D,A,A,0,0,0,1.2109,2.4238
148,B,A,A,0,0,0,1.6875,3.0176
149,A,A,A,1,1,0,3.5742,3.6797
150,A,A,A,1,1,0,1.7734,3.2559
151,A,A,A,1,1,0,2.3828,3.8535
152,D,A,A,0,0,0,1.5,2.7324
153,B,A,A,0,0,0,2.0391,2.3516
154,B,A,A,0,0,0,0.9609,2.2559
155,B,A,A,0,0,0,2.8125,2.6484
156,D,A,A,0,0,0,2.5938,3.2344
157,D,A,A,0,0,0,2.3359,2.5312
158,B,A,A,0,0,0,1.5,3.0547
159,A,A,A,1,1,0,1.5859,2.6953
160,A,A,A,1,1,0,2.0,2.375
161,B,A,A,0,0,0,0.7422,1.9453
162,D,A,A,0,0,0,2.3984,3.2188
163,C,A,A,0,0,0,1.8125,3.3906
164,B,A,A,0,0,0,1.9062,2.6934
165,C,A,A,0,0,0,1.7891,2.5723
166,A,A,A,1,1,0,1.7422,3.2246
167,D,A,A,0,0,0,0.8984,3.2812
168,C,A,A,0,0,0,1.1875,2.375
