idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,A,1,0,1,1.8125,0.7891
1,C,C,C,1,1,0,1.7344,0.7422
2,D,A,A,0,0,0,0.3594,0.2266
3,B,D,D,0,0,0,0.8418,0.6875
4,B,B,A,1,0,1,1.127,0.7344
5,B,B,B,1,1,0,2.3281,0.1797
6,C,C,A,1,0,1,1.2188,0.8281
7,A,A,A,1,1,0,4.2051,1.8984
8,C,C,C,1,1,0,2.5488,1.4668
9,C,C,C,1,1,0,3.3438,0.6875
10,C,C,C,1,1,0,2.3037,0.4141
11,B,B,B,1,1,0,4.1729,1.2324
12,C,C,A,1,0,1,1.6406,1.1426
13,C,C,C,1,1,0,2.5859,0.1953
14,A,A,A,1,1,0,0.375,1.6562
15,A,A,A,1,1,0,1.8594,1.4141
16,C,C,C,1,1,0,2.4688,0.3047
17,B,B,A,1,0,1,1.6074,0.6562
18,B,B,A,1,0,1,2.5312,1.0469
19,C,C,A,1,0,1,1.25,0.4531
20,A,A,A,1,1,0,2.5859,0.3516
21,B,B,A,1,0,1,1.7422,0.0391
22,A,A,A,1,1,0,3.0391,2.0469
23,D,D,D,1,1,0,2.8281,1.5703
24,D,D,D,1,1,0,1.8438,0.9238
25,A,A,A,1,1,0,3.7363,0.6875
26,C,C,A,1,0,1,2.3135,1.0234
27,B,B,A,1,0,1,0.1641,0.4219
28,B,B,A,1,0,1,1.4355,0.7969
29,C,C,C,1,1,0,2.5996,1.1504
30,C,C,C,1,1,0,2.6387,0.541
31,A,A,A,1,1,0,2.3906,0.8672
32,D,C,A,0,0,1,0.3516,0.1719
33,B,B,A,1,0,1,1.3828,0.3359
34,C,C,C,1,1,0,2.6465,1.8047
35,B,C,A,0,0,1,1.8574,0.5859
36,D,D,D,1,1,0,1.2969,1.5078
37,B,B,A,1,0,1,0.5,0.0859
38,D,D,D,1,1,0,0.4238,0.9141
39,C,C,A,1,0,1,0.6875,1.0547
40,D,C,D,0,1,1,0.0625,0.9219
41,C,C,C,1,1,0,2.0762,0.9238
42,C,C,C,1,1,0,2.3613,0.8359
43,C,C,C,1,1,0,1.7969,0.5469
44,B,B,B,1,1,0,3.1543,0.75
45,A,A,A,1,1,0,1.1875,1.8672
46,C,C,C,1,1,0,3.127,2.3125
47,A,A,A,1,1,0,1.5449,0.4375
48,D,D,D,1,1,0,1.2031,0.7344
49,D,A,D,0,1,1,0.1094,0.4844
50,B,A,A,0,0,0,1.0703,0.6562
51,D,D,D,1,1,0,1.5781,1.1113
52,A,A,A,1,1,0,3.0156,2.1035
53,A,A,A,1,1,0,0.5469,0.6328
54,A,A,A,1,1,0,0.1328,0.3438
55,B,B,A,1,0,1,2.1426,0.2734
56,C,D,D,0,0,0,1.6406,1.5234
57,B,B,B,1,1,0,2.4443,0.8359
58,B,B,B,1,1,0,2.5234,0.3965
59,D,D,A,1,0,1,1.4297,0.1484
60,B,B,A,1,0,1,1.8848,0.3047
61,B,B,A,1,0,1,0.7109,0.8828
62,C,C,C,1,1,0,3.9531,2.3457
63,C,C,A,1,0,1,1.9082,0.5547
64,B,B,B,1,1,0,2.248,0.7109
65,C,C,C,1,1,0,3.0293,0.1016
66,B,B,A,1,0,1,0.2422,0.4062
67,C,C,A,1,0,1,1.1406,0.5469
68,A,A,A,1,1,0,2.6348,1.1094
69,D,D,D,1,1,0,1.6699,0.9844
70,C,C,C,1,1,0,3.6875,1.7324
71,C,C,C,1,1,0,2.4355,0.6641
72,A,A,A,1,1,0,1.5645,1.5332
73,D,D,D,1,1,0,2.6738,1.3203
74,A,A,D,1,0,1,0.5156,0.125
75,C,C,A,1,0,1,0.0312,0.8359
76,D,D,D,1,1,0,1.6484,1.6328
77,A,A,A,1,1,0,0.7031,0.5078
78,B,B,B,1,1,0,2.2422,0.4141
79,D,D,D,1,1,0,0.7344,0.2656
80,B,C,A,0,0,1,0.498,0.0312
81,A,A,A,1,1,0,3.0938,2.2031
82,A,A,A,1,1,0,1.9453,1.0625
83,B,B,A,1,0,1,0.375,0.2891
84,C,C,A,1,0,1,2.0488,0.7422
85,C,C,C,1,1,0,2.8438,0.125
86,A,A,A,1,1,0,2.1074,1.5547
87,C,C,C,1,1,0,1.9766,0.2344
88,D,D,D,1,1,0,0.0938,1.1875
89,C,C,C,1,1,0,2.2812,1.4824
90,D,D,D,1,1,0,0.8438,0.625
