idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,1.2812,3.0645
1,C,A,A,0,0,0,1.4375,3.0078
2,D,A,A,0,0,0,2.3047,3.1113
3,B,A,A,0,0,0,2.0234,1.7266
4,B,A,A,0,0,0,1.9297,2.9062
5,B,A,A,0,0,0,1.0234,2.2734
6,C,A,A,0,0,0,1.1797,2.791
7,A,A,A,1,1,0,1.877,3.0449
8,C,A,A,0,0,0,1.5078,2.8594
9,C,A,A,0,0,0,0.0391,2.1875
10,C,A,A,0,0,0,0.7031,2.5996
11,B,A,A,0,0,0,1.8047,2.9609
12,C,A,A,0,0,0,1.5781,2.2031
13,C,A,A,0,0,0,1.5,3.0234
14,A,A,A,1,1,0,2.2969,2.75
15,A,A,A,1,1,0,1.6016,2.6348
16,C,A,A,0,0,0,3.0312,2.8906
17,B,A,A,0,0,0,1.3828,2.834
18,B,A,A,0,0,0,2.2324,2.9902
19,C,A,A,0,0,0,0.9609,2.3516
20,A,A,A,1,1,0,2.8281,4.2109
21,B,A,A,0,0,0,1.0234,2.375
22,A,A,A,1,1,0,1.7422,3.3516
23,D,A,A,0,0,0,1.0156,2.0
24,D,A,A,0,0,0,1.2266,2.1895
25,A,A,A,1,1,0,2.8906,3.3262
26,C,A,A,0,0,0,1.2031,2.7344
27,B,A,A,0,0,0,0.5625,2.8379
28,B,A,A,0,0,0,1.2422,2.1641
29,C,A,A,0,0,0,2.2422,2.6172
30,C,A,A,0,0,0,0.9766,3.209
31,A,A,A,1,1,0,2.0547,2.4844
32,D,A,A,0,0,0,2.5781,3.1484
33,B,A,A,0,0,0,1.0234,2.6816
34,C,A,A,0,0,0,0.8438,2.1387
35,B,A,A,0,0,0,1.9609,2.8359
36,D,A,A,0,0,0,0.5,2.4297
37,B,A,A,0,0,0,2.3906,2.8828
38,D,A,A,0,0,0,1.375,3.1543
39,C,A,A,0,0,0,1.2656,3.3359
40,D,A,A,0,0,0,1.1094,2.3906
41,C,A,A,0,0,0,2.8984,3.0547
42,C,A,A,0,0,0,1.1562,2.4785
43,C,A,A,0,0,0,0.6328,2.2812
44,B,A,A,0,0,0,1.2109,2.4316
45,A,A,A,1,1,0,2.0234,3.25
46,C,A,A,0,0,0,1.7891,2.6934
47,A,A,A,1,1,0,1.4609,2.8203
48,D,A,A,0,0,0,1.5547,2.4863
49,D,A,A,0,0,0,1.0,2.5332
50,B,A,A,0,0,0,1.4922,3.4922
51,D,A,A,0,0,0,1.5859,3.1621
52,A,A,A,1,1,0,2.5781,3.2734
53,A,A,A,1,1,0,1.7578,2.5859
54,A,A,A,1,1,0,1.7324,3.3672
55,B,A,A,0,0,0,2.1172,2.9766
56,C,A,A,0,0,0,1.9688,2.8203
57,B,A,A,0,0,0,1.9453,2.8066
58,B,A,A,0,0,0,1.6094,3.0801
59,D,A,A,0,0,0,1.3516,2.3438
60,B,A,A,0,0,0,0.7578,2.9922
61,B,A,A,0,0,0,2.0391,3.1094
62,C,A,A,0,0,0,0.8281,2.7422
63,C,A,A,0,0,0,1.1953,2.541
64,B,A,A,0,0,0,1.0469,2.9688
65,C,A,A,0,0,0,1.4922,2.5781
66,B,A,A,0,0,0,1.1172,2.7812
67,C,A,A,0,0,0,0.7344,2.7949
68,A,A,A,1,1,0,1.4688,2.8418
69,D,A,A,0,0,0,1.0859,2.375
70,C,A,A,0,0,0,0.8594,2.4844
71,C,A,A,0,0,0,1.3359,2.8496
72,A,A,A,1,1,0,2.5312,3.4609
73,D,A,A,0,0,0,2.0938,2.7266
74,A,A,A,1,1,0,3.1562,3.2578
75,C,A,A,0,0,0,2.0703,3.1641
76,D,A,A,0,0,0,0.7188,2.6953
77,A,A,A,1,1,0,2.375,3.0176
78,B,A,A,0,0,0,0.9766,2.4922
79,D,A,A,0,0,0,1.375,2.9785
80,B,A,A,0,0,0,1.375,2.6094
81,A,A,A,1,1,0,1.9688,3.4062
82,A,A,A,1,1,0,1.5234,2.5156
83,B,A,A,0,0,0,3.3438,3.2188
84,C,A,A,0,0,0,1.4141,2.8262
85,C,A,A,0,0,0,1.4531,3.127
86,A,A,A,1,1,0,1.7188,3.2109
87,C,A,A,0,0,0,1.0156,2.1094
88,D,A,A,0,0,0,2.2578,2.916
89,C,A,A,0,0,0,2.0859,2.7422
90,D,A,A,0,0,0,1.6016,2.7188
91,A,A,A,1,1,0,1.6641,2.7676
92,D,A,A,0,0,0,0.8281,2.7676
93,A,A,A,1,1,0,2.125,2.7656
94,A,A,A,1,1,0,2.8828,3.3516
95,D,A,A,0,0,0,1.5,3.1719
96,A,A,A,1,1,0,2.25,2.9844
97,A,A,A,1,1,0,1.3223,3.3652
98,B,A,A,0,0,0,2.2891,3.1719
99,C,A,A,0,0,0,1.4766,2.5156
100,A,A,A,1,1,0,1.7344,1.8516
101,D,A,A,0,0,0,0.5078,2.6465
102,B,A,A,0,0,0,1.375,2.4863
103,D,A,A,0,0,0,1.4219,1.9375
104,B,A,A,0,0,0,0.8516,2.8438
105,C,A,A,0,0,0,1.6328,3.3496
106,B,A,A,0,0,0,1.1016,2.377
107,A,A,A,1,1,0,1.7266,3.0391
108,B,A,A,0,0,0,1.9219,2.9746
109,C,A,A,0,0,0,1.7266,2.7969
110,D,A,A,0,0,0,0.4531,2.3516
111,A,A,A,1,1,0,1.7578,3.1484
112,B,A,A,0,0,0,1.3047,3.4766
113,D,A,A,0,0,0,1.5312,2.9082
114,D,A,A,0,0,0,1.875,2.8496
115,D,A,A,0,0,0,1.4609,2.3906
116,B,A,A,0,0,0,0.9766,3.0781
117,A,A,A,1,1,0,1.8906,2.9824
118,C,A,A,0,0,0,0.7578,2.5723
119,A,A,A,1,1,0,1.5312,2.3027
120,A,A,A,1,1,0,1.7578,2.2109
121,B,A,A,0,0,0,2.5156,3.1328
122,C,A,A,0,0,0,1.3828,2.8203
123,A,A,A,1,1,0,1.5859,2.8496
124,B,A,A,0,0,0,1.1641,3.0762
125,C,A,A,0,0,0,1.4766,2.7637
126,A,A,A,1,1,0,2.0078,2.416
127,C,A,A,0,0,0,1.4141,2.9199
128,B,A,A,0,0,0,1.4609,2.9238
129,D,A,A,0,0,0,1.3516,3.1504
130,D,A,A,0,0,0,0.9531,2.8203
131,A,A,A,1,1,0,2.6094,2.7422
132,D,A,A,0,0,0,2.9922,3.2031
133,C,A,A,0,0,0,1.1641,3.3828
134,C,A,A,0,0,0,0.7578,2.291
135,C,A,A,0,0,0,1.2344,2.0
136,C,A,A,0,0,0,1.0391,2.0781
137,D,A,A,0,0,0,1.2734,3.0918
138,A,A,A,1,1,0,1.9531,2.6562
139,C,A,A,0,0,0,1.5703,2.7559
140,A,A,A,1,1,0,1.9844,3.5371
141,A,A,A,1,1,0,1.5938,2.4688
142,D,A,A,0,0,0,1.8672,2.5625
143,D,A,A,0,0,0,2.2266,2.6484
144,A,A,A,1,1,0,2.4922,3.1152
145,D,A,A,0,0,0,1.6172,2.7344
146,D,A,A,0,0,0,1.2734,2.4297
147,D,A,A,0,0,0,1.2109,2.3359
148,B,A,A,0,0,0,1.6875,2.459
149,A,A,A,1,1,0,3.5742,3.2578
150,A,A,A,1,1,0,1.7734,2.9922
151,A,A,A,1,1,0,2.3828,3.5723
152,D,A,A,0,0,0,1.5,2.6777
153,B,A,A,0,0,0,2.0391,3.0527
154,B,A,A,0,0,0,0.9609,2.6562
155,B,A,A,0,0,0,2.8125,2.3594
156,D,A,A,0,0,0,2.5938,3.0469
157,D,A,A,0,0,0,2.3359,3.2168
158,B,A,A,0,0,0,1.5,2.2422
159,A,A,A,1,1,0,1.5859,3.0332
160,A,A,A,1,1,0,2.0,2.9199
161,B,A,A,0,0,0,0.7422,2.75
162,D,A,A,0,0,0,2.3984,2.8047
163,C,A,A,0,0,0,1.8125,3.5938
164,B,A,A,0,0,0,1.9062,2.4219
165,C,A,A,0,0,0,1.7891,2.2188
166,A,A,A,1,1,0,1.7422,2.7969
167,D,A,A,0,0,0,0.8984,2.6465
168,C,A,A,0,0,0,1.1875,2.3438
169,A,A,A,1,1,0,1.5547,2.4766
170,C,A,A,0,0,0,0.6719,2.3359
171,B,A,A,0,0,0,1.3672,2.1777
172,A,A,A,1,1,0,1.8281,2.8281
173,B,A,A,0,0,0,2.2812,3.1855
174,B,A,A,0,0,0,1.1641,3.2266
175,B,A,A,0,0,0,1.2266,2.1719
176,C,A,A,0,0,0,2.0391,2.8984
177,C,A,A,0,0,0,1.5391,2.9297
178,B,A,A,0,0,0,1.75,2.1348
179,B,A,A,0,0,0,2.1406,2.9219
180,B,A,A,0,0,0,1.9766,2.8828
181,B,A,A,0,0,0,1.8672,2.6172
182,B,A,A,0,0,0,2.5,3.2109
183,C,A,A,0,0,0,1.5234,3.1152
184,D,A,A,0,0,0,2.0156,3.0527
185,B,A,A,0,0,0,1.9844,2.3438
186,C,A,A,0,0,0,2.1211,2.5156
187,D,A,A,0,0,0,1.8203,2.9746
188,D,A,A,0,0,0,2.8438,2.5938
189,D,A,A,0,0,0,1.0625,2.916
190,D,A,A,0,0,0,2.1016,3.3125
191,B,A,A,0,0,0,3.2344,3.3574
192,B,A,A,0,0,0,1.3125,2.3516
193,C,A,A,0,0,0,2.3477,2.3672
194,D,A,A,0,0,0,0.9844,2.4688
195,C,A,A,0,0,0,0.9375,3.248
196,A,A,A,1,1,0,1.6543,3.1543
197,A,A,A,1,1,0,2.2109,2.6875
198,B,A,A,0,0,0,1.5098,2.9941
199,B,A,A,0,0,0,2.6953,2.3438
200,C,A,A,0,0,0,1.5859,2.7734
201,C,A,A,0,0,0,1.5391,2.3125
202,C,A,A,0,0,0,1.0547,2.4668
203,A,A,A,1,1,0,2.1328,2.7168
204,C,A,A,0,0,0,1.2109,3.1016
205,A,A,A,1,1,0,1.7734,2.9785
206,D,A,A,0,0,0,2.4141,2.5703
207,B,A,A,0,0,0,1.9219,2.5156
208,D,A,A,0,0,0,1.2578,2.4531
209,D,A,A,0,0,0,1.7656,2.5996
210,B,A,A,0,0,0,2.8984,3.6094
211,D,A,A,0,0,0,1.4219,2.3906
212,B,A,A,0,0,0,2.0234,3.0488
213,C,A,A,0,0,0,2.3672,2.7969
214,C,A,A,0,0,0,1.125,2.8125
215,D,A,A,0,0,0,1.2344,2.9766
216,D,A,A,0,0,0,1.7344,2.8203
217,D,A,A,0,0,0,1.4375,2.9004
218,C,A,A,0,0,0,1.0078,2.834
219,D,A,A,0,0,0,1.0234,2.4219
220,A,A,A,1,1,0,1.4922,2.9902
221,A,A,A,1,1,0,2.0859,2.7129
222,D,A,A,0,0,0,1.5859,2.5996
223,A,A,A,1,1,0,1.7891,3.541
224,A,A,A,1,1,0,2.3828,2.6406
225,A,A,A,1,1,0,2.3281,2.5938
226,A,A,A,1,1,0,1.4609,1.9219
227,D,A,A,0,0,0,1.7109,3.3828
228,B,A,A,0,0,0,1.0781,2.9941
