idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,1.8125,1.3262
1,C,C,C,1,1,0,1.7344,1.5938
2,D,A,A,0,0,0,0.3594,2.9297
3,B,D,D,0,0,0,0.8418,1.0566
4,B,B,B,1,1,0,1.127,0.0781
5,B,B,B,1,1,0,2.3281,1.0391
6,C,C,A,1,0,1,1.2188,0.9082
7,A,A,A,1,1,0,4.2051,4.9297
8,C,C,C,1,1,0,2.5488,1.2168
9,C,C,C,1,1,0,3.3438,2.0605
10,C,C,C,1,1,0,2.3037,1.8125
11,B,B,B,1,1,0,4.1729,3.0918
12,C,C,C,1,1,0,1.6406,0.1875
13,C,C,C,1,1,0,2.5859,1.2188
14,A,A,A,1,1,0,0.375,2.0938
15,A,A,A,1,1,0,1.8594,1.6953
16,C,C,A,1,0,1,2.4688,3.1484
17,B,B,B,1,1,0,1.6074,1.625
18,B,B,B,1,1,0,2.5312,1.3125
19,C,C,A,1,0,1,1.25,0.6641
20,A,A,A,1,1,0,2.5859,4.3125
21,B,B,B,1,1,0,1.7422,1.1562
22,A,A,A,1,1,0,3.0391,3.8809
23,D,D,D,1,1,0,2.8281,0.9375
24,D,D,D,1,1,0,1.8438,0.7812
25,A,A,A,1,1,0,3.7363,3.1934
26,C,C,A,1,0,1,2.3135,0.25
27,B,B,A,1,0,1,0.1641,0.0938
28,B,B,A,1,0,1,1.4355,0.4297
29,C,C,C,1,1,0,2.5996,1.1094
30,C,C,C,1,1,0,2.6387,1.7168
31,A,A,A,1,1,0,2.3906,3.6953
32,D,C,A,0,0,1,0.3516,2.0547
33,B,B,A,1,0,1,1.3828,0.1797
34,C,C,C,1,1,0,2.6465,1.4219
35,B,C,A,0,0,1,1.8574,1.6797
36,D,D,D,1,1,0,1.2969,0.9375
37,B,B,A,1,0,1,0.5,3.127
38,D,D,A,1,0,1,0.4238,0.2344
39,C,C,A,1,0,1,0.6875,1.166
40,D,C,A,0,0,1,0.0625,0.125
41,C,C,A,1,0,1,2.0762,0.5
42,C,C,C,1,1,0,2.3613,1.2031
43,C,C,C,1,1,0,1.7969,1.1582
44,B,B,B,1,1,0,3.1543,2.4219
45,A,A,A,1,1,0,1.1875,2.4746
46,C,C,C,1,1,0,3.127,1.6738
47,A,A,A,1,1,0,1.5449,3.1504
48,D,D,D,1,1,0,1.2031,1.5801
49,D,A,A,0,0,0,0.1094,0.0469
50,B,A,A,0,0,0,1.0703,2.1816
51,D,D,A,1,0,1,1.5781,0.0781
52,A,A,A,1,1,0,3.0156,4.2148
53,A,A,A,1,1,0,0.5469,0.1094
54,A,A,A,1,1,0,0.1328,0.2949
55,B,B,B,1,1,0,2.1426,1.0781
56,C,D,D,0,0,0,1.6406,1.0156
57,B,B,B,1,1,0,2.4443,0.8047
58,B,B,A,1,0,1,2.5234,0.6777
59,D,D,D,1,1,0,1.4297,1.3906
60,B,B,B,1,1,0,1.8848,0.1875
61,B,B,A,1,0,1,0.7109,0.3887
62,C,C,C,1,1,0,3.9531,2.5312
63,C,C,C,1,1,0,1.9082,1.0469
64,B,B,B,1,1,0,2.248,1.2031
65,C,C,C,1,1,0,3.0293,1.2344
66,B,B,B,1,1,0,0.2422,0.7012
67,C,C,C,1,1,0,1.1406,0.4844
68,A,A,A,1,1,0,2.6348,3.6719
69,D,D,D,1,1,0,1.6699,0.1562
70,C,C,C,1,1,0,3.6875,1.5938
71,C,C,C,1,1,0,2.4355,0.625
72,A,A,A,1,1,0,1.5645,3.3984
73,D,D,D,1,1,0,2.6738,0.4707
74,A,A,A,1,1,0,0.5156,3.9688
75,C,C,A,1,0,1,0.0312,1.2734
76,D,D,D,1,1,0,1.6484,1.2754
77,A,A,A,1,1,0,0.7031,1.7207
78,B,B,B,1,1,0,2.2422,1.8906
79,D,D,A,1,0,1,0.7344,0.0078
80,B,C,A,0,0,1,0.498,0.1719
81,A,A,A,1,1,0,3.0938,3.6953
82,A,A,A,1,1,0,1.9453,3.6484
83,B,B,A,1,0,1,0.375,1.752
84,C,C,A,1,0,1,2.0488,0.2832
85,C,C,C,1,1,0,2.8438,0.5625
86,A,A,A,1,1,0,2.1074,4.0137
87,C,C,C,1,1,0,1.9766,0.7656
88,D,D,D,1,1,0,0.0938,0.1406
89,C,C,C,1,1,0,2.2812,0.7969
90,D,D,D,1,1,0,0.8438,1.0
91,A,A,A,1,1,0,1.3906,2.0859
92,D,D,A,1,0,1,0.2344,0.6074
93,A,A,A,1,1,0,2.0176,3.7246
94,A,A,A,1,1,0,1.0156,3.7891
95,D,D,D,1,1,0,1.1406,0.4219
96,A,A,A,1,1,0,1.1074,2.5215
97,A,A,A,1,1,0,2.4238,3.1406
98,B,A,A,0,0,0,0.1328,1.6719
99,C,C,A,1,0,1,0.7324,0.1094
100,A,A,A,1,1,0,0.7734,1.8984
101,D,C,A,0,0,1,1.0312,0.1641
102,B,B,B,1,1,0,1.4199,1.1895
103,D,D,D,1,1,0,2.8027,2.373
104,B,B,B,1,1,0,1.2578,0.0625
105,C,C,A,1,0,1,2.7441,0.0234
106,B,B,B,1,1,0,2.2344,0.9082
107,A,A,A,1,1,0,1.6895,2.1797
108,B,C,A,0,0,1,0.3887,0.2812
109,C,C,C,1,1,0,2.6582,1.2188
110,D,D,D,1,1,0,1.5332,1.2734
111,A,A,A,1,1,0,1.5938,3.0547
112,B,A,A,0,0,0,0.1094,0.0625
113,D,D,D,1,1,0,1.041,1.0137
114,D,D,D,1,1,0,2.7324,2.2949
115,D,D,A,1,0,1,1.1582,0.625
116,B,B,A,1,0,1,2.3203,0.0312
117,A,A,A,1,1,0,2.9375,3.9844
118,C,C,C,1,1,0,2.6562,0.7969
119,A,A,A,1,1,0,2.5488,3.7246
120,A,A,A,1,1,0,1.0625,0.8906
121,B,A,A,0,0,0,0.3125,1.9219
122,C,C,C,1,1,0,3.123,0.7051
123,A,A,A,1,1,0,3.791,5.2773
124,B,C,A,0,0,1,0.0781,3.2246
125,C,C,C,1,1,0,2.9688,0.8457
126,A,A,A,1,1,0,0.1719,0.2188
127,C,C,C,1,1,0,2.3613,1.625
128,B,B,B,1,1,0,2.5957,0.5
129,D,C,A,0,0,1,1.2812,0.6484
130,D,D,A,1,0,1,0.2734,0.3613
131,A,A,A,1,1,0,3.1543,4.8535
132,D,D,A,1,0,1,1.3906,2.4434
133,C,C,A,1,0,1,1.0312,0.4375
134,C,C,C,1,1,0,2.1406,1.2344
135,C,C,C,1,1,0,1.9941,0.7188
136,C,C,C,1,1,0,2.8613,0.2812
137,D,D,D,1,1,0,2.5469,0.5469
138,A,A,A,1,1,0,2.1855,3.3066
139,C,A,A,0,0,0,1.1387,3.4688
