idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,1.2891,1.0156
1,A,A,A,1,1,0,1.3281,1.2656
2,B,A,A,0,0,0,0.5469,0.3438
3,C,B,B,0,0,0,0.5781,0.7334
4,C,B,B,0,0,0,0.6094,0.5
5,C,B,B,0,0,0,0.5781,0.9219
6,A,A,A,1,1,0,1.4072,1.0625
7,B,A,A,0,0,0,0.6406,0.0635
8,C,B,B,0,0,0,0.3584,0.6396
9,B,B,B,1,1,0,0.2812,0.5781
10,B,A,A,0,0,0,1.0166,0.7969
11,C,A,A,0,0,0,0.6396,0.3584
12,C,B,B,0,0,0,0.1719,0.2344
13,B,A,A,0,0,0,0.5781,0.2656
14,B,A,A,0,0,0,0.624,0.0625
15,C,B,B,0,0,0,0.1562,0.5625
16,B,B,B,1,1,0,0.5459,0.5938
17,C,B,B,0,0,0,0.1719,0.2656
18,A,A,A,1,1,0,2.0332,1.8516
19,A,A,A,1,1,0,1.4697,0.8281
20,C,B,B,0,0,0,0.5166,0.4375
21,B,A,A,0,0,0,0.4072,0.1416
22,C,B,B,0,0,0,0.4062,0.5156
23,C,A,A,0,0,0,2.3438,2.2822
24,C,C,B,1,0,1,0.1562,0.2656
25,B,B,B,1,1,0,0.1875,0.4219
26,C,B,B,0,0,0,0.5781,0.3125
27,C,B,B,0,0,0,0.2188,0.2188
28,C,B,B,0,0,0,0.5312,0.25
29,B,B,B,1,1,0,0.0469,0.5
30,B,A,A,0,0,0,0.0469,0.0469
31,B,A,B,0,1,1,0.5156,0.1406
32,B,A,A,0,0,0,0.3594,0.125
33,B,A,A,0,0,0,0.5,0.5479
34,A,A,A,1,1,0,2.2988,2.126
35,C,B,B,0,0,0,0.3594,0.1875
36,A,A,A,1,1,0,1.2656,1.7344
37,B,A,A,0,0,0,1.0469,0.4531
38,C,B,B,0,0,0,0.5479,0.7666
39,C,A,A,0,0,0,0.7344,0.0156
40,A,A,A,1,1,0,1.7812,1.3125
41,B,A,A,0,0,0,0.9531,0.8604
42,B,A,A,0,0,0,1.5781,1.5781
43,A,A,A,1,1,0,1.9053,1.9072
44,A,A,A,1,1,0,2.4854,1.9053
45,A,A,A,1,1,0,1.9531,1.5166
46,C,A,B,0,0,1,0.0625,0.1719
47,B,A,A,0,0,0,0.7969,0.6553
48,C,A,A,0,0,0,0.3896,0.0938
49,C,B,B,0,0,0,0.3906,0.5
50,C,B,B,0,0,0,0.2969,0.125
51,A,A,A,1,1,0,1.4375,1.3135
52,C,B,B,0,0,0,0.0625,0.5
53,A,A,A,1,1,0,1.7197,1.751
54,A,A,A,1,1,0,2.1719,2.001
55,C,B,B,0,0,0,0.375,0.8447
56,A,A,A,1,1,0,2.0459,1.9375
57,C,B,B,0,0,0,0.1719,0.4688
58,C,B,B,0,0,0,0.1875,0.6719
59,A,A,A,1,1,0,1.5459,1.4219
60,A,A,A,1,1,0,2.376,1.7959
61,C,A,B,0,0,1,0.125,0.3447
62,A,A,A,1,1,0,1.9375,1.9219
63,B,A,A,0,0,0,0.3438,0.4062
64,A,A,A,1,1,0,2.375,1.9854
65,C,B,B,0,0,0,0.4062,0.3594
66,A,A,A,1,1,0,1.5469,1.1562
67,C,B,B,0,0,0,0.2031,0.7031
68,B,A,A,0,0,0,0.2969,0.5146
69,A,A,A,1,1,0,1.7334,1.4385
70,B,A,A,0,0,0,0.3281,0.2031
71,B,A,B,0,1,1,0.1094,0.125
72,C,B,B,0,0,0,0.2812,0.2812
73,A,A,A,1,1,0,2.1406,2.3906
74,B,A,A,0,0,0,0.9697,1.0156
75,C,A,B,0,0,1,0.2031,0.2656
76,A,A,A,1,1,0,2.3438,1.6729
77,A,A,A,1,1,0,1.2666,1.0312
78,B,B,B,1,1,0,0.0156,0.125
79,A,A,A,1,1,0,2.0771,1.8115
80,C,B,B,0,0,0,0.0781,0.4531
81,B,A,A,0,0,0,0.75,0.6094
82,B,A,A,0,0,0,0.4072,0.4697
83,A,A,A,1,1,0,1.9385,1.7656
84,A,A,A,1,1,0,1.7959,1.5703
85,A,A,A,1,1,0,1.9072,2.0146
86,C,B,B,0,0,0,0.2969,0.375
87,C,B,B,0,0,0,0.1562,0.3906
88,C,B,B,0,0,0,0.3438,0.5156
89,A,A,A,1,1,0,2.0166,1.7959
