model,task,perturbation,category,base_acc,pert_acc,acc_drop,flip_rate,d_sem,sensitivity_score,direction,collapsed
llama3.1-8b-instruct,mnli,lex_rewrite,lexical,44.33,63.33,-19.0,0.4033,0.111398,7.6633,improvement,False
llama3.1-8b-instruct,mnli,lex_typo,lexical,44.33,41.33,3.0,0.32,0.503901,0.96,drop,False
llama3.1-8b-instruct,mnli,lex_lowercase,lexical,44.33,50.0,-5.67,0.07,0.0,0.3967,improvement,False
llama3.1-8b-instruct,mnli,struct_inst_first,structural,44.33,57.67,-13.33,0.4,0.0,5.3333,improvement,False
llama3.1-8b-instruct,mnli,ctx_role,contextual,44.33,45.33,-1.0,0.29,0.036142,0.29,improvement,False
llama3.1-8b-instruct,mnli,ctx_irrelevant,contextual,44.33,44.33,0.0,0.08,0.061145,0.0,no_change,False
llama3.1-8b-instruct,mnli,fmt_caps,formatting,44.33,39.33,5.0,0.1,0.0,0.5,drop,True
llama3.1-8b-instruct,mnli,fmt_separators,formatting,44.33,52.0,-7.67,0.1,0.0,0.7667,improvement,False
llama3.1-8b-instruct,mnli,instruction_rewrite,rewrite,44.33,60.67,-16.33,0.3867,0.148178,6.3156,improvement,False
llama3.1-8b-instruct,bbh_date,lex_rewrite,lexical,46.0,44.8,1.2,0.028,0.06795,0.0336,drop,False
llama3.1-8b-instruct,bbh_date,lex_typo,lexical,46.0,41.6,4.4,0.248,0.568062,1.0912,drop,False
llama3.1-8b-instruct,bbh_date,lex_lowercase,lexical,46.0,47.6,-1.6,0.04,0.0,0.064,improvement,False
llama3.1-8b-instruct,bbh_date,struct_inst_first,structural,46.0,42.8,3.2,0.26,0.0,0.832,drop,False
llama3.1-8b-instruct,bbh_date,ctx_role,contextual,46.0,45.6,0.4,0.088,0.415939,0.0352,drop,False
llama3.1-8b-instruct,bbh_date,ctx_irrelevant,contextual,46.0,45.6,0.4,0.092,0.374796,0.0368,drop,False
llama3.1-8b-instruct,bbh_date,fmt_caps,formatting,46.0,44.0,2.0,0.188,0.0,0.376,drop,False
llama3.1-8b-instruct,bbh_date,fmt_separators,formatting,46.0,42.8,3.2,0.196,0.0,0.6272,drop,False
llama3.1-8b-instruct,bbh_date,instruction_rewrite,rewrite,46.0,41.6,4.4,0.22,0.497741,0.968,drop,False
llama3.1-8b-instruct,arc,lex_rewrite,lexical,80.0,78.33,1.67,0.04,0.287199,0.0667,drop,False
llama3.1-8b-instruct,arc,lex_typo,lexical,80.0,73.33,6.67,0.12,0.584679,0.8,drop,False
llama3.1-8b-instruct,arc,lex_lowercase,lexical,80.0,79.33,0.67,0.01,0.0,0.0067,drop,False
llama3.1-8b-instruct,arc,struct_inst_first,structural,80.0,77.33,2.67,0.09,0.0,0.24,drop,False
llama3.1-8b-instruct,arc,ctx_role,contextual,80.0,79.67,0.33,0.0367,0.399555,0.0122,drop,False
llama3.1-8b-instruct,arc,ctx_irrelevant,contextual,80.0,80.33,-0.33,0.0467,0.384786,0.0156,improvement,False
llama3.1-8b-instruct,arc,fmt_caps,formatting,80.0,79.0,1.0,0.04,0.0,0.04,drop,False
llama3.1-8b-instruct,arc,fmt_separators,formatting,80.0,79.0,1.0,0.0733,0.0,0.0733,drop,False
llama3.1-8b-instruct,arc,instruction_rewrite,rewrite,80.0,80.0,0.0,0.0433,0.338404,0.0,no_change,False
gemma2-9b-it,mnli,lex_rewrite,lexical,58.33,60.33,-2.0,0.3133,0.111398,0.6267,improvement,False
gemma2-9b-it,mnli,lex_typo,lexical,58.33,57.0,1.33,0.1933,0.503901,0.2578,drop,False
gemma2-9b-it,mnli,lex_lowercase,lexical,58.33,58.67,-0.33,0.0433,0.0,0.0144,improvement,False
gemma2-9b-it,mnli,struct_inst_first,structural,58.33,71.67,-13.33,0.2967,0.0,3.9556,improvement,False
gemma2-9b-it,mnli,ctx_role,contextual,58.33,52.33,6.0,0.1467,0.036142,0.88,drop,False
gemma2-9b-it,mnli,ctx_irrelevant,contextual,58.33,59.67,-1.33,0.0533,0.061145,0.0711,improvement,False
gemma2-9b-it,mnli,fmt_caps,formatting,58.33,55.0,3.33,0.13,0.0,0.4333,drop,False
gemma2-9b-it,mnli,fmt_separators,formatting,58.33,57.67,0.67,0.0467,0.0,0.0311,drop,False
gemma2-9b-it,mnli,instruction_rewrite,rewrite,58.33,61.67,-3.33,0.27,0.148178,0.9,improvement,False
gemma2-9b-it,bbh_date,lex_rewrite,lexical,58.0,57.6,0.4,0.016,0.06795,0.0064,drop,False
gemma2-9b-it,bbh_date,lex_typo,lexical,58.0,58.0,0.0,0.036,0.568062,0.0,no_change,False
