idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,4.4062,5.5017
1,A,A,A,1,1,0,3.6725,1.1716
2,B,B,B,1,1,0,0.0625,3.5788
3,C,B,B,0,0,0,5.5454,6.3675
4,C,C,C,1,1,0,6.3273,5.6107
5,C,C,C,1,1,0,8.5108,7.8453
6,A,B,B,0,0,0,5.4532,5.6543
7,B,B,B,1,1,0,6.4758,7.3144
8,C,B,B,0,0,0,3.7661,5.017
9,B,B,B,1,1,0,7.1249,7.5955
10,B,B,B,1,1,0,4.282,5.47
11,C,B,B,0,0,0,4.1422,4.7663
12,C,B,B,0,0,0,5.314,6.147
13,B,B,B,1,1,0,7.6806,8.3658
14,B,B,B,1,1,0,3.7965,5.7046
15,C,B,B,0,0,0,1.0779,3.7653
16,B,B,B,1,1,0,5.8887,7.0096
17,C,B,B,0,0,0,6.2483,6.8212
18,A,B,B,0,0,0,3.8286,4.313
19,A,A,B,1,0,1,2.7654,1.2659
20,C,B,B,0,0,0,0.6096,4.6408
21,B,B,B,1,1,0,5.7751,6.2656
22,C,C,B,1,0,1,5.314,5.344
23,C,B,B,0,0,0,2.1097,4.0767
24,C,C,C,1,1,0,8.5354,8.1145
25,B,B,B,1,1,0,7.2818,7.8499
26,C,B,B,0,0,0,3.4059,4.9671
27,C,C,C,1,1,0,5.6419,0.625
28,C,B,B,0,0,0,5.7794,6.0313
29,B,B,B,1,1,0,4.702,5.3902
30,B,B,B,1,1,0,5.8764,6.5633
31,B,B,B,1,1,0,5.9779,6.8758
32,B,B,B,1,1,0,5.3298,6.173
33,B,B,B,1,1,0,6.1083,6.6105
34,A,B,B,0,0,0,3.4846,3.5007
35,C,B,B,0,0,0,6.5697,7.3454
36,A,A,A,1,1,0,4.5464,3.9842
37,B,B,B,1,1,0,3.4691,5.5783
38,C,C,B,1,0,1,0.6091,5.1876
39,C,B,B,0,0,0,4.8115,6.4606
40,A,A,A,1,1,0,7.6418,5.0152
41,B,B,B,1,1,0,4.0922,5.0794
42,B,B,B,1,1,0,5.8577,6.4853
43,A,B,B,0,0,0,2.5156,3.9071
44,A,A,A,1,1,0,7.0173,5.5611
45,A,A,B,1,0,1,1.4691,0.4841
46,C,B,B,0,0,0,1.9849,4.7984
47,B,B,B,1,1,0,4.8606,5.994
48,C,A,A,0,0,0,0.3594,1.0935
49,C,C,B,1,0,1,4.9224,5.7648
50,C,C,B,1,0,1,5.8997,5.2663
51,A,A,A,1,1,0,7.7129,7.9598
52,C,C,C,1,1,0,6.8197,7.0317
53,A,B,B,0,0,0,4.9054,6.211
54,A,B,B,0,0,0,5.9997,6.6342
55,C,B,B,0,0,0,5.3759,6.6183
56,A,B,B,0,0,0,6.1411,5.9534
57,C,B,B,0,0,0,4.3284,4.7798
58,C,B,B,0,0,0,3.9678,5.2652
59,A,B,B,0,0,0,3.8118,5.5773
60,A,A,A,1,1,0,8.2172,7.9989
61,C,B,B,0,0,0,6.1158,6.54
62,A,B,B,0,0,0,5.1873,5.4235
63,B,B,B,1,1,0,6.8762,7.4907
64,A,A,A,1,1,0,7.3675,7.3376
65,C,B,B,0,0,0,4.9992,5.6576
66,A,B,B,0,0,0,5.1552,6.1244
67,C,B,B,0,0,0,5.7189,6.6182
68,B,B,B,1,1,0,0.8596,3.9376
69,A,A,B,1,0,1,2.4688,1.1094
70,B,A,B,0,1,1,0.7654,3.6714
71,B,B,B,1,1,0,4.4208,5.9524
72,C,B,B,0,0,0,5.5171,6.5248
73,A,B,B,0,0,0,4.8288,6.1645
74,B,A,B,0,1,1,0.1406,4.7675
75,C,B,B,0,0,0,4.5783,5.9912
76,A,A,A,1,1,0,5.6426,5.2352
77,A,A,B,1,0,1,0.5935,3.7035
78,B,B,B,1,1,0,5.5642,6.5158
79,A,A,A,1,1,0,3.9695,4.1232
80,C,B,B,0,0,0,2.2971,3.281
81,B,A,B,0,1,1,2.9679,4.375
82,B,B,B,1,1,0,6.6004,7.2436
83,A,B,B,0,0,0,6.2343,5.8119
84,A,A,A,1,1,0,8.186,8.6085
85,A,B,B,0,0,0,5.5766,6.3918
86,C,B,B,0,0,0,5.4141,6.139
87,C,B,B,0,0,0,5.439,6.3352
88,C,B,B,0,0,0,4.7171,5.6233
89,A,A,A,1,1,0,4.3892,5.9203
90,C,B,B,0,0,0,6.9067,7.4471
91,C,C,C,1,1,0,6.7648,5.7047
92,A,A,A,1,1,0,4.5454,1.5468
93,A,A,A,1,1,0,5.686,4.594
94,A,B,B,0,0,0,1.3435,3.0161
95,A,A,A,1,1,0,6.1247,7.8583
96,A,B,B,0,0,0,4.8888,5.764
97,B,B,B,1,1,0,3.4529,5.4512
98,C,C,C,1,1,0,6.7106,6.3282
99,A,A,A,1,1,0,5.0616,4.7831
100,C,C,C,1,1,0,7.452,5.0955
101,A,A,B,1,0,1,0.8435,2.422
102,A,B,B,0,0,0,3.1879,5.5138
103,C,C,C,1,1,0,9.0901,9.0052
104,C,C,C,1,1,0,5.959,5.6253
105,B,B,B,1,1,0,4.5928,5.9687
106,B,B,B,1,1,0,3.6245,5.6077
107,B,B,B,1,1,0,4.4678,6.0545
108,C,C,C,1,1,0,8.0754,8.7166
109,B,B,B,1,1,0,5.5138,6.3982
110,A,B,A,0,1,1,0.5312,0.531
111,B,B,B,1,1,0,4.5301,6.016
112,A,B,B,0,0,0,4.5615,5.8276
113,B,B,B,1,1,0,4.4997,6.257
