idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,A,1,0,1,0.2891,0.1328
1,A,A,A,1,1,0,0.0,0.6719
2,B,A,A,0,0,0,0.1484,1.0176
3,E,E,A,1,0,1,0.1641,0.5059
4,B,C,A,0,0,1,0.1484,0.2422
5,B,A,A,0,0,0,0.2656,1.4375
6,A,A,A,1,1,0,0.3516,1.2109
7,B,B,B,1,1,0,0.7188,0.3984
8,D,A,A,0,0,0,0.2891,1.3828
9,B,A,A,0,0,0,0.0391,1.6953
10,C,D,A,0,0,1,0.1172,1.0781
11,B,B,B,1,1,0,1.2969,0.375
12,E,A,A,0,0,0,0.3438,1.0488
13,B,A,A,0,0,0,0.2734,1.6113
14,B,E,A,0,0,1,0.0547,0.5625
15,D,D,A,1,0,1,0.1875,0.9551
16,E,E,A,1,0,1,0.3359,1.2344
17,A,B,A,0,1,1,0.0703,0.3984
18,C,A,A,0,0,0,0.3984,0.3672
19,E,B,A,0,0,1,0.375,0.1016
20,B,A,A,0,0,0,0.5469,2.0234
21,B,B,A,1,0,1,0.0078,0.6875
22,D,A,A,0,0,0,0.4375,2.0488
23,C,B,A,0,0,1,0.1484,0.3496
24,A,F,A,0,1,1,0.3359,0.9922
25,D,A,A,0,0,0,0.7031,2.248
26,F,E,A,0,0,1,0.0391,0.4844
27,B,B,A,1,0,1,0.0938,0.6719
28,F,B,B,0,0,0,0.9297,0.1875
29,D,E,A,0,0,1,0.3594,0.5625
30,E,B,A,0,0,1,0.0234,0.7656
31,C,A,A,0,0,0,0.5938,1.3984
32,B,B,B,1,1,0,0.3438,0.084
33,F,F,A,1,0,1,0.5547,0.3438
34,D,A,A,0,0,0,0.0625,1.3203
35,D,A,A,0,0,0,0.1875,1.6953
36,B,A,A,0,0,0,0.1172,0.6953
37,B,B,A,1,0,1,0.1094,0.2578
38,B,A,A,0,0,0,0.1016,1.4746
39,A,F,A,0,1,1,0.0156,1.1328
40,B,B,A,1,0,1,0.3281,0.5469
41,E,A,A,0,0,0,0.0312,1.0469
42,E,A,A,0,0,0,0.5781,1.6484
43,A,A,A,1,1,0,0.3438,1.4531
44,D,D,A,1,0,1,0.3359,1.4922
45,F,A,A,0,0,0,0.2266,0.9316
46,C,A,A,0,0,0,0.0859,1.0312
47,E,B,A,0,0,1,0.1406,1.2031
48,F,F,F,1,1,0,1.1895,0.7324
49,B,A,A,0,0,0,0.5938,2.502
50,E,E,A,1,0,1,0.3438,0.2188
51,D,D,A,1,0,1,0.2891,0.4863
52,D,F,F,0,0,0,1.0234,0.7656
53,B,B,A,1,0,1,0.1094,1.6094
54,A,A,A,1,1,0,1.3828,1.4434
55,C,B,A,0,0,1,0.2578,0.9062
56,A,A,A,1,1,0,1.5781,2.1172
57,A,A,A,1,1,0,0.4844,1.8281
58,F,F,A,1,0,1,0.0312,1.0859
59,D,D,D,1,1,0,0.6797,0.0078
60,E,E,A,1,0,1,0.2188,0.4766
61,B,A,A,0,0,0,0.125,1.1875
62,D,E,A,0,0,1,0.1484,0.334
63,E,E,A,1,0,1,0.0859,0.8301
64,D,A,A,0,0,0,0.4219,0.9688
65,B,A,A,0,0,0,0.3594,1.1484
66,A,A,A,1,1,0,0.2422,1.625
67,C,A,A,0,0,0,0.1328,0.4922
68,E,A,A,0,0,0,0.4297,0.4453
69,F,B,A,0,0,1,0.0234,0.9766
70,A,A,A,1,1,0,0.8125,1.7812
71,F,B,A,0,0,1,0.1016,0.7188
72,F,F,A,1,0,1,0.5918,0.2812
73,D,F,A,0,0,1,0.6094,1.6172
74,C,A,A,0,0,0,0.0,1.1855
75,E,E,A,1,0,1,0.1016,0.7812
76,A,A,A,1,1,0,0.0703,0.8281
77,E,A,A,0,0,0,0.0938,1.0449
78,F,E,A,0,0,1,0.2422,0.7891
79,A,A,A,1,1,0,0.7188,2.2812
80,E,B,A,0,0,1,0.1094,0.5703
81,E,E,E,1,1,0,0.4043,0.2031
82,B,B,B,1,1,0,0.6172,0.3672
83,B,B,A,1,0,1,0.0391,1.3281
84,A,A,A,1,1,0,0.0938,1.4922
85,C,A,A,0,0,0,0.5938,1.8906
86,E,E,E,1,1,0,0.9688,0.8301
87,A,A,A,1,1,0,0.2344,1.2422
88,B,A,A,0,0,0,0.2188,1.0781
89,A,A,A,1,1,0,0.25,1.1641
90,C,B,A,0,0,1,0.2969,0.3965
91,D,F,B,0,0,1,0.1016,0.0234
92,E,E,E,1,1,0,0.3652,0.0469
93,C,C,A,1,0,1,0.0625,1.0547
94,F,E,A,0,0,1,0.0938,0.8281
95,E,E,A,1,0,1,0.8125,0.0547
96,E,B,A,0,0,1,0.5469,0.4141
97,E,E,A,1,0,1,0.1172,0.7812
98,B,A,A,0,0,0,0.0938,0.7812
99,F,A,A,0,0,0,0.0391,0.3906
100,C,A,A,0,0,0,0.1484,0.7734
101,D,A,A,0,0,0,0.3984,1.2598
102,C,A,A,0,0,0,0.0234,0.6328
103,A,A,A,1,1,0,0.3281,1.9141
104,F,B,A,0,0,1,0.5156,0.2578
105,C,B,A,0,0,1,0.3359,1.1484
106,D,A,A,0,0,0,0.3125,1.6719
107,B,B,B,1,1,0,1.209,0.8516
108,F,A,A,0,0,0,0.0938,1.6328
109,C,B,B,0,0,0,0.3438,0.4375
110,B,A,A,0,0,0,0.5,1.7715
111,D,D,A,1,0,1,0.5781,0.3281
112,D,C,A,0,0,1,0.2812,0.2578
113,F,F,F,1,1,0,0.7168,0.4082
114,E,B,A,0,0,1,0.1328,0.2188
115,B,C,A,0,0,1,0.0625,0.2969
116,C,A,A,0,0,0,0.3047,2.5078
117,C,E,A,0,0,1,0.0156,0.6328
118,F,A,A,0,0,0,0.0625,1.0137
119,E,E,E,1,1,0,0.8984,0.9219
120,A,A,A,1,1,0,0.1953,0.2812
121,B,A,A,0,0,0,0.4297,1.3594
122,E,A,A,0,0,0,0.3418,1.0938
123,E,A,A,0,0,0,0.3906,1.5625
124,B,B,B,1,1,0,1.4766,0.7422
125,B,D,A,0,0,1,0.1094,1.1562
126,C,C,A,1,0,1,0.6016,0.1094
127,C,A,A,0,0,0,0.2656,1.4121
128,C,E,A,0,0,1,0.2344,1.2031
129,F,F,F,1,1,0,0.7363,0.9746
130,B,B,A,1,0,1,0.0547,0.9785
131,E,E,A,1,0,1,0.2422,0.0703
132,B,B,A,1,0,1,0.1172,0.3828
133,F,F,F,1,1,0,0.7578,0.248
134,C,A,A,0,0,0,0.0469,0.8047
135,B,A,A,0,0,0,0.2031,1.0781
136,F,A,A,0,0,0,0.0,0.9062
137,A,A,A,1,1,0,1.1406,1.6406
138,F,B,A,0,0,1,0.0312,0.459
139,E,A,A,0,0,0,0.2266,0.6172
140,D,C,A,0,0,1,0.0781,1.0703
141,A,A,A,1,1,0,0.8438,1.4766
142,E,A,A,0,0,0,0.0625,0.4844
143,B,A,A,0,0,0,0.0625,0.4922
144,F,B,A,0,0,1,0.0312,0.3594
145,B,B,A,1,0,1,0.1875,0.6699
146,E,F,A,0,0,1,0.2188,0.4297
147,D,A,A,0,0,0,0.375,1.3047
148,D,A,A,0,0,0,0.8516,2.3594
149,D,A,A,0,0,0,0.4609,1.7969
150,A,F,A,0,1,1,0.3047,1.6562
151,B,B,A,1,0,1,0.2734,0.2109
152,A,A,A,1,1,0,1.0156,1.3496
153,A,A,A,1,1,0,0.3418,1.9434
154,C,A,A,0,0,0,0.3125,1.6953
155,D,B,B,0,0,0,1.3691,0.5391
156,A,F,A,0,1,1,0.5,0.4219
157,D,F,F,0,0,0,0.873,1.2031
158,B,B,B,1,1,0,0.2969,0.0391
159,A,A,A,1,1,0,1.125,2.2031
160,D,D,A,1,0,1,0.2578,1.3145
161,A,A,A,1,1,0,0.2344,0.8281
162,A,F,A,0,1,1,0.0859,0.7656
163,C,E,A,0,0,1,0.1562,0.5312
164,C,B,B,0,0,0,0.3359,0.0312
165,A,A,A,1,1,0,0.2891,2.0
166,F,F,A,1,0,1,0.7344,0.5547
167,D,A,A,0,0,0,0.6875,1.752
168,E,E,A,1,0,1,0.0234,0.4531
169,A,A,A,1,1,0,0.1562,1.0547
170,C,A,A,0,0,0,0.2344,1.3125
171,A,E,A,0,1,1,0.0938,0.334
172,C,A,A,0,0,0,0.5703,1.3984
173,A,B,A,0,1,1,0.0781,1.6016
174,A,A,A,1,1,0,0.8672,1.4219
175,B,F,F,0,0,0,1.0293,0.5
176,B,A,A,0,0,0,0.3906,1.2871
177,A,F,A,0,1,1,0.5625,1.625
178,E,E,F,1,0,1,0.0703,0.5156
179,A,C,A,0,1,1,0.1172,0.7266
180,D,A,A,0,0,0,0.3262,1.3125
181,B,B,A,1,0,1,0.4609,1.0938
182,F,F,F,1,1,0,1.125,1.0684
183,F,B,A,0,0,1,0.0938,1.1484
