idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,7.0928,12.0937
1,A,A,A,1,1,0,7.2493,9.0624
2,B,B,B,1,1,0,11.0,10.9375
3,C,C,C,1,1,0,19.3281,20.5156
4,C,C,C,1,1,0,17.8906,20.5469
5,C,C,C,1,1,0,17.4062,19.3125
6,A,B,B,0,0,0,14.4062,12.9062
7,B,B,B,1,1,0,4.8122,5.2173
8,C,C,C,1,1,0,3.2186,2.7817
9,B,C,C,0,0,0,2.5309,4.3742
10,B,B,B,1,1,0,14.0,14.25
11,C,C,C,1,1,0,8.5623,10.25
12,C,C,C,1,1,0,6.8427,10.2812
13,B,B,B,1,1,0,12.4062,12.8437
14,B,B,B,1,1,0,9.1561,9.9062
15,C,C,C,1,1,0,14.6875,16.4062
16,B,B,B,1,1,0,13.6094,13.25
17,C,C,C,1,1,0,1.9689,4.3742
18,A,A,A,1,1,0,9.8124,12.375
19,A,A,A,1,1,0,5.3114,5.625
20,C,C,C,1,1,0,14.4687,17.6719
21,B,B,B,1,1,0,7.687,9.7499
22,C,C,C,1,1,0,18.125,19.2031
23,C,A,A,0,0,0,17.9531,17.625
24,C,C,C,1,1,0,20.1562,20.9531
25,B,B,B,1,1,0,11.5312,11.0937
26,C,C,C,1,1,0,15.5312,17.6562
27,C,C,C,1,1,0,17.4531,18.625
28,C,B,B,0,0,0,6.1894,6.4359
29,B,C,C,0,0,0,2.4059,8.0622
30,B,B,B,1,1,0,11.375,10.0312
31,B,B,B,1,1,0,3.9059,3.2491
32,B,B,B,1,1,0,15.0469,14.1562
33,B,B,B,1,1,0,10.0625,8.406
34,A,A,A,1,1,0,4.2831,10.375
35,C,C,C,1,1,0,5.9074,6.3733
36,A,A,A,1,1,0,16.7812,16.6875
37,B,C,C,0,0,0,4.5323,3.5317
38,C,C,C,1,1,0,18.25,19.2188
39,C,C,C,1,1,0,15.8906,17.9688
40,A,A,A,1,1,0,1.9061,7.4369
41,B,B,B,1,1,0,8.7497,6.5952
42,B,B,B,1,1,0,11.2812,10.375
43,A,A,A,1,1,0,7.1867,9.4999
