idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,1.2891,0.5
1,A,A,A,1,1,0,1.3281,0.8428
2,B,A,B,0,1,1,0.5469,0.625
3,C,B,B,0,0,0,0.5781,0.2969
4,C,B,B,0,0,0,0.6094,0.6094
5,C,B,C,0,1,1,0.5781,0.0781
6,A,A,A,1,1,0,1.4072,0.4531
7,B,A,B,0,1,1,0.6406,0.8125
8,C,B,B,0,0,0,0.3584,0.4219
9,B,B,B,1,1,0,0.2812,0.5
10,B,A,A,0,0,0,1.0166,0.2188
11,C,A,B,0,0,1,0.6396,0.1094
12,C,B,B,0,0,0,0.1719,0.6562
13,B,A,B,0,1,1,0.5781,0.5
14,B,A,B,0,1,1,0.624,0.874
15,C,B,C,0,1,1,0.1562,0.438
16,B,B,B,1,1,0,0.5459,0.6558
17,C,B,B,0,0,0,0.1719,1.1406
18,A,A,A,1,1,0,2.0332,1.0312
19,A,A,A,1,1,0,1.4697,0.3594
20,C,B,B,0,0,0,0.5166,0.6089
21,B,A,B,0,1,1,0.4072,0.5781
22,C,B,B,0,0,0,0.4062,0.7656
23,C,A,A,0,0,0,2.3438,1.2041
24,C,C,C,1,1,0,0.1562,0.5938
25,B,B,B,1,1,0,0.1875,1.0146
26,C,B,B,0,0,0,0.5781,1.0947
27,C,B,B,0,0,0,0.2188,0.2188
28,C,B,B,0,0,0,0.5312,1.0781
29,B,B,B,1,1,0,0.0469,0.9072
30,B,A,B,0,1,1,0.0469,0.9688
31,B,A,B,0,1,1,0.5156,0.8286
32,B,A,B,0,1,1,0.3594,0.7812
33,B,A,B,0,1,1,0.5,0.7188
34,A,A,A,1,1,0,2.2988,1.2031
35,C,B,B,0,0,0,0.3594,1.0469
36,A,A,A,1,1,0,1.2656,1.0635
37,B,A,B,0,1,1,1.0469,0.4365
38,C,B,B,0,0,0,0.5479,0.7334
39,C,A,B,0,0,1,0.7344,0.4844
40,A,A,A,1,1,0,1.7812,0.5156
41,B,A,B,0,1,1,0.9531,0.9531
42,B,A,A,0,0,0,1.5781,1.0303
43,A,A,A,1,1,0,1.9053,1.0776
44,A,A,A,1,1,0,2.4854,0.7344
45,A,A,A,1,1,0,1.9531,0.9365
46,C,A,B,0,0,1,0.0625,0.5005
47,B,A,B,0,1,1,0.7969,0.0625
48,C,A,C,0,1,1,0.3896,0.0469
49,C,B,B,0,0,0,0.3906,0.8281
50,C,B,B,0,0,0,0.2969,0.1094
51,A,A,A,1,1,0,1.4375,1.1719
52,C,B,B,0,0,0,0.0625,0.875
53,A,A,A,1,1,0,1.7197,0.9375
54,A,A,A,1,1,0,2.1719,1.4697
