idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,2.0664,2.4531
1,A,A,A,1,1,0,1.4453,1.7578
2,B,A,A,0,0,0,2.2422,2.793
3,C,A,A,0,0,0,1.6328,1.793
4,C,A,A,0,0,0,1.7773,2.293
5,C,A,A,0,0,0,1.0703,1.3398
6,A,A,A,1,1,0,1.3398,1.8398
7,B,A,A,0,0,0,1.6289,2.1367
8,C,A,A,0,0,0,1.4766,1.8398
9,B,A,A,0,0,0,1.9648,2.2305
10,B,A,A,0,0,0,1.6406,1.9336
11,C,A,A,0,0,0,1.7617,1.918
12,C,A,A,0,0,0,1.7148,2.2266
13,B,A,A,0,0,0,1.6992,2.1758
14,B,A,A,0,0,0,1.5273,2.0508
15,C,A,A,0,0,0,1.5586,1.9023
16,B,A,A,0,0,0,1.8867,2.1562
17,C,A,A,0,0,0,1.8867,2.5508
18,A,A,A,1,1,0,1.5859,2.2344
19,A,A,A,1,1,0,1.6406,2.0625
20,C,A,A,0,0,0,2.0781,2.5234
21,B,A,A,0,0,0,1.1172,1.3984
22,C,A,A,0,0,0,1.5234,2.0625
23,C,A,A,0,0,0,2.2148,2.5703
24,C,A,A,0,0,0,1.2422,1.4609
25,B,A,A,0,0,0,1.5742,2.0234
26,C,A,A,0,0,0,1.8867,2.5938
27,C,A,A,0,0,0,2.1211,2.3086
28,C,A,A,0,0,0,1.2617,1.8398
29,B,A,A,0,0,0,1.8125,2.1055
30,B,A,A,0,0,0,1.4336,1.8906
31,B,A,A,0,0,0,1.7578,2.3516
32,B,A,A,0,0,0,1.9844,2.2969
33,B,A,A,0,0,0,1.7305,1.9922
34,A,A,A,1,1,0,1.6719,1.9531
35,C,A,A,0,0,0,1.1914,1.8047
36,A,A,A,1,1,0,1.4023,1.9766
37,B,A,A,0,0,0,1.1172,1.4492
38,C,A,A,0,0,0,1.793,2.2148
39,C,A,A,0,0,0,1.8828,2.2812
40,A,A,A,1,1,0,1.6953,2.3398
41,B,A,A,0,0,0,1.5586,2.0
42,B,A,A,0,0,0,2.2305,2.7031
43,A,A,A,1,1,0,1.793,1.9844
44,A,A,A,1,1,0,1.2109,1.7031
45,A,A,A,1,1,0,1.9922,2.4336
46,C,A,A,0,0,0,1.2891,1.8242
47,B,A,A,0,0,0,2.1367,2.3086
48,C,A,A,0,0,0,2.1562,2.6719
49,C,A,A,0,0,0,1.3672,1.7148
50,C,A,A,0,0,0,2.4609,2.6875
51,A,A,A,1,1,0,2.0352,2.3047
52,C,A,A,0,0,0,1.9258,2.3594
53,A,A,A,1,1,0,1.9961,2.1016
54,A,A,A,1,1,0,1.5625,1.8906
55,C,A,A,0,0,0,2.1133,2.5664
56,A,A,A,1,1,0,1.8008,2.7461
57,C,A,A,0,0,0,1.8555,2.1953
