idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,10.0754,12.8732
1,A,B,B,0,0,0,7.6559,6.6269
2,B,B,B,1,1,0,5.1893,5.4989
3,E,E,E,1,1,0,5.6232,9.5612
4,B,B,B,1,1,0,4.7505,8.4551
5,B,B,B,1,1,0,2.0623,3.1882
6,A,C,C,0,0,0,1.4685,0.7192
7,B,B,B,1,1,0,12.8906,13.7793
8,D,D,D,1,1,0,12.9853,14.4808
9,B,C,B,0,1,1,0.3438,0.625
10,C,C,C,1,1,0,1.7809,4.1232
11,B,B,B,1,1,0,14.3261,15.0485
12,E,E,E,1,1,0,2.8909,2.6562
13,B,B,B,1,1,0,1.7195,1.4379
14,B,B,B,1,1,0,11.4554,8.6543
15,D,B,D,0,1,1,0.9839,1.437
16,E,E,E,1,1,0,5.5321,7.3289
17,A,B,B,0,0,0,5.2031,3.9067
18,C,C,C,1,1,0,5.5151,6.1245
19,E,B,E,0,1,1,0.3125,2.6564
20,B,B,B,1,1,0,8.4526,9.0947
21,B,A,A,0,0,0,0.7188,8.3444
22,D,D,D,1,1,0,5.3116,7.7017
23,C,C,C,1,1,0,1.2815,3.2496
24,A,F,F,0,0,0,11.7943,8.6376
25,D,A,A,0,0,0,12.6552,11.1862
26,F,C,C,0,0,0,4.9057,5.936
27,B,B,B,1,1,0,3.4527,4.4996
28,F,B,B,0,0,0,8.4535,8.1233
29,D,D,D,1,1,0,2.5318,4.3604
30,E,E,E,1,1,0,4.0165,6.1078
31,C,C,A,1,0,1,1.4062,3.4687
32,B,B,B,1,1,0,4.3293,1.4061
33,F,F,F,1,1,0,2.3131,2.9072
34,D,D,D,1,1,0,8.1992,12.8422
35,D,D,D,1,1,0,1.5935,2.7648
36,B,B,B,1,1,0,2.6085,1.8754
37,B,B,B,1,1,0,7.7353,7.7801
38,B,B,B,1,1,0,10.4063,9.2961
39,A,A,A,1,1,0,4.8925,6.4685
40,B,B,B,1,1,0,11.6998,11.9208
41,E,B,B,0,0,0,11.6881,7.952
42,E,E,E,1,1,0,10.9881,11.5912
43,A,A,A,1,1,0,0.2188,0.9377
44,D,D,D,1,1,0,14.7504,14.0792
45,F,A,A,0,0,0,4.9674,6.8264
46,C,C,C,1,1,0,7.9833,11.6735
47,E,B,B,0,0,0,1.9994,2.218
48,F,F,F,1,1,0,10.2363,9.3787
49,B,D,D,0,0,0,3.1881,1.344
50,E,E,E,1,1,0,6.7201,5.6573
51,D,D,D,1,1,0,18.2682,18.5427
52,D,D,D,1,1,0,3.8747,4.7673
53,B,B,B,1,1,0,5.9674,7.516
54,A,A,A,1,1,0,15.6736,17.8854
55,C,C,C,1,1,0,5.6884,0.7185
56,A,A,A,1,1,0,18.088,20.0466
57,A,B,A,0,1,1,0.3745,1.437
58,F,F,F,1,1,0,2.4847,7.202
59,D,D,D,1,1,0,16.2451,17.0234
60,E,E,C,1,0,1,0.125,1.7496
61,B,B,B,1,1,0,4.3925,6.4233
62,D,B,D,0,1,1,0.4375,0.5627
63,E,C,C,0,0,0,15.8459,15.6578
64,D,D,D,1,1,0,9.234,10.5771
65,B,C,C,0,0,0,6.5016,10.4189
66,A,A,A,1,1,0,10.6092,15.0798
67,C,C,C,1,1,0,11.9077,16.1382
68,E,C,A,0,0,1,1.0315,2.9681
69,F,F,F,1,1,0,3.6556,2.0007
70,A,A,A,1,1,0,14.9401,15.9371
71,F,B,B,0,0,0,0.4062,3.7972
72,F,F,F,1,1,0,13.1246,12.2155
73,D,F,C,0,0,1,0.125,0.375
74,C,C,C,1,1,0,14.5033,16.0695
75,E,E,E,1,1,0,6.2043,8.4523
76,A,B,B,0,0,0,5.6557,6.9985
77,E,B,B,0,0,0,6.4204,9.7657
78,F,F,E,1,0,1,0.3433,0.4058
79,A,B,A,0,1,1,3.0623,8.2049
80,E,B,B,0,0,0,0.9995,2.0618
81,E,E,E,1,1,0,16.5232,17.3057
82,B,B,B,1,1,0,17.7533,14.8406
83,B,B,F,1,0,1,0.8755,1.7502
84,A,A,A,1,1,0,1.1877,2.4996
85,C,D,C,0,1,1,0.688,3.2663
86,E,E,E,1,1,0,8.8423,9.5323
87,A,A,A,1,1,0,17.2182,17.9215
88,B,D,D,0,0,0,1.3752,0.2974
89,A,A,A,1,1,0,3.1245,0.1562
90,C,C,C,1,1,0,0.6875,3.8747
91,D,B,B,0,0,0,1.1875,0.5627
92,E,E,E,1,1,0,3.0941,2.1569
93,C,B,B,0,0,0,2.4688,9.0141
94,F,A,F,0,1,1,1.5623,0.375
95,E,F,F,0,0,0,4.484,8.2165
96,E,C,C,0,0,0,3.3117,5.0925
97,E,D,D,0,0,0,3.5615,5.5475
98,B,A,A,0,0,0,2.0627,2.8126
99,F,E,A,0,0,1,0.6558,0.3125
100,C,C,C,1,1,0,8.39,10.781
101,D,D,D,1,1,0,2.7509,4.0636
102,C,C,C,1,1,0,7.7337,6.5643
103,A,B,B,0,0,0,1.063,1.1565
104,F,B,B,0,0,0,2.2185,12.9979
105,C,C,C,1,1,0,3.3436,6.313
106,D,A,A,0,0,0,1.1877,4.2962
107,B,B,B,1,1,0,14.2975,12.9965
108,F,A,A,0,0,0,4.4222,3.3751
109,C,B,B,0,0,0,11.7773,10.9831
110,B,B,A,1,0,1,0.125,1.4065
111,D,D,D,1,1,0,4.4705,2.1555
112,D,D,D,1,1,0,15.6095,15.2961
113,F,B,F,0,1,1,1.2969,6.6867
114,E,D,D,0,0,0,6.1707,4.2819
115,B,B,B,1,1,0,17.5465,17.333
116,C,C,C,1,1,0,8.2939,9.247
117,C,C,C,1,1,0,1.281,1.6249
118,F,F,F,1,1,0,6.0007,7.9208
119,E,E,E,1,1,0,12.7222,9.5126
120,A,C,C,0,0,0,17.4475,18.4946
121,B,B,B,1,1,0,0.5942,0.7183
122,E,E,D,1,0,1,0.8438,0.6255
123,E,A,A,0,0,0,1.2808,1.9375
124,B,B,B,1,1,0,19.584,19.7695
125,B,D,D,0,0,0,4.4056,2.2507
126,C,C,C,1,1,0,5.9357,10.9546
127,C,B,A,0,0,1,5.4071,0.8755
128,C,C,C,1,1,0,9.6268,8.0443
129,F,B,B,0,0,0,8.1726,10.5917
130,B,B,B,1,1,0,14.0494,14.2623
131,E,C,B,0,0,1,0.25,0.5308
