idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,10.8502,10.7792
1,C,C,C,1,1,0,9.5677,9.694
2,D,D,D,1,1,0,0.5781,1.6562
3,B,D,D,0,0,0,9.4112,8.6525
4,B,B,B,1,1,0,7.6258,7.6085
5,B,B,B,1,1,0,10.4831,10.4603
6,C,C,C,1,1,0,8.7005,8.9833
7,A,A,A,1,1,0,10.9132,11.0855
8,C,C,C,1,1,0,11.2412,11.0384
9,C,C,C,1,1,0,11.1856,10.4752
10,C,C,C,1,1,0,10.9987,11.2651
11,B,B,B,1,1,0,11.0146,10.8744
12,C,C,C,1,1,0,9.458,8.9983
13,C,C,C,1,1,0,10.011,10.137
14,A,A,A,1,1,0,1.4219,0.5469
15,A,A,A,1,1,0,10.0665,10.5615
16,C,C,C,1,1,0,8.8568,8.7335
17,B,B,B,1,1,0,9.6831,9.3475
18,B,B,B,1,1,0,10.1542,9.9286
19,C,C,C,1,1,0,10.0058,10.1399
20,A,A,A,1,1,0,10.9052,11.32
21,B,B,B,1,1,0,11.1704,10.4206
22,A,A,A,1,1,0,10.5286,11.1555
23,D,D,D,1,1,0,10.95,11.5926
24,D,D,D,1,1,0,10.006,10.5127
25,A,A,A,1,1,0,10.2395,10.9213
26,C,C,C,1,1,0,9.5289,9.4049
27,B,B,B,1,1,0,9.6793,10.6114
28,B,B,B,1,1,0,4.923,3.3444
29,C,C,C,1,1,0,11.2957,11.1086
30,C,C,C,1,1,0,10.0489,9.0914
31,A,A,A,1,1,0,11.3117,11.8121
32,D,D,D,1,1,0,9.7414,9.312
33,B,B,B,1,1,0,5.2964,4.8603
34,C,C,C,1,1,0,10.839,10.5994
35,B,C,C,0,0,0,0.9065,3.7964
36,D,D,D,1,1,0,10.5911,10.5452
37,B,B,B,1,1,0,9.6846,9.7229
38,D,D,D,1,1,0,10.9557,10.5458
39,C,B,B,0,0,0,4.1111,3.7032
40,D,C,C,0,0,0,6.3577,6.9861
41,C,C,C,1,1,0,10.5299,10.7571
42,C,C,C,1,1,0,10.0059,10.3422
43,C,C,C,1,1,0,11.3041,10.734
44,B,B,B,1,1,0,10.4291,9.6167
45,A,A,A,1,1,0,7.4374,9.1072
46,C,C,C,1,1,0,11.0137,10.7957
47,A,A,A,1,1,0,10.2393,10.896
48,D,D,D,1,1,0,9.0916,8.4745
49,D,D,D,1,1,0,8.2102,8.0239
50,B,A,A,0,0,0,4.2494,3.4072
51,D,D,D,1,1,0,8.1351,7.9314
52,A,A,A,1,1,0,9.5456,10.2805
53,A,A,A,1,1,0,9.919,10.2417
54,A,A,A,1,1,0,6.532,7.0545
55,B,B,B,1,1,0,9.7798,9.3663
56,C,C,C,1,1,0,8.9756,9.2103
57,B,B,B,1,1,0,11.2291,11.2856
58,B,B,B,1,1,0,10.2875,10.0928
59,D,D,D,1,1,0,5.4078,6.6561
60,B,B,B,1,1,0,8.189,8.099
61,B,B,B,1,1,0,5.001,5.5137
62,C,C,C,1,1,0,9.9107,10.2484
63,C,C,C,1,1,0,8.8461,8.252
64,B,B,B,1,1,0,10.074,9.6858
65,C,C,C,1,1,0,9.0455,8.9368
66,B,B,B,1,1,0,10.1288,9.8263
67,C,C,C,1,1,0,8.2228,7.5009
68,A,A,A,1,1,0,10.8664,10.9216
69,D,D,D,1,1,0,11.7322,11.4086
70,C,C,C,1,1,0,11.576,11.6316
71,C,C,C,1,1,0,7.3344,7.4128
72,A,A,A,1,1,0,9.4993,9.9371
73,D,D,D,1,1,0,10.4994,10.0153
74,A,B,C,0,0,1,2.1558,0.125
75,C,C,C,1,1,0,10.46,10.2571
76,D,D,D,1,1,0,10.0455,9.9364
77,A,A,A,1,1,0,8.4581,8.1077
78,B,B,B,1,1,0,10.1232,9.8972
79,D,D,D,1,1,0,9.8879,9.4052
80,B,B,B,1,1,0,5.7028,5.97
81,A,A,A,1,1,0,11.7101,11.8355
82,A,A,A,1,1,0,10.9757,10.9607
83,B,B,B,1,1,0,7.6732,7.8767
84,C,C,C,1,1,0,8.0733,7.6081
85,C,C,C,1,1,0,10.1073,10.2335
86,A,A,A,1,1,0,11.0457,11.1167
87,C,C,C,1,1,0,11.4353,11.6629
88,D,D,D,1,1,0,9.6432,9.9861
89,C,C,C,1,1,0,9.4511,8.8427
90,D,D,D,1,1,0,11.0776,11.3278
91,A,A,A,1,1,0,10.444,10.7417
92,D,D,D,1,1,0,1.2031,1.9846
93,A,C,C,0,0,0,5.5794,6.1252
94,A,B,C,0,0,1,2.2347,0.2344
95,D,D,D,1,1,0,10.6472,10.7255
96,A,A,A,1,1,0,10.8584,11.0934
97,A,A,A,1,1,0,11.9127,11.4761
98,B,A,A,0,0,0,8.6001,9.1317
99,C,B,B,0,0,0,5.8765,5.9537
100,A,A,A,1,1,0,8.2326,8.2335
101,D,D,D,1,1,0,8.5218,8.6236
102,B,B,B,1,1,0,10.9506,11.19
103,D,D,D,1,1,0,10.9638,10.5684
104,B,B,B,1,1,0,10.0918,10.2486
105,C,C,C,1,1,0,11.2361,11.4199
106,B,B,B,1,1,0,10.1062,10.3853
107,A,A,A,1,1,0,6.8887,8.0488
108,B,D,D,0,0,0,6.8752,5.267
109,C,C,C,1,1,0,11.0773,10.2883
110,D,D,D,1,1,0,10.0046,10.2775
111,A,A,A,1,1,0,9.8506,9.7259
112,B,A,A,0,0,0,0.5,2.6559
113,D,D,D,1,1,0,11.3894,11.1008
114,D,D,D,1,1,0,10.6013,10.2107
115,D,D,D,1,1,0,9.072,8.8966
116,B,B,B,1,1,0,11.5527,11.5963
117,A,A,A,1,1,0,11.4988,11.9994
118,C,C,C,1,1,0,10.2558,10.3975
119,A,A,A,1,1,0,10.1453,11.1159
120,A,A,A,1,1,0,5.547,5.6268
121,B,A,A,0,0,0,8.4117,8.6843
122,C,C,C,1,1,0,10.2679,10.1141
123,A,A,A,1,1,0,11.2565,11.6088
124,B,B,B,1,1,0,3.0308,2.9688
125,C,C,C,1,1,0,11.7488,11.5385
126,A,A,A,1,1,0,11.1762,11.5327
127,C,C,C,1,1,0,10.5129,9.6619
128,B,B,B,1,1,0,11.0382,10.4684
129,D,C,C,0,0,0,8.33,8.9046
130,D,D,D,1,1,0,11.5531,10.663
131,A,A,A,1,1,0,7.9751,8.9752
132,D,D,D,1,1,0,10.9369,10.1949
133,C,C,C,1,1,0,10.0105,10.2719
134,C,C,C,1,1,0,11.1007,11.1792
135,C,C,C,1,1,0,11.1705,11.3038
136,C,C,C,1,1,0,11.459,11.2178
137,D,D,D,1,1,0,10.9797,10.6545
138,A,A,A,1,1,0,11.7079,11.9523
139,C,C,C,1,1,0,6.1075,5.6421
140,A,A,A,1,1,0,11.6399,11.531
141,A,A,A,1,1,0,10.1886,11.2387
142,D,D,D,1,1,0,10.035,9.3736
143,D,D,D,1,1,0,12.0377,12.3197
144,A,A,A,1,1,0,11.034,11.4194
145,D,D,D,1,1,0,11.0507,10.778
146,D,D,D,1,1,0,9.6163,10.171
147,D,D,D,1,1,0,10.0595,8.96
148,B,B,B,1,1,0,10.3009,10.0274
149,A,A,A,1,1,0,8.3367,7.7672
150,A,A,A,1,1,0,10.9751,11.2807
151,A,A,A,1,1,0,9.7336,10.0621
152,D,D,D,1,1,0,9.8807,9.8425
153,B,B,B,1,1,0,3.7978,4.2174
154,B,B,B,1,1,0,10.7145,10.6624
155,B,B,B,1,1,0,4.8301,3.9531
156,D,D,D,1,1,0,4.905,4.1716
157,D,C,C,0,0,0,7.1489,7.2418
158,B,B,B,1,1,0,11.3121,11.0623
159,A,A,A,1,1,0,8.9429,9.8348
160,A,A,A,1,1,0,10.5536,10.859
161,B,B,B,1,1,0,6.7667,7.5008
162,D,D,D,1,1,0,8.3243,8.4865
163,C,C,C,1,1,0,10.5835,10.8272
164,B,B,B,1,1,0,9.5605,8.0523
165,C,C,C,1,1,0,7.3515,6.922
166,A,A,A,1,1,0,6.1423,7.2171
167,D,D,D,1,1,0,11.8579,10.7809
168,C,C,C,1,1,0,7.2571,7.0148
169,A,A,A,1,1,0,10.6934,11.2725
170,C,C,C,1,1,0,10.5673,10.7177
171,B,B,B,1,1,0,9.4359,9.2876
172,A,D,D,0,0,0,3.9225,6.1097
173,B,B,B,1,1,0,7.1573,6.3593
174,B,B,B,1,1,0,10.5773,10.7381
175,B,B,B,1,1,0,9.1477,8.6243
176,C,C,C,1,1,0,9.7476,10.186
177,C,C,C,1,1,0,10.4973,10.2878
178,B,B,B,1,1,0,10.5844,10.132
179,B,C,C,0,0,0,10.1576,9.597
180,B,B,B,1,1,0,9.1789,9.3644
181,B,B,B,1,1,0,6.3609,5.89
182,B,B,B,1,1,0,9.0274,8.57
183,C,C,C,1,1,0,4.6886,6.5157
184,D,D,D,1,1,0,11.5028,11.6224
185,B,B,B,1,1,0,9.6779,8.569
186,C,A,A,0,0,0,10.1578,10.3887
187,D,D,D,1,1,0,10.7105,11.1712
188,D,D,D,1,1,0,7.7033,8.174
189,D,D,D,1,1,0,9.4871,9.9025
190,D,D,D,1,1,0,9.6865,10.0618
191,B,B,B,1,1,0,10.8433,11.0463
192,B,B,B,1,1,0,10.9049,10.8505
193,C,C,C,1,1,0,10.5318,10.0766
194,D,A,A,0,0,0,4.094,3.9981
195,C,C,C,1,1,0,8.4903,8.2326
196,A,A,A,1,1,0,11.0221,11.3038
197,A,A,A,1,1,0,11.3886,11.7494
198,B,B,B,1,1,0,9.1864,8.9289
199,B,B,B,1,1,0,10.7767,10.3567
200,C,C,C,1,1,0,10.1507,10.0435
201,C,C,C,1,1,0,6.1404,6.6729
202,C,C,C,1,1,0,9.5997,8.8191
203,A,A,A,1,1,0,10.7488,10.7183
204,C,C,C,1,1,0,7.9754,7.5771
205,A,A,A,1,1,0,9.5845,9.6087
206,D,D,D,1,1,0,11.0926,11.3269
207,B,B,B,1,1,0,7.1482,7.6806
208,D,D,D,1,1,0,11.1266,10.5502
209,D,D,D,1,1,0,11.4775,11.2852
210,B,B,B,1,1,0,0.0312,1.1411
211,D,D,D,1,1,0,8.2895,8.6804
212,B,B,B,1,1,0,8.6132,9.8421
213,C,C,C,1,1,0,6.5952,8.4511
214,C,C,C,1,1,0,11.1554,11.2104
215,D,D,D,1,1,0,9.7964,9.3808
216,D,C,D,0,1,1,0.5474,0.0469
217,D,D,D,1,1,0,10.6472,10.6323
218,C,C,C,1,1,0,10.3423,10.4597
219,D,D,D,1,1,0,12.2092,11.6479
220,A,A,A,1,1,0,9.2472,10.0148
221,A,A,A,1,1,0,9.582,9.9823
222,D,D,D,1,1,0,10.9113,10.7401
223,A,A,A,1,1,0,11.0925,11.1869
224,A,A,A,1,1,0,12.1937,12.3354
225,A,A,A,1,1,0,11.2394,11.4133
226,A,A,A,1,1,0,11.1518,11.4573
227,D,D,D,1,1,0,11.0687,11.1239
228,B,B,B,1,1,0,10.1454,9.3579
229,B,B,B,1,1,0,3.562,2.2664
230,C,C,C,1,1,0,9.7112,9.8799
231,C,C,C,1,1,0,9.9009,10.604
232,A,A,A,1,1,0,10.4595,10.7728
233,C,A,A,0,0,0,4.4206,6.6261
234,B,B,B,1,1,0,7.3745,7.6106
235,B,B,B,1,1,0,11.1745,10.9922
236,B,B,B,1,1,0,10.6364,10.8109
237,B,B,B,1,1,0,10.7096,10.4833
238,A,A,A,1,1,0,10.2839,10.4192
239,C,C,C,1,1,0,10.4289,10.273
240,D,D,D,1,1,0,11.6112,11.0802
241,B,D,D,0,0,0,7.845,8.8452
242,A,A,A,1,1,0,11.0991,11.7571
243,A,A,A,1,1,0,11.9292,12.0623
244,C,C,C,1,1,0,10.2317,9.2797
245,B,B,B,1,1,0,6.7568,6.9382
246,D,D,D,1,1,0,8.98,9.2855
247,D,D,D,1,1,0,9.4205,9.4677
248,C,C,C,1,1,0,11.2565,11.3433
249,B,B,B,1,1,0,9.8254,9.9557
250,B,B,B,1,1,0,9.9515,9.334
251,C,C,C,1,1,0,10.1863,9.8195
252,C,C,C,1,1,0,9.6537,9.4052
253,D,D,D,1,1,0,7.2332,6.7181
254,A,A,A,1,1,0,10.7098,10.648
255,A,A,A,1,1,0,11.2636,11.6557
256,D,D,D,1,1,0,10.6854,10.0072
257,D,D,D,1,1,0,10.3481,9.959
258,B,C,C,0,0,0,5.7196,6.0158
259,D,D,D,1,1,0,6.5699,7.5328
260,B,B,B,1,1,0,9.6517,9.6301
261,D,D,D,1,1,0,9.6373,9.725
262,B,B,B,1,1,0,9.584,9.6275
263,C,C,C,1,1,0,11.7805,10.8427
264,B,C,B,0,1,1,0.3906,1.9692
265,A,A,A,1,1,0,9.9965,10.5603
266,C,C,C,1,1,0,10.2411,10.1478
267,B,B,B,1,1,0,10.1473,10.0379
268,A,A,A,1,1,0,10.7729,10.9294
269,A,A,A,1,1,0,9.8888,10.4211
270,A,A,A,1,1,0,9.8508,10.1636
271,B,A,A,0,0,0,2.6558,2.7663
272,C,C,C,1,1,0,5.0003,4.9207
273,C,C,C,1,1,0,6.0166,4.8109
274,C,B,B,0,0,0,2.375,3.3604
275,A,A,A,1,1,0,9.5459,9.3588
276,A,A,A,1,1,0,7.6806,8.1156
277,A,A,A,1,1,0,10.1552,10.5462
278,D,D,D,1,1,0,10.7645,9.7883
279,D,D,D,1,1,0,11.357,10.7796
280,B,B,B,1,1,0,10.5929,10.382
281,D,D,D,1,1,0,9.7093,9.1478
282,C,C,C,1,1,0,10.9444,10.593
283,C,C,C,1,1,0,10.9252,10.553
284,A,A,A,1,1,0,11.64,11.695
285,D,D,D,1,1,0,11.1602,10.9596
286,C,C,B,1,0,1,1.6716,0.25
287,D,D,D,1,1,0,7.5383,8.2095
288,B,B,B,1,1,0,11.2963,10.9994
289,B,C,C,0,0,0,4.1239,4.2171
290,D,D,D,1,1,0,6.9688,7.0332
291,D,D,D,1,1,0,7.4394,8.2266
292,D,D,D,1,1,0,8.2368,7.5637
293,A,A,A,1,1,0,11.8015,11.9834
294,B,B,B,1,1,0,9.5298,10.3584
295,A,A,A,1,1,0,9.5445,10.4756
296,B,A,A,0,0,0,7.305,7.7954
297,A,A,A,1,1,0,8.2543,9.7024
298,B,B,B,1,1,0,11.0614,10.5699
299,D,D,D,1,1,0,9.4897,9.7409
