idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,0.2891,0.2734
1,A,A,A,1,1,0,0.0,0.0391
2,B,A,A,0,0,0,0.1484,0.1016
3,E,E,E,1,1,0,0.1641,0.1094
4,B,C,A,0,0,1,0.1484,0.0391
5,B,A,A,0,0,0,0.2656,0.1484
6,A,A,A,1,1,0,0.3516,0.4219
7,B,B,B,1,1,0,0.7188,0.4062
8,D,A,A,0,0,0,0.2891,0.1562
9,B,A,A,0,0,0,0.0391,0.1016
10,C,D,A,0,0,1,0.1172,0.0391
11,B,B,B,1,1,0,1.2969,1.125
12,E,A,A,0,0,0,0.3438,0.1328
13,B,A,A,0,0,0,0.2734,0.3594
14,B,E,B,0,1,1,0.0547,0.0859
15,D,D,D,1,1,0,0.1875,0.1953
16,E,E,E,1,1,0,0.3359,0.2969
17,A,B,B,0,0,0,0.0703,0.3438
18,C,A,A,0,0,0,0.3984,0.1562
19,E,B,B,0,0,0,0.375,0.2656
20,B,A,A,0,0,0,0.5469,0.4688
21,B,B,B,1,1,0,0.0078,0.0547
22,D,A,A,0,0,0,0.4375,0.3281
23,C,B,B,0,0,0,0.1484,0.3281
24,A,F,F,0,0,0,0.3359,0.4297
25,D,A,A,0,0,0,0.7031,0.9004
26,F,E,A,0,0,1,0.0391,0.0469
27,B,B,B,1,1,0,0.0938,0.3281
28,F,B,B,0,0,0,0.9297,0.4922
29,D,E,E,0,0,0,0.3594,0.1797
30,E,B,E,0,1,1,0.0234,0.1953
31,C,A,A,0,0,0,0.5938,0.625
32,B,B,B,1,1,0,0.3438,0.4062
33,F,F,F,1,1,0,0.5547,0.3125
34,D,A,A,0,0,0,0.0625,0.0625
35,D,A,A,0,0,0,0.1875,0.1172
36,B,A,E,0,0,1,0.1172,0.1406
37,B,B,B,1,1,0,0.1094,0.0625
38,B,A,A,0,0,0,0.1016,0.2422
39,A,F,F,0,0,0,0.0156,0.2031
40,B,B,B,1,1,0,0.3281,0.4375
41,E,A,B,0,0,1,0.0312,0.1094
42,E,A,A,0,0,0,0.5781,0.5156
43,A,A,A,1,1,0,0.3438,0.1875
44,D,D,D,1,1,0,0.3359,0.4062
45,F,A,A,0,0,0,0.2266,0.2656
46,C,A,E,0,0,1,0.0859,0.1094
47,E,B,B,0,0,0,0.1406,0.4453
48,F,F,F,1,1,0,1.1895,1.2344
49,B,A,A,0,0,0,0.5938,0.4375
50,E,E,E,1,1,0,0.3438,0.2266
51,D,D,D,1,1,0,0.2891,0.2812
52,D,F,F,0,0,0,1.0234,1.1641
53,B,B,B,1,1,0,0.1094,0.0859
54,A,A,A,1,1,0,1.3828,1.1875
55,C,B,B,0,0,0,0.2578,0.3594
56,A,A,A,1,1,0,1.5781,1.3809
57,A,A,A,1,1,0,0.4844,0.4297
58,F,F,A,1,0,1,0.0312,0.2031
59,D,D,D,1,1,0,0.6797,0.7031
60,E,E,E,1,1,0,0.2188,0.2812
61,B,A,F,0,0,1,0.125,0.0234
62,D,E,E,0,0,0,0.1484,0.2031
63,E,E,E,1,1,0,0.0859,0.3594
64,D,A,A,0,0,0,0.4219,0.3047
65,B,A,A,0,0,0,0.3594,0.2812
66,A,A,A,1,1,0,0.2422,0.6172
67,C,A,A,0,0,0,0.1328,0.0391
68,E,A,A,0,0,0,0.4297,0.2891
69,F,B,F,0,1,1,0.0234,0.375
70,A,A,A,1,1,0,0.8125,0.7344
71,F,B,B,0,0,0,0.1016,0.0938
72,F,F,F,1,1,0,0.5918,0.3906
73,D,F,F,0,0,0,0.6094,0.5859
74,C,A,A,0,0,0,0.0,0.1016
75,E,E,E,1,1,0,0.1016,0.1797
76,A,A,A,1,1,0,0.0703,0.0078
77,E,A,A,0,0,0,0.0938,0.0469
78,F,E,E,0,0,0,0.2422,0.2188
79,A,A,A,1,1,0,0.7188,0.8281
