model,task,perturbation,base_acc,base_ci_lo,base_ci_hi,pert_acc,acc_drop,drop_ci_lo,drop_ci_hi,mcnemar_p,b,c,n_discordant,direction,underpowered,mcnemar_p_adj,significant_005
llama3.1-8b-instruct,mnli,lex_rewrite,44.33,39.0,49.33,63.33,-19.0,-24.67,-13.0,0.0,18,75,93,improvement,False,1e-06,True
llama3.1-8b-instruct,mnli,lex_typo,44.33,39.0,49.33,41.33,3.0,-2.0,8.0,0.3135,36,27,63,drop,False,1.0,False
llama3.1-8b-instruct,mnli,lex_lowercase,44.33,39.0,49.33,50.0,-5.67,-8.67,-3.0,0.000242,1,18,19,improvement,True,0.018387,True
llama3.1-8b-instruct,mnli,struct_inst_first,44.33,39.0,49.33,57.67,-13.33,-19.33,-7.33,1.7e-05,21,61,82,improvement,False,0.001308,True
llama3.1-8b-instruct,mnli,ctx_role,44.33,39.0,49.33,45.33,-1.0,-5.67,4.0,0.791082,27,30,57,improvement,False,1.0,False
llama3.1-8b-instruct,mnli,ctx_irrelevant,44.33,39.0,49.33,44.33,0.0,-3.0,3.0,1.0,10,10,20,no_change,False,1.0,False
llama3.1-8b-instruct,mnli,fmt_caps,44.33,39.0,49.33,39.33,5.0,1.67,8.33,0.007054,21,6,27,drop,False,0.514916,False
llama3.1-8b-instruct,mnli,fmt_separators,44.33,39.0,49.33,52.0,-7.67,-11.0,-4.67,2.3e-05,2,25,27,improvement,False,0.001791,True
llama3.1-8b-instruct,mnli,instruction_rewrite,44.33,39.0,49.33,60.67,-16.33,-22.0,-10.67,0.0,18,67,85,improvement,False,1.5e-05,True
llama3.1-8b-instruct,bbh_date,lex_rewrite,46.0,40.0,52.0,44.8,1.2,-0.4,3.2,0.371093,4,1,5,drop,True,1.0,False
llama3.1-8b-instruct,bbh_date,lex_typo,46.0,40.0,52.0,41.6,4.4,-0.4,8.8,0.109315,25,14,39,drop,False,1.0,False
llama3.1-8b-instruct,bbh_date,lex_lowercase,46.0,40.0,52.0,47.6,-1.6,-3.6,0.0,0.220671,1,5,6,improvement,True,1.0,False
llama3.1-8b-instruct,bbh_date,struct_inst_first,46.0,40.0,52.0,42.8,3.2,-2.0,8.4,0.291293,26,18,44,drop,False,1.0,False
llama3.1-8b-instruct,bbh_date,ctx_role,46.0,40.0,52.0,45.6,0.4,-2.4,3.2,1.0,8,7,15,drop,True,1.0,False
llama3.1-8b-instruct,bbh_date,ctx_irrelevant,46.0,40.0,52.0,45.6,0.4,-2.8,3.2,1.0,8,7,15,drop,True,1.0,False
llama3.1-8b-instruct,bbh_date,fmt_caps,46.0,40.0,52.0,44.0,2.0,-2.4,6.4,0.472498,18,13,31,drop,False,1.0,False
llama3.1-8b-instruct,bbh_date,fmt_separators,46.0,40.0,52.0,42.8,3.2,-0.8,7.2,0.169811,17,9,26,drop,False,1.0,False
llama3.1-8b-instruct,bbh_date,instruction_rewrite,46.0,40.0,52.0,41.6,4.4,0.0,8.8,0.081723,22,11,33,drop,False,1.0,False
