idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,10.0754,10.2801
1,A,B,B,0,0,0,7.6559,6.3449
2,B,B,B,1,1,0,5.1893,3.9994
3,E,E,E,1,1,0,5.6232,3.4993
4,B,B,B,1,1,0,4.7505,6.6545
5,B,B,B,1,1,0,2.0623,1.8121
6,A,C,C,0,0,0,1.4685,0.25
7,B,B,B,1,1,0,12.8906,17.4841
8,D,D,D,1,1,0,12.9853,13.1093
9,B,C,B,0,1,1,0.3438,1.2185
10,C,C,C,1,1,0,1.7809,4.595
11,B,B,B,1,1,0,14.3261,13.6241
12,E,E,E,1,1,0,2.8909,3.782
13,B,B,B,1,1,0,1.7195,1.5005
14,B,B,B,1,1,0,11.4554,12.4997
15,D,B,D,0,1,1,0.9839,4.9077
16,E,E,E,1,1,0,5.5321,9.9843
17,A,B,B,0,0,0,5.2031,4.8116
18,C,C,C,1,1,0,5.5151,2.218
19,E,B,E,0,1,1,0.3125,3.282
20,B,B,B,1,1,0,8.4526,11.906
21,B,A,A,0,0,0,0.7188,4.7483
22,D,D,D,1,1,0,5.3116,3.9057
23,C,C,C,1,1,0,1.2815,1.2502
24,A,F,F,0,0,0,11.7943,11.8125
25,D,A,A,0,0,0,12.6552,12.5937
26,F,C,F,0,1,1,4.9057,1.4373
27,B,B,B,1,1,0,3.4527,4.2499
28,F,B,B,0,0,0,8.4535,12.3271
29,D,D,D,1,1,0,2.5318,6.2799
30,E,E,E,1,1,0,4.0165,6.0011
31,C,C,A,1,0,1,1.4062,0.7185
32,B,B,B,1,1,0,4.3293,6.9367
33,F,F,F,1,1,0,2.3131,4.1574
34,D,D,D,1,1,0,8.1992,13.8593
35,D,D,D,1,1,0,1.5935,1.3755
36,B,B,B,1,1,0,2.6085,0.8127
37,B,B,B,1,1,0,7.7353,7.6399
38,B,B,B,1,1,0,10.4063,9.937
39,A,A,A,1,1,0,4.8925,4.7803
40,B,B,B,1,1,0,11.6998,13.8124
41,E,B,B,0,0,0,11.6881,8.0617
42,E,E,E,1,1,0,10.9881,13.2655
43,A,A,A,1,1,0,0.2188,1.3746
44,D,D,D,1,1,0,14.7504,16.4049
45,F,A,A,0,0,0,4.9674,2.2194
46,C,C,C,1,1,0,7.9833,5.3265
47,E,B,B,0,0,0,1.9994,0.8435
48,F,F,F,1,1,0,10.2363,10.9062
49,B,D,D,0,0,0,3.1881,4.3118
50,E,E,E,1,1,0,6.7201,11.1241
51,D,D,D,1,1,0,18.2682,19.39
52,D,D,D,1,1,0,3.8747,4.6858
53,B,B,B,1,1,0,5.9674,7.6425
54,A,A,A,1,1,0,15.6736,17.8585
55,C,C,C,1,1,0,5.6884,9.8279
56,A,A,A,1,1,0,18.088,18.6561
57,A,B,A,0,1,1,0.3745,0.0
58,F,F,F,1,1,0,2.4847,5.8124
59,D,D,D,1,1,0,16.2451,17.9837
60,E,E,E,1,1,0,0.125,12.1713
61,B,B,B,1,1,0,4.3925,8.4213
62,D,B,D,0,1,1,0.4375,2.6879
63,E,C,C,0,0,0,15.8459,14.4061
64,D,D,D,1,1,0,9.234,9.0936
65,B,C,C,0,0,0,6.5016,6.5322
66,A,A,A,1,1,0,10.6092,9.0644
67,C,C,C,1,1,0,11.9077,12.5776
68,E,C,C,0,0,0,1.0315,0.656
69,F,F,F,1,1,0,3.6556,6.8737
70,A,A,A,1,1,0,14.9401,16.0934
71,F,B,E,0,0,1,0.4062,0.4062
72,F,F,F,1,1,0,13.1246,16.203
73,D,F,F,0,0,0,0.125,2.3759
74,C,C,C,1,1,0,14.5033,15.9372
75,E,E,E,1,1,0,6.2043,6.733
76,A,B,B,0,0,0,5.6557,6.4359
77,E,B,B,0,0,0,6.4204,3.8132
78,F,F,E,1,0,1,0.3433,1.344
79,A,B,A,0,1,1,3.0623,5.9369
80,E,B,B,0,0,0,0.9995,2.5315
81,E,E,E,1,1,0,16.5232,18.7885
82,B,B,B,1,1,0,17.7533,17.452
83,B,B,B,1,1,0,0.8755,0.2812
84,A,A,D,1,0,1,1.1877,1.4065
85,C,D,D,0,0,0,0.688,3.0618
86,E,E,E,1,1,0,8.8423,7.9063
87,A,A,A,1,1,0,17.2182,17.9687
88,B,D,D,0,0,0,1.3752,0.9683
89,A,A,A,1,1,0,3.1245,11.4843
90,C,C,B,1,0,1,0.6875,0.2812
91,D,B,B,0,0,0,1.1875,3.4995
92,E,E,E,1,1,0,3.0941,7.717
93,C,B,B,0,0,0,2.4688,7.3435
94,F,A,A,0,0,0,1.5623,4.3769
95,E,F,F,0,0,0,4.484,9.7968
96,E,C,B,0,0,1,3.3117,1.0623
97,E,D,D,0,0,0,3.5615,5.6388
98,B,A,D,0,0,1,2.0627,2.8445
99,F,E,E,0,0,0,0.6558,2.438
100,C,C,C,1,1,0,8.39,8.0776
101,D,D,D,1,1,0,2.7509,1.0005
102,C,C,C,1,1,0,7.7337,10.8281
103,A,B,B,0,0,0,1.063,0.25
104,F,B,B,0,0,0,2.2185,0.8125
105,C,C,C,1,1,0,3.3436,2.9375
106,D,A,A,0,0,0,1.1877,1.4374
107,B,B,B,1,1,0,14.2975,13.9502
108,F,A,A,0,0,0,4.4222,6.2827
109,C,B,B,0,0,0,11.7773,10.9067
110,B,B,B,1,1,0,0.125,0.9062
111,D,D,D,1,1,0,4.4705,3.9366
112,D,D,D,1,1,0,15.6095,17.0466
113,F,B,F,0,1,1,1.2969,2.7498
114,E,D,D,0,0,0,6.1707,4.4067
115,B,B,B,1,1,0,17.5465,17.6559
116,C,C,C,1,1,0,8.2939,6.0007
117,C,C,E,1,0,1,1.281,0.2188
118,F,F,F,1,1,0,6.0007,6.2206
119,E,E,E,1,1,0,12.7222,15.2655
120,A,C,C,0,0,0,17.4475,18.5776
121,B,B,B,1,1,0,0.5942,0.4995
122,E,E,D,1,0,1,0.8438,1.1252
123,E,A,A,0,0,0,1.2808,1.313
124,B,B,B,1,1,0,19.584,19.6917
125,B,D,D,0,0,0,4.4056,5.1261
126,C,C,C,1,1,0,5.9357,4.8454
127,C,B,B,0,0,0,5.4071,6.4383
128,C,C,C,1,1,0,9.6268,9.4056
129,F,B,B,0,0,0,8.1726,5.2795
130,B,B,B,1,1,0,14.0494,14.8305
131,E,C,D,0,0,1,0.25,1.8909
132,B,B,B,1,1,0,3.0629,4.7192
133,F,F,F,1,1,0,4.9536,7.4369
134,C,C,C,1,1,0,6.8455,7.1867
135,B,B,B,1,1,0,4.5176,2.5319
136,F,C,C,0,0,0,7.9843,4.7806
137,A,A,A,1,1,0,4.344,9.3434
138,F,B,B,0,0,0,2.3594,0.625
139,E,E,E,1,1,0,0.6252,0.375
140,D,C,C,0,0,0,3.3446,1.4685
141,A,A,A,1,1,0,5.4073,10.1249
142,E,B,B,0,0,0,3.0461,1.9366
143,B,B,B,1,1,0,6.4683,5.1724
144,F,B,B,0,0,0,5.2193,4.7487
145,B,B,B,1,1,0,3.2183,0.2812
146,E,E,F,1,0,1,1.3748,1.4692
147,D,D,D,1,1,0,0.969,2.718
148,D,D,A,1,0,1,0.0938,0.3125
149,D,D,D,1,1,0,8.7344,11.9373
150,A,A,A,1,1,0,7.765,7.7494
151,B,B,B,1,1,0,1.8125,4.3737
152,A,A,A,1,1,0,12.3605,17.3097
153,A,A,A,1,1,0,4.3109,4.1887
154,C,C,B,1,0,1,0.3442,0.25
155,D,B,B,0,0,0,13.9512,13.639
156,A,A,A,1,1,0,10.7622,9.781
157,D,D,D,1,1,0,8.4217,3.969
158,B,B,B,1,1,0,12.8279,10.0773
159,A,A,A,1,1,0,7.0329,12.0155
160,D,D,D,1,1,0,9.6545,8.8123
161,A,B,B,0,0,0,3.25,4.7491
162,A,A,E,1,0,1,0.2812,2.6101
163,C,D,D,0,0,0,2.6883,4.1867
164,C,B,B,0,0,0,1.0308,1.8125
165,A,A,A,1,1,0,14.4213,17.0625
166,F,F,F,1,1,0,1.9213,4.4052
167,D,A,A,0,0,0,14.5335,16.4997
168,E,E,A,1,0,1,0.4688,0.4998
169,A,B,B,0,0,0,1.1562,3.1873
170,C,B,B,0,0,0,0.844,2.9373
