idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,4.2949,4.001
1,A,A,A,1,1,0,1.0303,0.9062
2,B,A,A,0,0,0,0.6719,0.5469
3,E,E,E,1,1,0,0.5312,0.4062
4,B,B,B,1,1,0,0.937,0.7969
5,B,A,A,0,0,0,1.9688,1.8584
6,A,A,A,1,1,0,0.4375,0.4531
7,B,C,C,0,0,0,2.9685,3.1558
8,D,D,D,1,1,0,4.186,4.0625
9,B,A,A,0,0,0,0.2656,0.25
10,C,A,A,0,0,0,0.4844,0.3906
11,B,D,D,0,0,0,0.1094,0.0781
12,E,A,A,0,0,0,0.1562,0.1875
13,B,C,C,0,0,0,1.6553,1.4678
14,B,B,B,1,1,0,0.4219,0.2031
15,D,D,D,1,1,0,3.0488,3.0479
16,E,E,E,1,1,0,1.5464,1.3125
17,A,E,E,0,0,0,1.2969,1.25
18,C,A,A,0,0,0,0.1562,0.4219
19,E,E,E,1,1,0,1.6406,1.5459
20,B,B,B,1,1,0,2.2949,2.1582
21,B,A,A,0,0,0,3.6709,3.4355
22,D,D,D,1,1,0,0.0625,0.1719
23,C,C,C,1,1,0,3.2817,3.1724
24,A,F,F,0,0,0,3.0938,2.9395
25,D,A,A,0,0,0,1.5933,1.5151
26,F,F,F,1,1,0,2.3604,2.2324
27,B,E,E,0,0,0,0.3896,0.4219
28,F,C,C,0,0,0,1.1562,1.1875
29,D,D,D,1,1,0,0.2344,0.1406
30,E,F,F,0,0,0,6.7656,6.8584
31,C,A,A,0,0,0,1.0938,1.0938
32,B,C,C,0,0,0,0.9062,0.9688
33,F,A,A,0,0,0,0.8584,0.6885
34,D,D,D,1,1,0,4.1099,4.0457
35,D,A,A,0,0,0,1.4375,1.0469
36,B,D,D,0,0,0,0.2344,0.1719
37,B,A,A,0,0,0,1.1562,1.1562
38,B,A,A,0,0,0,0.0781,0.1094
39,A,A,A,1,1,0,3.3906,3.3428
40,B,A,A,0,0,0,1.2959,1.25
41,E,B,B,0,0,0,0.1406,0.125
42,E,E,E,1,1,0,1.0479,0.9521
43,A,E,E,0,0,0,0.7979,0.75
44,D,D,D,1,1,0,2.5161,2.4844
45,F,B,B,0,0,0,0.25,0.2656
46,C,A,A,0,0,0,0.9219,0.7188
47,E,D,D,0,0,0,0.0156,0.0312
48,F,F,F,1,1,0,0.0312,0.0469
49,B,D,D,0,0,0,0.9229,0.9219
50,E,E,E,1,1,0,1.2349,1.1255
51,D,D,D,1,1,0,3.2649,3.0933
52,D,D,D,1,1,0,1.0146,0.8125
53,B,A,A,0,0,0,0.8594,0.8125
54,A,A,A,1,1,0,10.8398,10.7148
55,C,D,D,0,0,0,0.2812,0.3594
56,A,A,A,1,1,0,5.8115,5.8594
57,A,A,A,1,1,0,0.249,0.2031
58,F,A,A,0,0,0,0.3594,0.3916
59,D,D,D,1,1,0,2.0791,2.0312
60,E,E,E,1,1,0,8.5923,8.4526
61,B,B,B,1,1,0,0.7031,0.7188
62,D,D,D,1,1,0,0.1875,0.1719
63,E,C,C,0,0,0,12.5927,12.5609
64,D,D,D,1,1,0,0.3438,0.375
65,B,C,C,0,0,0,1.0938,1.1562
66,A,F,F,0,0,0,2.2031,1.9844
67,C,A,A,0,0,0,1.6895,1.7363
68,E,E,E,1,1,0,0.75,0.6406
69,F,F,F,1,1,0,1.2188,1.3281
70,A,A,A,1,1,0,7.3882,6.8916
71,F,F,F,1,1,0,1.7344,1.5781
72,F,A,A,0,0,0,2.0,1.9229
73,D,D,D,1,1,0,0.7021,0.6104
74,C,C,C,1,1,0,1.5632,1.5945
75,E,E,E,1,1,0,2.9238,2.7969
76,A,C,C,0,0,0,0.0625,0.0469
77,E,E,E,1,1,0,0.0625,0.0469
78,F,F,F,1,1,0,1.751,1.6865
79,A,B,B,0,0,0,0.3594,0.2188
80,E,E,E,1,1,0,2.0479,2.1416
81,E,E,E,1,1,0,5.9858,5.939
82,B,B,B,1,1,0,6.7021,6.8271
83,B,E,E,0,0,0,1.3438,1.3125
84,A,A,A,1,1,0,3.937,3.876
85,C,A,A,0,0,0,1.9219,1.5938
86,E,E,E,1,1,0,2.2334,2.376
87,A,A,A,1,1,0,11.5173,11.3115
88,B,C,C,0,0,0,0.5156,0.5781
89,A,A,A,1,1,0,1.624,1.4683
90,C,D,D,0,0,0,0.1094,0.188
91,D,D,D,1,1,0,0.812,0.6719
92,E,F,F,0,0,0,6.7031,6.8008
93,C,B,B,0,0,0,0.6875,0.2812
94,F,A,A,0,0,0,3.9861,3.7197
95,E,F,F,0,0,0,0.2812,0.4688
96,E,C,C,0,0,0,0.7495,0.7812
97,E,F,F,0,0,0,0.4688,0.5781
98,B,A,A,0,0,0,0.4062,0.3594
99,F,A,A,0,0,0,1.8438,1.7988
100,C,A,C,0,1,1,0.0312,0.0781
101,D,D,D,1,1,0,0.1875,0.3438
102,C,C,C,1,1,0,3.4216,3.4695
103,A,A,A,1,1,0,0.5312,0.5
104,F,B,B,0,0,0,2.1875,2.1245
105,C,F,F,0,0,0,0.0938,0.125
106,D,D,D,1,1,0,0.9062,0.8906
107,B,B,B,1,1,0,5.8433,5.2202
108,F,C,C,0,0,0,0.2031,0.2031
109,C,B,B,0,0,0,2.8596,2.406
110,B,C,C,0,0,0,0.375,0.2656
111,D,E,E,0,0,0,0.5938,0.5156
112,D,D,D,1,1,0,2.5305,2.5627
113,F,B,B,0,0,0,0.5781,0.5312
