idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,2.2891,1.0703
1,C,A,A,0,0,0,2.3203,0.4297
2,D,A,A,0,0,0,2.5469,1.3906
3,B,A,A,0,0,0,2.3984,1.2891
4,B,A,A,0,0,0,2.1641,0.6719
5,B,A,A,0,0,0,1.6016,1.7422
6,C,A,A,0,0,0,1.9414,0.5156
7,A,A,A,1,1,0,2.6289,2.0781
8,C,A,A,0,0,0,2.2109,1.3984
9,C,A,A,0,0,0,2.1445,0.8984
10,C,A,A,0,0,0,2.2188,1.4219
11,B,A,A,0,0,0,2.332,1.6172
12,C,A,A,0,0,0,2.4844,2.2344
13,C,A,A,0,0,0,1.6836,0.3438
14,A,A,A,1,1,0,2.1836,1.5859
15,A,A,A,1,1,0,2.6016,1.8359
16,C,A,A,0,0,0,2.8203,2.4062
17,B,A,A,0,0,0,2.1094,1.6562
18,B,A,A,0,0,0,2.5195,0.7344
19,C,A,A,0,0,0,2.0117,1.4141
20,A,A,A,1,1,0,2.7695,1.4141
21,B,A,A,0,0,0,2.3828,1.1406
22,A,A,A,1,1,0,2.5156,2.3594
23,D,A,A,0,0,0,1.2852,1.3984
24,D,A,A,0,0,0,1.6445,0.9922
25,A,A,A,1,1,0,2.2031,1.6562
26,C,A,A,0,0,0,2.3359,2.0469
27,B,A,A,0,0,0,1.582,2.0391
28,B,A,A,0,0,0,2.2109,1.0
29,C,A,A,0,0,0,1.9375,0.6953
30,C,A,A,0,0,0,1.6992,1.0547
31,A,A,D,1,0,1,2.2383,0.4375
32,D,A,A,0,0,0,3.2578,2.3516
33,B,A,A,0,0,0,2.0469,0.3828
34,C,A,A,0,0,0,2.6406,2.25
35,B,A,A,0,0,0,2.7305,2.5859
36,D,A,A,0,0,0,0.7422,1.1562
37,B,A,A,0,0,0,2.5078,2.1641
38,D,A,A,0,0,0,1.2383,1.5156
39,C,A,A,0,0,0,2.332,2.7969
40,D,A,A,0,0,0,2.2578,1.1328
41,C,A,A,0,0,0,2.5234,1.7812
42,C,A,A,0,0,0,2.4375,2.1484
43,C,A,A,0,0,0,1.8203,0.9531
44,B,A,A,0,0,0,2.3984,1.3203
45,A,A,A,1,1,0,1.7461,0.9531
46,C,A,A,0,0,0,2.0977,0.8359
47,A,A,A,1,1,0,2.3516,1.7422
48,D,A,A,0,0,0,1.8828,1.875
49,D,A,A,0,0,0,1.7383,0.5312
50,B,A,A,0,0,0,1.7891,1.4766
51,D,A,A,0,0,0,1.0859,2.2734
52,A,A,A,1,1,0,2.3008,1.4531
53,A,A,A,1,1,0,2.6641,1.1641
54,A,A,A,1,1,0,2.2305,2.1562
55,B,A,A,0,0,0,2.1445,1.5859
56,C,A,A,0,0,0,2.1328,0.7656
57,B,A,A,0,0,0,1.8633,1.5391
58,B,A,A,0,0,0,2.4844,1.3906
59,D,A,C,0,0,1,1.7852,0.7578
60,B,A,A,0,0,0,2.7969,1.3203
61,B,A,A,0,0,0,1.9766,1.4297
62,C,A,A,0,0,0,2.2383,0.7656
63,C,A,A,0,0,0,2.125,1.4922
64,B,A,A,0,0,0,1.9375,0.9141
65,C,A,A,0,0,0,2.1562,1.9609
66,B,A,A,0,0,0,1.7812,1.2578
67,C,A,A,0,0,0,2.2227,0.9844
68,A,A,A,1,1,0,3.0117,2.3867
69,D,A,A,0,0,0,2.2266,0.9453
70,C,A,A,0,0,0,2.9727,1.1562
71,C,A,A,0,0,0,2.2109,1.1719
72,A,A,A,1,1,0,2.9766,2.3828
73,D,A,A,0,0,0,2.1094,4.2422
74,A,A,A,1,1,0,2.668,2.6406
75,C,A,A,0,0,0,3.0586,1.2422
76,D,A,A,0,0,0,1.4609,1.3672
77,A,A,A,1,1,0,1.8281,0.4844
78,B,A,A,0,0,0,2.0586,0.2969
79,D,A,A,0,0,0,1.7656,2.25
80,B,A,A,0,0,0,2.0977,1.1172
81,A,A,A,1,1,0,2.4453,1.1016
82,A,A,A,1,1,0,2.0156,2.0
83,B,A,A,0,0,0,2.4258,1.9297
84,C,A,A,0,0,0,2.4023,1.8047
85,C,A,A,0,0,0,2.4805,0.9297
86,A,A,A,1,1,0,2.4141,1.2031
87,C,A,A,0,0,0,1.793,0.4297
88,D,A,A,0,0,0,1.8594,0.9375
89,C,A,A,0,0,0,2.4609,1.1562
90,D,A,A,0,0,0,1.3125,0.6484
91,A,A,A,1,1,0,1.3164,1.2656
92,D,A,A,0,0,0,2.2383,1.3047
93,A,A,A,1,1,0,2.5664,0.8906
94,A,A,A,1,1,0,3.0703,1.1406
95,D,A,A,0,0,0,0.9141,0.0156
96,A,A,A,1,1,0,2.5039,2.2578
97,A,A,A,1,1,0,3.168,2.8594
98,B,A,A,0,0,0,2.1836,1.9688
99,C,A,A,0,0,0,1.8438,1.2656
100,A,A,A,1,1,0,2.0664,1.25
