idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,2.2891,2.2656
1,C,A,A,0,0,0,2.3203,2.5664
2,D,A,A,0,0,0,2.5469,2.4062
3,B,A,A,0,0,0,2.3984,2.9922
4,B,A,A,0,0,0,2.1641,2.8438
5,B,A,A,0,0,0,1.6016,2.7422
6,C,A,A,0,0,0,1.9414,1.4336
7,A,A,A,1,1,0,2.6289,3.6797
8,C,A,A,0,0,0,2.2109,2.457
9,C,A,A,0,0,0,2.1445,2.1875
10,C,A,A,0,0,0,2.2188,2.418
11,B,A,A,0,0,0,2.332,2.2188
12,C,A,A,0,0,0,2.4844,3.3398
13,C,A,A,0,0,0,1.6836,2.457
14,A,A,A,1,1,0,2.1836,2.2852
15,A,A,A,1,1,0,2.6016,3.6582
16,C,A,A,0,0,0,2.8203,3.3477
17,B,A,A,0,0,0,2.1094,3.457
18,B,A,A,0,0,0,2.5195,2.5469
19,C,A,A,0,0,0,2.0117,3.0625
20,A,A,A,1,1,0,2.7695,4.1914
21,B,A,A,0,0,0,2.3828,2.543
22,A,A,A,1,1,0,2.5156,4.1211
23,D,A,A,0,0,0,1.2852,2.0
24,D,A,A,0,0,0,1.6445,2.5195
25,A,A,A,1,1,0,2.2031,3.2422
26,C,A,A,0,0,0,2.3359,2.9102
27,B,A,A,0,0,0,1.582,2.4258
28,B,A,A,0,0,0,2.2109,2.8633
29,C,A,A,0,0,0,1.9375,2.2734
30,C,A,A,0,0,0,1.6992,2.5977
31,A,A,A,1,1,0,2.2383,2.8516
32,D,A,A,0,0,0,3.2578,4.0781
33,B,A,A,0,0,0,2.0469,2.6211
34,C,A,A,0,0,0,2.6406,2.9258
35,B,A,A,0,0,0,2.7305,3.0352
36,D,A,A,0,0,0,0.7422,1.375
37,B,A,A,0,0,0,2.5078,2.25
38,D,A,A,0,0,0,1.2383,2.1484
39,C,A,A,0,0,0,2.332,2.5156
40,D,A,A,0,0,0,2.2578,2.9336
41,C,A,A,0,0,0,2.5234,3.3984
42,C,A,A,0,0,0,2.4375,3.6797
43,C,A,A,0,0,0,1.8203,2.4688
44,B,A,A,0,0,0,2.3984,3.0977
45,A,A,A,1,1,0,1.7461,2.332
46,C,A,A,0,0,0,2.0977,2.25
47,A,A,A,1,1,0,2.3516,3.3184
48,D,A,A,0,0,0,1.8828,2.5391
49,D,A,A,0,0,0,1.7383,2.2969
50,B,A,A,0,0,0,1.7891,2.4375
51,D,A,A,0,0,0,1.0859,1.9453
52,A,A,A,1,1,0,2.3008,3.3398
53,A,A,A,1,1,0,2.6641,3.6875
54,A,A,A,1,1,0,2.2305,2.4922
55,B,A,A,0,0,0,2.1445,2.3867
56,C,A,A,0,0,0,2.1328,2.2578
57,B,A,A,0,0,0,1.8633,2.3477
58,B,A,A,0,0,0,2.4844,2.1562
59,D,A,A,0,0,0,1.7852,2.3125
60,B,A,A,0,0,0,2.7969,3.0391
61,B,A,A,0,0,0,1.9766,3.0664
62,C,A,A,0,0,0,2.2383,2.0
63,C,A,A,0,0,0,2.125,2.9336
64,B,A,A,0,0,0,1.9375,2.6445
65,C,A,A,0,0,0,2.1562,2.8164
66,B,A,A,0,0,0,1.7812,2.4961
67,C,A,A,0,0,0,2.2227,2.1719
68,A,A,A,1,1,0,3.0117,4.5039
69,D,A,A,0,0,0,2.2266,2.8633
70,C,A,A,0,0,0,2.9727,3.3516
71,C,A,A,0,0,0,2.2109,3.1836
72,A,A,A,1,1,0,2.9766,3.2461
73,D,A,A,0,0,0,2.1094,2.8867
74,A,A,A,1,1,0,2.668,3.2148
75,C,A,A,0,0,0,3.0586,3.9844
76,D,A,A,0,0,0,1.4609,1.8359
77,A,A,A,1,1,0,1.8281,2.4258
78,B,A,A,0,0,0,2.0586,2.2031
79,D,A,A,0,0,0,1.7656,1.707
80,B,A,A,0,0,0,2.0977,2.9414
81,A,A,A,1,1,0,2.4453,3.1602
82,A,A,A,1,1,0,2.0156,3.2969
83,B,A,A,0,0,0,2.4258,2.9219
84,C,A,A,0,0,0,2.4023,3.5703
85,C,A,A,0,0,0,2.4805,2.8633
86,A,A,A,1,1,0,2.4141,3.1602
87,C,A,A,0,0,0,1.793,2.2969
88,D,A,A,0,0,0,1.8594,2.3594
89,C,A,A,0,0,0,2.4609,2.6562
90,D,A,A,0,0,0,1.3125,1.6562
91,A,A,A,1,1,0,1.3164,1.7852
92,D,A,A,0,0,0,2.2383,3.1328
93,A,A,A,1,1,0,2.5664,3.1914
94,A,A,A,1,1,0,3.0703,3.3125
95,D,A,A,0,0,0,0.9141,1.1016
96,A,A,A,1,1,0,2.5039,3.3125
97,A,A,A,1,1,0,3.168,4.207
98,B,A,A,0,0,0,2.1836,2.3555
99,C,A,A,0,0,0,1.8438,2.7031
100,A,A,A,1,1,0,2.0664,3.0586
101,D,A,A,0,0,0,1.5547,2.5703
102,B,A,A,0,0,0,1.8789,1.6523
103,D,A,A,0,0,0,1.6445,1.9258
104,B,A,A,0,0,0,1.6562,2.3906
105,C,A,A,0,0,0,2.0508,2.0469
106,B,A,A,0,0,0,1.6953,1.8398
107,A,A,A,1,1,0,2.0703,3.3984
108,B,A,A,0,0,0,1.9648,2.0352
109,C,A,A,0,0,0,2.4688,2.6289
110,D,A,A,0,0,0,1.1172,1.7422
111,A,A,A,1,1,0,2.2578,3.3516
112,B,A,A,0,0,0,1.9219,2.5117
113,D,A,A,0,0,0,0.6992,1.4453
114,D,A,A,0,0,0,0.6484,1.6055
115,D,A,A,0,0,0,1.7969,2.7656
116,B,A,A,0,0,0,2.0859,2.0938
117,A,A,A,1,1,0,2.7227,3.5938
118,C,A,A,0,0,0,1.9258,2.3594
119,A,A,A,1,1,0,2.6484,3.2422
120,A,A,A,1,1,0,2.4219,3.3008
121,B,A,A,0,0,0,3.3867,2.9844
122,C,A,A,0,0,0,2.1953,2.6641
123,A,A,A,1,1,0,2.6602,3.8594
124,B,A,A,0,0,0,2.1328,2.6406
125,C,A,A,0,0,0,2.4414,3.4297
126,A,A,A,1,1,0,1.7344,2.7578
127,C,A,A,0,0,0,1.1914,1.5469
128,B,A,A,0,0,0,2.3125,3.1016
129,D,A,A,0,0,0,1.9375,2.8555
130,D,A,A,0,0,0,1.043,1.6055
131,A,A,A,1,1,0,2.9258,3.332
132,D,A,A,0,0,0,1.4023,2.2891
133,C,A,A,0,0,0,1.918,3.0312
134,C,A,A,0,0,0,2.0625,1.7031
135,C,A,A,0,0,0,1.5273,1.5625
136,C,A,A,0,0,0,2.5078,3.2539
137,D,A,A,0,0,0,1.4414,2.0547
138,A,A,A,1,1,0,2.4102,4.2188
139,C,A,A,0,0,0,2.4414,2.7812
140,A,A,A,1,1,0,2.5078,2.7852
141,A,A,A,1,1,0,2.1562,2.8008
142,D,A,A,0,0,0,1.9531,2.8164
143,D,A,A,0,0,0,1.6289,2.7344
144,A,A,A,1,1,0,2.3672,3.1445
145,D,A,A,0,0,0,1.0195,2.1094
146,D,A,A,0,0,0,1.5312,2.1289
147,D,A,A,0,0,0,1.957,2.4375
148,B,A,A,0,0,0,2.3203,2.8906
149,A,A,A,1,1,0,2.4336,3.168
150,A,A,A,1,1,0,1.8828,2.8828
151,A,A,A,1,1,0,2.4141,3.3125
152,D,A,A,0,0,0,1.7461,2.3672
153,B,A,A,0,0,0,2.2266,2.5977
154,B,A,A,0,0,0,1.832,2.0977
155,B,A,A,0,0,0,2.3242,3.0508
156,D,A,A,0,0,0,2.375,4.0039
157,D,A,A,0,0,0,2.5547,3.3828
158,B,A,A,0,0,0,2.4961,3.2891
159,A,A,A,1,1,0,2.4883,3.3359
160,A,A,A,1,1,0,2.5703,3.4102
161,B,A,A,0,0,0,1.8867,2.957
162,D,A,A,0,0,0,2.2266,2.9609
163,C,A,A,0,0,0,1.9375,2.4258
164,B,A,A,0,0,0,2.0508,2.4219
165,C,A,A,0,0,0,1.8359,2.8867
166,A,A,A,1,1,0,2.8086,3.6328
167,D,A,A,0,0,0,2.2891,2.9922
168,C,A,A,0,0,0,1.9102,3.5039
169,A,A,A,1,1,0,2.6797,3.9648
170,C,A,A,0,0,0,2.3281,3.1484
171,B,A,A,0,0,0,2.3047,3.0195
172,A,A,A,1,1,0,2.2969,3.668
173,B,A,A,0,0,0,2.2109,3.1289
174,B,A,A,0,0,0,2.0977,2.375
175,B,A,A,0,0,0,2.1406,2.9766
176,C,A,A,0,0,0,1.8906,2.4805
177,C,A,A,0,0,0,1.9727,1.7344
178,B,A,A,0,0,0,2.2109,2.7812
179,B,A,A,0,0,0,2.6172,2.9844
180,B,A,A,0,0,0,1.9648,1.7344
181,B,A,A,0,0,0,2.2578,2.7812
182,B,A,A,0,0,0,2.2188,3.3594
183,C,A,A,0,0,0,2.2266,2.375
184,D,A,A,0,0,0,0.9844,1.4922
185,B,A,A,0,0,0,2.1875,2.5977
186,C,A,A,0,0,0,2.6602,4.0977
187,D,A,A,0,0,0,1.6719,1.8438
188,D,A,A,0,0,0,2.6328,3.3711
189,D,A,A,0,0,0,1.7969,2.4062
190,D,A,A,0,0,0,1.625,1.8203
191,B,A,A,0,0,0,2.0781,3.6484
192,B,A,A,0,0,0,2.1172,2.3164
193,C,A,A,0,0,0,2.0547,3.6953
194,D,A,A,0,0,0,2.1562,2.9844
195,C,A,A,0,0,0,2.3125,2.3125
196,A,A,A,1,1,0,2.1016,3.0625
197,A,A,A,1,1,0,2.5977,3.9414
198,B,A,A,0,0,0,2.3633,2.8125
199,B,A,A,0,0,0,2.2031,2.9727
200,C,A,A,0,0,0,2.0742,2.7695
201,C,A,A,0,0,0,1.7617,1.9766
202,C,A,A,0,0,0,2.1602,3.3789
203,A,A,A,1,1,0,2.6758,3.0195
204,C,A,A,0,0,0,2.2578,2.9766
