idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,1.2812,2.3906
1,C,A,A,0,0,0,1.4375,1.2656
2,D,A,A,0,0,0,2.3047,1.3594
3,B,A,A,0,0,0,2.0234,2.2578
4,B,A,A,0,0,0,1.9297,1.9453
5,B,A,A,0,0,0,1.0234,1.4141
6,C,A,A,0,0,0,1.1797,1.6641
7,A,A,A,1,1,0,1.877,1.5547
8,C,A,A,0,0,0,1.5078,1.0625
9,C,A,A,0,0,0,0.0391,3.0625
10,C,A,A,0,0,0,0.7031,4.0234
11,B,A,A,0,0,0,1.8047,1.6328
12,C,A,C,0,1,1,1.5781,0.1719
13,C,A,A,0,0,0,1.5,1.2969
14,A,A,A,1,1,0,2.2969,1.7617
15,A,A,A,1,1,0,1.6016,2.5156
16,C,A,A,0,0,0,3.0312,2.1172
17,B,A,A,0,0,0,1.3828,4.0898
18,B,A,A,0,0,0,2.2324,2.2109
19,C,A,A,0,0,0,0.9609,1.3438
20,A,A,A,1,1,0,2.8281,3.1055
21,B,A,A,0,0,0,1.0234,0.7734
22,A,A,A,1,1,0,1.7422,2.0195
23,D,A,A,0,0,0,1.0156,2.2734
24,D,A,A,0,0,0,1.2266,1.2891
25,A,A,A,1,1,0,2.8906,1.7891
26,C,A,A,0,0,0,1.2031,3.3828
27,B,A,A,0,0,0,0.5625,3.9375
28,B,A,A,0,0,0,1.2422,3.0547
29,C,A,A,0,0,0,2.2422,1.4219
30,C,A,A,0,0,0,0.9766,2.125
31,A,A,A,1,1,0,2.0547,1.8203
32,D,A,A,0,0,0,2.5781,3.5234
33,B,A,A,0,0,0,1.0234,0.9062
34,C,A,A,0,0,0,0.8438,2.7969
35,B,A,A,0,0,0,1.9609,3.4688
36,D,A,A,0,0,0,0.5,1.6406
37,B,A,A,0,0,0,2.3906,2.9453
38,D,A,A,0,0,0,1.375,4.3789
39,C,A,A,0,0,0,1.2656,2.1953
40,D,A,A,0,0,0,1.1094,3.5742
41,C,A,A,0,0,0,2.8984,1.9844
42,C,A,A,0,0,0,1.1562,1.4219
43,C,A,A,0,0,0,0.6328,1.6133
44,B,A,A,0,0,0,1.2109,0.7344
45,A,A,A,1,1,0,2.0234,1.8281
46,C,A,A,0,0,0,1.7891,0.7734
47,A,A,A,1,1,0,1.4609,3.0469
48,D,A,A,0,0,0,1.5547,3.5664
49,D,A,A,0,0,0,1.0,0.875
50,B,A,A,0,0,0,1.4922,1.6367
51,D,A,A,0,0,0,1.5859,0.1562
52,A,A,A,1,1,0,2.5781,2.0156
53,A,A,A,1,1,0,1.7578,4.5703
54,A,A,A,1,1,0,1.7324,3.3047
55,B,A,A,0,0,0,2.1172,2.4609
56,C,A,A,0,0,0,1.9688,1.4766
57,B,A,A,0,0,0,1.9453,3.3594
58,B,A,A,0,0,0,1.6094,3.0352
59,D,A,A,0,0,0,1.3516,3.2812
60,B,A,A,0,0,0,0.7578,1.5078
61,B,A,A,0,0,0,2.0391,1.9375
62,C,A,A,0,0,0,0.8281,0.2656
63,C,A,A,0,0,0,1.1953,3.0
64,B,A,A,0,0,0,1.0469,3.4141
65,C,A,A,0,0,0,1.4922,3.3047
66,B,A,A,0,0,0,1.1172,1.7031
67,C,A,A,0,0,0,0.7344,0.9531
68,A,A,A,1,1,0,1.4688,3.9492
69,D,A,A,0,0,0,1.0859,1.625
70,C,A,A,0,0,0,0.8594,1.7578
71,C,A,A,0,0,0,1.3359,3.0195
72,A,A,A,1,1,0,2.5312,2.1602
73,D,A,A,0,0,0,2.0938,1.3281
74,A,A,A,1,1,0,3.1562,1.7188
75,C,A,A,0,0,0,2.0703,2.3438
76,D,A,A,0,0,0,0.7188,2.2188
77,A,A,A,1,1,0,2.375,1.1641
78,B,A,A,0,0,0,0.9766,1.9844
79,D,A,A,0,0,0,1.375,3.375
80,B,A,A,0,0,0,1.375,0.7891
81,A,A,A,1,1,0,1.9688,1.9609
82,A,A,A,1,1,0,1.5234,3.7266
83,B,A,A,0,0,0,3.3438,2.0938
84,C,A,A,0,0,0,1.4141,2.0547
85,C,A,A,0,0,0,1.4531,3.4102
86,A,A,A,1,1,0,1.7188,1.6211
87,C,A,A,0,0,0,1.0156,1.2656
88,D,A,A,0,0,0,2.2578,0.75
89,C,A,A,0,0,0,2.0859,1.8125
90,D,A,A,0,0,0,1.6016,2.2188
91,A,A,A,1,1,0,1.6641,2.6406
92,D,A,A,0,0,0,0.8281,1.875
93,A,A,A,1,1,0,2.125,1.6406
94,A,A,A,1,1,0,2.8828,2.0625
95,D,A,A,0,0,0,1.5,1.3047
96,A,A,A,1,1,0,2.25,1.2656
97,A,A,A,1,1,0,1.3223,1.7188
