idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,2.2891,1.5703
1,C,A,A,0,0,0,2.3203,1.7539
2,D,A,A,0,0,0,2.5469,2.0508
3,B,A,A,0,0,0,2.3984,1.918
4,B,A,A,0,0,0,2.1641,1.5977
5,B,A,A,0,0,0,1.6016,1.3125
6,C,A,A,0,0,0,1.9414,1.3438
7,A,A,A,1,1,0,2.6289,2.0352
8,C,A,A,0,0,0,2.2109,1.4727
9,C,A,A,0,0,0,2.1445,1.7344
10,C,A,A,0,0,0,2.2188,1.7227
11,B,A,A,0,0,0,2.332,1.8008
12,C,A,A,0,0,0,2.4844,1.8789
13,C,A,A,0,0,0,1.6836,1.5977
14,A,A,A,1,1,0,2.1836,1.4414
15,A,A,A,1,1,0,2.6016,1.9336
16,C,A,A,0,0,0,2.8203,2.5859
17,B,A,A,0,0,0,2.1094,2.1992
18,B,A,A,0,0,0,2.5195,1.8008
19,C,A,A,0,0,0,2.0117,1.6602
20,A,A,A,1,1,0,2.7695,2.5234
21,B,A,A,0,0,0,2.3828,2.332
22,A,A,A,1,1,0,2.5156,2.4414
23,D,A,A,0,0,0,1.2852,1.0078
24,D,A,A,0,0,0,1.6445,1.4766
25,A,A,A,1,1,0,2.2031,1.9727
26,C,A,A,0,0,0,2.3359,1.6602
27,B,A,A,0,0,0,1.582,1.3945
28,B,A,A,0,0,0,2.2109,1.8359
29,C,A,A,0,0,0,1.9375,1.4609
30,C,A,A,0,0,0,1.6992,1.5938
31,A,A,A,1,1,0,2.2383,1.6133
32,D,A,A,0,0,0,3.2578,2.5898
33,B,A,A,0,0,0,2.0469,1.2656
34,C,A,A,0,0,0,2.6406,2.0703
35,B,A,A,0,0,0,2.7305,2.0586
36,D,A,A,0,0,0,0.7422,0.418
37,B,A,A,0,0,0,2.5078,1.918
38,D,A,A,0,0,0,1.2383,0.7539
39,C,A,A,0,0,0,2.332,1.5312
40,D,A,A,0,0,0,2.2578,1.7422
41,C,A,A,0,0,0,2.5234,2.1953
42,C,A,A,0,0,0,2.4375,2.3711
43,C,A,A,0,0,0,1.8203,1.4492
44,B,A,A,0,0,0,2.3984,1.8984
45,A,A,A,1,1,0,1.7461,1.1367
46,C,A,A,0,0,0,2.0977,1.707
47,A,A,A,1,1,0,2.3516,1.6133
48,D,A,A,0,0,0,1.8828,1.207
49,D,A,A,0,0,0,1.7383,1.5195
50,B,A,A,0,0,0,1.7891,1.4023
51,D,A,A,0,0,0,1.0859,0.5664
52,A,A,A,1,1,0,2.3008,1.9453
53,A,A,A,1,1,0,2.6641,2.0859
54,A,A,A,1,1,0,2.2305,1.6172
55,B,A,A,0,0,0,2.1445,1.2852
56,C,A,A,0,0,0,2.1328,1.6133
57,B,A,A,0,0,0,1.8633,1.4414
58,B,A,A,0,0,0,2.4844,1.8984
59,D,A,A,0,0,0,1.7852,1.2188
60,B,A,A,0,0,0,2.7969,2.4727
61,B,A,A,0,0,0,1.9766,1.7266
62,C,A,A,0,0,0,2.2383,1.5039
63,C,A,A,0,0,0,2.125,1.6875
64,B,A,A,0,0,0,1.9375,1.4258
65,C,A,A,0,0,0,2.1562,1.7227
66,B,A,A,0,0,0,1.7812,1.4062
67,C,A,A,0,0,0,2.2227,1.707
68,A,A,A,1,1,0,3.0117,2.4531
69,D,A,A,0,0,0,2.2266,1.3984
70,C,A,A,0,0,0,2.9727,2.1758
71,C,A,A,0,0,0,2.2109,1.6602
72,A,A,A,1,1,0,2.9766,2.3203
73,D,A,A,0,0,0,2.1094,1.5547
74,A,A,A,1,1,0,2.668,2.1484
75,C,A,A,0,0,0,3.0586,2.7617
76,D,A,A,0,0,0,1.4609,0.875
77,A,A,A,1,1,0,1.8281,1.4414
78,B,A,A,0,0,0,2.0586,1.3789
79,D,A,A,0,0,0,1.7656,1.3203
80,B,A,A,0,0,0,2.0977,1.9297
81,A,A,A,1,1,0,2.4453,1.7227
82,A,A,A,1,1,0,2.0156,1.582
83,B,A,A,0,0,0,2.4258,2.1953
84,C,A,A,0,0,0,2.4023,1.9297
85,C,A,A,0,0,0,2.4805,1.7266
86,A,A,A,1,1,0,2.4141,1.8477
87,C,A,A,0,0,0,1.793,1.5977
88,D,A,A,0,0,0,1.8594,1.5352
89,C,A,A,0,0,0,2.4609,1.8789
90,D,A,A,0,0,0,1.3125,0.6562
91,A,A,A,1,1,0,1.3164,0.8125
92,D,A,A,0,0,0,2.2383,1.625
93,A,A,A,1,1,0,2.5664,1.707
94,A,A,A,1,1,0,3.0703,2.6406
95,D,A,A,0,0,0,0.9141,0.4883
96,A,A,A,1,1,0,2.5039,1.9727
97,A,A,A,1,1,0,3.168,2.5508
98,B,A,A,0,0,0,2.1836,1.793
99,C,A,A,0,0,0,1.8438,1.6953
100,A,A,A,1,1,0,2.0664,1.457
101,D,A,A,0,0,0,1.5547,1.3906
102,B,A,A,0,0,0,1.8789,1.6328
103,D,A,A,0,0,0,1.6445,0.9414
104,B,A,A,0,0,0,1.6562,1.1719
105,C,A,A,0,0,0,2.0508,1.5508
106,B,A,A,0,0,0,1.6953,1.3633
107,A,A,A,1,1,0,2.0703,1.5938
108,B,A,A,0,0,0,1.9648,1.9141
109,C,A,A,0,0,0,2.4688,1.707
110,D,A,A,0,0,0,1.1172,1.0625
111,A,A,A,1,1,0,2.2578,2.1016
112,B,A,A,0,0,0,1.9219,1.4531
113,D,A,A,0,0,0,0.6992,0.2109
114,D,A,A,0,0,0,0.6484,0.4219
115,D,A,A,0,0,0,1.7969,1.457
116,B,A,A,0,0,0,2.0859,1.2695
117,A,A,A,1,1,0,2.7227,2.1914
118,C,A,A,0,0,0,1.9258,1.7695
119,A,A,A,1,1,0,2.6484,1.6641
120,A,A,A,1,1,0,2.4219,1.8672
121,B,A,A,0,0,0,3.3867,2.7969
122,C,A,A,0,0,0,2.1953,2.0078
123,A,A,A,1,1,0,2.6602,2.1836
124,B,A,A,0,0,0,2.1328,1.5039
125,C,A,A,0,0,0,2.4414,1.9102
126,A,A,A,1,1,0,1.7344,1.5938
127,C,A,A,0,0,0,1.1914,1.1758
128,B,A,A,0,0,0,2.3125,2.2305
129,D,A,A,0,0,0,1.9375,1.0625
130,D,A,A,0,0,0,1.043,0.8008
131,A,A,A,1,1,0,2.9258,2.4219
132,D,A,A,0,0,0,1.4023,1.0625
133,C,A,A,0,0,0,1.918,1.6445
134,C,A,A,0,0,0,2.0625,1.5195
135,C,A,A,0,0,0,1.5273,1.1797
136,C,A,A,0,0,0,2.5078,1.8516
137,D,A,A,0,0,0,1.4414,0.9219
138,A,A,A,1,1,0,2.4102,2.4922
139,C,A,A,0,0,0,2.4414,1.6602
140,A,A,A,1,1,0,2.5078,1.8047
