idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,0.2891,0.1094
1,A,A,A,1,1,0,0.0,0.1875
2,B,A,A,0,0,0,0.1484,0.1406
3,E,E,E,1,1,0,0.1641,0.4766
4,B,C,C,0,0,0,0.1484,0.3047
5,B,A,A,0,0,0,0.2656,0.2031
6,A,A,A,1,1,0,0.3516,0.3496
7,B,B,B,1,1,0,0.7188,0.3359
8,D,A,A,0,0,0,0.2891,0.0547
9,B,A,A,0,0,0,0.0391,0.25
10,C,D,D,0,0,0,0.1172,0.2578
11,B,B,B,1,1,0,1.2969,1.3281
12,E,A,A,0,0,0,0.3438,0.2344
13,B,A,A,0,0,0,0.2734,0.1719
14,B,E,F,0,0,1,0.0547,0.1094
15,D,D,D,1,1,0,0.1875,0.4062
16,E,E,E,1,1,0,0.3359,0.4766
17,A,B,B,0,0,0,0.0703,0.1719
18,C,A,A,0,0,0,0.3984,0.0469
19,E,B,B,0,0,0,0.375,0.2344
20,B,A,A,0,0,0,0.5469,0.3438
21,B,B,B,1,1,0,0.0078,0.1562
22,D,A,A,0,0,0,0.4375,0.1719
23,C,B,B,0,0,0,0.1484,0.0312
24,A,F,F,0,0,0,0.3359,0.4844
25,D,A,A,0,0,0,0.7031,0.6191
26,F,E,E,0,0,0,0.0391,0.1172
27,B,B,B,1,1,0,0.0938,0.2734
28,F,B,B,0,0,0,0.9297,0.6406
29,D,E,E,0,0,0,0.3594,0.4375
30,E,B,E,0,1,1,0.0234,0.3906
31,C,A,A,0,0,0,0.5938,0.4844
32,B,B,B,1,1,0,0.3438,0.2344
33,F,F,F,1,1,0,0.5547,0.6953
34,D,A,A,0,0,0,0.0625,0.2031
35,D,A,A,0,0,0,0.1875,0.1113
36,B,A,E,0,0,1,0.1172,0.1621
37,B,B,A,1,0,1,0.1094,0.1016
38,B,A,E,0,0,1,0.1016,0.0312
39,A,F,F,0,0,0,0.0156,0.2734
40,B,B,B,1,1,0,0.3281,0.4531
41,E,A,F,0,0,1,0.0312,0.0156
42,E,A,A,0,0,0,0.5781,0.3281
43,A,A,A,1,1,0,0.3438,0.25
44,D,D,D,1,1,0,0.3359,0.4062
45,F,A,A,0,0,0,0.2266,0.0078
46,C,A,E,0,0,1,0.0859,0.2891
47,E,B,B,0,0,0,0.1406,0.2578
48,F,F,F,1,1,0,1.1895,1.1875
49,B,A,A,0,0,0,0.5938,0.4062
50,E,E,E,1,1,0,0.3438,0.5859
51,D,D,D,1,1,0,0.2891,0.4316
52,D,F,F,0,0,0,1.0234,1.4668
53,B,B,B,1,1,0,0.1094,0.1875
54,A,A,A,1,1,0,1.3828,1.2969
55,C,B,B,0,0,0,0.2578,0.1719
56,A,A,A,1,1,0,1.5781,1.4434
57,A,A,A,1,1,0,0.4844,0.2812
58,F,F,F,1,1,0,0.0312,0.2344
59,D,D,D,1,1,0,0.6797,0.8281
60,E,E,E,1,1,0,0.2188,0.4766
61,B,A,F,0,0,1,0.125,0.1562
62,D,E,E,0,0,0,0.1484,0.4609
63,E,E,E,1,1,0,0.0859,0.0859
64,D,A,A,0,0,0,0.4219,0.3203
65,B,A,A,0,0,0,0.3594,0.2578
66,A,A,A,1,1,0,0.2422,0.4219
67,C,A,C,0,1,1,0.1328,0.0391
68,E,A,A,0,0,0,0.4297,0.1094
69,F,B,F,0,1,1,0.0234,0.4453
70,A,A,A,1,1,0,0.8125,0.916
71,F,B,E,0,0,1,0.1016,0.0078
72,F,F,F,1,1,0,0.5918,0.6328
73,D,F,F,0,0,0,0.6094,0.9531
74,C,A,E,0,0,1,0.0,0.0625
75,E,E,E,1,1,0,0.1016,0.3438
