idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,4.4062,5.6582
1,A,A,A,1,1,0,3.6725,5.3262
2,B,B,A,1,0,1,0.0625,0.4688
3,C,B,B,0,0,0,5.5454,5.6411
4,C,C,C,1,1,0,6.3273,5.8106
5,C,C,C,1,1,0,8.5108,8.6531
6,A,B,B,0,0,0,5.4532,5.3599
7,B,B,B,1,1,0,6.4758,6.4685
8,C,B,B,0,0,0,3.7661,4.1102
9,B,B,B,1,1,0,7.1249,7.0476
10,B,B,B,1,1,0,4.282,4.7023
11,C,B,B,0,0,0,4.1422,3.9072
12,C,B,B,0,0,0,5.314,4.8284
13,B,B,B,1,1,0,7.6806,7.5485
14,B,B,B,1,1,0,3.7965,3.3584
15,C,B,C,0,1,1,1.0779,0.5154
16,B,B,B,1,1,0,5.8887,5.4856
17,C,B,B,0,0,0,6.2483,5.9676
18,A,B,B,0,0,0,3.8286,3.5151
19,A,A,A,1,1,0,2.7654,4.1106
20,C,B,B,0,0,0,0.6096,2.0928
21,B,B,B,1,1,0,5.7751,5.5462
22,C,C,C,1,1,0,5.314,4.3299
23,C,B,B,0,0,0,2.1097,1.7499
24,C,C,C,1,1,0,8.5354,8.5441
25,B,B,B,1,1,0,7.2818,6.8674
26,C,B,B,0,0,0,3.4059,3.0938
27,C,C,C,1,1,0,5.6419,4.5766
28,C,B,B,0,0,0,5.7794,5.5788
29,B,B,B,1,1,0,4.702,4.3593
30,B,B,B,1,1,0,5.8764,5.7428
31,B,B,B,1,1,0,5.9779,5.9936
32,B,B,B,1,1,0,5.3298,4.4677
33,B,B,B,1,1,0,6.1083,5.9361
34,A,B,B,0,0,0,3.4846,4.0782
35,C,B,B,0,0,0,6.5697,6.2016
36,A,A,A,1,1,0,4.5464,5.1258
37,B,B,B,1,1,0,3.4691,3.4527
38,C,C,C,1,1,0,0.6091,4.0165
39,C,B,B,0,0,0,4.8115,5.4836
40,A,A,A,1,1,0,7.6418,7.8889
41,B,B,B,1,1,0,4.0922,4.3284
42,B,B,B,1,1,0,5.8577,5.5797
43,A,B,B,0,0,0,2.5156,2.7346
44,A,A,A,1,1,0,7.0173,6.0954
45,A,A,A,1,1,0,1.4691,4.0151
46,C,B,B,0,0,0,1.9849,3.6408
47,B,B,B,1,1,0,4.8606,4.9226
48,C,A,A,0,0,0,0.3594,4.6406
49,C,C,C,1,1,0,4.9224,7.0558
50,C,C,C,1,1,0,5.8997,5.2651
51,A,A,A,1,1,0,7.7129,7.6232
52,C,C,C,1,1,0,6.8197,6.9216
53,A,B,B,0,0,0,4.9054,4.2029
54,A,B,B,0,0,0,5.9997,6.1252
55,C,B,B,0,0,0,5.3759,6.4383
56,A,B,B,0,0,0,6.1411,6.0002
57,C,B,B,0,0,0,4.3284,3.6868
58,C,B,B,0,0,0,3.9678,4.2793
59,A,B,B,0,0,0,3.8118,0.125
60,A,A,A,1,1,0,8.2172,8.1628
61,C,B,B,0,0,0,6.1158,6.0692
62,A,B,B,0,0,0,5.1873,5.282
63,B,B,B,1,1,0,6.8762,6.7354
64,A,A,A,1,1,0,7.3675,7.329
65,C,B,B,0,0,0,4.9992,4.7488
66,A,B,B,0,0,0,5.1552,5.4855
67,C,B,B,0,0,0,5.7189,4.311
68,B,B,A,1,0,1,0.8596,1.6561
69,A,A,A,1,1,0,2.4688,3.2493
70,B,A,A,0,0,0,0.7654,0.4844
71,B,B,B,1,1,0,4.4208,4.8433
72,C,B,B,0,0,0,5.5171,5.6703
73,A,B,B,0,0,0,4.8288,3.6876
74,B,A,A,0,0,0,0.1406,3.7664
75,C,B,B,0,0,0,4.5783,3.9228
76,A,A,A,1,1,0,5.6426,4.9517
77,A,A,A,1,1,0,0.5935,4.4704
78,B,B,B,1,1,0,5.5642,5.7178
79,A,A,A,1,1,0,3.9695,4.4835
80,C,B,C,0,1,1,2.2971,0.4841
81,B,A,A,0,0,0,2.9679,5.4226
82,B,B,B,1,1,0,6.6004,6.4442
83,A,B,B,0,0,0,6.2343,6.3444
84,A,A,A,1,1,0,8.186,8.5301
85,A,B,B,0,0,0,5.5766,5.8278
86,C,B,B,0,0,0,5.4141,5.4862
87,C,B,B,0,0,0,5.439,5.8211
88,C,B,B,0,0,0,4.7171,4.3107
89,A,A,A,1,1,0,4.3892,4.7336
90,C,B,B,0,0,0,6.9067,6.8286
91,C,C,C,1,1,0,6.7648,5.983
92,A,A,A,1,1,0,4.5454,3.8596
93,A,A,A,1,1,0,5.686,6.9781
94,A,B,B,0,0,0,1.3435,2.0781
95,A,A,A,1,1,0,6.1247,4.72
96,A,B,B,0,0,0,4.8888,5.0474
97,B,B,B,1,1,0,3.4529,3.0932
98,C,C,C,1,1,0,6.7106,6.539
99,A,A,A,1,1,0,5.0616,4.905
100,C,C,C,1,1,0,7.452,7.2732
101,A,A,B,1,0,1,0.8435,1.25
102,A,B,B,0,0,0,3.1879,3.8118
