idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,7.0928,6.561
1,A,A,A,1,1,0,7.2493,10.0312
2,B,B,B,1,1,0,11.0,7.6558
3,C,C,C,1,1,0,19.3281,19.0156
4,C,C,C,1,1,0,17.8906,17.7344
5,C,C,C,1,1,0,17.4062,17.0312
6,A,B,B,0,0,0,14.4062,12.8125
7,B,B,B,1,1,0,4.8122,3.0617
8,C,C,C,1,1,0,3.2186,4.2831
9,B,C,C,0,0,0,2.5309,7.7496
10,B,B,B,1,1,0,14.0,11.8125
11,C,C,C,1,1,0,8.5623,9.2812
12,C,C,C,1,1,0,6.8427,8.8749
13,B,B,B,1,1,0,12.4062,9.5937
14,B,B,B,1,1,0,9.1561,7.4682
15,C,C,C,1,1,0,14.6875,15.2656
16,B,B,B,1,1,0,13.6094,11.25
17,C,C,C,1,1,0,1.9689,5.8134
18,A,A,A,1,1,0,9.8124,10.6562
19,A,A,A,1,1,0,5.3114,5.0324
20,C,C,C,1,1,0,14.4687,14.5469
21,B,B,B,1,1,0,7.687,7.8434
22,C,C,C,1,1,0,18.125,17.75
23,C,A,A,0,0,0,17.9531,18.2812
24,C,C,C,1,1,0,20.1562,18.7969
25,B,B,B,1,1,0,11.5312,8.4373
26,C,C,C,1,1,0,15.5312,16.0
27,C,C,C,1,1,0,17.4531,17.1719
28,C,B,B,0,0,0,6.1894,4.0928
29,B,C,C,0,0,0,2.4059,7.562
30,B,B,B,1,1,0,11.375,9.3437
31,B,B,B,1,1,0,3.9059,0.25
32,B,B,B,1,1,0,15.0469,11.9062
33,B,B,B,1,1,0,10.0625,7.1867
34,A,A,A,1,1,0,4.2831,5.9701
35,C,C,C,1,1,0,5.9074,7.3744
36,A,A,A,1,1,0,16.7812,16.3281
37,B,C,C,0,0,0,4.5323,7.4369
38,C,C,C,1,1,0,18.25,18.1562
39,C,C,C,1,1,0,15.8906,15.7031
40,A,A,A,1,1,0,1.9061,2.8746
41,B,B,B,1,1,0,8.7497,6.7799
42,B,B,B,1,1,0,11.2812,9.7499
43,A,A,A,1,1,0,7.1867,9.4687
44,A,A,A,1,1,0,14.3437,15.2344
45,A,B,A,0,1,1,0.5002,2.6563
46,C,B,C,0,1,1,1.156,4.9382
47,B,C,C,0,0,0,1.5934,3.1881
48,C,C,C,1,1,0,6.158,6.4046
49,C,C,C,1,1,0,17.5469,16.8281
50,C,C,C,1,1,0,19.375,19.0938
