idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,10.8502,11.1712
1,C,C,C,1,1,0,9.5677,9.7489
2,D,D,D,1,1,0,0.5781,1.5623
3,B,D,D,0,0,0,9.4112,9.3889
4,B,B,B,1,1,0,7.6258,7.2654
5,B,B,B,1,1,0,10.4831,9.999
6,C,C,C,1,1,0,8.7005,10.1473
7,A,A,A,1,1,0,10.9132,10.6476
8,C,C,C,1,1,0,11.2412,11.4294
9,C,C,C,1,1,0,11.1856,11.3665
10,C,C,C,1,1,0,10.9987,11.0229
11,B,B,B,1,1,0,11.0146,10.9758
12,C,C,C,1,1,0,9.458,10.0537
13,C,C,C,1,1,0,10.011,10.2641
14,A,A,B,1,0,1,1.4219,1.6252
15,A,A,A,1,1,0,10.0665,10.0926
16,C,C,C,1,1,0,8.8568,9.1618
17,B,B,B,1,1,0,9.6831,9.9198
18,B,B,B,1,1,0,10.1542,10.1944
19,C,C,C,1,1,0,10.0058,9.9125
20,A,A,A,1,1,0,10.9052,10.8821
21,B,B,B,1,1,0,11.1704,11.1557
22,A,A,A,1,1,0,10.5286,9.772
23,D,D,D,1,1,0,10.95,11.1084
24,D,D,D,1,1,0,10.006,10.1944
25,A,A,A,1,1,0,10.2395,10.4832
26,C,C,C,1,1,0,9.5289,9.4992
27,B,B,B,1,1,0,9.6793,9.8262
28,B,B,B,1,1,0,4.923,4.2963
29,C,C,C,1,1,0,11.2957,11.6399
30,C,C,C,1,1,0,10.0489,9.8888
31,A,A,A,1,1,0,11.3117,10.8746
32,D,D,D,1,1,0,9.7414,10.0386
33,B,B,B,1,1,0,5.2964,5.3765
34,C,C,C,1,1,0,10.839,11.3897
35,B,C,C,0,0,0,0.9065,1.8284
36,D,D,D,1,1,0,10.5911,10.7094
37,B,B,B,1,1,0,9.6846,9.669
38,D,D,D,1,1,0,10.9557,10.7316
39,C,B,B,0,0,0,4.1111,4.6394
40,D,C,C,0,0,0,6.3577,8.8686
41,C,C,C,1,1,0,10.5299,10.3814
42,C,C,C,1,1,0,10.0059,10.3505
43,C,C,C,1,1,0,11.3041,11.4213
44,B,B,B,1,1,0,10.4291,10.7105
45,A,A,A,1,1,0,7.4374,7.4362
46,C,C,C,1,1,0,11.0137,10.896
47,A,A,A,1,1,0,10.2393,10.8505
48,D,D,D,1,1,0,9.0916,9.1159
49,D,D,D,1,1,0,8.2102,8.299
50,B,A,A,0,0,0,4.2494,5.1254
51,D,D,D,1,1,0,8.1351,8.2378
52,A,A,A,1,1,0,9.5456,9.835
53,A,A,A,1,1,0,9.919,10.351
54,A,A,A,1,1,0,6.532,7.2903
55,B,B,B,1,1,0,9.7798,10.2492
56,C,C,C,1,1,0,8.9756,8.9209
57,B,B,B,1,1,0,11.2291,11.3576
58,B,B,B,1,1,0,10.2875,10.6324
59,D,D,D,1,1,0,5.4078,7.6242
60,B,B,B,1,1,0,8.189,8.8444
61,B,B,A,1,0,1,5.001,4.2334
62,C,C,C,1,1,0,9.9107,10.1474
63,C,C,C,1,1,0,8.8461,8.9695
64,B,B,B,1,1,0,10.074,10.1943
65,C,C,C,1,1,0,9.0455,9.1319
66,B,B,B,1,1,0,10.1288,10.4349
67,C,C,C,1,1,0,8.2228,7.0781
68,A,A,A,1,1,0,10.8664,10.6949
69,D,D,D,1,1,0,11.7322,11.3958
70,C,C,C,1,1,0,11.576,11.7493
71,C,C,C,1,1,0,7.3344,7.8675
72,A,A,A,1,1,0,9.4993,9.7183
73,D,D,D,1,1,0,10.4994,10.4683
74,A,B,B,0,0,0,2.1558,2.4224
75,C,C,C,1,1,0,10.46,10.1476
76,D,D,D,1,1,0,10.0455,10.3352
77,A,A,A,1,1,0,8.4581,8.4663
