idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,7.0928,1.125
1,A,A,A,1,1,0,7.2493,5.688
2,B,B,B,1,1,0,11.0,10.8437
3,C,C,C,1,1,0,19.3281,19.5312
4,C,C,C,1,1,0,17.8906,18.8594
5,C,C,C,1,1,0,17.4062,17.7812
6,A,B,B,0,0,0,14.4062,16.125
7,B,B,B,1,1,0,4.8122,4.6546
8,C,C,C,1,1,0,3.2186,1.8434
9,B,C,C,0,0,0,2.5309,0.8752
10,B,B,B,1,1,0,14.0,13.25
11,C,C,C,1,1,0,8.5623,8.1872
12,C,C,C,1,1,0,6.8427,5.1269
13,B,B,B,1,1,0,12.4062,12.25
14,B,B,B,1,1,0,9.1561,8.7498
15,C,C,C,1,1,0,14.6875,15.125
16,B,B,B,1,1,0,13.6094,12.9219
17,C,C,C,1,1,0,1.9689,2.5624
18,A,A,A,1,1,0,9.8124,9.1874
19,A,A,A,1,1,0,5.3114,1.5316
20,C,C,C,1,1,0,14.4687,15.1094
21,B,B,B,1,1,0,7.687,8.156
22,C,C,C,1,1,0,18.125,18.2812
23,C,A,A,0,0,0,17.9531,18.1406
24,C,C,C,1,1,0,20.1562,19.7188
25,B,B,B,1,1,0,11.5312,11.0937
26,C,C,C,1,1,0,15.5312,15.7812
27,C,C,C,1,1,0,17.4531,18.4531
28,C,B,B,0,0,0,6.1894,6.3733
29,B,C,C,0,0,0,2.4059,1.6564
30,B,B,B,1,1,0,11.375,11.7812
31,B,B,B,1,1,0,3.9059,1.125
32,B,B,B,1,1,0,15.0469,14.7187
33,B,B,B,1,1,0,10.0625,9.1249
34,A,A,A,1,1,0,4.2831,2.6567
35,C,C,C,1,1,0,5.9074,5.7194
36,A,A,A,1,1,0,16.7812,17.1406
37,B,C,C,0,0,0,4.5323,4.3742
38,C,C,C,1,1,0,18.25,18.5
39,C,C,C,1,1,0,15.8906,15.8125
40,A,A,A,1,1,0,1.9061,2.9057
41,B,B,B,1,1,0,8.7497,9.6561
42,B,B,B,1,1,0,11.2812,11.4375
43,A,A,A,1,1,0,7.1867,6.9678
44,A,A,A,1,1,0,14.3437,14.8906
45,A,B,B,0,0,0,0.5002,1.7808
46,C,B,B,0,0,0,1.156,1.8434
47,B,C,C,0,0,0,1.5934,1.094
48,C,C,C,1,1,0,6.158,6.8427
49,C,C,C,1,1,0,17.5469,17.2969
50,C,C,C,1,1,0,19.375,20.8281
51,A,A,A,1,1,0,9.8749,8.7186
52,C,C,C,1,1,0,4.1246,3.2815
53,A,A,B,1,0,1,1.9064,0.6562
54,A,B,B,0,0,0,12.2812,14.0625
55,C,C,C,1,1,0,14.75,11.5312
56,A,B,B,0,0,0,3.6241,3.031
57,C,C,C,1,1,0,18.5625,19.9688
58,C,C,C,1,1,0,20.5312,20.4688
59,A,B,B,0,0,0,5.3113,6.4985
