idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,4.4062,5.0773
1,A,A,A,1,1,0,3.6725,5.0159
2,B,B,B,1,1,0,0.0625,0.8123
3,C,B,B,0,0,0,5.5454,5.6882
4,C,C,C,1,1,0,6.3273,6.1872
5,C,C,C,1,1,0,8.5108,8.2785
6,A,B,B,0,0,0,5.4532,5.3596
7,B,B,B,1,1,0,6.4758,6.1395
8,C,B,B,0,0,0,3.7661,3.8907
9,B,B,B,1,1,0,7.1249,7.126
10,B,B,B,1,1,0,4.282,3.8597
11,C,B,B,0,0,0,4.1422,4.2988
12,C,B,B,0,0,0,5.314,5.4046
13,B,B,B,1,1,0,7.6806,7.181
14,B,B,B,1,1,0,3.7965,2.7648
15,C,B,C,0,1,1,1.0779,0.9062
16,B,B,B,1,1,0,5.8887,5.874
17,C,B,B,0,0,0,6.2483,6.4219
18,A,B,B,0,0,0,3.8286,3.1246
19,A,A,A,1,1,0,2.7654,4.3602
20,C,B,B,0,0,0,0.6096,2.7025
21,B,B,B,1,1,0,5.7751,6.0376
22,C,C,C,1,1,0,5.314,5.4357
23,C,B,B,0,0,0,2.1097,2.9846
24,C,C,C,1,1,0,8.5354,8.2788
25,B,B,B,1,1,0,7.2818,6.9776
26,C,B,B,0,0,0,3.4059,3.9381
27,C,C,C,1,1,0,5.6419,5.7337
28,C,B,B,0,0,0,5.7794,5.8112
29,B,B,B,1,1,0,4.702,4.7822
30,B,B,B,1,1,0,5.8764,6.0531
31,B,B,B,1,1,0,5.9779,6.0216
32,B,B,B,1,1,0,5.3298,5.2202
33,B,B,B,1,1,0,6.1083,5.9209
34,A,B,B,0,0,0,3.4846,3.9684
35,C,B,B,0,0,0,6.5697,6.5782
36,A,A,A,1,1,0,4.5464,4.9843
37,B,B,B,1,1,0,3.4691,2.4689
38,C,C,B,1,0,1,0.6091,3.4531
39,C,B,B,0,0,0,4.8115,5.2649
40,A,A,A,1,1,0,7.6418,8.2015
41,B,B,B,1,1,0,4.0922,3.8279
42,B,B,B,1,1,0,5.8577,5.2502
43,A,B,B,0,0,0,2.5156,2.6557
44,A,A,A,1,1,0,7.0173,7.3754
45,A,A,A,1,1,0,1.4691,4.1107
46,C,B,B,0,0,0,1.9849,4.1734
47,B,B,B,1,1,0,4.8606,4.9681
48,C,A,A,0,0,0,0.3594,0.4375
49,C,C,C,1,1,0,4.9224,0.5156
50,C,C,C,1,1,0,5.8997,6.0608
51,A,A,A,1,1,0,7.7129,7.8971
52,C,C,C,1,1,0,6.8197,6.8441
53,A,B,B,0,0,0,4.9054,3.6721
54,A,B,B,0,0,0,5.9997,5.9374
55,C,B,B,0,0,0,5.3759,5.3608
56,A,B,B,0,0,0,6.1411,4.89
57,C,B,B,0,0,0,4.3284,4.5462
58,C,B,B,0,0,0,3.9678,4.2672
59,A,B,B,0,0,0,3.8118,2.688
60,A,A,A,1,1,0,8.2172,8.3661
61,C,B,B,0,0,0,6.1158,6.1949
62,A,B,B,0,0,0,5.1873,4.9834
63,B,B,B,1,1,0,6.8762,6.7435
64,A,A,A,1,1,0,7.3675,7.6342
65,C,B,B,0,0,0,4.9992,5.0474
66,A,B,B,0,0,0,5.1552,4.9826
67,C,B,B,0,0,0,5.7189,5.6261
68,B,B,B,1,1,0,0.8596,0.2344
69,A,A,A,1,1,0,2.4688,2.7508
70,B,A,A,0,0,0,0.7654,0.5154
71,B,B,B,1,1,0,4.4208,4.6706
72,C,B,B,0,0,0,5.5171,5.7489
73,A,B,B,0,0,0,4.8288,4.4076
74,B,A,A,0,0,0,0.1406,2.2812
75,C,B,B,0,0,0,4.5783,4.4845
76,A,A,A,1,1,0,5.6426,6.3599
77,A,A,A,1,1,0,0.5935,1.1096
78,B,B,B,1,1,0,5.5642,5.4835
79,A,A,A,1,1,0,3.9695,4.9369
80,C,B,B,0,0,0,2.2971,1.375
81,B,A,A,0,0,0,2.9679,3.5625
82,B,B,B,1,1,0,6.6004,6.6246
83,A,B,B,0,0,0,6.2343,5.9373
84,A,A,A,1,1,0,8.186,8.4207
85,A,B,B,0,0,0,5.5766,5.4515
86,C,B,B,0,0,0,5.4141,5.3597
87,C,B,B,0,0,0,5.439,5.4435
88,C,B,B,0,0,0,4.7171,5.0332
89,A,A,A,1,1,0,4.3892,4.7032
90,C,B,B,0,0,0,6.9067,6.9148
91,C,C,C,1,1,0,6.7648,7.0005
92,A,A,A,1,1,0,4.5454,4.7196
93,A,A,A,1,1,0,5.686,5.5456
94,A,B,A,0,1,1,1.3435,3.1719
95,A,A,A,1,1,0,6.1247,6.0159
96,A,B,B,0,0,0,4.8888,4.8591
97,B,B,B,1,1,0,3.4529,3.5008
98,C,C,C,1,1,0,6.7106,6.5234
99,A,A,A,1,1,0,5.0616,6.1096
100,C,C,C,1,1,0,7.452,7.1171
101,A,A,A,1,1,0,0.8435,0.8591
102,A,B,B,0,0,0,3.1879,2.2027
103,C,C,C,1,1,0,9.0901,9.0522
104,C,C,C,1,1,0,5.959,5.8736
105,B,B,B,1,1,0,4.5928,4.6726
106,B,B,B,1,1,0,3.6245,4.2012
107,B,B,B,1,1,0,4.4678,4.7504
108,C,C,C,1,1,0,8.0754,7.9236
109,B,B,B,1,1,0,5.5138,5.7031
110,A,B,A,0,1,1,0.5312,0.9685
111,B,B,B,1,1,0,4.5301,4.5781
112,A,B,B,0,0,0,4.5615,4.4515
113,B,B,B,1,1,0,4.4997,4.1557
114,B,B,B,1,1,0,5.8114,5.8275
115,A,A,A,1,1,0,0.7654,0.7031
116,C,C,C,1,1,0,6.6703,6.5382
117,A,B,B,0,0,0,4.671,4.672
118,A,A,A,1,1,0,4.4052,4.7182
119,A,A,A,1,1,0,3.1103,3.7496
120,B,A,A,0,0,0,2.1875,1.8744
121,C,B,B,0,0,0,4.8904,4.405
122,B,B,B,1,1,0,6.6487,6.5007
123,C,B,B,0,0,0,6.4597,6.3897
124,B,C,C,0,0,0,7.8822,7.7589
125,A,B,B,0,0,0,5.015,4.9683
126,B,A,A,0,0,0,5.2024,5.9371
127,C,C,C,1,1,0,6.9826,6.4992
128,A,A,A,1,1,0,0.9375,1.9684
129,B,B,B,1,1,0,3.8431,3.5319
130,C,B,B,0,0,0,5.6569,5.8066
131,B,B,B,1,1,0,3.2499,2.7509
132,A,B,B,0,0,0,3.3279,2.3116
133,C,B,B,0,0,0,5.6806,5.5008
134,C,B,B,0,0,0,4.4683,4.5785
135,C,B,B,0,0,0,4.8118,4.7808
136,A,B,B,0,0,0,5.9688,5.8577
137,C,C,C,1,1,0,7.822,7.8121
138,A,A,A,1,1,0,5.1733,5.3285
139,B,A,A,0,0,0,1.6403,0.5469
140,A,B,B,0,0,0,4.8598,3.9827
141,A,B,B,0,0,0,2.2495,2.0166
142,B,B,B,1,1,0,3.6406,3.9069
143,B,B,B,1,1,0,5.4065,5.3288
144,C,B,B,0,0,0,4.5609,4.7822
145,C,B,B,0,0,0,4.5459,4.6863
146,A,A,A,1,1,0,5.2985,6.2669
147,C,B,B,0,0,0,4.2827,4.4546
148,B,B,B,1,1,0,5.7425,5.8732
149,A,B,B,0,0,0,1.0469,1.1565
150,C,C,C,1,1,0,3.9851,5.2967
151,B,B,B,1,1,0,5.7049,5.8267
152,C,C,C,1,1,0,0.969,1.2188
153,B,A,A,0,0,0,3.2961,2.7808
154,C,C,C,1,1,0,7.6547,7.9068
155,B,B,B,1,1,0,6.4991,6.6642
156,C,B,B,0,0,0,5.4673,5.6256
157,A,A,A,1,1,0,5.595,6.1874
158,B,C,C,0,0,0,3.7658,3.8279
159,A,B,B,0,0,0,4.4705,4.6093
160,C,C,C,1,1,0,7.7259,7.7897
161,C,C,C,1,1,0,4.2173,3.8284
162,C,B,B,0,0,0,5.75,5.8576
163,C,C,C,1,1,0,8.5253,8.0503
164,A,B,B,0,0,0,5.8421,4.9047
165,A,A,A,1,1,0,7.5951,8.0687
166,C,C,C,1,1,0,1.2188,2.5147
167,C,C,C,1,1,0,2.7337,4.2033
168,B,B,B,1,1,0,4.6565,4.7515
169,A,A,A,1,1,0,2.9843,5.0151
170,C,C,C,1,1,0,2.1097,1.0781
171,A,A,A,1,1,0,0.8433,1.9213
172,C,B,B,0,0,0,5.9514,5.7986
173,A,B,B,0,0,0,3.329,2.7971
174,A,A,A,1,1,0,6.5707,7.2441
175,C,C,C,1,1,0,7.836,7.7511
176,B,B,B,1,1,0,4.7356,5.1857
177,A,B,B,0,0,0,4.3914,4.7352
178,B,B,B,1,1,0,1.9532,2.1572
179,B,B,B,1,1,0,5.6732,5.4855
180,C,B,B,0,0,0,4.5921,4.7336
181,A,A,A,1,1,0,7.5948,7.8575
182,B,B,B,1,1,0,3.1883,3.4846
