idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,0.3594,2.2734
1,A,A,A,1,1,0,0.0391,2.2188
2,B,A,A,0,0,0,0.3281,1.8672
3,E,A,A,0,0,0,0.3438,1.9219
4,B,A,A,0,0,0,0.7344,2.375
5,B,A,A,0,0,0,0.2656,1.7969
6,A,E,A,0,1,1,0.0391,1.3984
7,B,A,A,0,0,0,0.0703,1.8594
8,D,A,A,0,0,0,0.4688,2.2656
9,B,A,A,0,0,0,0.2734,2.1406
10,C,A,A,0,0,0,0.4766,2.1641
11,B,A,A,0,0,0,0.3125,1.7109
12,E,A,A,0,0,0,0.1172,1.6406
13,B,A,A,0,0,0,0.4922,2.3828
14,B,A,A,0,0,0,0.3438,2.1328
15,D,A,A,0,0,0,0.2344,1.8281
16,E,A,A,0,0,0,0.4844,1.9141
17,A,E,A,0,1,1,0.0312,1.6719
18,C,A,A,0,0,0,0.6172,2.3281
19,E,A,A,0,0,0,0.9004,1.8438
20,B,A,A,0,0,0,0.3984,1.8125
21,B,A,A,0,0,0,0.2266,1.6406
22,D,A,A,0,0,0,0.2734,1.8828
23,C,A,A,0,0,0,0.5625,2.2109
24,A,E,A,0,1,1,0.0156,2.1875
25,D,A,A,0,0,0,0.3125,1.8594
26,F,A,A,0,0,0,0.2734,2.1953
27,B,A,A,0,0,0,0.1797,1.5312
28,F,A,A,0,0,0,0.1562,2.0
29,D,A,A,0,0,0,0.3438,2.0625
30,E,A,A,0,0,0,0.2109,1.6172
31,C,A,A,0,0,0,0.2969,1.8594
32,B,E,A,0,0,1,0.1797,2.1094
33,F,A,A,0,0,0,0.5312,2.3438
34,D,A,A,0,0,0,0.3281,2.2969
35,D,A,A,0,0,0,0.5156,2.2656
36,B,A,A,0,0,0,0.2969,1.7734
37,B,A,A,0,0,0,0.0078,2.0234
38,B,A,A,0,0,0,0.5781,2.1953
39,A,A,A,1,1,0,0.6016,2.0859
40,B,A,A,0,0,0,0.2734,1.9141
41,E,A,A,0,0,0,0.5234,2.0859
42,E,A,A,0,0,0,0.7969,2.1719
43,A,A,A,1,1,0,0.2031,1.7031
44,D,A,A,0,0,0,0.7031,2.4062
