idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,A,1,0,1,1.8125,3.7539
1,C,C,A,1,0,1,1.7344,3.2422
2,D,A,A,0,0,0,0.3594,2.7969
3,B,D,A,0,0,1,0.8418,0.4453
4,B,B,A,1,0,1,1.127,3.1328
5,B,B,A,1,0,1,2.3281,3.1641
6,C,C,A,1,0,1,1.2188,3.832
7,A,A,A,1,1,0,4.2051,3.6426
8,C,C,A,1,0,1,2.5488,3.875
9,C,C,A,1,0,1,3.3438,3.9609
10,C,C,A,1,0,1,2.3037,3.7227
11,B,B,A,1,0,1,4.1729,3.3711
12,C,C,A,1,0,1,1.6406,3.4941
13,C,C,A,1,0,1,2.5859,3.668
14,A,A,A,1,1,0,0.375,4.1387
15,A,A,A,1,1,0,1.8594,3.9648
16,C,C,A,1,0,1,2.4688,3.3125
17,B,B,A,1,0,1,1.6074,4.3105
18,B,B,A,1,0,1,2.5312,3.0508
19,C,C,A,1,0,1,1.25,3.8398
20,A,A,A,1,1,0,2.5859,3.8945
21,B,B,A,1,0,1,1.7422,3.7812
22,A,A,A,1,1,0,3.0391,4.8848
23,D,D,A,1,0,1,2.8281,1.2969
24,D,D,A,1,0,1,1.8438,3.3516
25,A,A,A,1,1,0,3.7363,2.5859
26,C,C,A,1,0,1,2.3135,3.6484
27,B,B,A,1,0,1,0.1641,3.8516
28,B,B,A,1,0,1,1.4355,4.4141
29,C,C,A,1,0,1,2.5996,3.0977
30,C,C,A,1,0,1,2.6387,3.1719
31,A,A,A,1,1,0,2.3906,4.7305
32,D,C,A,0,0,1,0.3516,3.9668
33,B,B,A,1,0,1,1.3828,3.5938
34,C,C,A,1,0,1,2.6465,3.4609
35,B,C,A,0,0,1,1.8574,3.6172
36,D,D,A,1,0,1,1.2969,2.7344
37,B,B,A,1,0,1,0.5,3.4766
38,D,D,A,1,0,1,0.4238,3.168
39,C,C,A,1,0,1,0.6875,4.1992
40,D,C,A,0,0,1,0.0625,3.625
41,C,C,A,1,0,1,2.0762,3.3984
42,C,C,A,1,0,1,2.3613,3.5625
43,C,C,A,1,0,1,1.7969,4.1719
44,B,B,A,1,0,1,3.1543,3.1094
45,A,A,A,1,1,0,1.1875,3.6055
46,C,C,A,1,0,1,3.127,3.8281
47,A,A,A,1,1,0,1.5449,3.3047
48,D,D,A,1,0,1,1.2031,2.9297
49,D,A,A,0,0,0,0.1094,2.8984
50,B,A,A,0,0,0,1.0703,3.9688
51,D,D,A,1,0,1,1.5781,3.2344
52,A,A,A,1,1,0,3.0156,3.8105
53,A,A,A,1,1,0,0.5469,3.8438
54,A,A,A,1,1,0,0.1328,2.9297
55,B,B,A,1,0,1,2.1426,3.2285
56,C,D,A,0,0,1,1.6406,0.3516
57,B,B,A,1,0,1,2.4443,3.7539
58,B,B,A,1,0,1,2.5234,4.0156
59,D,D,A,1,0,1,1.4297,3.6836
60,B,B,A,1,0,1,1.8848,3.8906
61,B,B,A,1,0,1,0.7109,3.3906
62,C,C,A,1,0,1,3.9531,3.0078
63,C,C,A,1,0,1,1.9082,3.9648
64,B,B,A,1,0,1,2.248,3.5742
65,C,C,A,1,0,1,3.0293,3.75
66,B,B,A,1,0,1,0.2422,3.8203
67,C,C,A,1,0,1,1.1406,2.9922
68,A,A,A,1,1,0,2.6348,4.4297
69,D,D,A,1,0,1,1.6699,3.0312
70,C,C,A,1,0,1,3.6875,3.7656
71,C,C,A,1,0,1,2.4355,3.5859
72,A,A,A,1,1,0,1.5645,3.1777
73,D,D,D,1,1,0,2.6738,0.375
74,A,A,A,1,1,0,0.5156,3.4844
75,C,C,A,1,0,1,0.0312,2.2891
76,D,D,A,1,0,1,1.6484,2.7891
77,A,A,A,1,1,0,0.7031,3.0703
78,B,B,A,1,0,1,2.2422,3.3672
79,D,D,A,1,0,1,0.7344,3.2969
80,B,C,A,0,0,1,0.498,3.5703
81,A,A,A,1,1,0,3.0938,3.6953
82,A,A,A,1,1,0,1.9453,3.5508
83,B,B,A,1,0,1,0.375,3.6875
84,C,C,A,1,0,1,2.0488,4.2891
85,C,C,A,1,0,1,2.8438,3.7422
86,A,A,A,1,1,0,2.1074,3.5859
87,C,C,A,1,0,1,1.9766,4.2695
88,D,D,A,1,0,1,0.0938,3.1133
89,C,C,A,1,0,1,2.2812,3.3672
90,D,D,A,1,0,1,0.8438,2.5
91,A,A,A,1,1,0,1.3906,4.0938
92,D,D,A,1,0,1,0.2344,2.875
93,A,A,A,1,1,0,2.0176,4.0
94,A,A,A,1,1,0,1.0156,3.5
95,D,D,D,1,1,0,1.1406,0.1035
96,A,A,A,1,1,0,1.1074,3.6328
97,A,A,A,1,1,0,2.4238,4.248
98,B,A,A,0,0,0,0.1328,3.2188
99,C,C,A,1,0,1,0.7324,3.9492
100,A,A,A,1,1,0,0.7734,3.6641
101,D,C,A,0,0,1,1.0312,3.5
102,B,B,A,1,0,1,1.4199,4.1836
103,D,D,A,1,0,1,2.8027,2.8359
104,B,B,A,1,0,1,1.2578,3.5547
105,C,C,A,1,0,1,2.7441,4.4805
106,B,B,A,1,0,1,2.2344,2.5703
107,A,A,A,1,1,0,1.6895,3.918
108,B,C,A,0,0,1,0.3887,3.6602
109,C,C,A,1,0,1,2.6582,4.1328
110,D,D,A,1,0,1,1.5332,3.2031
111,A,A,A,1,1,0,1.5938,3.2109
112,B,A,A,0,0,0,0.1094,3.4453
113,D,D,A,1,0,1,1.041,2.8867
114,D,D,A,1,0,1,2.7324,2.5352
115,D,D,A,1,0,1,1.1582,3.4297
116,B,B,A,1,0,1,2.3203,2.9648
117,A,A,A,1,1,0,2.9375,3.8477
118,C,C,A,1,0,1,2.6562,1.7344
