idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,10.8502,10.9128
1,C,C,C,1,1,0,9.5677,9.6381
2,D,D,D,1,1,0,0.5781,0.3281
3,B,D,D,0,0,0,9.4112,9.3643
4,B,B,B,1,1,0,7.6258,7.6967
5,B,B,B,1,1,0,10.4831,10.5379
6,C,C,C,1,1,0,8.7005,8.7164
7,A,A,A,1,1,0,10.9132,10.9602
8,C,C,C,1,1,0,11.2412,11.2881
9,C,C,C,1,1,0,11.1856,11.1854
10,C,C,C,1,1,0,10.9987,11.1472
11,B,B,B,1,1,0,11.0146,11.0772
12,C,C,C,1,1,0,9.458,9.4815
13,C,C,C,1,1,0,10.011,10.1911
14,A,A,A,1,1,0,1.4219,1.6094
15,A,A,A,1,1,0,10.0665,10.27
16,C,C,C,1,1,0,8.8568,8.8888
17,B,B,B,1,1,0,9.6831,9.6988
18,B,B,B,1,1,0,10.1542,10.1545
19,C,C,C,1,1,0,10.0058,10.1153
20,A,A,A,1,1,0,10.9052,11.0459
21,B,B,B,1,1,0,11.1704,11.2017
22,A,A,A,1,1,0,10.5286,10.6148
23,D,D,D,1,1,0,10.95,11.0279
24,D,D,D,1,1,0,10.006,10.1231
25,A,A,A,1,1,0,10.2395,10.2633
26,C,C,C,1,1,0,9.5289,9.5917
27,B,B,B,1,1,0,9.6793,9.8032
28,B,B,B,1,1,0,4.923,4.9362
29,C,C,C,1,1,0,11.2957,11.3661
30,C,C,C,1,1,0,10.0489,10.2142
31,A,A,A,1,1,0,11.3117,11.468
32,D,D,D,1,1,0,9.7414,9.8586
33,B,B,B,1,1,0,5.2964,5.0957
34,C,C,C,1,1,0,10.839,10.8694
35,B,C,C,0,0,0,0.9065,0.9062
36,D,D,D,1,1,0,10.5911,10.6223
37,B,B,B,1,1,0,9.6846,9.8675
38,D,D,D,1,1,0,10.9557,10.8612
39,C,B,B,0,0,0,4.1111,4.3138
40,D,C,C,0,0,0,6.3577,6.5543
41,C,C,C,1,1,0,10.5299,10.616
42,C,C,C,1,1,0,10.0059,10.0841
43,C,C,C,1,1,0,11.3041,11.3433
44,B,B,B,1,1,0,10.4291,10.3823
45,A,A,A,1,1,0,7.4374,7.4765
46,C,C,C,1,1,0,11.0137,11.1392
47,A,A,A,1,1,0,10.2393,10.333
48,D,D,D,1,1,0,9.0916,9.0683
49,D,D,D,1,1,0,8.2102,8.2748
50,B,A,A,0,0,0,4.2494,4.1079
51,D,D,D,1,1,0,8.1351,8.1119
52,A,A,A,1,1,0,9.5456,9.5691
53,A,A,A,1,1,0,9.919,10.0054
54,A,A,A,1,1,0,6.532,6.705
55,B,B,B,1,1,0,9.7798,9.7253
56,C,C,C,1,1,0,8.9756,9.1321
57,B,B,B,1,1,0,11.2291,11.37
58,B,B,B,1,1,0,10.2875,10.3579
59,D,D,D,1,1,0,5.4078,5.2959
60,B,B,B,1,1,0,8.189,8.4172
61,B,B,B,1,1,0,5.001,4.7968
62,C,C,C,1,1,0,9.9107,10.083
63,C,C,C,1,1,0,8.8461,8.9552
64,B,B,B,1,1,0,10.074,10.1058
65,C,C,C,1,1,0,9.0455,9.0768
66,B,B,B,1,1,0,10.1288,10.2309
67,C,C,C,1,1,0,8.2228,8.2857
68,A,A,A,1,1,0,10.8664,10.9524
69,D,D,D,1,1,0,11.7322,11.7406
70,C,C,C,1,1,0,11.576,11.6149
71,C,C,C,1,1,0,7.3344,7.4373
72,A,A,A,1,1,0,9.4993,9.601
73,D,D,D,1,1,0,10.4994,10.6245
74,A,B,B,0,0,0,2.1558,2.0479
75,C,C,C,1,1,0,10.46,10.5147
76,D,D,D,1,1,0,10.0455,10.0142
77,A,A,A,1,1,0,8.4581,8.482
78,B,B,B,1,1,0,10.1232,10.139
79,D,D,D,1,1,0,9.8879,9.9663
80,B,B,B,1,1,0,5.7028,5.814
81,A,A,A,1,1,0,11.7101,11.7883
82,A,A,A,1,1,0,10.9757,10.9835
83,B,B,B,1,1,0,7.6732,7.8754
84,C,C,C,1,1,0,8.0733,8.2644
85,C,C,C,1,1,0,10.1073,10.1384
86,A,A,A,1,1,0,11.0457,11.1006
87,C,C,C,1,1,0,11.4353,11.5759
88,D,D,D,1,1,0,9.6432,9.8309
89,C,C,C,1,1,0,9.4511,9.4123
90,D,D,D,1,1,0,11.0776,11.2182
91,A,A,A,1,1,0,10.444,10.491
92,D,D,D,1,1,0,1.2031,1.3442
93,A,C,C,0,0,0,5.5794,5.6735
94,A,B,B,0,0,0,2.2347,2.6241
95,D,D,D,1,1,0,10.6472,10.702
96,A,A,A,1,1,0,10.8584,10.8662
97,A,A,A,1,1,0,11.9127,12.0065
98,B,A,A,0,0,0,8.6001,8.6513
99,C,B,B,0,0,0,5.8765,5.7988
100,A,A,A,1,1,0,8.2326,8.2248
101,D,D,D,1,1,0,8.5218,8.6391
102,B,B,B,1,1,0,10.9506,11.1071
103,D,D,D,1,1,0,10.9638,10.9248
104,B,B,B,1,1,0,10.0918,10.1076
105,C,C,C,1,1,0,11.2361,11.3148
106,B,B,B,1,1,0,10.1062,10.2313
107,A,A,A,1,1,0,6.8887,7.0157
108,B,D,D,0,0,0,6.8752,6.8605
109,C,C,C,1,1,0,11.0773,11.0929
110,D,D,D,1,1,0,10.0046,10.0515
111,A,A,A,1,1,0,9.8506,9.9054
112,B,A,A,0,0,0,0.5,0.687
113,D,D,D,1,1,0,11.3894,11.4287
114,D,D,D,1,1,0,10.6013,10.5935
115,D,D,D,1,1,0,9.072,9.2362
116,B,B,B,1,1,0,11.5527,11.6634
117,A,A,A,1,1,0,11.4988,11.6004
118,C,C,C,1,1,0,10.2558,10.4433
119,A,A,A,1,1,0,10.1453,10.2003
120,A,A,A,1,1,0,5.547,5.8454
121,B,A,A,0,0,0,8.4117,8.5131
122,C,C,C,1,1,0,10.2679,10.2919
123,A,A,A,1,1,0,11.2565,11.3817
124,B,B,B,1,1,0,3.0308,3.2505
125,C,C,C,1,1,0,11.7488,11.8113
126,A,A,A,1,1,0,11.1762,11.2545
127,C,C,C,1,1,0,10.5129,10.6146
128,B,B,B,1,1,0,11.0382,10.9835
129,D,C,C,0,0,0,8.33,8.5027
130,D,D,D,1,1,0,11.5531,11.5841
131,A,A,A,1,1,0,7.9751,8.1828
132,D,D,D,1,1,0,10.9369,10.9291
133,C,C,C,1,1,0,10.0105,10.2064
134,C,C,C,1,1,0,11.1007,11.2414
135,C,C,C,1,1,0,11.1705,11.3034
136,C,C,C,1,1,0,11.459,11.4981
137,D,D,D,1,1,0,10.9797,11.0811
138,A,A,A,1,1,0,11.7079,11.7867
139,C,C,C,1,1,0,6.1075,6.1711
140,A,A,A,1,1,0,11.6399,11.765
141,A,A,A,1,1,0,10.1886,10.3371
142,D,D,D,1,1,0,10.035,9.9571
143,D,D,D,1,1,0,12.0377,12.116
144,A,A,A,1,1,0,11.034,11.1287
145,D,D,D,1,1,0,11.0507,11.0196
146,D,D,D,1,1,0,9.6163,9.8116
147,D,D,D,1,1,0,10.0595,10.0679
148,B,B,B,1,1,0,10.3009,10.5512
149,A,A,A,1,1,0,8.3367,8.4795
150,A,A,A,1,1,0,10.9751,11.0611
151,A,A,A,1,1,0,9.7336,9.804
152,D,D,D,1,1,0,9.8807,9.8573
153,B,B,B,1,1,0,3.7978,3.8755
154,B,B,B,1,1,0,10.7145,10.7383
155,B,B,B,1,1,0,4.8301,4.9982
156,D,D,D,1,1,0,4.905,4.7988
157,D,C,C,0,0,0,7.1489,7.2979
158,B,B,B,1,1,0,11.3121,11.3199
159,A,A,A,1,1,0,8.9429,9.0605
160,A,A,A,1,1,0,10.5536,10.6319
161,B,B,B,1,1,0,6.7667,7.0845
162,D,D,D,1,1,0,8.3243,8.2618
163,C,C,C,1,1,0,10.5835,10.7399
164,B,B,B,1,1,0,9.5605,9.5765
165,C,C,C,1,1,0,7.3515,7.4691
166,A,A,A,1,1,0,6.1423,6.311
167,D,D,D,1,1,0,11.8579,11.7799
168,C,C,C,1,1,0,7.2571,7.4217
169,A,A,A,1,1,0,10.6934,10.8183
170,C,C,C,1,1,0,10.5673,10.6376
171,B,B,B,1,1,0,9.4359,9.4752
172,A,D,D,0,0,0,3.9225,4.1568
173,B,B,B,1,1,0,7.1573,7.3191
174,B,B,B,1,1,0,10.5773,10.6097
175,B,B,B,1,1,0,9.1477,9.1164
176,C,C,C,1,1,0,9.7476,9.8885
177,C,C,C,1,1,0,10.4973,10.677
178,B,B,B,1,1,0,10.5844,10.5923
179,B,C,C,0,0,0,10.1576,10.1942
180,B,B,B,1,1,0,9.1789,9.2421
181,B,B,B,1,1,0,6.3609,6.3265
182,B,B,B,1,1,0,9.0274,9.1431
183,C,C,C,1,1,0,4.6886,4.7044
184,D,D,D,1,1,0,11.5028,11.5894
185,B,B,B,1,1,0,9.6779,9.6547
186,C,A,A,0,0,0,10.1578,10.1969
187,D,D,D,1,1,0,10.7105,10.8667
188,D,D,D,1,1,0,7.7033,7.842
189,D,D,D,1,1,0,9.4871,9.6509
190,D,D,D,1,1,0,9.6865,9.8194
191,B,B,B,1,1,0,10.8433,10.9293
192,B,B,B,1,1,0,10.9049,10.9987
193,C,C,C,1,1,0,10.5318,10.571
194,D,A,A,0,0,0,4.094,4.313
195,C,C,C,1,1,0,8.4903,8.4669
196,A,A,A,1,1,0,11.0221,11.1394
197,A,A,A,1,1,0,11.3886,11.4902
198,B,B,B,1,1,0,9.1864,9.2178
199,B,B,B,1,1,0,10.7767,10.8314
200,C,C,C,1,1,0,10.1507,10.2844
201,C,C,C,1,1,0,6.1404,6.4002
202,C,C,C,1,1,0,9.5997,9.6623
203,A,A,A,1,1,0,10.7488,10.7487
204,C,C,C,1,1,0,7.9754,7.9207
205,A,A,A,1,1,0,9.5845,9.6394
206,D,D,D,1,1,0,11.0926,11.2411
207,B,B,B,1,1,0,7.1482,7.3527
208,D,D,D,1,1,0,11.1266,11.1499
209,D,D,D,1,1,0,11.4775,11.4934
210,B,B,C,1,0,1,0.0312,0.0312
211,D,D,D,1,1,0,8.2895,8.274
212,B,B,B,1,1,0,8.6132,8.7231
213,C,C,C,1,1,0,6.5952,6.514
214,C,C,C,1,1,0,11.1554,11.2492
215,D,D,D,1,1,0,9.7964,9.8283
216,D,C,C,0,0,0,0.5474,0.7505
217,D,D,D,1,1,0,10.6472,10.6786
218,C,C,C,1,1,0,10.3423,10.428
219,D,D,D,1,1,0,12.2092,12.2405
220,A,A,A,1,1,0,9.2472,9.2942
221,A,A,A,1,1,0,9.582,9.6446
222,D,D,D,1,1,0,10.9113,11.0052
223,A,A,A,1,1,0,11.0925,11.1474
224,A,A,A,1,1,0,12.1937,12.2718
225,A,A,A,1,1,0,11.2394,11.31
226,A,A,A,1,1,0,11.1518,11.1815
227,D,D,D,1,1,0,11.0687,11.2641
228,B,B,B,1,1,0,10.1454,10.2004
229,B,B,B,1,1,0,3.562,3.5789
230,C,C,C,1,1,0,9.7112,9.8349
231,C,C,C,1,1,0,9.9009,10.0183
232,A,A,A,1,1,0,10.4595,10.6863
233,C,A,A,0,0,0,4.4206,4.468
234,B,B,B,1,1,0,7.3745,7.5077
