idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,0.8711,0.9336
1,A,A,A,1,1,0,0.793,1.2461
2,B,A,A,0,0,0,0.875,1.6602
3,E,A,A,0,0,0,0.7617,0.4062
4,B,A,A,0,0,0,1.0586,1.1953
5,B,A,A,0,0,0,0.4336,1.1797
6,A,A,A,1,1,0,0.6523,0.9492
7,B,A,A,0,0,0,0.8555,0.9688
8,D,A,A,0,0,0,0.9961,1.1328
9,B,A,A,0,0,0,0.9805,1.0273
10,C,A,A,0,0,0,0.7461,1.5742
11,B,A,A,0,0,0,0.6055,1.9648
12,E,A,A,0,0,0,0.6953,0.9336
13,B,A,A,0,0,0,1.0742,1.1367
14,B,A,A,0,0,0,1.1992,0.2539
15,D,A,A,0,0,0,0.7617,0.3594
16,E,A,A,0,0,0,1.3242,1.1484
17,A,A,A,1,1,0,0.5586,0.3281
18,C,A,A,0,0,0,0.6523,0.3203
19,E,A,A,0,0,0,1.0898,1.7383
20,B,A,A,0,0,0,0.6719,1.7031
21,B,A,A,0,0,0,0.543,1.6445
22,D,A,A,0,0,0,0.5742,1.0586
23,C,A,A,0,0,0,0.9492,0.8828
24,A,A,A,1,1,0,0.7773,1.2773
25,D,A,A,0,0,0,0.5742,1.8633
26,F,A,A,0,0,0,0.8867,1.7344
27,B,A,A,0,0,0,0.6016,0.9531
28,F,A,A,0,0,0,0.7773,0.8359
29,D,A,A,0,0,0,0.5273,1.1914
30,E,A,A,0,0,0,0.8555,1.1914
31,C,A,A,0,0,0,0.8398,0.75
32,B,A,A,0,0,0,0.6211,1.4297
33,F,A,A,0,0,0,1.043,0.8906
34,D,A,A,0,0,0,1.2617,0.2188
35,D,A,A,0,0,0,0.9805,1.3945
36,B,A,A,0,0,0,0.5117,0.4414
37,B,A,A,0,0,0,0.8242,1.3125
38,B,A,A,0,0,0,0.8867,1.2109
39,A,A,A,1,1,0,1.0625,1.4453
40,B,A,A,0,0,0,0.9961,0.7734
41,E,A,A,0,0,0,0.9805,1.3242
42,E,A,A,0,0,0,1.3125,1.4688
43,A,A,A,1,1,0,0.6211,0.7305
44,D,A,A,0,0,0,1.043,1.4648
45,F,A,A,0,0,0,0.5117,0.2695
46,C,A,A,0,0,0,1.0625,0.918
47,E,A,A,0,0,0,0.6836,1.293
48,F,A,A,0,0,0,0.9648,1.293
49,B,A,A,0,0,0,0.6367,1.375
50,E,A,A,0,0,0,0.9375,0.9688
51,D,A,A,0,0,0,0.6211,1.3711
52,D,A,A,0,0,0,0.543,0.7109
53,B,A,A,0,0,0,0.9648,2.627
54,A,A,A,1,1,0,0.8398,0.5469
55,C,A,A,0,0,0,0.8242,1.2266
56,A,A,A,1,1,0,1.0117,1.1562
57,A,A,A,1,1,0,0.8086,1.0938
58,F,A,A,0,0,0,0.3555,1.9453
59,D,A,A,0,0,0,0.9023,1.5078
60,E,A,A,0,0,0,1.1406,1.5117
61,B,A,A,0,0,0,0.9648,0.6328
62,D,A,A,0,0,0,0.8867,1.2695
63,E,A,A,0,0,0,0.543,0.9648
64,D,A,A,0,0,0,1.0586,1.1406
65,B,A,A,0,0,0,1.0781,1.5664
66,A,A,A,1,1,0,1.1875,0.6992
67,C,A,A,0,0,0,1.2969,1.6211
68,E,A,A,0,0,0,0.5273,1.7461
69,F,A,A,0,0,0,0.8086,0.9688
70,A,A,A,1,1,0,1.2773,1.7383
71,F,A,A,0,0,0,1.125,0.8242
72,F,A,A,0,0,0,0.6992,0.8984
73,D,A,A,0,0,0,0.418,1.0938
74,C,A,A,0,0,0,0.6211,1.3242
75,E,A,A,0,0,0,0.7461,1.3398
76,A,A,A,1,1,0,0.668,1.0547
77,E,A,A,0,0,0,0.5117,0.9766
78,F,A,A,0,0,0,0.418,0.2539
79,A,A,A,1,1,0,0.6211,1.5195
80,E,A,A,0,0,0,0.4805,0.7148
81,E,A,A,0,0,0,0.543,1.4844
82,B,A,A,0,0,0,0.6523,1.1953
83,B,A,A,0,0,0,0.7773,0.7812
84,A,A,A,1,1,0,1.1523,0.5664
85,C,A,A,0,0,0,0.6719,0.9023
86,E,A,A,0,0,0,0.543,0.2344
87,A,A,A,1,1,0,1.4492,0.8125
88,B,A,A,0,0,0,0.6836,1.6914
89,A,A,A,1,1,0,0.5586,0.9141
90,C,A,A,0,0,0,0.6719,1.8438
91,D,A,A,0,0,0,0.6016,1.6992
92,E,A,A,0,0,0,0.793,1.1523
93,C,A,A,0,0,0,1.1523,1.5898
94,F,A,A,0,0,0,1.2148,1.457
95,E,A,A,0,0,0,1.4688,1.3242
96,E,A,A,0,0,0,0.5586,1.1289
97,E,A,A,0,0,0,0.8867,1.457
98,B,A,A,0,0,0,0.6211,0.832
99,F,A,A,0,0,0,0.6836,1.1367
100,C,A,A,0,0,0,1.1875,1.5508
101,D,A,A,0,0,0,0.3867,0.4746
102,C,A,A,0,0,0,0.2773,0.9219
103,A,A,A,1,1,0,0.6367,0.9844
104,F,A,A,0,0,0,0.5586,1.6328
105,C,A,A,0,0,0,0.7305,1.2422
106,D,A,A,0,0,0,0.9492,0.6055
107,B,A,A,0,0,0,0.8555,1.8438
108,F,A,A,0,0,0,0.7656,1.6172
109,C,A,A,0,0,0,1.0742,1.5977
110,B,A,A,0,0,0,1.2305,1.9121
111,D,A,A,0,0,0,0.9492,1.8848
112,D,A,A,0,0,0,0.9492,0.4258
113,F,A,A,0,0,0,1.1211,1.332
114,E,A,A,0,0,0,0.7773,1.9082
115,B,A,A,0,0,0,1.2773,1.1562
116,C,A,A,0,0,0,0.5273,1.0
117,C,A,A,0,0,0,0.3398,1.5117
118,F,A,A,0,0,0,0.4023,0.9062
119,E,A,A,0,0,0,1.1562,0.7773
120,A,A,A,1,1,0,0.6523,0.9453
121,B,A,A,0,0,0,0.4492,0.9609
122,E,A,A,0,0,0,0.4805,1.3516
123,E,A,A,0,0,0,0.9492,0.8242
124,B,A,A,0,0,0,0.9062,1.4453
125,B,A,A,0,0,0,0.9961,1.2148
126,C,A,A,0,0,0,0.4453,1.0938
127,C,A,A,0,0,0,1.1055,0.9414
128,C,A,A,0,0,0,1.1367,0.7266
129,F,A,A,0,0,0,0.7812,2.1758
130,B,A,A,0,0,0,1.1367,1.582
131,E,A,A,0,0,0,1.0742,1.3711
132,B,A,A,0,0,0,1.1523,1.7422
133,F,A,A,0,0,0,0.9805,1.2461
134,C,A,A,0,0,0,0.8867,1.0
135,B,A,A,0,0,0,0.8398,1.7773
136,F,A,A,0,0,0,0.5586,1.6172
137,A,A,A,1,1,0,0.8242,1.0781
138,F,A,A,0,0,0,0.8867,0.5117
139,E,A,A,0,0,0,0.4648,0.8438
140,D,A,A,0,0,0,0.5586,0.6211
141,A,A,A,1,1,0,0.2305,0.4258
142,E,A,A,0,0,0,0.918,1.2617
143,B,A,A,0,0,0,0.8867,0.8906
144,F,A,A,0,0,0,0.7617,0.5977
145,B,A,A,0,0,0,0.6367,0.6055
146,E,A,A,0,0,0,0.8242,1.4727
147,D,A,A,0,0,0,1.1992,2.0508
148,D,A,A,0,0,0,0.6055,1.1914
149,D,A,A,0,0,0,1.1094,1.2539
150,A,A,A,1,1,0,1.0117,1.1641
151,B,A,A,0,0,0,0.3984,0.5273
152,A,A,A,1,1,0,0.8086,1.4844
153,A,A,A,1,1,0,0.7344,1.1992
154,C,A,A,0,0,0,0.7773,0.6523
155,D,A,A,0,0,0,0.5273,1.4844
156,A,A,A,1,1,0,0.9961,0.668
157,D,A,A,0,0,0,0.293,1.6367
158,B,A,A,0,0,0,0.3398,1.2109
159,A,A,A,1,1,0,1.0586,1.2148
160,D,A,A,0,0,0,0.3398,1.8242
161,A,A,A,1,1,0,0.4648,1.9883
162,A,A,A,1,1,0,0.6836,1.1992
163,C,A,A,0,0,0,0.7305,0.6875
164,C,A,A,0,0,0,0.6367,1.0742
165,A,A,A,1,1,0,1.0586,1.3945
166,F,A,A,0,0,0,0.8086,1.6836
167,D,A,A,0,0,0,1.0156,1.6133
168,E,A,A,0,0,0,0.1992,0.9258
169,A,A,A,1,1,0,1.2031,1.5781
170,C,A,A,0,0,0,0.6523,0.9062
171,A,A,A,1,1,0,0.8086,0.7539
172,C,A,A,0,0,0,0.9336,1.2773
173,A,A,A,1,1,0,0.4805,1.5312
174,A,A,A,1,1,0,0.7656,1.3594
175,B,A,A,0,0,0,0.668,1.3867
176,B,A,A,0,0,0,0.9648,1.5742
177,A,A,A,1,1,0,1.2031,1.4688
178,E,A,A,0,0,0,0.4648,0.8672
179,A,A,A,1,1,0,0.9219,1.5508
180,D,A,A,0,0,0,0.9375,1.3555
181,B,A,A,0,0,0,0.2461,0.6953
182,F,A,A,0,0,0,0.8242,0.7188
183,F,A,A,0,0,0,1.2656,0.9492
184,D,A,A,0,0,0,0.7344,0.9062
185,D,A,A,0,0,0,0.6523,0.8945
186,D,A,A,0,0,0,1.0273,0.6836
187,E,A,A,0,0,0,0.2305,0.8047
188,F,A,A,0,0,0,0.3203,1.4961
189,E,A,A,0,0,0,0.8398,1.5195
190,B,A,A,0,0,0,0.9805,1.3281
191,C,A,A,0,0,0,0.4492,0.3281
192,B,A,A,0,0,0,0.6094,1.1953
193,C,A,A,0,0,0,0.918,1.6133
194,C,A,A,0,0,0,0.4492,0.9062
195,D,A,A,0,0,0,0.5742,1.6719
196,F,A,A,0,0,0,0.8125,1.8906
197,B,A,A,0,0,0,1.043,0.7734
198,A,A,A,1,1,0,0.668,0.6719
199,D,A,A,0,0,0,0.5117,0.9531
200,E,A,A,0,0,0,0.4805,0.7773
201,A,A,A,1,1,0,0.9531,1.5586
202,A,A,A,1,1,0,0.4961,0.9961
203,C,A,A,0,0,0,0.9492,0.8555
204,A,A,A,1,1,0,0.7148,1.0273
205,A,A,A,1,1,0,0.7891,0.75
206,C,A,A,0,0,0,1.2461,1.0742
207,E,A,A,0,0,0,0.9336,1.1602
208,A,A,A,1,1,0,1.1992,1.6133
209,D,A,A,0,0,0,0.8555,1.4766
210,B,A,A,0,0,0,0.6992,1.5625
211,E,A,A,0,0,0,0.668,0.9219
212,F,A,A,0,0,0,0.8086,0.4609
213,C,A,A,0,0,0,0.6992,1.3555
214,B,A,A,0,0,0,0.8242,0.2734
215,F,A,A,0,0,0,1.3867,1.7852
216,D,A,A,0,0,0,0.7773,1.5625
217,D,A,A,0,0,0,0.793,0.8086
218,D,A,A,0,0,0,0.6523,0.9648
219,D,A,A,0,0,0,0.3516,1.0938
220,E,A,A,0,0,0,0.293,1.2324
221,A,A,A,1,1,0,1.3555,1.6992
222,A,A,A,1,1,0,0.6523,0.4961
223,F,A,A,0,0,0,0.8867,0.1523
224,F,A,A,0,0,0,0.7031,1.0117
225,E,A,A,0,0,0,0.6836,2.1445
226,B,A,A,0,0,0,0.9023,0.9961
227,F,A,A,0,0,0,0.793,0.8672
228,D,A,A,0,0,0,0.7148,1.168
229,A,A,A,1,1,0,1.1992,1.6367
230,D,A,A,0,0,0,1.293,1.5078
231,A,A,A,1,1,0,0.9492,1.2188
232,B,A,A,0,0,0,0.543,0.8008
233,F,A,A,0,0,0,0.793,1.1914
234,E,A,A,0,0,0,0.9961,1.0352
235,C,A,A,0,0,0,0.9219,0.8438
236,E,A,A,0,0,0,0.9219,1.4727
237,A,A,A,1,1,0,1.168,0.9531
238,C,A,A,0,0,0,0.7461,1.2461
239,A,A,A,1,1,0,0.9492,1.0039
240,C,A,A,0,0,0,0.668,1.7383
241,A,A,A,1,1,0,1.0273,1.8828
242,A,A,A,1,1,0,0.9961,1.2344
243,D,A,A,0,0,0,0.5273,0.9375
244,B,A,A,0,0,0,0.5859,1.3789
245,D,A,A,0,0,0,0.6562,0.3789
246,D,A,A,0,0,0,0.918,2.0176
247,B,A,A,0,0,0,1.043,1.5781
248,F,A,A,0,0,0,0.4492,1.6133
249,F,A,A,0,0,0,0.8711,1.0078
