idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,4.4062,6.4067
1,A,A,A,1,1,0,3.6725,8.2407
2,B,B,A,1,0,1,0.0625,6.803
3,C,B,B,0,0,0,5.5454,6.1237
4,C,C,C,1,1,0,6.3273,7.4997
5,C,C,C,1,1,0,8.5108,9.1511
6,A,B,B,0,0,0,5.4532,6.5163
7,B,B,B,1,1,0,6.4758,3.9377
8,C,B,B,0,0,0,3.7661,4.3133
9,B,B,B,1,1,0,7.1249,7.0957
10,B,B,B,1,1,0,4.282,2.7491
11,C,B,B,0,0,0,4.1422,5.595
12,C,B,B,0,0,0,5.314,4.4072
13,B,B,B,1,1,0,7.6806,5.3437
14,B,B,A,1,0,1,3.7965,5.4533
15,C,B,B,0,0,0,1.0779,2.984
16,B,B,A,1,0,1,5.8887,6.8676
17,C,B,B,0,0,0,6.2483,6.8747
18,A,B,A,0,1,1,3.8286,6.4211
19,A,A,A,1,1,0,2.7654,7.3676
20,C,B,C,0,1,1,0.6096,4.3769
21,B,B,B,1,1,0,5.7751,3.5774
22,C,C,C,1,1,0,5.314,6.7981
23,C,B,A,0,0,1,2.1097,6.4077
24,C,C,C,1,1,0,8.5354,9.5625
25,B,B,B,1,1,0,7.2818,6.3733
26,C,B,B,0,0,0,3.4059,4.2177
27,C,C,C,1,1,0,5.6419,7.1103
28,C,B,B,0,0,0,5.7794,6.1565
29,B,B,B,1,1,0,4.702,2.4686
30,B,B,B,1,1,0,5.8764,4.2802
31,B,B,B,1,1,0,5.9779,4.999
32,B,B,A,1,0,1,5.3298,6.9391
33,B,B,B,1,1,0,6.1083,5.3903
34,A,B,A,0,1,1,3.4846,4.2973
35,C,B,B,0,0,0,6.5697,5.3298
36,A,A,A,1,1,0,4.5464,7.9393
37,B,B,B,1,1,0,3.4691,1.3589
38,C,C,B,1,0,1,0.6091,3.7022
39,C,B,B,0,0,0,4.8115,6.2581
40,A,A,A,1,1,0,7.6418,8.7065
41,B,B,B,1,1,0,4.0922,2.3755
42,B,B,A,1,0,1,5.8577,1.6875
43,A,B,A,0,1,1,2.5156,7.6405
44,A,A,A,1,1,0,7.0173,8.3994
45,A,A,A,1,1,0,1.4691,6.9523
46,C,B,B,0,0,0,1.9849,4.9049
47,B,B,A,1,0,1,4.8606,4.9851
48,C,A,A,0,0,0,0.3594,7.6016
49,C,C,B,1,0,1,4.9224,6.6966
50,C,C,C,1,1,0,5.8997,7.9672
51,A,A,A,1,1,0,7.7129,9.0684
52,C,C,C,1,1,0,6.8197,7.775
53,A,B,A,0,1,1,4.9054,5.6735
54,A,B,A,0,1,1,5.9997,3.5935
55,C,B,B,0,0,0,5.3759,6.1155
56,A,B,A,0,1,1,6.1411,7.6181
57,C,B,C,0,1,1,4.3284,5.892
58,C,B,B,0,0,0,3.9678,1.1404
59,A,B,A,0,1,1,3.8118,7.0327
60,A,A,A,1,1,0,8.2172,9.2641
61,C,B,B,0,0,0,6.1158,6.6485
62,A,B,A,0,1,1,5.1873,2.0929
63,B,B,B,1,1,0,6.8762,4.6393
64,A,A,A,1,1,0,7.3675,8.1057
65,C,B,B,0,0,0,4.9992,4.1859
66,A,B,B,0,0,0,5.1552,1.6718
67,C,B,C,0,1,1,5.7189,6.6497
68,B,B,A,1,0,1,0.8596,5.9985
69,A,A,A,1,1,0,2.4688,8.0996
70,B,A,A,0,0,0,0.7654,5.1236
71,B,B,B,1,1,0,4.4208,4.9672
72,C,B,B,0,0,0,5.5171,6.4681
73,A,B,A,0,1,1,4.8288,3.0631
74,B,A,A,0,0,0,0.1406,6.7744
75,C,B,B,0,0,0,4.5783,3.6397
76,A,A,A,1,1,0,5.6426,7.3995
77,A,A,A,1,1,0,0.5935,7.3606
78,B,B,B,1,1,0,5.5642,3.2816
79,A,A,A,1,1,0,3.9695,8.6313
80,C,B,C,0,1,1,2.2971,6.1082
81,B,A,A,0,0,0,2.9679,7.1653
82,B,B,B,1,1,0,6.6004,5.983
83,A,B,A,0,1,1,6.2343,0.9844
84,A,A,A,1,1,0,8.186,9.9363
85,A,B,A,0,1,1,5.5766,4.0467
86,C,B,B,0,0,0,5.4141,4.9688
87,C,B,B,0,0,0,5.439,4.9838
88,C,B,B,0,0,0,4.7171,6.312
89,A,A,A,1,1,0,4.3892,5.842
90,C,B,B,0,0,0,6.9067,6.2257
91,C,C,C,1,1,0,6.7648,7.6473
92,A,A,A,1,1,0,4.5454,7.3131
93,A,A,A,1,1,0,5.686,7.9383
94,A,B,A,0,1,1,1.3435,6.1081
95,A,A,A,1,1,0,6.1247,9.6621
96,A,B,B,0,0,0,4.8888,3.4842
97,B,B,A,1,0,1,3.4529,7.2415
98,C,C,C,1,1,0,6.7106,7.7575
99,A,A,A,1,1,0,5.0616,8.4891
100,C,C,C,1,1,0,7.452,7.5712
101,A,A,A,1,1,0,0.8435,4.0165
102,A,B,A,0,1,1,3.1879,7.4693
103,C,C,C,1,1,0,9.0901,9.6452
104,C,C,C,1,1,0,5.959,3.4835
105,B,B,B,1,1,0,4.5928,6.3767
106,B,B,A,1,0,1,3.6245,6.2501
107,B,B,A,1,0,1,4.4678,3.829
108,C,C,C,1,1,0,8.0754,9.6125
109,B,B,B,1,1,0,5.5138,3.9524
110,A,B,A,0,1,1,0.5312,7.6324
111,B,B,A,1,0,1,4.5301,6.7431
112,A,B,B,0,0,0,4.5615,1.6096
113,B,B,A,1,0,1,4.4997,3.922
114,B,B,A,1,0,1,5.8114,6.2019
115,A,A,A,1,1,0,0.7654,7.4377
116,C,C,C,1,1,0,6.6703,7.6179
117,A,B,A,0,1,1,4.671,5.0644
118,A,A,A,1,1,0,4.4052,6.547
119,A,A,A,1,1,0,3.1103,5.9232
120,B,A,A,0,0,0,2.1875,7.8143
121,C,B,A,0,0,1,4.8904,5.9358
122,B,B,B,1,1,0,6.6487,3.0304
123,C,B,B,0,0,0,6.4597,5.311
124,B,C,C,0,0,0,7.8822,8.7072
125,A,B,A,0,1,1,5.015,7.5097
126,B,A,A,0,0,0,5.2024,7.7027
127,C,C,C,1,1,0,6.9826,8.0225
128,A,A,A,1,1,0,0.9375,7.6153
129,B,B,A,1,0,1,3.8431,3.9842
130,C,B,B,0,0,0,5.6569,5.3126
131,B,B,A,1,0,1,3.2499,5.2193
