idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,A,1,0,1,1.8125,0.623
1,C,C,C,1,1,0,1.7344,0.5859
2,D,A,A,0,0,0,0.3594,1.3438
3,B,D,A,0,0,1,0.8418,1.2578
4,B,B,B,1,1,0,1.127,0.5781
5,B,B,A,1,0,1,2.3281,1.3184
6,C,C,A,1,0,1,1.2188,1.5605
7,A,A,A,1,1,0,4.2051,1.6504
8,C,C,A,1,0,1,2.5488,0.2656
9,C,C,A,1,0,1,3.3438,0.3906
10,C,C,A,1,0,1,2.3037,0.4375
11,B,B,B,1,1,0,4.1729,0.6016
12,C,C,C,1,1,0,1.6406,0.7266
13,C,C,A,1,0,1,2.5859,0.6797
14,A,A,A,1,1,0,0.375,1.6426
15,A,A,A,1,1,0,1.8594,1.4531
16,C,C,A,1,0,1,2.4688,0.25
17,B,B,A,1,0,1,1.6074,1.0137
18,B,B,A,1,0,1,2.5312,0.5859
19,C,C,A,1,0,1,1.25,0.1484
20,A,A,A,1,1,0,2.5859,2.6953
21,B,B,A,1,0,1,1.7422,0.6816
22,A,A,A,1,1,0,3.0391,2.3301
23,D,D,D,1,1,0,2.8281,1.0078
24,D,D,D,1,1,0,1.8438,0.3672
25,A,A,A,1,1,0,3.7363,1.6094
26,C,C,A,1,0,1,2.3135,2.0684
27,B,B,A,1,0,1,0.1641,0.7734
28,B,B,A,1,0,1,1.4355,0.8066
29,C,C,A,1,0,1,2.5996,0.1094
30,C,C,A,1,0,1,2.6387,0.2344
31,A,A,A,1,1,0,2.3906,1.8516
32,D,C,A,0,0,1,0.3516,1.4668
33,B,B,A,1,0,1,1.3828,1.0469
34,C,C,C,1,1,0,2.6465,0.0234
35,B,C,A,0,0,1,1.8574,1.2344
36,D,D,A,1,0,1,1.2969,0.1797
37,B,B,A,1,0,1,0.5,1.2969
38,D,D,A,1,0,1,0.4238,0.1484
39,C,C,A,1,0,1,0.6875,1.4121
40,D,C,A,0,0,1,0.0625,0.7656
41,C,C,C,1,1,0,2.0762,0.0547
42,C,C,A,1,0,1,2.3613,0.0781
43,C,C,A,1,0,1,1.7969,0.9766
44,B,B,A,1,0,1,3.1543,0.3066
45,A,A,A,1,1,0,1.1875,1.9219
46,C,C,A,1,0,1,3.127,0.4863
47,A,A,A,1,1,0,1.5449,2.123
48,D,D,A,1,0,1,1.2031,1.1172
49,D,A,A,0,0,0,0.1094,1.7012
50,B,A,A,0,0,0,1.0703,1.8145
51,D,D,D,1,1,0,1.5781,0.1953
52,A,A,A,1,1,0,3.0156,2.6562
53,A,A,A,1,1,0,0.5469,0.4922
54,A,A,A,1,1,0,0.1328,0.9141
55,B,B,A,1,0,1,2.1426,1.0625
56,C,D,D,0,0,0,1.6406,0.25
57,B,B,A,1,0,1,2.4443,0.3223
58,B,B,A,1,0,1,2.5234,1.9062
59,D,D,A,1,0,1,1.4297,0.3906
60,B,B,B,1,1,0,1.8848,1.3438
61,B,B,A,1,0,1,0.7109,1.5918
62,C,C,A,1,0,1,3.9531,0.2266
63,C,C,A,1,0,1,1.9082,1.041
