idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,B,B,1,1,0,10.2573,10.0698
1,A,B,B,0,0,0,6.781,6.4996
2,B,B,B,1,1,0,2.063,0.9846
3,E,E,E,1,1,0,7.6956,7.7103
4,B,D,D,0,0,0,4.8762,4.6581
5,B,B,B,1,1,0,1.3594,0.5781
6,A,D,C,0,0,1,0.5154,0.1406
7,B,B,B,1,1,0,9.8897,10.0541
8,D,D,D,1,1,0,9.1702,9.2332
9,B,A,A,0,0,0,0.5,0.5469
10,C,C,C,1,1,0,7.1098,5.4547
11,B,B,B,1,1,0,3.2965,4.3891
12,E,E,A,1,0,1,0.3906,1.5933
13,B,D,C,0,0,1,0.0469,1.9377
14,B,B,B,1,1,0,10.1319,10.2181
15,D,B,D,0,1,1,2.7809,2.6558
16,E,E,E,1,1,0,8.9429,9.3188
17,A,A,A,1,1,0,6.0784,6.6705
18,C,C,C,1,1,0,8.9833,8.8976
19,E,E,E,1,1,0,3.421,5.03
20,B,B,B,1,1,0,4.6888,4.4984
21,B,A,A,0,0,0,2.7656,1.2495
22,D,D,D,1,1,0,5.5931,5.5952
23,C,C,C,1,1,0,8.2311,8.208
24,A,F,F,0,0,0,9.3662,9.6165
25,D,D,D,1,1,0,2.8435,4.0314
26,F,F,F,1,1,0,9.5145,9.5617
27,B,E,E,0,0,0,6.3122,7.1631
28,F,C,C,0,0,0,4.5458,5.5314
29,D,D,D,1,1,0,6.0322,5.9548
30,E,E,E,1,1,0,7.4705,7.9209
31,C,D,D,0,0,0,2.1095,1.5782
32,B,C,C,0,0,0,6.3599,6.9549
33,F,F,F,1,1,0,4.4216,5.6549
34,D,D,D,1,1,0,8.6702,8.7255
35,D,D,D,1,1,0,2.657,1.0
36,B,A,A,0,0,0,2.6416,0.9529
37,B,B,B,1,1,0,1.4841,2.8286
38,B,B,B,1,1,0,4.2482,2.7186
39,A,A,A,1,1,0,8.3185,8.7803
40,B,A,A,0,0,0,6.9209,7.0002
41,E,D,D,0,0,0,5.344,4.858
42,E,E,E,1,1,0,7.6417,7.6187
43,A,A,A,1,1,0,6.1425,0.2969
44,D,D,D,1,1,0,7.9984,8.0616
45,F,A,A,0,0,0,0.7812,0.7344
46,C,C,C,1,1,0,6.4463,6.251
47,E,E,E,1,1,0,0.2344,0.2188
48,F,F,F,1,1,0,8.7172,8.7333
49,B,D,D,0,0,0,6.045,6.2988
50,E,E,E,1,1,0,8.1037,8.5105
51,D,D,D,1,1,0,9.2015,8.999
52,D,D,D,1,1,0,3.4695,3.7649
53,B,D,D,0,0,0,2.3909,2.7822
54,A,A,A,1,1,0,11.7881,12.0856
55,C,B,B,0,0,0,6.2509,4.0639
56,A,A,A,1,1,0,11.3043,11.3123
57,A,C,C,0,0,0,2.7029,2.7194
58,F,F,F,1,1,0,7.086,7.0014
59,D,D,D,1,1,0,9.6628,9.4602
60,E,E,E,1,1,0,10.0384,10.023
61,B,A,A,0,0,0,7.1699,6.9043
62,D,D,D,1,1,0,4.7655,1.437
63,E,C,C,0,0,0,10.6863,10.8275
64,D,D,D,1,1,0,5.3431,4.8918
65,B,C,C,0,0,0,6.8361,6.8524
66,A,C,C,0,0,0,3.3278,2.1101
67,C,C,C,1,1,0,1.1877,2.5315
68,E,E,E,1,1,0,5.9841,5.2794
69,F,F,F,1,1,0,5.0486,3.4854
70,A,A,A,1,1,0,11.6634,11.5779
71,F,F,F,1,1,0,8.4427,8.4043
72,F,F,F,1,1,0,6.2489,5.7042
73,D,F,F,0,0,0,8.7804,9.054
74,C,C,C,1,1,0,6.2511,6.0
75,E,E,E,1,1,0,7.344,7.6028
76,A,F,A,0,1,1,2.7976,2.0782
77,E,A,A,0,0,0,7.0846,7.6729
78,F,F,F,1,1,0,9.1396,9.1398
79,A,B,B,0,0,0,8.1701,7.5689
80,E,E,E,1,1,0,4.8123,4.7487
81,E,E,E,1,1,0,10.2807,9.9214
82,B,B,B,1,1,0,7.0371,6.7168
83,B,F,F,0,0,0,6.5934,6.5393
84,A,A,A,1,1,0,0.7505,0.6719
85,C,A,A,0,0,0,0.4531,2.1256
86,E,E,E,1,1,0,6.1269,5.5797
87,A,A,A,1,1,0,10.0694,10.2103
88,B,E,E,0,0,0,2.3445,2.8289
89,A,D,A,0,1,1,3.7656,2.8753
90,C,C,C,1,1,0,8.4747,8.6082
91,D,D,D,1,1,0,7.5859,7.5012
92,E,E,E,1,1,0,2.5477,0.7502
93,C,C,C,1,1,0,7.6033,8.0218
94,F,A,A,0,0,0,1.9225,0.3594
95,E,F,F,0,0,0,4.656,4.656
96,E,E,C,1,0,1,2.9067,1.2971
97,E,E,E,1,1,0,10.0852,10.0306
98,B,E,E,0,0,0,0.6562,1.7496
99,F,A,E,0,0,1,0.2183,0.2031
100,C,C,C,1,1,0,6.0486,5.8419
101,D,A,A,0,0,0,4.0005,3.7025
102,C,C,C,1,1,0,3.5303,3.4071
103,A,A,A,1,1,0,6.4514,4.9065
104,F,F,B,1,0,1,2.2504,1.2344
105,C,C,C,1,1,0,4.3756,5.7041
106,D,A,A,0,0,0,2.8127,2.5466
107,B,B,B,1,1,0,9.0534,9.3116
108,F,C,C,0,0,0,1.2344,1.3284
109,C,C,C,1,1,0,3.9539,3.7664
110,B,A,A,0,0,0,0.1875,3.7653
111,D,E,E,0,0,0,7.6423,8.0841
112,D,D,D,1,1,0,9.013,8.7567
113,F,F,F,1,1,0,8.1619,8.4284
114,E,D,D,0,0,0,1.1248,2.2025
115,B,B,B,1,1,0,5.0643,3.8754
116,C,C,C,1,1,0,5.6097,5.4997
117,C,C,C,1,1,0,6.1241,7.3671
118,F,F,F,1,1,0,5.8121,5.0163
119,E,B,E,0,1,1,1.656,3.0933
120,A,C,C,0,0,0,9.8269,9.7102
121,B,C,C,0,0,0,1.2812,0.2969
122,E,C,C,0,0,0,2.7181,2.4998
123,E,C,C,0,0,0,3.6251,2.5945
124,B,B,B,1,1,0,10.2417,10.2809
125,B,F,F,0,0,0,8.7641,8.1469
126,C,C,C,1,1,0,8.8957,8.959
127,C,B,B,0,0,0,5.7331,4.9697
128,C,C,C,1,1,0,8.0989,8.5138
129,F,B,B,0,0,0,7.3221,3.2657
130,B,B,B,1,1,0,3.9693,4.9829
131,E,E,E,1,1,0,5.8418,6.4224
132,B,C,C,0,0,0,8.9816,9.0682
133,F,F,F,1,1,0,3.6559,4.0143
134,C,C,C,1,1,0,6.1571,6.7745
135,B,A,B,0,1,1,0.7505,1.5156
136,F,F,F,1,1,0,8.4045,8.0998
137,A,C,C,0,0,0,5.9861,5.5608
138,F,E,D,0,0,1,0.0312,1.5156
139,E,E,E,1,1,0,5.1231,4.2203
140,D,C,C,0,0,0,7.7801,7.8749
141,A,A,A,1,1,0,9.1393,9.2646
142,E,F,D,0,0,1,3.0002,0.5933
143,B,D,D,0,0,0,5.5142,4.4996
144,F,B,D,0,0,1,1.2651,0.7031
145,B,E,E,0,0,0,1.4379,2.4376
146,E,F,F,0,0,0,4.9525,4.5311
147,D,D,D,1,1,0,5.1553,4.7192
148,D,D,D,1,1,0,3.2197,3.2654
149,D,D,D,1,1,0,6.9696,6.9549
150,A,F,F,0,0,0,4.1702,2.8272
151,B,C,C,0,0,0,4.8604,3.9211
152,A,A,A,1,1,0,9.499,9.7417
153,A,E,E,0,0,0,5.1859,5.939
154,C,C,B,1,0,1,0.9531,1.2026
155,D,E,E,0,0,0,10.3195,10.1946
156,A,C,C,0,0,0,2.7352,0.6255
157,D,D,D,1,1,0,3.6866,2.6879
158,B,B,B,1,1,0,10.3263,10.3896
159,A,A,A,1,1,0,3.4996,6.0142
160,D,D,D,1,1,0,8.41,8.083
161,A,B,A,0,1,1,0.1875,0.2969
162,A,A,A,1,1,0,5.7486,4.6858
163,C,F,F,0,0,0,2.2029,1.8125
164,C,D,C,0,1,1,0.5776,0.9844
165,A,A,A,1,1,0,10.616,10.6322
166,F,F,F,1,1,0,8.3569,8.0288
167,D,D,D,1,1,0,5.7984,5.5943
168,E,A,A,0,0,0,3.9863,8.616
169,A,A,A,1,1,0,1.8124,1.5933
170,C,E,E,0,0,0,2.8133,3.3916
171,A,A,E,1,0,1,6.1096,1.5314
172,C,C,C,1,1,0,0.0625,1.1716
173,A,A,A,1,1,0,1.8589,1.4844
174,A,A,A,1,1,0,11.3584,11.1871
175,B,B,B,1,1,0,5.1713,5.3765
176,B,A,A,0,0,0,6.8758,7.3612
177,A,F,F,0,0,0,7.1164,7.2587
178,E,F,F,0,0,0,0.9841,3.2181
179,A,A,A,1,1,0,9.5614,9.6556
180,D,D,D,1,1,0,6.452,7.0686
181,B,B,B,1,1,0,0.4219,2.7182
182,F,F,F,1,1,0,8.3274,8.8197
183,F,A,A,0,0,0,7.9706,7.967
184,D,A,A,0,0,0,0.7969,1.5938
185,D,D,D,1,1,0,6.3741,6.6568
186,D,D,D,1,1,0,2.6412,1.2498
187,E,C,C,0,0,0,5.7203,3.579
188,F,B,B,0,0,0,1.3438,5.2171
189,E,E,E,1,1,0,6.7804,7.188
190,B,D,D,0,0,0,1.796,0.2031
191,C,C,C,1,1,0,8.2793,8.1752
192,B,F,F,0,0,0,6.6735,7.0623
193,C,D,D,0,0,0,3.4851,3.8132
194,C,B,B,0,0,0,1.6096,2.9382
195,D,D,F,1,0,1,3.5161,0.4062
196,F,D,F,0,1,1,2.2822,0.4685
197,B,B,B,1,1,0,9.122,9.1229
198,A,D,D,0,0,0,4.8733,2.922
199,D,D,D,1,1,0,6.7666,5.2967
200,E,B,B,0,0,0,7.4451,5.4072
201,A,A,A,1,1,0,10.2962,10.6871
202,A,C,C,0,0,0,6.7583,6.1714
203,C,D,D,0,0,0,6.205,6.0635
204,A,A,A,1,1,0,10.6316,10.7808
205,A,B,B,0,0,0,3.6409,4.3126
206,C,C,C,1,1,0,9.6003,9.671
207,E,E,E,1,1,0,6.1942,5.8438
208,A,F,F,0,0,0,6.2194,5.5771
209,D,B,B,0,0,0,8.7481,8.8424
210,B,A,A,0,0,0,0.2656,4.0943
211,E,E,E,1,1,0,1.9834,1.156
212,F,F,F,1,1,0,4.7491,4.861
213,C,C,C,1,1,0,7.6724,7.7597
214,B,B,B,1,1,0,7.9833,6.8926
215,F,F,F,1,1,0,10.4211,10.1478
216,D,E,E,0,0,0,4.3922,5.11
217,D,D,D,1,1,0,3.2961,3.0782
218,D,D,D,1,1,0,10.1243,10.1714
219,D,F,F,0,0,0,5.9696,5.2483
220,E,C,C,0,0,0,6.6034,6.484
221,A,A,A,1,1,0,3.6869,7.33
222,A,E,B,0,0,1,1.7649,1.5312
223,F,F,F,1,1,0,7.8993,7.72
224,F,F,F,1,1,0,8.5848,8.4834
225,E,F,F,0,0,0,2.0303,1.9849
226,B,D,D,0,0,0,5.9693,5.0321
227,F,F,F,1,1,0,7.9675,7.1934
228,D,D,D,1,1,0,7.5068,7.3988
229,A,A,A,1,1,0,0.5156,2.2499
230,D,D,D,1,1,0,4.1718,3.8134
231,A,F,F,0,0,0,6.7041,6.9698
232,B,C,A,0,0,1,1.4375,1.0005
233,F,D,D,0,0,0,8.2408,7.1425
234,E,E,E,1,1,0,2.9687,6.6397
235,C,F,F,0,0,0,7.3506,8.6871
236,E,E,E,1,1,0,7.2326,6.392
237,A,A,A,1,1,0,8.7481,8.9752
238,C,E,E,0,0,0,6.2014,6.2972
239,A,C,C,0,0,0,4.4378,2.2817
240,C,C,C,1,1,0,8.1151,8.2562
241,A,A,A,1,1,0,10.5852,10.7966
242,A,C,C,0,0,0,8.5381,8.4837
243,D,D,D,1,1,0,5.6887,6.485
244,B,B,B,1,1,0,1.3748,4.3753
245,D,D,D,1,1,0,7.7345,7.3527
246,D,D,E,1,0,1,1.5464,4.7825
247,B,A,A,0,0,0,6.1404,6.6578
248,F,A,A,0,0,0,5.6709,5.375
249,F,F,F,1,1,0,5.4839,4.8909
