idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,0.8711,0.6211
1,A,A,A,1,1,0,0.793,1.0469
2,B,A,A,0,0,0,0.875,0.7656
3,E,A,A,0,0,0,0.7617,0.5625
4,B,A,A,0,0,0,1.0586,0.7969
5,B,A,A,0,0,0,0.4336,0.3438
6,A,A,A,1,1,0,0.6523,0.4336
7,B,A,A,0,0,0,0.8555,0.8281
8,D,A,A,0,0,0,0.9961,0.7188
9,B,A,A,0,0,0,0.9805,0.8906
10,C,A,A,0,0,0,0.7461,0.6094
11,B,A,A,0,0,0,0.6055,0.4062
12,E,A,A,0,0,0,0.6953,0.7344
13,B,A,A,0,0,0,1.0742,1.0625
14,B,A,A,0,0,0,1.1992,0.9844
15,D,A,A,0,0,0,0.7617,0.5469
16,E,A,A,0,0,0,1.3242,0.9688
17,A,A,A,1,1,0,0.5586,0.7812
18,C,A,A,0,0,0,0.6523,0.7344
19,E,A,A,0,0,0,1.0898,0.2305
20,B,A,A,0,0,0,0.6719,0.5156
21,B,A,A,0,0,0,0.543,0.5
22,D,A,A,0,0,0,0.5742,0.2188
23,C,A,A,0,0,0,0.9492,0.7305
24,A,A,A,1,1,0,0.7773,0.9531
25,D,A,A,0,0,0,0.5742,0.3125
26,F,A,A,0,0,0,0.8867,1.1406
27,B,A,A,0,0,0,0.6016,0.6094
28,F,A,A,0,0,0,0.7773,0.7188
29,D,A,A,0,0,0,0.5273,0.3906
30,E,A,A,0,0,0,0.8555,0.5938
31,C,A,A,0,0,0,0.8398,0.6719
32,B,A,A,0,0,0,0.6211,0.875
33,F,A,A,0,0,0,1.043,0.7656
34,D,A,A,0,0,0,1.2617,1.2031
35,D,A,A,0,0,0,0.9805,0.8125
36,B,A,A,0,0,0,0.5117,0.6094
37,B,A,A,0,0,0,0.8242,0.9844
38,B,A,A,0,0,0,0.8867,0.7812
39,A,A,A,1,1,0,1.0625,0.8906
40,B,A,A,0,0,0,0.9961,0.875
41,E,A,A,0,0,0,0.9805,0.7969
42,E,A,A,0,0,0,1.3125,0.875
43,A,A,A,1,1,0,0.6211,0.8594
44,D,A,A,0,0,0,1.043,0.6367
45,F,A,A,0,0,0,0.5117,0.5
46,C,A,A,0,0,0,1.0625,0.7969
47,E,A,A,0,0,0,0.6836,0.5
48,F,A,A,0,0,0,0.9648,0.918
49,B,A,A,0,0,0,0.6367,0.5469
50,E,A,A,0,0,0,0.9375,0.75
51,D,A,A,0,0,0,0.6211,0.418
52,D,A,A,0,0,0,0.543,0.7344
53,B,A,A,0,0,0,0.9648,0.8281
54,A,A,A,1,1,0,0.8398,0.6523
55,C,A,A,0,0,0,0.8242,0.9688
56,A,A,A,1,1,0,1.0117,1.0156
57,A,A,A,1,1,0,0.8086,0.6719
