idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,B,A,A,0,0,0,2.2891,2.8008
1,C,A,A,0,0,0,2.3203,2.9414
2,D,A,A,0,0,0,2.5469,3.2734
3,B,A,A,0,0,0,2.3984,3.5625
4,B,A,A,0,0,0,2.1641,3.5078
5,B,A,A,0,0,0,1.6016,3.2383
6,C,A,A,0,0,0,1.9414,2.4453
7,A,A,A,1,1,0,2.6289,3.9805
8,C,A,A,0,0,0,2.2109,3.043
9,C,A,A,0,0,0,2.1445,2.5859
10,C,A,A,0,0,0,2.2188,3.3945
11,B,A,A,0,0,0,2.332,2.9297
12,C,A,A,0,0,0,2.4844,4.1641
13,C,A,A,0,0,0,1.6836,3.0078
14,A,A,A,1,1,0,2.1836,3.5488
15,A,A,A,1,1,0,2.6016,4.3574
16,C,A,A,0,0,0,2.8203,3.8789
17,B,A,A,0,0,0,2.1094,3.5508
18,B,A,A,0,0,0,2.5195,2.7695
19,C,A,A,0,0,0,2.0117,3.2266
20,A,A,A,1,1,0,2.7695,3.9102
21,B,A,A,0,0,0,2.3828,3.0547
22,A,A,A,1,1,0,2.5156,3.9922
23,D,A,A,0,0,0,1.2852,2.8242
24,D,A,A,0,0,0,1.6445,3.1484
25,A,A,A,1,1,0,2.2031,3.5977
26,C,A,A,0,0,0,2.3359,3.5312
27,B,A,A,0,0,0,1.582,2.7852
28,B,A,A,0,0,0,2.2109,3.3984
29,C,A,A,0,0,0,1.9375,2.7148
30,C,A,A,0,0,0,1.6992,3.1641
31,A,A,A,1,1,0,2.2383,3.3359
32,D,A,A,0,0,0,3.2578,4.3984
33,B,A,A,0,0,0,2.0469,3.0703
34,C,A,A,0,0,0,2.6406,3.3086
35,B,A,A,0,0,0,2.7305,3.3984
36,D,A,A,0,0,0,0.7422,2.3359
37,B,A,A,0,0,0,2.5078,2.5977
38,D,A,A,0,0,0,1.2383,2.7422
39,C,A,A,0,0,0,2.332,3.1797
40,D,A,A,0,0,0,2.2578,3.7559
41,C,A,A,0,0,0,2.5234,3.2227
42,C,A,A,0,0,0,2.4375,3.6328
43,C,A,A,0,0,0,1.8203,3.0352
44,B,A,A,0,0,0,2.3984,3.6328
45,A,A,A,1,1,0,1.7461,3.0117
46,C,A,A,0,0,0,2.0977,3.1973
47,A,A,A,1,1,0,2.3516,3.6895
48,D,A,A,0,0,0,1.8828,3.0859
49,D,A,A,0,0,0,1.7383,3.2578
50,B,A,A,0,0,0,1.7891,3.2031
51,D,A,A,0,0,0,1.0859,2.752
52,A,A,A,1,1,0,2.3008,3.7852
