idx,gold,base_pred,pert_pred,base_correct,pert_correct,flip,base_margin,pert_margin
0,A,A,A,1,1,0,2.0664,0.7891
1,A,A,A,1,1,0,1.4453,0.2227
2,B,A,A,0,0,0,2.2422,0.6875
3,C,A,A,0,0,0,1.6328,0.5352
4,C,A,A,0,0,0,1.7773,0.8711
5,C,A,A,0,0,0,1.0703,0.4648
6,A,A,A,1,1,0,1.3398,1.1211
7,B,A,A,0,0,0,1.6289,0.6172
8,C,A,A,0,0,0,1.4766,0.0898
9,B,A,B,0,1,1,1.9648,0.0273
10,B,A,B,0,1,1,1.6406,0.3672
11,C,A,B,0,0,1,1.7617,0.4102
12,C,A,A,0,0,0,1.7148,0.5898
13,B,A,A,0,0,0,1.6992,0.0664
14,B,A,A,0,0,0,1.5273,1.1758
15,C,A,A,0,0,0,1.5586,0.9531
16,B,A,A,0,0,0,1.8867,1.1719
17,C,A,A,0,0,0,1.8867,0.3438
18,A,A,A,1,1,0,1.5859,0.5898
19,A,A,A,1,1,0,1.6406,0.4062
20,C,A,A,0,0,0,2.0781,0.5312
21,B,A,A,0,0,0,1.1172,0.1133
22,C,A,B,0,0,1,1.5234,0.0977
23,C,A,A,0,0,0,2.2148,1.1328
24,C,A,A,0,0,0,1.2422,0.0352
25,B,A,A,0,0,0,1.5742,0.7461
26,C,A,A,0,0,0,1.8867,0.0703
27,C,A,A,0,0,0,2.1211,0.6562
28,C,A,A,0,0,0,1.2617,0.5586
29,B,A,A,0,0,0,1.8125,0.8438
30,B,A,B,0,1,1,1.4336,0.7617
31,B,A,B,0,1,1,1.7578,0.1875
32,B,A,A,0,0,0,1.9844,1.1875
33,B,A,A,0,0,0,1.7305,0.4922
34,A,A,A,1,1,0,1.6719,0.2773
35,C,A,A,0,0,0,1.1914,0.7383
36,A,A,A,1,1,0,1.4023,0.7656
37,B,A,B,0,1,1,1.1172,0.2852
38,C,A,A,0,0,0,1.793,0.7383
39,C,A,A,0,0,0,1.8828,0.4453
40,A,A,A,1,1,0,1.6953,0.7188
41,B,A,A,0,0,0,1.5586,0.6406
42,B,A,A,0,0,0,2.2305,0.2188
43,A,A,A,1,1,0,1.793,0.5469
44,A,A,A,1,1,0,1.2109,0.6211
45,A,A,A,1,1,0,1.9922,0.7773
46,C,A,B,0,0,1,1.2891,0.1602
47,B,A,A,0,0,0,2.1367,0.9336
48,C,A,A,0,0,0,2.1562,1.2305
49,C,A,A,0,0,0,1.3672,0.0664
50,C,A,A,0,0,0,2.4609,1.0508
51,A,A,A,1,1,0,2.0352,1.0977
52,C,A,A,0,0,0,1.9258,0.4492
53,A,A,A,1,1,0,1.9961,0.5273
54,A,A,A,1,1,0,1.5625,0.3594
55,C,A,A,0,0,0,2.1133,1.1367
56,A,A,A,1,1,0,1.8008,0.5703
57,C,A,A,0,0,0,1.8555,0.7461
58,C,A,A,0,0,0,1.7305,1.0
59,A,A,A,1,1,0,1.5547,0.5508
60,A,A,A,1,1,0,2.0273,1.1289
61,C,A,A,0,0,0,1.2891,0.4023
62,A,A,B,1,0,1,1.3672,0.5
63,B,A,A,0,0,0,1.2461,0.6797
64,A,A,A,1,1,0,1.7305,0.4805
65,C,A,A,0,0,0,1.8672,1.1562
66,A,A,A,1,1,0,1.543,0.043
67,C,A,A,0,0,0,2.168,0.8906
68,B,A,A,0,0,0,0.9375,0.375
69,A,A,A,1,1,0,1.7031,0.1992
70,B,A,A,0,0,0,1.9258,0.5586
71,B,A,A,0,0,0,1.9062,1.0
72,C,A,A,0,0,0,2.0742,0.5469
73,A,A,A,1,1,0,1.2891,0.2539
74,B,A,A,0,0,0,1.1719,0.2461
75,C,A,A,0,0,0,1.8164,0.8164
76,A,A,A,1,1,0,1.957,0.6445
77,A,A,A,1,1,0,1.7617,0.1836
